"plj0587","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"Very often","2013","no migration background","Male","116","0.0150043375389703","0.0126059735954618","0.0174027014824788"
"Very often","2013","no migration background","Female","250","0.0231588265784646","0.0204514463730122","0.0258662067839171"
"Very often","2013","direct migration background","Male","30","0.0141955954955412","0.00738216239198754","0.0210090285990949"
"Very often","2013","direct migration background","Female","64","0.0374078103451739","0.0277984496577585","0.0470171710325893"
"Very often","2013","indirect migration background","Male","","","",""
"Very often","2013","indirect migration background","Female","","","",""
"Often","2013","no migration background","Male","636","0.0682019166586132","0.0632285702418473","0.0731752630753791"
"Often","2013","no migration background","Female","1029","0.0922381384211401","0.0870295477759672","0.0974467290663129"
"Often","2013","direct migration background","Male","129","0.110266860736793","0.0922264591889599","0.128307262284626"
"Often","2013","direct migration background","Female","192","0.127353241504867","0.110471531876123","0.144234951133612"
"Often","2013","indirect migration background","Male","54","0.0849852352842898","0.0612890702221595","0.10868140034642"
"Often","2013","indirect migration background","Female","80","0.0998483890568685","0.0768716929846192","0.122825085129118"
"Sometimes","2013","no migration background","Male","3204","0.342203912585153","0.332843873914063","0.351563951256244"
"Sometimes","2013","no migration background","Female","4170","0.35820281088599","0.349572182928056","0.366833438843923"
"Sometimes","2013","direct migration background","Male","379","0.352108331374047","0.324598802068359","0.379617860679736"
"Sometimes","2013","direct migration background","Female","512","0.333751494516416","0.309872176585037","0.357630812447795"
"Sometimes","2013","indirect migration background","Male","158","0.310453840746421","0.271137556585449","0.349770124907392"
"Sometimes","2013","indirect migration background","Female","204","0.292534802131627","0.257668930458583","0.327400673804671"
"Rarely ","2013","no migration background","Male","4103","0.407208267597554","0.397515475956115","0.416901059238993"
"Rarely ","2013","no migration background","Female","4345","0.361114545063212","0.352468589743211","0.369760500383214"
"Rarely ","2013","direct migration background","Male","356","0.299418011026018","0.273038772438888","0.325797249613147"
"Rarely ","2013","direct migration background","Female","474","0.319333732575933","0.295724509421215","0.342942955730651"
"Rarely ","2013","indirect migration background","Male","191","0.326823972546676","0.286966151946046","0.366681793147306"
"Rarely ","2013","indirect migration background","Female","256","0.417280966392492","0.37948868526544","0.455073247519544"
"Never","2013","no migration background","Male","1811","0.167381565619709","0.160016674367099","0.17474645687232"
"Never","2013","no migration background","Female","2062","0.165285679051193","0.158599691845438","0.171971666256948"
"Never","2013","direct migration background","Male","264","0.224011201367601","0.199997649316196","0.248024753419005"
"Never","2013","direct migration background","Female","256","0.18215372105761","0.162608209159722","0.201699232955499"
"Never","2013","indirect migration background","Male","119","0.25498886944821","0.217952000300244","0.292025738596176"
"Never","2013","indirect migration background","Female","101","0.167583764505978","0.138958766908971","0.196208762102984"
"Very often","2014","no migration background","Male","","","",""
"Very often","2014","no migration background","Female","","","",""
"Very often","2014","direct migration background","Male","","","",""
"Very often","2014","direct migration background","Female","","","",""
"Very often","2014","indirect migration background","Male","","","",""
"Very often","2014","indirect migration background","Female","","","",""
"Often","2014","no migration background","Male","","","",""
"Often","2014","no migration background","Female","","","",""
"Often","2014","direct migration background","Male","","","",""
"Often","2014","direct migration background","Female","","","",""
"Often","2014","indirect migration background","Male","","","",""
"Often","2014","indirect migration background","Female","","","",""
"Sometimes","2014","no migration background","Male","","","",""
"Sometimes","2014","no migration background","Female","","","",""
"Sometimes","2014","direct migration background","Male","","","",""
"Sometimes","2014","direct migration background","Female","","","",""
"Sometimes","2014","indirect migration background","Male","","","",""
"Sometimes","2014","indirect migration background","Female","","","",""
"Rarely ","2014","no migration background","Male","","","",""
"Rarely ","2014","no migration background","Female","","","",""
"Rarely ","2014","direct migration background","Male","","","",""
"Rarely ","2014","direct migration background","Female","","","",""
"Rarely ","2014","indirect migration background","Male","","","",""
"Rarely ","2014","indirect migration background","Female","","","",""
"Never","2014","no migration background","Male","","","",""
"Never","2014","no migration background","Female","","","",""
