"plj0587","year","e11102","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2013","Not Employed","(0) in school","2","","",""
"Very often","2013","Not Employed","(1a) inadequately completed","13","","",""
"Very often","2013","Not Employed","(1b) general elementary school","54","0.0457273839345239","0.0334661249411494","0.0579886429278983"
"Very often","2013","Not Employed","(1c) basic vocational qualification","76","0.0280501054142266","0.021905640764311","0.0341945700641421"
"Very often","2013","Not Employed","(2b) intermediate general qualification","5","","",""
"Very often","2013","Not Employed","(2a) intermediate vocational","39","0.0266366431531719","0.0186616658661468","0.034611620440197"
"Very often","2013","Not Employed","(2c_gen) general maturity certificate","9","","",""
"Very often","2013","Not Employed","(2c_voc) vocational maturity certificate","15","","",""
"Very often","2013","Not Employed","(3a) lower tertiary education","9","","",""
"Very often","2013","Not Employed","(3b) higher tertiary education","18","","",""
"Very often","2013","Employed","(0) in school","","","",""
"Very often","2013","Employed","(1a) inadequately completed","9","","",""
"Very often","2013","Employed","(1b) general elementary school","20","","",""
"Very often","2013","Employed","(1c) basic vocational qualification","45","0.0139011849383773","0.00975691395771592","0.0180454559190387"
"Very often","2013","Employed","(2b) intermediate general qualification","10","","",""
"Very often","2013","Employed","(2a) intermediate vocational","65","0.0144230622137562","0.011092241237288","0.0177538831902244"
"Very often","2013","Employed","(2c_gen) general maturity certificate","10","","",""
"Very often","2013","Employed","(2c_voc) vocational maturity certificate","28","","",""
"Very often","2013","Employed","(3a) lower tertiary education","15","","",""
"Very often","2013","Employed","(3b) higher tertiary education","31","0.00954255597423339","0.00596892314270396","0.0131161888057628"
"Often","2013","Not Employed","(0) in school","29","","",""
"Often","2013","Not Employed","(1a) inadequately completed","35","0.147615503966913","0.0975713681374802","0.197659639796346"
"Often","2013","Not Employed","(1b) general elementary school","129","0.103904110332635","0.0859937524478935","0.121814468217376"
"Often","2013","Not Employed","(1c) basic vocational qualification","256","0.0932877274548081","0.0824648717958514","0.104110583113765"
"Often","2013","Not Employed","(2b) intermediate general qualification","31","0.106503917339074","0.069571323381454","0.143436511296693"
"Often","2013","Not Employed","(2a) intermediate vocational","154","0.0958727245498001","0.0812908105529841","0.110454638546616"
"Often","2013","Not Employed","(2c_gen) general maturity certificate","33","0.0728229048665489","0.0469677243227796","0.0986780854103181"
"Often","2013","Not Employed","(2c_voc) vocational maturity certificate","39","0.106275868620561","0.0780199738293284","0.134531763411793"
"Often","2013","Not Employed","(3a) lower tertiary education","45","0.0907413080006445","0.0670354986534443","0.114447117347845"
"Often","2013","Not Employed","(3b) higher tertiary education","83","0.108723955354576","0.0884203597603845","0.129027550948767"
"Often","2013","Employed","(0) in school","7","","",""
"Often","2013","Employed","(1a) inadequately completed","25","","",""
"Often","2013","Employed","(1b) general elementary school","90","0.111332381587244","0.0896977001941423","0.132967062980346"
"Often","2013","Employed","(1c) basic vocational qualification","220","0.0687888589293004","0.0598301557011666","0.0777475621574342"
"Often","2013","Employed","(2b) intermediate general qualification","43","0.120390846002826","0.0904570518409277","0.150324640164725"
"Often","2013","Employed","(2a) intermediate vocational","378","0.0774748596072342","0.0700061290781169","0.0849435901363514"
"Often","2013","Employed","(2c_gen) general maturity certificate","59","0.0733600956370977","0.0532232889431929","0.0934969023310025"
"Often","2013","Employed","(2c_voc) vocational maturity certificate","127","0.0589489144016567","0.0480470079253534","0.06985082087796"
"Often","2013","Employed","(3a) lower tertiary education","69","0.0542444970956353","0.0428765916863536","0.0656124025049171"
"Often","2013","Employed","(3b) higher tertiary education","203","0.077406500336992","0.0675832870733214","0.0872297136006625"
"Sometimes","2013","Not Employed","(0) in school","86","0.200027644122625","0.157938911019014","0.242116377226236"
"Sometimes","2013","Not Employed","(1a) inadequately completed","60","0.300766911350353","0.236068226868177","0.365465595832529"
"Sometimes","2013","Not Employed","(1b) general elementary school","370","0.346853264923252","0.318915675480103","0.374790854366401"
"Sometimes","2013","Not Employed","(1c) basic vocational qualification","914","0.338010336023997","0.320407385944895","0.355613286103098"
"Sometimes","2013","Not Employed","(2b) intermediate general qualification","92","0.444822815537069","0.385326506216849","0.504319124857289"
"Sometimes","2013","Not Employed","(2a) intermediate vocational","575","0.352927756111675","0.329259214147998","0.376596298075352"
"Sometimes","2013","Not Employed","(2c_gen) general maturity certificate","130","0.28292103189747","0.23810345860752","0.327738605187419"
"Sometimes","2013","Not Employed","(2c_voc) vocational maturity certificate","167","0.364471784155852","0.320346311969719","0.408597256341984"
"Sometimes","2013","Not Employed","(3a) lower tertiary education","211","0.396087680447048","0.355723963597791","0.436451397296305"
"Sometimes","2013","Not Employed","(3b) higher tertiary education","283","0.340884143629363","0.30996777365612","0.371800513602606"
"Sometimes","2013","Employed","(0) in school","36","0.353700800260567","0.259991451157784","0.44741014936335"
"Sometimes","2013","Employed","(1a) inadequately completed","62","0.429384098616223","0.35431092611212","0.504457271120326"
"Sometimes","2013","Employed","(1b) general elementary school","236","0.338622652528293","0.306072521728733","0.371172783327853"
"Sometimes","2013","Employed","(1c) basic vocational qualification","1039","0.346501312140391","0.329657638520833","0.363344985759949"
"Sometimes","2013","Employed","(2b) intermediate general qualification","139","0.292845366634965","0.250985625454726","0.334705107815203"
"Sometimes","2013","Employed","(2a) intermediate vocational","1773","0.36563485129816","0.352180252986591","0.379089449609728"
"Sometimes","2013","Employed","(2c_gen) general maturity certificate","202","0.331333400231952","0.294980205629661","0.367686594834244"
"Sometimes","2013","Employed","(2c_voc) vocational maturity certificate","607","0.390353257917671","0.367773151775805","0.412933364059538"
"Sometimes","2013","Employed","(3a) lower tertiary education","505","0.336547574294545","0.312831582322545","0.360263566266545"
"Sometimes","2013","Employed","(3b) higher tertiary education","935","0.336854329288147","0.319480914152312","0.354227744423983"
"Rarely ","2013","Not Employed","(0) in school","154","0.405711833794675","0.354047512021633","0.457376155567717"
"Rarely ","2013","Not Employed","(1a) inadequately completed","49","0.275979062446788","0.212914836909426","0.339043287984149"
"Rarely ","2013","Not Employed","(1b) general elementary school","336","0.298309821834847","0.271455318016152","0.325164325653542"
"Rarely ","2013","Not Employed","(1c) basic vocational qualification","939","0.325134011196554","0.307702508218867","0.342565514174242"
"Rarely ","2013","Not Employed","(2b) intermediate general qualification","95","0.276149817920841","0.222622261415964","0.329677374425719"
"Rarely ","2013","Not Employed","(2a) intermediate vocational","558","0.377626262780624","0.353615335276114","0.401637190285133"
"Rarely ","2013","Not Employed","(2c_gen) general maturity certificate","140","0.397132026072394","0.348445275425323","0.445818776719464"
"Rarely ","2013","Not Employed","(2c_voc) vocational maturity certificate","166","0.354132217452294","0.310284749321329","0.397979685583258"
"Rarely ","2013","Not Employed","(3a) lower tertiary education","223","0.36484555662978","0.325117004299682","0.404574108959877"
"Rarely ","2013","Not Employed","(3b) higher tertiary education","351","0.368601861272827","0.337136362055109","0.400067360490544"
"Rarely ","2013","Employed","(0) in school","39","0.395517253349418","0.29968255892971","0.491351947769125"
"Rarely ","2013","Employed","(1a) inadequately completed","50","0.345332958325967","0.273219037501552","0.417446879150382"
"Rarely ","2013","Employed","(1b) general elementary school","314","0.355852260295426","0.322921808862227","0.388782711728624"
"Rarely ","2013","Employed","(1c) basic vocational qualification","1146","0.383443486985933","0.366232762855927","0.40065421111594"
"Rarely ","2013","Employed","(2b) intermediate general qualification","168","0.356458420257309","0.312401624301767","0.400515216212851"
"Rarely ","2013","Employed","(2a) intermediate vocational","1924","0.40479300972391","0.391080157371587","0.418505862076233"
"Rarely ","2013","Employed","(2c_gen) general maturity certificate","250","0.405206618669446","0.367290271927369","0.443122965411524"
"Rarely ","2013","Employed","(2c_voc) vocational maturity certificate","751","0.395514937774568","0.372882456062021","0.418147419487114"
"Rarely ","2013","Employed","(3a) lower tertiary education","696","0.435531987348043","0.410646688198907","0.460417286497179"
"Rarely ","2013","Employed","(3b) higher tertiary education","1155","0.422662195889121","0.404504055825788","0.440820335952455"
