"plj0587","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Very often","2013","Not Employed","1-pers.-HH","107","0.0579193788326795","0.047061669887778","0.068777087777581"
"Very often","2013","Not Employed","(Married) couple without C. ","45","0.0116057384082376","0.00825636284190705","0.0149551139745681"
"Very often","2013","Not Employed","Single parent ","33","0.0431277447074297","0.0279481831714063","0.058307306243453"
"Very often","2013","Not Employed","Couple + C. LE 16 ","30","0.0281564819541587","0.0181699395142097","0.0381430243941077"
"Very often","2013","Not Employed","Couple + C. GT 16 ","9","","",""
"Very often","2013","Not Employed","Couple + C. LE and GT 16","9","","",""
"Very often","2013","Employed","1-pers.-HH","51","0.0269564531621951","0.0194808241576193","0.0344320821667709"
"Very often","2013","Employed","(Married) couple without C. ","37","0.0109474940168364","0.0076018689419608","0.0142931190917121"
"Very often","2013","Employed","Single parent ","51","0.0252456894755744","0.0182307228558553","0.0322606560952934"
"Very often","2013","Employed","Couple + C. LE 16 ","64","0.0105580159592012","0.00783973393047222","0.0132762979879302"
"Very often","2013","Employed","Couple + C. GT 16 ","11","","",""
"Very often","2013","Employed","Couple + C. LE and GT 16","19","","",""
"Often","2013","Not Employed","1-pers.-HH","229","0.123588510748842","0.108290840565317","0.138886180932366"
"Often","2013","Not Employed","(Married) couple without C. ","284","0.0780625593467672","0.0696730904050201","0.0864520282885143"
"Often","2013","Not Employed","Single parent ","83","0.13232217325424","0.107003005040796","0.157641341467684"
"Often","2013","Not Employed","Couple + C. LE 16 ","143","0.154371781258989","0.132559480526877","0.1761840819911"
"Often","2013","Not Employed","Couple + C. GT 16 ","60","0.0785897840759595","0.0581372639972842","0.0990423041546348"
"Often","2013","Not Employed","Couple + C. LE and GT 16","41","0.0787438882529141","0.05520625902592","0.102281517479908"
"Often","2013","Employed","1-pers.-HH","187","0.107273804361572","0.092989594954353","0.121558013768791"
"Often","2013","Employed","(Married) couple without C. ","222","0.0610121076334789","0.0533164055235717","0.0687078097433861"
"Often","2013","Employed","Single parent ","211","0.0959216471420731","0.0827528606084069","0.109090433675739"
"Often","2013","Employed","Couple + C. LE 16 ","401","0.067569373784801","0.0608937569455472","0.0742449906240547"
"Often","2013","Employed","Couple + C. GT 16 ","119","0.0664249854159543","0.0558196243957537","0.077030346436155"
"Often","2013","Employed","Couple + C. LE and GT 16","98","0.0610367343482628","0.0489779063896433","0.0730955623068822"
"Sometimes","2013","Not Employed","1-pers.-HH","616","0.354960342638907","0.332718777862144","0.37720190741567"
"Sometimes","2013","Not Employed","(Married) couple without C. ","1259","0.334691508115854","0.319934570831743","0.349448445399964"
"Sometimes","2013","Not Employed","Single parent ","227","0.338862685676527","0.303494597812631","0.374230773540423"
"Sometimes","2013","Not Employed","Couple + C. LE 16 ","409","0.393721014042092","0.364225338938597","0.423216689145587"
"Sometimes","2013","Not Employed","Couple + C. GT 16 ","211","0.318167091195667","0.282767041111547","0.353567141279788"
"Sometimes","2013","Not Employed","Couple + C. LE and GT 16","164","0.292073391249311","0.252335555226579","0.331811227272042"
"Sometimes","2013","Employed","1-pers.-HH","727","0.409049361047698","0.38635522310926","0.431743498986136"
"Sometimes","2013","Employed","(Married) couple without C. ","1211","0.327994521471296","0.31289963190665","0.343089411035942"
"Sometimes","2013","Employed","Single parent ","705","0.349051675004305","0.327735831224773","0.370367518783836"
"Sometimes","2013","Employed","Couple + C. LE 16 ","1821","0.356420966671807","0.343683274328586","0.369158659015029"
