"plj0587","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"Very often","2013","(0) in school","West Germany","2","","",""
"Very often","2013","(0) in school","East Germany","","","",""
"Very often","2013","(1a) inadequately completed","West Germany","22","","",""
"Very often","2013","(1a) inadequately completed","East Germany","","","",""
"Very often","2013","(1b) general elementary school","West Germany","63","0.0323706421527646","0.0239797674647274","0.0407615168408018"
"Very often","2013","(1b) general elementary school","East Germany","11","","",""
"Very often","2013","(1c) basic vocational qualification","West Germany","89","0.0201915143208534","0.0162074525437385","0.0241755760979684"
"Very often","2013","(1c) basic vocational qualification","East Germany","32","0.028335301410297","0.0183085014224076","0.0383621013981863"
"Very often","2013","(2b) intermediate general qualification","West Germany","11","","",""
"Very often","2013","(2b) intermediate general qualification","East Germany","4","","",""
"Very often","2013","(2a) intermediate vocational","West Germany","66","0.0193104966872958","0.0152125495411565","0.0234084438334351"
"Very often","2013","(2a) intermediate vocational","East Germany","38","0.0138613896899486","0.00892628828459148","0.0187964910953056"
"Very often","2013","(2c_gen) general maturity certificate","West Germany","17","","",""
"Very often","2013","(2c_gen) general maturity certificate","East Germany","2","","",""
"Very often","2013","(2c_voc) vocational maturity certificate","West Germany","37","0.0258345842369459","0.0187031952720293","0.0329659732018625"
"Very often","2013","(2c_voc) vocational maturity certificate","East Germany","6","","",""
"Very often","2013","(3a) lower tertiary education","West Germany","11","","",""
"Very often","2013","(3a) lower tertiary education","East Germany","13","","",""
"Very often","2013","(3b) higher tertiary education","West Germany","38","0.011199248723811","0.00739410527141649","0.0150043921762055"
"Very often","2013","(3b) higher tertiary education","East Germany","11","","",""
"Often","2013","(0) in school","West Germany","33","0.10199123167123","0.0720704095223918","0.131912053820069"
"Often","2013","(0) in school","East Germany","3","","",""
"Often","2013","(1a) inadequately completed","West Germany","49","0.132600858530073","0.0946639825134589","0.170537734546687"
"Often","2013","(1a) inadequately completed","East Germany","11","","",""
"Often","2013","(1b) general elementary school","West Germany","185","0.106089767610513","0.0914895017855776","0.120690033435448"
"Often","2013","(1b) general elementary school","East Germany","34","0.11025887027768","0.0686813631299988","0.151836377425361"
"Often","2013","(1c) basic vocational qualification","West Germany","363","0.0751976420260984","0.0677280377285366","0.0826672463236601"
"Often","2013","(1c) basic vocational qualification","East Germany","113","0.12027229844327","0.100616207167307","0.139928389719233"
"Often","2013","(2b) intermediate general qualification","West Germany","57","0.120612966052901","0.0942668822980554","0.146959049807746"
"Often","2013","(2b) intermediate general qualification","East Germany","17","","",""
"Often","2013","(2a) intermediate vocational","West Germany","312","0.0750003009895219","0.0671568684442384","0.0828437335348055"
"Often","2013","(2a) intermediate vocational","East Germany","220","0.0990496218168386","0.0864400436101092","0.111659200023568"
"Often","2013","(2c_gen) general maturity certificate","West Germany","75","0.0674761224642165","0.0509682418105116","0.0839840031179214"
"Often","2013","(2c_gen) general maturity certificate","East Germany","17","","",""
"Often","2013","(2c_voc) vocational maturity certificate","West Germany","145","0.0717341946359135","0.0601342391596092","0.0833341501122177"
"Often","2013","(2c_voc) vocational maturity certificate","East Germany","21","","",""
"Often","2013","(3a) lower tertiary education","West Germany","63","0.0531274462296738","0.041539060881393","0.0647158315779545"
"Often","2013","(3a) lower tertiary education","East Germany","51","0.0981897130880305","0.075313612332058","0.121065813844003"
"Often","2013","(3b) higher tertiary education","West Germany","226","0.0865173988007139","0.0763520084062393","0.0966827891951886"
"Often","2013","(3b) higher tertiary education","East Germany","60","0.0825270139176006","0.0635539653172982","0.101500062517903"
"Sometimes","2013","(0) in school","West Germany","109","0.243107948957053","0.200697939665162","0.285517958248943"
"Sometimes","2013","(0) in school","East Germany","13","","",""
"Sometimes","2013","(1a) inadequately completed","West Germany","103","0.340018266603029","0.287028014515285","0.393008518690773"
"Sometimes","2013","(1a) inadequately completed","East Germany","19","","",""
"Sometimes","2013","(1b) general elementary school","West Germany","530","0.333552720028965","0.311199391407684","0.355906048650246"
"Sometimes","2013","(1b) general elementary school","East Germany","76","0.431074663939818","0.365335567475522","0.496813760404113"
"Sometimes","2013","(1c) basic vocational qualification","West Germany","1603","0.340634560610739","0.32721066814006","0.354058453081418"
"Sometimes","2013","(1c) basic vocational qualification","East Germany","350","0.350200349528045","0.321374093114954","0.379026605941136"
"Sometimes","2013","(2b) intermediate general qualification","West Germany","183","0.336286039894161","0.298067513649413","0.37450456613891"
"Sometimes","2013","(2b) intermediate general qualification","East Germany","48","0.423308046509823","0.339962688848943","0.506653404170703"
"Sometimes","2013","(2a) intermediate vocational","West Germany","1512","0.347099068794552","0.332923051469119","0.361275086119986"
"Sometimes","2013","(2a) intermediate vocational","East Germany","836","0.396877764813776","0.376226114308411","0.41752941531914"
"Sometimes","2013","(2c_gen) general maturity certificate","West Germany","274","0.304980879160593","0.27468239065523","0.335279367665957"
"Sometimes","2013","(2c_gen) general maturity certificate","East Germany","58","0.3713146952107","0.292673190779267","0.449956199642133"
"Sometimes","2013","(2c_voc) vocational maturity certificate","West Germany","636","0.381473199149856","0.359637439287012","0.403308959012699"
"Sometimes","2013","(2c_voc) vocational maturity certificate","East Germany","138","0.405550196144162","0.354037381590955","0.45706301069737"
"Sometimes","2013","(3a) lower tertiary education","West Germany","454","0.332376378868434","0.30803760940587","0.356715148330997"
"Sometimes","2013","(3a) lower tertiary education","East Germany","262","0.414856237263948","0.376979591286357","0.452732883241538"
"Sometimes","2013","(3b) higher tertiary education","West Germany","943","0.335499436313939","0.318426203222551","0.352572669405327"
"Sometimes","2013","(3b) higher tertiary education","East Germany","275","0.349318010265183","0.316445165224901","0.382190855305466"
"Rarely ","2013","(0) in school","West Germany","168","0.39825123201083","0.349852054126455","0.446650409895205"
"Rarely ","2013","(0) in school","East Germany","25","","",""
"Rarely ","2013","(1a) inadequately completed","West Germany","81","0.292908992974998","0.242001358980823","0.343816626969173"
"Rarely ","2013","(1a) inadequately completed","East Germany","18","","",""
"Rarely ","2013","(1b) general elementary school","West Germany","589","0.326101291533622","0.303875838044112","0.348326745023132"
"Rarely ","2013","(1b) general elementary school","East Germany","61","0.256427703878101","0.198462960661675","0.314392447094526"
"Rarely ","2013","(1c) basic vocational qualification","West Germany","1703","0.354284991310196","0.340737220594902","0.36783276202549"
