"plj0587","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","Employed","East Germany","528","0.12860397779062","0.117624336459698","0.139583619121543","5"
"Never","2013","Employed","West Germany","2425","0.166561257673645","0.16020451954345","0.17291799580384","5"
"Never","2013","Not Employed","East Germany","303","0.126117998957658","0.112130682660581","0.140105315254735","5"
"Never","2013","Not Employed","West Germany","1357","0.205220197009883","0.195503282907792","0.214937111111974","5"
"Often","2013","Employed","West Germany","965","0.0729494500616922","0.0685126158426633","0.077386284280721","2"
"Often","2013","Employed","East Germany","297","0.0874960430725162","0.0782284970679913","0.0967635890770411","2"
"Often","2013","Not Employed","East Germany","262","0.122722539285203","0.108898017572496","0.13654706099791","2"
"Often","2013","Not Employed","West Germany","596","0.0927294362097427","0.0857507748886144","0.0997080975308711","2"
"Rarely ","2013","Not Employed","East Germany","744","0.332794198564174","0.312940691114194","0.352647706014153","4"
"Rarely ","2013","Employed","East Germany","1367","0.38735532317171","0.371377696756332","0.403332949587087","4"
"Rarely ","2013","Employed","West Germany","5268","0.401770247127097","0.393405874479604","0.410134619774591","4"
"Rarely ","2013","Not Employed","West Germany","2346","0.341408227052821","0.329999425023885","0.352817029081756","4"
"Sometimes","2013","Employed","East Germany","1330","0.386418081084273","0.370447593984087","0.402388568184459","3"
"Sometimes","2013","Employed","West Germany","4349","0.343662195623754","0.33555930320558","0.351765088041927","3"
"Sometimes","2013","Not Employed","West Germany","2162","0.332415484165327","0.321081342084591","0.343749626246064","3"
"Sometimes","2013","Not Employed","East Germany","786","0.384601964022802","0.364104352188486","0.405099575857117","3"
"Very often","2013","Not Employed","West Germany","175","0.0282266555622263","0.0242418502713179","0.0322114608531347","1"
"Very often","2013","Not Employed","East Germany","69","0.033763299170164","0.0261533165313543","0.0413732818089738","1"
"Very often","2013","Employed","West Germany","190","0.0150568495138117","0.0129791481742712","0.0171345508533522","1"
"Very often","2013","Employed","East Germany","49","0.0101265748808811","0.00684279310999383","0.0134103566517684","1"
"Never","2014","Employed","West Germany","","","","","5"
"Never","2014","Employed","East Germany","","","","","5"
"Never","2014","Not Employed","East Germany","","","","","5"
"Never","2014","Not Employed","West Germany","","","","","5"
"Often","2014","Employed","West Germany","","","","","2"
"Often","2014","Not Employed","East Germany","","","","","2"
"Often","2014","Employed","East Germany","","","","","2"
"Often","2014","Not Employed","West Germany","","","","","2"
"Rarely ","2014","Employed","West Germany","","","","","4"
"Rarely ","2014","Not Employed","West Germany","","","","","4"
"Rarely ","2014","Not Employed","East Germany","","","","","4"
"Rarely ","2014","Employed","East Germany","","","","","4"
"Sometimes","2014","Employed","West Germany","","","","","3"
"Sometimes","2014","Employed","East Germany","","","","","3"
"Sometimes","2014","Not Employed","West Germany","","","","","3"
"Sometimes","2014","Not Employed","East Germany","","","","","3"
"Very often","2014","Not Employed","West Germany","","","","","1"
"Very often","2014","Not Employed","East Germany","","","","","1"
"Very often","2014","Employed","West Germany","","","","","1"
"Very often","2014","Employed","East Germany","","","","","1"
"Never","2015","Employed","East Germany","","","","","5"
"Never","2015","Employed","West Germany","","","","","5"
"Never","2015","Not Employed","East Germany","","","","","5"
"Never","2015","Not Employed","West Germany","","","","","5"
"Often","2015","Employed","West Germany","","","","","2"
"Often","2015","Not Employed","East Germany","","","","","2"
"Often","2015","Employed","East Germany","","","","","2"
"Often","2015","Not Employed","West Germany","","","","","2"
"Rarely ","2015","Not Employed","West Germany","","","","","4"
"Rarely ","2015","Not Employed","East Germany","","","","","4"
"Rarely ","2015","Employed","West Germany","","","","","4"
"Rarely ","2015","Employed","East Germany","","","","","4"
"Sometimes","2015","Employed","East Germany","","","","","3"
"Sometimes","2015","Employed","West Germany","","","","","3"
"Sometimes","2015","Not Employed","East Germany","","","","","3"
"Sometimes","2015","Not Employed","West Germany","","","","","3"
"Very often","2015","Employed","East Germany","","","","","1"
"Very often","2015","Not Employed","West Germany","","","","","1"
"Very often","2015","Not Employed","East Germany","","","","","1"
"Very often","2015","Employed","West Germany","","","","","1"
"Never","2016","Employed","West Germany","","","","","5"
"Never","2016","Not Employed","East Germany","139","0.163752022515083","0.137303583367082","0.190200461663083","5"
"Never","2016","Employed","East Germany","","","","","5"
"Never","2016","Not Employed","West Germany","754","0.186291783712336","0.173405983035465","0.199177584389207","5"
"Often","2016","Not Employed","East Germany","147","0.201046157995142","0.172401218810407","0.229691097179878","2"
"Often","2016","Employed","West Germany","","","","","2"
"Often","2016","Employed","East Germany","","","","","2"
"Often","2016","Not Employed","West Germany","640","0.204617264255064","0.19126547634513","0.217969052164997","2"
"Rarely ","2016","Employed","East Germany","","","","","4"
"Rarely ","2016","Not Employed","West Germany","534","0.134052639642552","0.122776417069549","0.145328862215555","4"
"Rarely ","2016","Not Employed","East Germany","106","0.122473217893383","0.0990422663920459","0.145904169394719","4"
"Rarely ","2016","Employed","West Germany","","","","","4"
"Sometimes","2016","Employed","East Germany","","","","","3"
"Sometimes","2016","Not Employed","East Germany","238","0.33174717717536","0.298094998216065","0.365399356134656","3"
"Sometimes","2016","Employed","West Germany","","","","","3"
"Sometimes","2016","Not Employed","West Germany","1024","0.301366389672844","0.286180076442455","0.316552702903234","3"
"Very often","2016","Employed","East Germany","","","","","1"
"Very often","2016","Not Employed","West Germany","555","0.173671922717204","0.161134124700976","0.186209720733432","1"
"Very often","2016","Employed","West Germany","","","","","1"
"Very often","2016","Not Employed","East Germany","122","0.180981424421032","0.153464299993973","0.208498548848091","1"
"Never","2017","Not Employed","East Germany","425","0.183995090442537","0.168152631797158","0.199837549087916","5"
"Never","2017","Employed","West Germany","2989","0.196874565884666","0.19039500840339","0.203354123365942","5"
"Never","2017","Employed","East Germany","682","0.173223784255343","0.160853023955316","0.185594544555371","5"
"Never","2017","Not Employed","West Germany","1792","0.197608295801712","0.189455152998856","0.205761438604568","5"
"Often","2017","Not Employed","West Germany","1138","0.0961072781882916","0.0900724371991521","0.102142119177431","2"
"Often","2017","Not Employed","East Germany","291","0.110683638490916","0.0978561116020505","0.123511165379781","2"
"Often","2017","Employed","West Germany","936","0.0604150056783355","0.0565326144531855","0.0642973969034856","2"
"Often","2017","Employed","East Germany","241","0.0744942664560164","0.0659110587053167","0.0830774742067161","2"
"Rarely ","2017","Employed","East Germany","1481","0.407781129935725","0.391717143572152","0.423845116299298","4"
"Rarely ","2017","Not Employed","West Germany","2690","0.355180888931063","0.345382086688083","0.364979691174042","4"
"Rarely ","2017","Employed","West Germany","5931","0.428371269595026","0.420307724068453","0.436434815121599","4"
"Rarely ","2017","Not Employed","East Germany","733","0.311234375482335","0.292304289354169","0.3301644616105","4"
"Sometimes","2017","Employed","East Germany","1152","0.335648323029657","0.320212140608879","0.351084505450435","3"
"Sometimes","2017","Employed","West Germany","4424","0.302638344483746","0.295152343866819","0.310124345100672","3"
"Sometimes","2017","Not Employed","East Germany","748","0.363230677309851","0.34356742258155","0.382893932038152","3"
"Sometimes","2017","Not Employed","West Germany","2936","0.316063639573276","0.30654391545672","0.325583363689832","3"
"Very often","2017","Employed","East Germany","39","0.00885249632325832","0.00579052818742514","0.0119144644590915","1"
"Very often","2017","Employed","West Germany","187","0.0117008143582265","0.00994850365548246","0.0134531250609706","1"
"Very often","2017","Not Employed","East Germany","101","0.0308562182743617","0.0237859069940091","0.0379265295547143","1"
"Very often","2017","Not Employed","West Germany","607","0.0350398975056575","0.0312748943898837","0.0388049006214313","1"
"Never","2018","Not Employed","West Germany","89","0.241407761792418","0.197921063709613","0.284894459875223","5"
"Never","2018","Not Employed","East Germany","15","","","","5"
"Never","2018","Employed","West Germany","","","","","5"
"Never","2018","Employed","East Germany","","","","","5"
"Often","2018","Not Employed","West Germany","65","0.21075600174578","0.169310992526918","0.252201010964642","2"
"Often","2018","Employed","West Germany","","","","","2"
"Often","2018","Employed","East Germany","","","","","2"
"Often","2018","Not Employed","East Germany","14","","","","2"
"Rarely ","2018","Employed","East Germany","","","","","4"
"Rarely ","2018","Not Employed","West Germany","48","0.124723934409258","0.091148313821619","0.158299554996896","4"
"Rarely ","2018","Employed","West Germany","","","","","4"
"Rarely ","2018","Not Employed","East Germany","4","","","","4"
"Sometimes","2018","Employed","West Germany","","","","","3"
"Sometimes","2018","Employed","East Germany","","","","","3"
"Sometimes","2018","Not Employed","West Germany","119","0.325416026488103","0.277804281417757","0.37302777155845","3"
"Sometimes","2018","Not Employed","East Germany","10","","","","3"
"Very often","2018","Employed","East Germany","","","","","1"
"Very often","2018","Employed","West Germany","","","","","1"
"Very often","2018","Not Employed","West Germany","51","0.0976962755644408","0.0675251161249305","0.127867435003951","1"
"Very often","2018","Not Employed","East Germany","5","","","","1"
"Never","2019","Not Employed","West Germany","45","0.198935126782131","0.149745060008734","0.248125193555527","5"
"Never","2019","Not Employed","East Germany","6","","","","5"
"Never","2019","Employed","West Germany","","","","","5"
"Never","2019","Employed","East Germany","","","","","5"
"Often","2019","Employed","East Germany","","","","","2"
"Often","2019","Not Employed","East Germany","4","","","","2"
"Often","2019","Not Employed","West Germany","58","0.233696711508084","0.181551494918629","0.285841928097539","2"
"Often","2019","Employed","West Germany","","","","","2"
"Rarely ","2019","Employed","East Germany","","","","","4"
"Rarely ","2019","Employed","West Germany","","","","","4"
"Rarely ","2019","Not Employed","West Germany","26","","","","4"
"Rarely ","2019","Not Employed","East Germany","","","","","4"
"Sometimes","2019","Employed","West Germany","","","","","3"
"Sometimes","2019","Employed","East Germany","","","","","3"
"Sometimes","2019","Not Employed","East Germany","9","","","","3"
"Sometimes","2019","Not Employed","West Germany","89","0.330181127725011","0.272232568369985","0.388129687080037","3"
"Very often","2019","Employed","East Germany","","","","","1"
"Very often","2019","Employed","West Germany","","","","","1"
"Very often","2019","Not Employed","East Germany","4","","","","1"
"Very often","2019","Not Employed","West Germany","35","0.147186353073017","0.103529877332324","0.19084282881371","1"
