"plj0587","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Very often","2013","16-34 y.","1-pers.-HH","14","","",""
"Very often","2013","16-34 y.","(Married) couple without C. ","18","","",""
"Very often","2013","16-34 y.","Single parent ","20","","",""
"Very often","2013","16-34 y.","Couple + C. LE 16 ","38","0.0185879633055982","0.0122123634284585","0.0249635631827379"
"Very often","2013","16-34 y.","Couple + C. GT 16 ","5","","",""
"Very often","2013","16-34 y.","Couple + C. LE and GT 16","5","","",""
"Very often","2013","35-65 y.","1-pers.-HH","66","0.0393442213945348","0.02958354341623","0.0491048993728396"
"Very often","2013","35-65 y.","(Married) couple without C. ","34","0.00970820061285049","0.00650748993354986","0.0129089112921511"
"Very often","2013","35-65 y.","Single parent ","61","0.0381812680818601","0.0290851165020765","0.0472774196616437"
"Very often","2013","35-65 y.","Couple + C. LE 16 ","56","0.0110074783156911","0.00803937579132557","0.0139755808400566"
"Very often","2013","35-65 y.","Couple + C. GT 16 ","14","","",""
"Very often","2013","35-65 y.","Couple + C. LE and GT 16","23","","",""
"Very often","2013","66 and older","1-pers.-HH","78","0.0562273801159052","0.0441433167798273","0.0683114434519831"
"Very often","2013","66 and older","(Married) couple without C. ","30","0.00877875886336795","0.00558736311116247","0.0119701546155734"
"Very often","2013","66 and older","Single parent ","3","","",""
"Very often","2013","66 and older","Couple + C. LE 16 ","","","",""
"Very often","2013","66 and older","Couple + C. GT 16 ","1","","",""
"Very often","2013","66 and older","Couple + C. LE and GT 16","","","",""
"Often","2013","16-34 y.","1-pers.-HH","81","0.105109990804792","0.0817294695061024","0.128490512103481"
"Often","2013","16-34 y.","(Married) couple without C. ","64","0.0737813603136544","0.0551591923844902","0.0924035282428186"
"Often","2013","16-34 y.","Single parent ","87","0.0977371142882911","0.0775467626926805","0.117927465883902"
"Often","2013","16-34 y.","Couple + C. LE 16 ","200","0.117788750720917","0.102572149344111","0.133005352097722"
"Often","2013","16-34 y.","Couple + C. GT 16 ","75","0.0816525479920923","0.0637124439722524","0.0995926520119322"
"Often","2013","16-34 y.","Couple + C. LE and GT 16","40","0.0706896814399798","0.0506755748573741","0.0907037880225854"
"Often","2013","35-65 y.","1-pers.-HH","175","0.120942373923257","0.104572191278347","0.137312556568167"
"Often","2013","35-65 y.","(Married) couple without C. ","229","0.0661471390003186","0.0580339757327034","0.0742603022679337"
"Often","2013","35-65 y.","Single parent ","196","0.111905077430411","0.0969413258752284","0.126868828985593"
"Often","2013","35-65 y.","Couple + C. LE 16 ","342","0.0658868338469194","0.0588295507195123","0.0729441169743265"
"Often","2013","35-65 y.","Couple + C. GT 16 ","93","0.0617427817897935","0.0504239335993486","0.0730616299802385"
"Often","2013","35-65 y.","Couple + C. LE and GT 16","99","0.0620570285905542","0.0493602494369185","0.0747538077441899"
"Often","2013","66 and older","1-pers.-HH","160","0.113697015752919","0.0970448386725341","0.130349192833303"
"Often","2013","66 and older","(Married) couple without C. ","213","0.0719766955142988","0.0631346204830101","0.0808187705455875"
"Often","2013","66 and older","Single parent ","11","","",""
"Often","2013","66 and older","Couple + C. LE 16 ","2","","",""
"Often","2013","66 and older","Couple + C. GT 16 ","11","","",""
"Often","2013","66 and older","Couple + C. LE and GT 16","","","",""
"Sometimes","2013","16-34 y.","1-pers.-HH","255","0.399045821295795","0.361713978819187","0.436377663772403"
"Sometimes","2013","16-34 y.","(Married) couple without C. ","263","0.31895914344464","0.285757906600531","0.35216038028875"
"Sometimes","2013","16-34 y.","Single parent ","274","0.329399029560429","0.297443882128873","0.361354176991985"
"Sometimes","2013","16-34 y.","Couple + C. LE 16 ","617","0.385254105073435","0.362281993525197","0.408226216621673"
"Sometimes","2013","16-34 y.","Couple + C. GT 16 ","297","0.339877906576401","0.30884587740802","0.370909935744783"
"Sometimes","2013","16-34 y.","Couple + C. LE and GT 16","185","0.268891390750439","0.234268987208312","0.303513794292566"
"Sometimes","2013","35-65 y.","1-pers.-HH","611","0.414268036715591","0.389536802944986","0.438999270486196"
"Sometimes","2013","35-65 y.","(Married) couple without C. ","1173","0.334344179013353","0.318944303619918","0.349744054406788"
"Sometimes","2013","35-65 y.","Single parent ","633","0.359458249546188","0.336681914223878","0.382234584868497"
"Sometimes","2013","35-65 y.","Couple + C. LE 16 ","1607","0.352726442674329","0.339133877718226","0.366319007630431"
"Sometimes","2013","35-65 y.","Couple + C. GT 16 ","544","0.323645943077401","0.301643529935535","0.345648356219267"
"Sometimes","2013","35-65 y.","Couple + C. LE and GT 16","447","0.32915880980376","0.304428903977673","0.353888715629847"
"Sometimes","2013","66 and older","1-pers.-HH","477","0.34077711394857","0.315913930733853","0.365640297163288"
"Sometimes","2013","66 and older","(Married) couple without C. ","1034","0.331001255622603","0.314901982262798","0.347100528982408"
"Sometimes","2013","66 and older","Single parent ","25","","",""
"Sometimes","2013","66 and older","Couple + C. LE 16 ","6","","",""
"Sometimes","2013","66 and older","Couple + C. GT 16 ","41","0.313254236481209","0.239275639865065","0.387232833097354"
"Sometimes","2013","66 and older","Couple + C. LE and GT 16","","","",""
"Rarely ","2013","16-34 y.","1-pers.-HH","232","0.373983660210127","0.337097239981257","0.410870080438997"
"Rarely ","2013","16-34 y.","(Married) couple without C. ","304","0.427033376836645","0.391796636704576","0.462270116968714"
"Rarely ","2013","16-34 y.","Single parent ","304","0.349146354605322","0.316735311685699","0.381557397524944"
"Rarely ","2013","16-34 y.","Couple + C. LE 16 ","588","0.3385109547021","0.316173835990799","0.360848073413401"
"Rarely ","2013","16-34 y.","Couple + C. GT 16 ","351","0.387276813475394","0.355362942929925","0.419190684020864"
"Rarely ","2013","16-34 y.","Couple + C. LE and GT 16","264","0.441668392652559","0.402891582204139","0.48044520310098"
"Rarely ","2013","35-65 y.","1-pers.-HH","492","0.317864917722627","0.294486662285688","0.341243173159566"
"Rarely ","2013","35-65 y.","(Married) couple without C. ","1542","0.430341043266986","0.414178514689944","0.446503571844029"
"Rarely ","2013","35-65 y.","Single parent ","559","0.323689901437918","0.301481187472407","0.34589861540343"
"Rarely ","2013","35-65 y.","Couple + C. LE 16 ","1882","0.399185097857577","0.385253658680217","0.413116537034938"
"Rarely ","2013","35-65 y.","Couple + C. GT 16 ","708","0.417334460958693","0.394144502420874","0.440524419496513"
"Rarely ","2013","35-65 y.","Couple + C. LE and GT 16","548","0.378782492411663","0.353253912747486","0.404311072075841"
"Rarely ","2013","66 and older","1-pers.-HH","433","0.316665343123045","0.292263514464611","0.34106717178148"
"Rarely ","2013","66 and older","(Married) couple without C. ","1288","0.370471652207592","0.353949601931051","0.386993702484132"
"Rarely ","2013","66 and older","Single parent ","15","","",""
"Rarely ","2013","66 and older","Couple + C. LE 16 ","3","","",""
"Rarely ","2013","66 and older","Couple + C. GT 16 ","56","0.391858427844484","0.313996247757311","0.469720607931657"
"Rarely ","2013","66 and older","Couple + C. LE and GT 16","","","",""
"Never","2013","16-34 y.","1-pers.-HH","79","0.10429337076782","0.0809932266332831","0.127593514902358"
"Never","2013","16-34 y.","(Married) couple without C. ","108","0.152743927920304","0.127117417408789","0.178370438431818"
"Never","2013","16-34 y.","Single parent ","146","0.206883198678519","0.179342258283362","0.234424139073676"
"Never","2013","16-34 y.","Couple + C. LE 16 ","281","0.139858226197951","0.123485971647302","0.1562304807486"
"Never","2013","16-34 y.","Couple + C. GT 16 ","167","0.183521920846513","0.158161712855657","0.208882128837369"
"Never","2013","16-34 y.","Couple + C. LE and GT 16","136","0.214495050654283","0.182442623859009","0.246547477449556"
"Never","2013","35-65 y.","1-pers.-HH","180","0.107580450243991","0.0920241318238501","0.123136768664132"
"Never","2013","35-65 y.","(Married) couple without C. ","627","0.159459438106492","0.147508557457799","0.171410318755184"
"Never","2013","35-65 y.","Single parent ","256","0.166765503503623","0.14907164174811","0.184459365259136"
"Never","2013","35-65 y.","Couple + C. LE 16 ","860","0.171194147305484","0.160478723898029","0.181909570712938"
"Never","2013","35-65 y.","Couple + C. GT 16 ","378","0.190031364823899","0.171581426170668","0.208481303477131"
"Never","2013","35-65 y.","Couple + C. LE and GT 16","270","0.216521798983709","0.194846049022357","0.238197548945062"
"Never","2013","66 and older","1-pers.-HH","248","0.17263314705956","0.152807994658501","0.19245829946062"
"Never","2013","66 and older","(Married) couple without C. ","717","0.217771637792138","0.203651262465016","0.231892013119261"
"Never","2013","66 and older","Single parent ","19","","",""
"Never","2013","66 and older","Couple + C. LE 16 ","3","","",""
"Never","2013","66 and older","Couple + C. GT 16 ","42","0.227958340402637","0.161045767671084","0.29487091313419"
"Never","2013","66 and older","Couple + C. LE and GT 16","","","",""
"Very often","2014","16-34 y.","1-pers.-HH","","","",""
"Very often","2014","16-34 y.","(Married) couple without C. ","","","",""
"Very often","2014","16-34 y.","Single parent ","","","",""
"Very often","2014","16-34 y.","Couple + C. LE 16 ","","","",""
"Very often","2014","16-34 y.","Couple + C. GT 16 ","","","",""
"Very often","2014","16-34 y.","Couple + C. LE and GT 16","","","",""
"Very often","2014","35-65 y.","1-pers.-HH","","","",""
"Very often","2014","35-65 y.","(Married) couple without C. ","","","",""
"Very often","2014","35-65 y.","Single parent ","","","",""
"Very often","2014","35-65 y.","Couple + C. LE 16 ","","","",""
"Very often","2014","35-65 y.","Couple + C. GT 16 ","","","",""
"Very often","2014","35-65 y.","Couple + C. LE and GT 16","","","",""
"Very often","2014","66 and older","1-pers.-HH","","","",""
"Very often","2014","66 and older","(Married) couple without C. ","","","",""
"Very often","2014","66 and older","Single parent ","","","",""
"Very often","2014","66 and older","Couple + C. LE 16 ","","","",""
"Very often","2014","66 and older","Couple + C. GT 16 ","","","",""
"Very often","2014","66 and older","Couple + C. LE and GT 16","","","",""
"Often","2014","16-34 y.","1-pers.-HH","","","",""
"Often","2014","16-34 y.","(Married) couple without C. ","","","",""
"Often","2014","16-34 y.","Single parent ","","","",""
"Often","2014","16-34 y.","Couple + C. LE 16 ","","","",""
"Often","2014","16-34 y.","Couple + C. GT 16 ","","","",""
"Often","2014","16-34 y.","Couple + C. LE and GT 16","","","",""
"Often","2014","35-65 y.","1-pers.-HH","","","",""
"Often","2014","35-65 y.","(Married) couple without C. ","","","",""
"Often","2014","35-65 y.","Single parent ","","","",""
"Often","2014","35-65 y.","Couple + C. LE 16 ","","","",""
"Often","2014","35-65 y.","Couple + C. GT 16 ","","","",""
"Often","2014","35-65 y.","Couple + C. LE and GT 16","","","",""
"Often","2014","66 and older","1-pers.-HH","","","",""
"Often","2014","66 and older","(Married) couple without C. ","","","",""
"Often","2014","66 and older","Single parent ","","","",""
"Often","2014","66 and older","Couple + C. LE 16 ","","","",""
"Often","2014","66 and older","Couple + C. GT 16 ","","","",""
"Often","2014","66 and older","Couple + C. LE and GT 16","","","",""
"Sometimes","2014","16-34 y.","1-pers.-HH","","","",""
"Sometimes","2014","16-34 y.","(Married) couple without C. ","","","",""
"Sometimes","2014","16-34 y.","Single parent ","","","",""
"Sometimes","2014","16-34 y.","Couple + C. LE 16 ","","","",""
"Sometimes","2014","16-34 y.","Couple + C. GT 16 ","","","",""
"Sometimes","2014","16-34 y.","Couple + C. LE and GT 16","","","",""
"Sometimes","2014","35-65 y.","1-pers.-HH","","","",""
"Sometimes","2014","35-65 y.","(Married) couple without C. ","","","",""
"Sometimes","2014","35-65 y.","Single parent ","","","",""
"Sometimes","2014","35-65 y.","Couple + C. LE 16 ","","","",""
"Sometimes","2014","35-65 y.","Couple + C. GT 16 ","","","",""
"Sometimes","2014","35-65 y.","Couple + C. LE and GT 16","","","",""
"Sometimes","2014","66 and older","1-pers.-HH","","","",""
"Sometimes","2014","66 and older","(Married) couple without C. ","","","",""
"Sometimes","2014","66 and older","Single parent ","","","",""
"Sometimes","2014","66 and older","Couple + C. LE 16 ","","","",""
"Sometimes","2014","66 and older","Couple + C. GT 16 ","","","",""
"Sometimes","2014","66 and older","Couple + C. LE and GT 16","","","",""
"Rarely ","2014","16-34 y.","1-pers.-HH","","","",""
"Rarely ","2014","16-34 y.","(Married) couple without C. ","","","",""
"Rarely ","2014","16-34 y.","Single parent ","","","",""
"Rarely ","2014","16-34 y.","Couple + C. LE 16 ","","","",""
"Rarely ","2014","16-34 y.","Couple + C. GT 16 ","","","",""
"Rarely ","2014","16-34 y.","Couple + C. LE and GT 16","","","",""
"Rarely ","2014","35-65 y.","1-pers.-HH","","","",""
