"plj0587","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"Very often","2013","in school","2","","",""
"Very often","2013","inadequately","25","","",""
"Very often","2013","general elemantary","82","0.027894155860286","0.0215535935743234","0.0342347181462486"
"Very often","2013","middle vocational","238","0.019728956289833","0.0172856619835072","0.0221722505961587"
"Very often","2013","vocational + Abi","39","0.0313295380523768","0.0232275493289627","0.0394315267757909"
"Very often","2013","higher vocational","17","","",""
"Very often","2013","higher education","73","0.0147337986856444","0.0116423515874952","0.0178252457837937"
"Often","2013","in school","36","0.104177306742991","0.0757618789494614","0.132592734536521"
"Often","2013","inadequately","56","0.149916150743602","0.111341212811213","0.188491088675992"
"Often","2013","general elemantary","287","0.108675424623743","0.096691529549325","0.120659319698162"
"Often","2013","middle vocational","1050","0.0838421432580744","0.0789728382229424","0.0887114482932063"
"Often","2013","vocational + Abi","134","0.0701495752170449","0.058271510696988","0.0820276397371018"
"Often","2013","higher vocational","115","0.0681787139143936","0.0561224302179233","0.080234997610864"
"Often","2013","higher education","400","0.0776647896386811","0.0707975193662805","0.0845320599110817"
"Sometimes","2013","in school","121","0.246645766313139","0.206550504360614","0.286741028265664"
"Sometimes","2013","inadequately","118","0.363282825482231","0.311313646283204","0.415252004681258"
"Sometimes","2013","general elemantary","816","0.344265533616082","0.325970839067054","0.362560228165111"
"Sometimes","2013","middle vocational","4302","0.347159818169838","0.3387957260919","0.355523910247776"
"Sometimes","2013","vocational + Abi","604","0.365999039805754","0.343595763193638","0.388402316417869"
"Sometimes","2013","higher vocational","598","0.384734875371974","0.361462823827304","0.408006926916644"
"Sometimes","2013","higher education","1934","0.344198552794621","0.33200814128754","0.356388964301702"
"Rarely ","2013","in school","191","0.397274245396941","0.351758497178794","0.442789993615087"
"Rarely ","2013","inadequately","79","0.263765984180767","0.216148387174252","0.311383581187282"
"Rarely ","2013","general elemantary","900","0.323179869842322","0.305171551100594","0.341188188584049"
"Rarely ","2013","middle vocational","4589","0.374108684575074","0.365607117251401","0.382610251898748"
"Rarely ","2013","vocational + Abi","723","0.393887493837159","0.371163255856638","0.416611731817681"
"Rarely ","2013","higher vocational","654","0.374864475529886","0.351709358756837","0.398019592302935"
"Rarely ","2013","higher education","2425","0.410757399378631","0.398134258549738","0.423380540207524"
"Never","2013","in school","94","0.249227309302507","0.208991878679166","0.289462739925848"
"Never","2013","inadequately","51","0.166892222937868","0.12660022657981","0.207184219295927"
"Never","2013","general elemantary","506","0.195985016057567","0.180700281878203","0.21126975023693"
"Never","2013","middle vocational","2266","0.17516039770718","0.168482291004344","0.181838504410017"
"Never","2013","vocational + Abi","276","0.138634353087665","0.122562875240657","0.154705830934673"
"Never","2013","higher vocational","295","0.158961700643529","0.141472221343844","0.176451179943213"
"Never","2013","higher education","1003","0.152645459502422","0.143417574226661","0.161873344778183"
"Very often","2014","in school","","","",""
"Very often","2014","inadequately","","","",""
"Very often","2014","general elemantary","","","",""
"Very often","2014","middle vocational","","","",""
"Very often","2014","vocational + Abi","","","",""
"Very often","2014","higher vocational","","","",""
"Very often","2014","higher education","","","",""
"Often","2014","in school","","","",""
"Often","2014","inadequately","","","",""
"Often","2014","general elemantary","","","",""
"Often","2014","middle vocational","","","",""
"Often","2014","vocational + Abi","","","",""
"Often","2014","higher vocational","","","",""
"Often","2014","higher education","","","",""
"Sometimes","2014","in school","","","",""
"Sometimes","2014","inadequately","","","",""
"Sometimes","2014","general elemantary","","","",""
"Sometimes","2014","middle vocational","","","",""
"Sometimes","2014","vocational + Abi","","","",""
"Sometimes","2014","higher vocational","","","",""
"Sometimes","2014","higher education","","","",""
"Rarely ","2014","in school","","","",""
"Rarely ","2014","inadequately","","","",""
"Rarely ","2014","general elemantary","","","",""
"Rarely ","2014","middle vocational","","","",""
"Rarely ","2014","vocational + Abi","","","",""
"Rarely ","2014","higher vocational","","","",""
"Rarely ","2014","higher education","","","",""
"Never","2014","in school","","","",""
"Never","2014","inadequately","","","",""
"Never","2014","general elemantary","","","",""
"Never","2014","middle vocational","","","",""
"Never","2014","vocational + Abi","","","",""
"Never","2014","higher vocational","","","",""
"Never","2014","higher education","","","",""
"Very often","2015","in school","","","",""
"Very often","2015","inadequately","","","",""
"Very often","2015","general elemantary","","","",""
"Very often","2015","middle vocational","","","",""
"Very often","2015","vocational + Abi","","","",""
"Very often","2015","higher vocational","","","",""
"Very often","2015","higher education","","","",""
"Often","2015","in school","","","",""
"Often","2015","inadequately","","","",""
"Often","2015","general elemantary","","","",""
"Often","2015","middle vocational","","","",""
"Often","2015","vocational + Abi","","","",""
"Often","2015","higher vocational","","","",""
"Often","2015","higher education","","","",""
"Sometimes","2015","in school","","","",""
"Sometimes","2015","inadequately","","","",""
"Sometimes","2015","general elemantary","","","",""
"Sometimes","2015","middle vocational","","","",""
"Sometimes","2015","vocational + Abi","","","",""
