"plj0587","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","East Germany","Female","432","0.120306845183745","0.108899006955798","0.131714683411692","5"
"Never","2013","East Germany","Male","399","0.135152666811688","0.122038923148601","0.148266410474775","5"
"Never","2013","West Germany","Female","1987","0.177795758934081","0.170612783528582","0.18497873433958","5"
"Never","2013","West Germany","Male","1795","0.184952470473122","0.176908279488756","0.192996661457488","5"
"Often","2013","East Germany","Male","209","0.082712766974423","0.0721474238898021","0.0932781100590439","2"
"Often","2013","East Germany","Female","350","0.120153746077651","0.108752176789796","0.131555315365507","2"
"Often","2013","West Germany","Female","951","0.0901052328094003","0.084725949537642","0.0954845160811587","2"
"Often","2013","West Germany","Male","610","0.0700758270620046","0.0647868860705662","0.0753647680534431","2"
"Rarely ","2013","West Germany","Female","3999","0.362250106169084","0.353220199061356","0.371280013276811","4"
"Rarely ","2013","East Germany","Female","1076","0.343768333981107","0.327112970896286","0.360423697065929","4"
"Rarely ","2013","East Germany","Male","1035","0.38751326487561","0.368826406873028","0.406200122878193","4"
"Rarely ","2013","West Germany","Male","3615","0.396720482581906","0.386584579739912","0.406856385423899","4"
"Sometimes","2013","East Germany","Female","1189","0.393604990712922","0.376473281832869","0.410736699592976","3"
"Sometimes","2013","East Germany","Male","927","0.377470366643815","0.358876654583125","0.396064078704505","3"
"Sometimes","2013","West Germany","Male","2814","0.333554086419511","0.323785619177237","0.343322553661784","3"
"Sometimes","2013","West Germany","Female","3697","0.344812277661033","0.335882758770649","0.353741796551417","3"
"Very often","2013","West Germany","Male","115","0.0146971334634573","0.0122039052708147","0.0171903616560999","1"
"Very often","2013","West Germany","Female","250","0.025036624426402","0.0221014368359212","0.0279718120168828","1"
"Very often","2013","East Germany","Male","41","0.0171509346944631","0.0121709046112717","0.0221309647776545","1"
"Very often","2013","East Germany","Female","77","0.0221660840445741","0.0170034705235231","0.0273286975656251","1"
"Never","2014","East Germany","Male","","","","","5"
"Never","2014","East Germany","Female","","","","","5"
"Never","2014","West Germany","Female","","","","","5"
"Never","2014","West Germany","Male","","","","","5"
"Often","2014","East Germany","Male","","","","","2"
"Often","2014","West Germany","Female","","","","","2"
"Often","2014","East Germany","Female","","","","","2"
"Often","2014","West Germany","Male","","","","","2"
"Rarely ","2014","East Germany","Male","","","","","4"
"Rarely ","2014","West Germany","Male","","","","","4"
"Rarely ","2014","West Germany","Female","","","","","4"
"Rarely ","2014","East Germany","Female","","","","","4"
"Sometimes","2014","East Germany","Male","","","","","3"
"Sometimes","2014","East Germany","Female","","","","","3"
"Sometimes","2014","West Germany","Male","","","","","3"
"Sometimes","2014","West Germany","Female","","","","","3"
"Very often","2014","West Germany","Male","","","","","1"
"Very often","2014","West Germany","Female","","","","","1"
"Very often","2014","East Germany","Male","","","","","1"
"Very often","2014","East Germany","Female","","","","","1"
"Never","2015","East Germany","Female","","","","","5"
"Never","2015","East Germany","Male","","","","","5"
"Never","2015","West Germany","Female","","","","","5"
"Never","2015","West Germany","Male","","","","","5"
"Often","2015","East Germany","Male","","","","","2"
"Often","2015","West Germany","Female","","","","","2"
"Often","2015","East Germany","Female","","","","","2"
"Often","2015","West Germany","Male","","","","","2"
"Rarely ","2015","West Germany","Male","","","","","4"
"Rarely ","2015","West Germany","Female","","","","","4"
"Rarely ","2015","East Germany","Male","","","","","4"
"Rarely ","2015","East Germany","Female","","","","","4"
"Sometimes","2015","East Germany","Female","","","","","3"
"Sometimes","2015","East Germany","Male","","","","","3"
"Sometimes","2015","West Germany","Female","","","","","3"
"Sometimes","2015","West Germany","Male","","","","","3"
"Very often","2015","East Germany","Female","","","","","1"
"Very often","2015","West Germany","Male","","","","","1"
"Very often","2015","West Germany","Female","","","","","1"
"Very often","2015","East Germany","Male","","","","","1"
"Never","2016","East Germany","Male","98","0.163117593735282","0.130133299652139","0.196101887818426","5"
"Never","2016","West Germany","Female","267","0.171496319168576","0.151359068148182","0.191633570188971","5"
"Never","2016","East Germany","Female","41","0.16317744758302","0.119262699598892","0.207092195567148","5"
"Never","2016","West Germany","Male","492","0.191587496169601","0.175070907615162","0.208104084724039","5"
"Often","2016","West Germany","Female","234","0.2108737701475","0.189081118236211","0.232666422058789","2"
"Often","2016","East Germany","Male","87","0.212108983697599","0.175613663551932","0.248604303843266","2"
"Often","2016","East Germany","Female","61","0.178687795276141","0.133161194780342","0.224214395771941","2"
"Often","2016","West Germany","Male","408","0.20204754278631","0.185196159646459","0.218898925926162","2"
"Rarely ","2016","East Germany","Female","44","0.144211573355792","0.102462494185099","0.185960652526485","4"
"Rarely ","2016","West Germany","Male","328","0.13209909712728","0.117888731478376","0.146309462776184","4"
"Rarely ","2016","West Germany","Female","206","0.137242011482768","0.118859129755531","0.155624893210005","4"
"Rarely ","2016","East Germany","Male","62","0.113950465395602","0.085583581937691","0.142317348853514","4"
"Sometimes","2016","East Germany","Female","88","0.37579025933237","0.318232792868466","0.433347725796273","3"
"Sometimes","2016","West Germany","Female","402","0.309723216337493","0.285021673783806","0.334424758891179","3"
"Sometimes","2016","East Germany","Male","151","0.315216873728547","0.273740018021352","0.356693729435743","3"
"Sometimes","2016","West Germany","Male","631","0.299626437759101","0.280401046112968","0.318851829405234","3"
"Very often","2016","East Germany","Female","38","0.138132924452677","0.0971283426050603","0.179137506300293","1"
"Very often","2016","West Germany","Male","322","0.174639426157708","0.158705849805325","0.19057300251009","1"
"Very often","2016","East Germany","Male","84","0.195606083442969","0.160194109225472","0.231018057660466","1"
"Very often","2016","West Germany","Female","237","0.170664682863663","0.150566237286955","0.190763128440371","1"
"Never","2017","West Germany","Female","2426","0.195101771474198","0.188130799886733","0.202072743061663","5"
"Never","2017","East Germany","Male","527","0.173250874210987","0.159056644461769","0.187445103960204","5"
"Never","2017","East Germany","Female","580","0.18124182097543","0.167814969266837","0.194668672684023","5"
"Never","2017","West Germany","Male","2355","0.199256673571784","0.191864329160884","0.206649017982685","5"
"Often","2017","West Germany","Male","913","0.0614907818772789","0.0570449465787683","0.0659366171757895","2"
"Often","2017","West Germany","Female","1161","0.0844210004109566","0.0795303639751547","0.0893116368467585","2"
"Often","2017","East Germany","Male","223","0.0790933668131425","0.0689713961806784","0.0892153374456066","2"
"Often","2017","East Germany","Female","309","0.0970314958893483","0.0867143440374564","0.10734864774124","2"
"Rarely ","2017","East Germany","Female","1110","0.332693804166593","0.316270819276068","0.349116789057118","4"
"Rarely ","2017","West Germany","Male","4238","0.428725995445025","0.419567139452669","0.43788485143738","4"
"Rarely ","2017","East Germany","Male","1104","0.410835125591313","0.392383295444676","0.42928695573795","4"
"Rarely ","2017","West Germany","Female","4383","0.376685674167155","0.368161833428993","0.385209514905317","4"
"Sometimes","2017","East Germany","Female","1080","0.366915891696542","0.350116980849122","0.383714802543963","3"
"Sometimes","2017","East Germany","Male","820","0.324722706002711","0.307160274511338","0.342285137494084","3"
"Sometimes","2017","West Germany","Female","3997","0.318936375364345","0.310737805718022","0.327134945010667","3"
"Sometimes","2017","West Germany","Male","3363","0.295474045242295","0.287030258458589","0.303917832026001","3"
"Very often","2017","East Germany","Female","83","0.0221169872720861","0.0169910463895896","0.0272429281545827","1"
"Very often","2017","East Germany","Male","57","0.012097927381847","0.0079977780366062","0.0161980767270878","1"
"Very often","2017","West Germany","Female","447","0.0248551785833457","0.022116536838337","0.0275938203283544","1"
"Very often","2017","West Germany","Male","347","0.0150525038636168","0.0127990949668643","0.0173059127603694","1"
"Never","2018","West Germany","Male","51","0.307527956373299","0.239925107347739","0.37513080539886","5"
"Never","2018","West Germany","Female","38","0.183867847339115","0.129216285699852","0.238519408978378","5"
"Never","2018","East Germany","Male","8","","","","5"
"Never","2018","East Germany","Female","7","","","","5"
"Often","2018","West Germany","Male","28","","","","2"
"Often","2018","East Germany","Male","4","","","","2"
"Often","2018","East Germany","Female","10","","","","2"
"Often","2018","West Germany","Female","37","0.237919369294813","0.177845611633394","0.297993126956233","2"
"Rarely ","2018","East Germany","Female","3","","","","4"
"Rarely ","2018","West Germany","Male","21","","","","4"
"Rarely ","2018","East Germany","Male","1","","","","4"
"Rarely ","2018","West Germany","Female","27","","","","4"
"Sometimes","2018","East Germany","Male","3","","","","3"
"Sometimes","2018","East Germany","Female","7","","","","3"
"Sometimes","2018","West Germany","Male","51","0.300910115701189","0.233719831453252","0.368100399949126","3"
"Sometimes","2018","West Germany","Female","68","0.346741856201966","0.279596653744157","0.413887058659774","3"
"Very often","2018","East Germany","Female","5","","","","1"
"Very often","2018","East Germany","Male","","","","","1"
"Very often","2018","West Germany","Male","28","","","","1"
"Very often","2018","West Germany","Female","23","","","","1"
"Never","2019","West Germany","Male","26","","","","5"
"Never","2019","West Germany","Female","19","","","","5"
"Never","2019","East Germany","Male","3","","","","5"
"Never","2019","East Germany","Female","3","","","","5"
"Often","2019","East Germany","Female","2","","","","2"
"Often","2019","West Germany","Female","32","0.213634502816188","0.14344690718408","0.283822098448296","2"
"Often","2019","West Germany","Male","26","","","","2"
"Often","2019","East Germany","Male","2","","","","2"
"Rarely ","2019","East Germany","Female","","","","","4"
"Rarely ","2019","East Germany","Male","","","","","4"
"Rarely ","2019","West Germany","Male","10","","","","4"
"Rarely ","2019","West Germany","Female","16","","","","4"
"Sometimes","2019","East Germany","Male","4","","","","3"
"Sometimes","2019","East Germany","Female","5","","","","3"
"Sometimes","2019","West Germany","Female","49","0.371854706807938","0.289093056975044","0.454616356640833","3"
"Sometimes","2019","West Germany","Male","40","0.282079131978076","0.202226002022139","0.361932261934012","3"
"Very often","2019","East Germany","Female","1","","","","1"
"Very often","2019","East Germany","Male","3","","","","1"
"Very often","2019","West Germany","Female","15","","","","1"
"Very often","2019","West Germany","Male","20","","","","1"
