"plj0587","year","sex","n","percent","lower_confidence","upper_confidence"
"Very often","2013","Male","156","0.0151747115891048","0.0129462302961525","0.0174031928820571"
"Very often","2013","Female","327","0.0244948971830695","0.0219350584408765","0.0270547359252626"
"Often","2013","Male","819","0.0725353278565411","0.067807162558931","0.0772634931541512"
"Often","2013","Female","1301","0.0957759763258819","0.0909026405110869","0.100649312140677"
"Sometimes","2013","Male","3741","0.342101418831736","0.333453211624673","0.3507496260388"
"Sometimes","2013","Female","4886","0.354020419132808","0.346101177842704","0.361939660422911"
"Rarely ","2013","Male","4650","0.394928501341111","0.386017392242651","0.40383961043957"
"Rarely ","2013","Female","5075","0.35876223344565","0.350819446188493","0.366705020702808"
"Never","2013","Male","2194","0.175260040381507","0.16832946731864","0.182190613444373"
"Never","2013","Female","2419","0.166946473912591","0.160770789377934","0.173122158447247"
"Very often","2014","Male","","","",""
"Very often","2014","Female","","","",""
"Often","2014","Male","","","",""
"Often","2014","Female","","","",""
"Sometimes","2014","Male","","","",""
"Sometimes","2014","Female","","","",""
"Rarely ","2014","Male","","","",""
"Rarely ","2014","Female","","","",""
"Never","2014","Male","","","",""
"Never","2014","Female","","","",""
"Very often","2015","Male","","","",""
"Very often","2015","Female","","","",""
"Often","2015","Male","","","",""
"Often","2015","Female","","","",""
"Sometimes","2015","Male","","","",""
"Sometimes","2015","Female","","","",""
"Rarely ","2015","Male","","","",""
"Rarely ","2015","Female","","","",""
"Never","2015","Male","","","",""
"Never","2015","Female","","","",""
"Very often","2016","Male","406","0.178442564327126","0.163900344646626","0.192984784007627"
"Very often","2016","Female","275","0.164926585949294","0.146843751945896","0.183009419952693"
"Often","2016","Male","495","0.203872585731805","0.188571113699671","0.219174057763938"
"Often","2016","Female","295","0.20519666407896","0.185518987373413","0.224874340784507"
"Sometimes","2016","Male","782","0.302454384117292","0.285009071490914","0.31989969674367"
"Sometimes","2016","Female","490","0.321376416596792","0.298621234858763","0.344131598334821"
"Rarely ","2016","Male","390","0.128807120102884","0.116084117922042","0.141530122283726"
"Rarely ","2016","Female","250","0.138471333948921","0.121641740045561","0.155300927852282"
"Never","2016","Male","590","0.186423345720893","0.171631856691631","0.201214834750155"
"Never","2016","Female","308","0.170028999426032","0.151724755650467","0.188333243201597"
"Very often","2017","Male","404","0.0145385322840108","0.0125520358169363","0.0165250287510853"
"Very often","2017","Female","530","0.0243853604546252","0.021963083118358","0.0268076377908924"
"Often","2017","Male","1136","0.0645528885583744","0.0604746263029107","0.0686311508138381"
"Often","2017","Female","1470","0.0865847058334135","0.0821682402112866","0.0910011714555404"
"Sometimes","2017","Male","4183","0.300562077474714","0.292952695764005","0.308171459185423"
"Sometimes","2017","Female","5077","0.327168687872027","0.319800527243249","0.334536848500805"
"Rarely ","2017","Male","5342","0.425613739358247","0.417408003525385","0.43381947519111"
"Rarely ","2017","Female","5493","0.369137560944535","0.361559090237607","0.376716031651464"
"Never","2017","Male","2882","0.194732762324654","0.188160767422597","0.20130475722671"
"Never","2017","Female","3006","0.192723684895399","0.186529291651643","0.198918078139155"
"Very often","2018","Male","","","",""
"Very often","2018","Female","","","",""
"Often","2018","Male","32","0.180493806200008","0.126513162737956","0.234474449662061"
"Often","2018","Female","47","0.258177944316098","0.200995031756065","0.315360856876131"
"Sometimes","2018","Male","54","0.294226510925254","0.23026711450608","0.358185907344428"
"Sometimes","2018","Female","75","0.319206619507327","0.258294959046925","0.380118279967729"
"Rarely ","2018","Male","","","",""
"Rarely ","2018","Female","30","0.124166991218882","0.0810775794638533","0.167256402973911"
"Never","2018","Male","59","0.324163105300301","0.258467922458683","0.389858288141919"
"Never","2018","Female","45","0.191503295002225","0.140088976389921","0.242917613614529"
"Very often","2019","Male","","","",""
"Very often","2019","Female","","","",""
"Often","2019","Male","","","",""
"Often","2019","Female","34","0.207432661056043","0.140742683091212","0.274122639020874"
"Sometimes","2019","Male","44","0.304048567543713","0.226163062714154","0.381934072373273"
"Sometimes","2019","Female","54","0.399047640873345","0.318503062055048","0.479592219691642"
"Rarely ","2019","Male","","","",""
"Rarely ","2019","Female","","","",""
"Never","2019","Male","","","",""
"Never","2019","Female","","","",""
