"plj0587","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Very often","2013","Urban Area","Male","100","0.0146823170150666","0.0119344568974149","0.0174301771327184"
"Very often","2013","Urban Area","Female","207","0.0244960569846664","0.0213114018105668","0.027680712158766"
"Very often","2013","Rural Area","Male","56","0.0161418518963964","0.0123306112781421","0.0199530925146508"
"Very often","2013","Rural Area","Female","120","0.0244924939830553","0.0201895029180474","0.0287954850480631"
"Often","2013","Urban Area","Male","508","0.0728107327619719","0.0668747711644628","0.0787466943594809"
"Often","2013","Urban Area","Female","843","0.0915057559652316","0.0855657742893176","0.0974457376411457"
"Often","2013","Rural Area","Male","311","0.0719943893513022","0.0641772460567224","0.079811532645882"
"Often","2013","Rural Area","Female","458","0.104624208350372","0.0961038590773116","0.113144557623432"
"Sometimes","2013","Urban Area","Male","2359","0.33652441895877","0.325729237494375","0.347319600423165"
"Sometimes","2013","Urban Area","Female","3102","0.350901953827277","0.341069818381097","0.360734089273457"
"Sometimes","2013","Rural Area","Male","1382","0.353055522827382","0.338601842158075","0.36750920349669"
"Sometimes","2013","Rural Area","Female","1784","0.360482124209651","0.347115958455118","0.373848289964184"
"Rarely ","2013","Urban Area","Male","2949","0.397399483015465","0.38621959167157","0.40857937435936"
"Rarely ","2013","Urban Area","Female","3278","0.362147102748667","0.352245566484966","0.372048639012368"
"Rarely ","2013","Rural Area","Male","1701","0.390075105097834","0.375323620066334","0.404826590129335"
"Rarely ","2013","Rural Area","Female","1797","0.351748518359269","0.338455410488192","0.365041626230346"
"Never","2013","Urban Area","Male","1444","0.178583048248726","0.169832986248305","0.187333110249148"
"Never","2013","Urban Area","Female","1621","0.170949130474158","0.163193379676261","0.178704881272054"
"Never","2013","Rural Area","Male","750","0.168733130827085","0.157406679472371","0.180059582181798"
"Never","2013","Rural Area","Female","798","0.158652655097653","0.148481975618013","0.168823334577292"
"Very often","2014","Urban Area","Male","","","",""
"Very often","2014","Urban Area","Female","","","",""
"Very often","2014","Rural Area","Male","","","",""
"Very often","2014","Rural Area","Female","","","",""
"Often","2014","Urban Area","Male","","","",""
"Often","2014","Urban Area","Female","","","",""
"Often","2014","Rural Area","Male","","","",""
"Often","2014","Rural Area","Female","","","",""
"Sometimes","2014","Urban Area","Male","","","",""
"Sometimes","2014","Urban Area","Female","","","",""
"Sometimes","2014","Rural Area","Male","","","",""
"Sometimes","2014","Rural Area","Female","","","",""
"Rarely ","2014","Urban Area","Male","","","",""
"Rarely ","2014","Urban Area","Female","","","",""
"Rarely ","2014","Rural Area","Male","","","",""
"Rarely ","2014","Rural Area","Female","","","",""
"Never","2014","Urban Area","Male","","","",""
"Never","2014","Urban Area","Female","","","",""
"Never","2014","Rural Area","Male","","","",""
"Never","2014","Rural Area","Female","","","",""
"Very often","2015","Urban Area","Male","","","",""
"Very often","2015","Urban Area","Female","","","",""
"Very often","2015","Rural Area","Male","","","",""
"Very often","2015","Rural Area","Female","","","",""
"Often","2015","Urban Area","Male","","","",""
"Often","2015","Urban Area","Female","","","",""
"Often","2015","Rural Area","Male","","","",""
"Often","2015","Rural Area","Female","","","",""
"Sometimes","2015","Urban Area","Male","","","",""
"Sometimes","2015","Urban Area","Female","","","",""
"Sometimes","2015","Rural Area","Male","","","",""
"Sometimes","2015","Rural Area","Female","","","",""
"Rarely ","2015","Urban Area","Male","","","",""
"Rarely ","2015","Urban Area","Female","","","",""
"Rarely ","2015","Rural Area","Male","","","",""
"Rarely ","2015","Rural Area","Female","","","",""
"Never","2015","Urban Area","Male","","","",""
"Never","2015","Urban Area","Female","","","",""
"Never","2015","Rural Area","Male","","","",""
