"plj0587","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","(Married) couple without C. ","1452","0.182748499513309","0.174085016563057","0.191411982463561","5"
"Never","2013","Couple + C. LE 16 ","1144","0.163277610195595","0.154281658524258","0.172273561866931","5"
"Never","2013","Couple + C. GT 16 ","587","0.189573151056467","0.175010621743504","0.204135680369429","5"
"Never","2013","Couple + C. LE and GT 16","406","0.215882022702448","0.197926663958694","0.233837381446203","5"
"Never","2013","Single parent ","421","0.192212357716986","0.177092409392044","0.207332306041929","5"
"Never","2013","1-pers.-HH","507","0.13263687066782","0.121527779205365","0.143745962130275","5"
"Often","2013","(Married) couple without C. ","506","0.0693844603135444","0.0636880139928537","0.075080906634235","2"
"Often","2013","1-pers.-HH","416","0.115258025142973","0.10479903307754","0.125717017208405","2"
"Often","2013","Single parent ","294","0.106669084495656","0.0948240448880226","0.11851412410329","2"
"Often","2013","Couple + C. LE 16 ","544","0.0790564408906985","0.0724892712112357","0.0856236105701613","2"
"Often","2013","Couple + C. GT 16 ","179","0.0691876074555555","0.0597592351705126","0.0786159797405984","2"
"Often","2013","Couple + C. LE and GT 16","139","0.0647820667500701","0.0540402199409179","0.0755239135592222","2"
"Rarely ","2013","(Married) couple without C. ","3134","0.405313355662286","0.394307411587403","0.416319299737169","4"
"Rarely ","2013","1-pers.-HH","1157","0.327416921191964","0.312047077205665","0.342786765178263","4"
"Rarely ","2013","Single parent ","878","0.324549777130517","0.30658390171463","0.342515652546405","4"
"Rarely ","2013","Couple + C. LE 16 ","2473","0.38342192692042","0.371588089140269","0.39525576470057","4"
"Rarely ","2013","Couple + C. GT 16 ","1115","0.405118777457088","0.386879912622091","0.423357642292086","4"
"Rarely ","2013","Couple + C. LE and GT 16","812","0.398633456054126","0.377266057736594","0.420000854371658","4"
"Sometimes","2013","(Married) couple without C. ","2470","0.331282970072234","0.320731608659523","0.341834331484945","3"
"Sometimes","2013","Single parent ","932","0.346043324955759","0.327789630439745","0.364297019471773","3"
"Sometimes","2013","Couple + C. LE and GT 16","632","0.310134412603916","0.289948315323495","0.330320509884338","3"
"Sometimes","2013","Couple + C. GT 16 ","882","0.329026900720827","0.3115702973073","0.346483504134355","3"
"Sometimes","2013","1-pers.-HH","1343","0.382578846986716","0.366660529596379","0.398497164377052","3"
"Sometimes","2013","Couple + C. LE 16 ","2230","0.36135709874076","0.349665054748246","0.373049142733273","3"
"Very often","2013","1-pers.-HH","158","0.0421093360105277","0.0355313476988687","0.0486873243221867","1"
"Very often","2013","(Married) couple without C. ","82","0.0112707144386268","0.00890423805934557","0.0136371908179081","1"
"Very often","2013","Single parent ","84","0.0305254557010808","0.0239244465533808","0.0371264648487808","1"
"Very often","2013","Couple + C. LE 16 ","94","0.0128869232525277","0.0101418674682727","0.0156319790367827","1"
"Very often","2013","Couple + C. GT 16 ","20","","","","1"
"Very often","2013","Couple + C. LE and GT 16","28","","","","1"
"Never","2014","(Married) couple without C. ","","","","","5"
"Never","2014","Couple + C. LE and GT 16","","","","","5"
"Never","2014","Single parent ","","","","","5"
"Never","2014","1-pers.-HH","","","","","5"
"Never","2014","Couple + C. GT 16 ","","","","","5"
"Never","2014","Couple + C. LE 16 ","","","","","5"
"Often","2014","(Married) couple without C. ","","","","","2"
"Often","2014","Single parent ","","","","","2"
"Often","2014","Couple + C. LE 16 ","","","","","2"
"Often","2014","1-pers.-HH","","","","","2"
"Often","2014","Couple + C. GT 16 ","","","","","2"
"Often","2014","Couple + C. LE and GT 16","","","","","2"
"Rarely ","2014","(Married) couple without C. ","","","","","4"
"Rarely ","2014","Couple + C. GT 16 ","","","","","4"
"Rarely ","2014","Couple + C. LE and GT 16","","","","","4"
"Rarely ","2014","1-pers.-HH","","","","","4"
"Rarely ","2014","Single parent ","","","","","4"
"Rarely ","2014","Couple + C. LE 16 ","","","","","4"
"Sometimes","2014","(Married) couple without C. ","","","","","3"
"Sometimes","2014","Single parent ","","","","","3"
"Sometimes","2014","1-pers.-HH","","","","","3"
"Sometimes","2014","Couple + C. LE 16 ","","","","","3"
"Sometimes","2014","Couple + C. GT 16 ","","","","","3"
"Sometimes","2014","Couple + C. LE and GT 16","","","","","3"
"Very often","2014","Single parent ","","","","","1"
"Very often","2014","1-pers.-HH","","","","","1"
"Very often","2014","(Married) couple without C. ","","","","","1"
"Very often","2014","Couple + C. LE 16 ","","","","","1"
"Very often","2014","Couple + C. GT 16 ","","","","","1"
"Very often","2014","Couple + C. LE and GT 16","","","","","1"
"Never","2015","(Married) couple without C. ","","","","","5"
"Never","2015","Single parent ","","","","","5"
"Never","2015","Couple + C. GT 16 ","","","","","5"
"Never","2015","Couple + C. LE and GT 16","","","","","5"
"Never","2015","1-pers.-HH","","","","","5"
"Never","2015","Couple + C. LE 16 ","","","","","5"
"Often","2015","Couple + C. LE 16 ","","","","","2"
"Often","2015","1-pers.-HH","","","","","2"
"Often","2015","Single parent ","","","","","2"
"Often","2015","(Married) couple without C. ","","","","","2"
"Often","2015","Couple + C. GT 16 ","","","","","2"
