"plj0587","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","Couple + C. GT 16 ","Female","255","0.171035547732333","0.150714933166243","0.191356162298423","5"
"Never","2013","(Married) couple without C. ","Male","743","0.188106672606814","0.175678072991256","0.200535272222372","5"
"Never","2013","(Married) couple without C. ","Female","709","0.177256618648563","0.165187463229175","0.18932577406795","5"
"Never","2013","Couple + C. GT 16 ","Male","332","0.204489462357981","0.183829192605091","0.22514973211087","5"
"Never","2013","1-pers.-HH","Female","304","0.14417827304322","0.129045989099551","0.159310556986889","5"
"Never","2013","Single parent ","Male","102","0.245946793019023","0.209523221710441","0.282370364327605","5"
"Never","2013","Single parent ","Female","319","0.169309295967195","0.15316149853886","0.18545709339553","5"
"Never","2013","Couple + C. LE 16 ","Male","573","0.165181997613942","0.152078182203028","0.178285813024856","5"
"Never","2013","Couple + C. LE 16 ","Female","571","0.161341641430627","0.14897720267076","0.173706080190495","5"
"Never","2013","1-pers.-HH","Male","203","0.117996571549206","0.10173038720214","0.134262755896273","5"
"Never","2013","Couple + C. LE and GT 16","Male","202","0.225592860171721","0.199437486032822","0.25174823431062","5"
"Never","2013","Couple + C. LE and GT 16","Female","204","0.205667901747107","0.181055583153291","0.230280220340924","5"
"Often","2013","(Married) couple without C. ","Male","199","0.0525463203488869","0.0454502034906167","0.0596424372071572","2"
"Often","2013","Single parent ","Male","50","0.0876745947726142","0.0637539591199996","0.111595230425229","2"
"Often","2013","Single parent ","Female","244","0.114765046955992","0.10104083832047","0.128489255591513","2"
"Often","2013","(Married) couple without C. ","Female","307","0.0866427789710569","0.0777522014918662","0.0955333564502477","2"
"Often","2013","1-pers.-HH","Female","244","0.118088165933401","0.104186120862366","0.131990211004435","2"
"Often","2013","Couple + C. LE 16 ","Female","318","0.0866889568609098","0.0772309445392474","0.0961469691825723","2"
"Often","2013","1-pers.-HH","Male","172","0.111667984143451","0.095787349502478","0.127548618784425","2"
"Often","2013","Couple + C. LE 16 ","Male","226","0.0715484337125693","0.0624534861615174","0.0806433812636212","2"
"Often","2013","Couple + C. GT 16 ","Male","90","0.0625262422841197","0.050124340804292","0.0749281437639475","2"
"Often","2013","Couple + C. GT 16 ","Female","89","0.077466178655175","0.0630392824163963","0.0918930748939538","2"
"Often","2013","Couple + C. LE and GT 16","Male","68","0.0665812102063134","0.0509810988210994","0.0821813215915274","2"
"Often","2013","Couple + C. LE and GT 16","Female","71","0.0628896791021222","0.0481069961293035","0.0776723620749409","2"
"Rarely ","2013","(Married) couple without C. ","Male","1649","0.434054460580473","0.418291781149975","0.449817140010971","4"
"Rarely ","2013","1-pers.-HH","Female","697","0.339372594883618","0.318974970235881","0.359770219531355","4"
"Rarely ","2013","(Married) couple without C. ","Female","1485","0.375855045641808","0.360547823830273","0.391162267453343","4"
"Rarely ","2013","1-pers.-HH","Male","460","0.312251117824478","0.288885202079965","0.335617033568991","4"
"Rarely ","2013","Single parent ","Male","209","0.372062625441899","0.331181095747068","0.412944155136729","4"
"Rarely ","2013","Single parent ","Female","669","0.3042985231131","0.284487148942969","0.324109897283231","4"
"Rarely ","2013","Couple + C. LE 16 ","Male","1260","0.402656647011466","0.385350517043445","0.419962776979487","4"
"Rarely ","2013","Couple + C. LE 16 ","Female","1213","0.363868228476296","0.347696581800383","0.38003987515221","4"
"Rarely ","2013","Couple + C. GT 16 ","Male","591","0.425004393816551","0.399681896974141","0.450326890658961","4"
"Rarely ","2013","Couple + C. GT 16 ","Female","524","0.380405451187866","0.354205356962916","0.406605545412815","4"
"Rarely ","2013","Couple + C. LE and GT 16","Male","416","0.402312306112884","0.371626862729586","0.432997749496182","4"
"Rarely ","2013","Couple + C. LE and GT 16","Female","396","0.394763942266503","0.364999390354459","0.424528494178547","4"
"Sometimes","2013","Couple + C. GT 16 ","Female","437","0.359472725686401","0.333577036178622","0.38536841519418","3"
"Sometimes","2013","(Married) couple without C. ","Female","1294","0.347922290125715","0.332868902143771","0.362975678107659","3"
