"plj0587","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"Very often","2013","1-pers.-HH","West Germany","109","0.0410191213946288","0.0335171725780687","0.048521070211189"
"Very often","2013","1-pers.-HH","East Germany","49","0.046428265249598","0.0326510323715112","0.0602054981276848"
"Very often","2013","(Married) couple without C. ","West Germany","66","0.0119199682072569","0.00908815136770745","0.0147517850468063"
"Very often","2013","(Married) couple without C. ","East Germany","16","","",""
"Very often","2013","Single parent ","West Germany","63","0.0302315474312128","0.0228050431299158","0.0376580517325097"
"Very often","2013","Single parent ","East Germany","21","","",""
"Very often","2013","Couple + C. LE 16 ","West Germany","73","0.0127891588068642","0.0097274715479461","0.0158508460657823"
"Very often","2013","Couple + C. LE 16 ","East Germany","21","","",""
"Very often","2013","Couple + C. GT 16 ","West Germany","16","","",""
"Very often","2013","Couple + C. GT 16 ","East Germany","4","","",""
"Very often","2013","Couple + C. LE and GT 16","West Germany","22","","",""
"Very often","2013","Couple + C. LE and GT 16","East Germany","6","","",""
"Often","2013","1-pers.-HH","West Germany","302","0.112569999241315","0.100614868474444","0.124525130008186"
"Often","2013","1-pers.-HH","East Germany","114","0.125906748332649","0.104184865147032","0.147628631518265"
"Often","2013","(Married) couple without C. ","West Germany","329","0.0616590880283192","0.0553826907607344","0.067935485295904"
"Often","2013","(Married) couple without C. ","East Germany","177","0.0995386938720094","0.0864244108806502","0.112652976863369"
"Often","2013","Single parent ","West Germany","221","0.101705580957329","0.0885956028835387","0.114815559031119"
"Often","2013","Single parent ","East Germany","73","0.126676947978943","0.0992995090286395","0.154054386929246"
"Often","2013","Couple + C. LE 16 ","West Germany","418","0.0787474413312186","0.07140834719752","0.0860865354649171"
"Often","2013","Couple + C. LE 16 ","East Germany","126","0.0804307465027482","0.0657093159048913","0.0951521771006051"
"Often","2013","Couple + C. GT 16 ","West Germany","139","0.0664158484551198","0.05606231332238","0.0767693835878595"
"Often","2013","Couple + C. GT 16 ","East Germany","40","0.0834969667967137","0.0606057455315858","0.106388188061842"
"Often","2013","Couple + C. LE and GT 16","West Germany","121","0.0659943980637093","0.0542885064538689","0.0777002896735497"
"Often","2013","Couple + C. LE and GT 16","East Germany","18","","",""
"Sometimes","2013","1-pers.-HH","West Germany","987","0.371442099971624","0.353165552720031","0.389718647223218"
"Sometimes","2013","1-pers.-HH","East Germany","356","0.426697520145349","0.394312359492854","0.459082680797843"
"Sometimes","2013","(Married) couple without C. ","West Germany","1756","0.322681788804052","0.310483043765293","0.33488053384281"
"Sometimes","2013","(Married) couple without C. ","East Germany","714","0.36485572479054","0.343768820302697","0.385942629278384"
"Sometimes","2013","Single parent ","West Germany","716","0.35044880719459","0.329755056745285","0.371142557643895"
"Sometimes","2013","Single parent ","East Germany","216","0.328284843163222","0.289632613484925","0.36693707284152"
"Sometimes","2013","Couple + C. LE 16 ","West Germany","1747","0.35406330948946","0.341032532325537","0.367094086653383"
"Sometimes","2013","Couple + C. LE 16 ","East Germany","483","0.393796936253923","0.367348988692233","0.420244883815613"
"Sometimes","2013","Couple + C. GT 16 ","West Germany","666","0.316535241772683","0.29719574534771","0.335874738197656"
"Sometimes","2013","Couple + C. GT 16 ","East Germany","216","0.393515781834982","0.353090087338021","0.433941476331944"
"Sometimes","2013","Couple + C. LE and GT 16","West Germany","537","0.312246035202853","0.290396548460794","0.334095521944911"
"Sometimes","2013","Couple + C. LE and GT 16","East Germany","95","0.294081100011378","0.241550769710393","0.346611430312363"
"Rarely ","2013","1-pers.-HH","West Germany","892","0.337262569488866","0.319379965135251","0.355145173842481"
"Rarely ","2013","1-pers.-HH","East Germany","265","0.28841298775815","0.258749958551448","0.318076016964853"
"Rarely ","2013","(Married) couple without C. ","West Germany","2305","0.402793077329574","0.389995287736665","0.415590866922483"
"Rarely ","2013","(Married) couple without C. ","East Germany","829","0.415150688889874","0.393566241846514","0.436735135933234"
"Rarely ","2013","Single parent ","West Germany","714","0.33087626065501","0.310467988098685","0.351284533211334"
"Rarely ","2013","Single parent ","East Germany","164","0.299047746617217","0.261362527322873","0.336732965911561"
"Rarely ","2013","Couple + C. LE 16 ","West Germany","1993","0.385379245299116","0.372118050624358","0.398640439973874"
"Rarely ","2013","Couple + C. LE 16 ","East Germany","480","0.37471656294858","0.348514429596852","0.400918696300309"
"Rarely ","2013","Couple + C. GT 16 ","West Germany","900","0.40866004390857","0.388220285195458","0.429099802621683"
"Rarely ","2013","Couple + C. GT 16 ","East Germany","215","0.386836793284194","0.346535536375037","0.427138050193352"
"Rarely ","2013","Couple + C. LE and GT 16","West Germany","684","0.382165244258058","0.359254564036084","0.405075924480032"
"Rarely ","2013","Couple + C. LE and GT 16","East Germany","128","0.523830710495134","0.466250222820164","0.581411198170104"
"Never","2013","1-pers.-HH","West Germany","395","0.137706209903566","0.124672131234371","0.150740288572762"
"Never","2013","1-pers.-HH","East Germany","112","0.112554478514254","0.0918603888112282","0.13324856821728"
"Never","2013","(Married) couple without C. ","West Germany","1186","0.200946077630798","0.190490227234927","0.21140192802667"
"Never","2013","(Married) couple without C. ","East Germany","266","0.111718392420264","0.097919198168685","0.125517586671842"
"Never","2013","Single parent ","West Germany","328","0.186737803761858","0.169835276775426","0.20364033074829"
"Never","2013","Single parent ","East Germany","93","0.214280263445326","0.18050634280466","0.248054184085992"
"Never","2013","Couple + C. LE 16 ","West Germany","943","0.169020845073341","0.158809097330438","0.179232592816243"
"Never","2013","Couple + C. LE 16 ","East Germany","201","0.137734014155878","0.11907932679695","0.156388701514806"
"Never","2013","Couple + C. GT 16 ","West Germany","501","0.200199539292589","0.183561642515766","0.216837436069413"
"Never","2013","Couple + C. GT 16 ","East Germany","86","0.134713833292753","0.10646160949309","0.162966057092415"
"Never","2013","Couple + C. LE and GT 16","West Germany","364","0.228685293756281","0.208883198450866","0.248487389061697"
"Never","2013","Couple + C. LE and GT 16","East Germany","42","0.118546962669604","0.0812782857934251","0.155815639545783"
"Very often","2014","1-pers.-HH","West Germany","","","",""
"Very often","2014","1-pers.-HH","East Germany","","","",""
"Very often","2014","(Married) couple without C. ","West Germany","","","",""
"Very often","2014","(Married) couple without C. ","East Germany","","","",""
"Very often","2014","Single parent ","West Germany","","","",""
"Very often","2014","Single parent ","East Germany","","","",""
"Very often","2014","Couple + C. LE 16 ","West Germany","","","",""
"Very often","2014","Couple + C. LE 16 ","East Germany","","","",""
"Very often","2014","Couple + C. GT 16 ","West Germany","","","",""
"Very often","2014","Couple + C. GT 16 ","East Germany","","","",""
"Very often","2014","Couple + C. LE and GT 16","West Germany","","","",""
"Very often","2014","Couple + C. LE and GT 16","East Germany","","","",""
"Often","2014","1-pers.-HH","West Germany","","","",""
"Often","2014","1-pers.-HH","East Germany","","","",""
"Often","2014","(Married) couple without C. ","West Germany","","","",""
"Often","2014","(Married) couple without C. ","East Germany","","","",""
"Often","2014","Single parent ","West Germany","","","",""
"Often","2014","Single parent ","East Germany","","","",""
"Often","2014","Couple + C. LE 16 ","West Germany","","","",""
"Often","2014","Couple + C. LE 16 ","East Germany","","","",""
"Often","2014","Couple + C. GT 16 ","West Germany","","","",""
"Often","2014","Couple + C. GT 16 ","East Germany","","","",""
"Often","2014","Couple + C. LE and GT 16","West Germany","","","",""
"Often","2014","Couple + C. LE and GT 16","East Germany","","","",""
"Sometimes","2014","1-pers.-HH","West Germany","","","",""
"Sometimes","2014","1-pers.-HH","East Germany","","","",""
"Sometimes","2014","(Married) couple without C. ","West Germany","","","",""
"Sometimes","2014","(Married) couple without C. ","East Germany","","","",""
"Sometimes","2014","Single parent ","West Germany","","","",""
"Sometimes","2014","Single parent ","East Germany","","","",""
"Sometimes","2014","Couple + C. LE 16 ","West Germany","","","",""
"Sometimes","2014","Couple + C. LE 16 ","East Germany","","","",""
"Sometimes","2014","Couple + C. GT 16 ","West Germany","","","",""
"Sometimes","2014","Couple + C. GT 16 ","East Germany","","","",""
"Sometimes","2014","Couple + C. LE and GT 16","West Germany","","","",""
"Sometimes","2014","Couple + C. LE and GT 16","East Germany","","","",""
"Rarely ","2014","1-pers.-HH","West Germany","","","",""
"Rarely ","2014","1-pers.-HH","East Germany","","","",""
"Rarely ","2014","(Married) couple without C. ","West Germany","","","",""
"Rarely ","2014","(Married) couple without C. ","East Germany","","","",""
"Rarely ","2014","Single parent ","West Germany","","","",""
"Rarely ","2014","Single parent ","East Germany","","","",""
"Rarely ","2014","Couple + C. LE 16 ","West Germany","","","",""
"Rarely ","2014","Couple + C. LE 16 ","East Germany","","","",""
"Rarely ","2014","Couple + C. GT 16 ","West Germany","","","",""
"Rarely ","2014","Couple + C. GT 16 ","East Germany","","","",""
"Rarely ","2014","Couple + C. LE and GT 16","West Germany","","","",""
"Rarely ","2014","Couple + C. LE and GT 16","East Germany","","","",""
"Never","2014","1-pers.-HH","West Germany","","","",""
"Never","2014","1-pers.-HH","East Germany","","","",""
"Never","2014","(Married) couple without C. ","West Germany","","","",""
"Never","2014","(Married) couple without C. ","East Germany","","","",""
"Never","2014","Single parent ","West Germany","","","",""
"Never","2014","Single parent ","East Germany","","","",""
"Never","2014","Couple + C. LE 16 ","West Germany","","","",""
"Never","2014","Couple + C. LE 16 ","East Germany","","","",""
"Never","2014","Couple + C. GT 16 ","West Germany","","","",""
"Never","2014","Couple + C. GT 16 ","East Germany","","","",""
"Never","2014","Couple + C. LE and GT 16","West Germany","","","",""
"Never","2014","Couple + C. LE and GT 16","East Germany","","","",""
"Very often","2015","1-pers.-HH","West Germany","","","",""
"Very often","2015","1-pers.-HH","East Germany","","","",""
"Very often","2015","(Married) couple without C. ","West Germany","","","",""
"Very often","2015","(Married) couple without C. ","East Germany","","","",""
"Very often","2015","Single parent ","West Germany","","","",""
"Very often","2015","Single parent ","East Germany","","","",""
"Very often","2015","Couple + C. LE 16 ","West Germany","","","",""
