"plj0587","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Very often","2013","middle vocational","East Germany","71","0.0197615216160783","0.0148285863705189","0.0246944568616378","1"
"Very often","2013","vocational + Abi","West Germany","36","0.0332108016656384","0.024148913483609","0.0422726898476678","1"
"Very often","2013","vocational + Abi","East Germany","3","","","","1"
"Very often","2013","higher vocational","West Germany","13","","","","1"
"Very often","2013","higher vocational","East Germany","4","","","","1"
"Very often","2013","higher education","West Germany","49","0.013629323073599","0.0101943998257386","0.0170642463214593","1"
"Very often","2013","higher education","East Germany","24","","","","1"
"Never","2014","vocational + Abi","East Germany","","","","","5"
"Never","2014","higher education","West Germany","","","","","5"
"Never","2014","in school","West Germany","","","","","5"
"Never","2014","inadequately","East Germany","","","","","5"
"Never","2014","higher vocational","West Germany","","","","","5"
"Never","2014","higher vocational","East Germany","","","","","5"
"Never","2014","higher education","East Germany","","","","","5"
"Never","2014","in school","East Germany","","","","","5"
"Never","2014","inadequately","West Germany","","","","","5"
"Never","2014","general elemantary","West Germany","","","","","5"
"Never","2014","general elemantary","East Germany","","","","","5"
"Never","2014","middle vocational","West Germany","","","","","5"
"Never","2014","middle vocational","East Germany","","","","","5"
"Never","2014","vocational + Abi","West Germany","","","","","5"
"Often","2014","in school","West Germany","","","","","2"
"Often","2014","general elemantary","West Germany","","","","","2"
"Often","2014","in school","East Germany","","","","","2"
"Often","2014","inadequately","East Germany","","","","","2"
"Often","2014","inadequately","West Germany","","","","","2"
"Often","2014","higher vocational","East Germany","","","","","2"
"Often","2014","higher education","West Germany","","","","","2"
"Often","2014","general elemantary","East Germany","","","","","2"
"Often","2014","middle vocational","West Germany","","","","","2"
"Often","2014","middle vocational","East Germany","","","","","2"
"Often","2014","vocational + Abi","West Germany","","","","","2"
"Often","2014","vocational + Abi","East Germany","","","","","2"
"Often","2014","higher vocational","West Germany","","","","","2"
"Often","2014","higher education","East Germany","","","","","2"
"Rarely ","2014","higher vocational","West Germany","","","","","4"
"Rarely ","2014","in school","West Germany","","","","","4"
"Rarely ","2014","in school","East Germany","","","","","4"
"Rarely ","2014","inadequately","West Germany","","","","","4"
"Rarely ","2014","inadequately","East Germany","","","","","4"
"Rarely ","2014","general elemantary","West Germany","","","","","4"
"Rarely ","2014","general elemantary","East Germany","","","","","4"
"Rarely ","2014","middle vocational","West Germany","","","","","4"
"Rarely ","2014","middle vocational","East Germany","","","","","4"
"Rarely ","2014","vocational + Abi","West Germany","","","","","4"
"Rarely ","2014","vocational + Abi","East Germany","","","","","4"
"Rarely ","2014","higher vocational","East Germany","","","","","4"
"Rarely ","2014","higher education","West Germany","","","","","4"
"Rarely ","2014","higher education","East Germany","","","","","4"
"Sometimes","2014","in school","West Germany","","","","","3"
"Sometimes","2014","in school","East Germany","","","","","3"
"Sometimes","2014","inadequately","West Germany","","","","","3"
"Sometimes","2014","inadequately","East Germany","","","","","3"
"Sometimes","2014","general elemantary","West Germany","","","","","3"
"Sometimes","2014","general elemantary","East Germany","","","","","3"
"Sometimes","2014","middle vocational","West Germany","","","","","3"
"Sometimes","2014","middle vocational","East Germany","","","","","3"
"Sometimes","2014","vocational + Abi","West Germany","","","","","3"
"Sometimes","2014","vocational + Abi","East Germany","","","","","3"
"Sometimes","2014","higher vocational","East Germany","","","","","3"
"Sometimes","2014","higher vocational","West Germany","","","","","3"
"Sometimes","2014","higher education","East Germany","","","","","3"
"Sometimes","2014","higher education","West Germany","","","","","3"
"Very often","2014","inadequately","East Germany","","","","","1"
"Very often","2014","general elemantary","West Germany","","","","","1"
"Very often","2014","general elemantary","East Germany","","","","","1"
"Very often","2014","middle vocational","West Germany","","","","","1"
"Very often","2014","middle vocational","East Germany","","","","","1"
"Very often","2014","higher vocational","West Germany","","","","","1"
"Very often","2014","higher vocational","East Germany","","","","","1"
"Very often","2014","higher education","West Germany","","","","","1"
"Very often","2014","in school","West Germany","","","","","1"
"Very often","2014","in school","East Germany","","","","","1"
"Very often","2014","inadequately","West Germany","","","","","1"
"Very often","2014","vocational + Abi","West Germany","","","","","1"
"Very often","2014","vocational + Abi","East Germany","","","","","1"
"Very often","2014","higher education","East Germany","","","","","1"
"Never","2015","in school","West Germany","","","","","5"
"Never","2015","in school","East Germany","","","","","5"
"Never","2015","inadequately","West Germany","","","","","5"
"Never","2015","inadequately","East Germany","","","","","5"
"Never","2015","general elemantary","West Germany","","","","","5"
"Never","2015","general elemantary","East Germany","","","","","5"
"Never","2015","middle vocational","West Germany","","","","","5"
"Never","2015","middle vocational","East Germany","","","","","5"
"Never","2015","vocational + Abi","West Germany","","","","","5"
"Never","2015","vocational + Abi","East Germany","","","","","5"
"Never","2015","higher vocational","West Germany","","","","","5"
"Never","2015","higher vocational","East Germany","","","","","5"
"Never","2015","higher education","West Germany","","","","","5"
"Never","2015","higher education","East Germany","","","","","5"
"Often","2015","in school","West Germany","","","","","2"
"Often","2015","in school","East Germany","","","","","2"
"Often","2015","inadequately","West Germany","","","","","2"
"Often","2015","inadequately","East Germany","","","","","2"
"Often","2015","general elemantary","West Germany","","","","","2"
"Often","2015","general elemantary","East Germany","","","","","2"
"Often","2015","middle vocational","West Germany","","","","","2"
"Often","2015","middle vocational","East Germany","","","","","2"
"Often","2015","vocational + Abi","West Germany","","","","","2"
"Often","2015","vocational + Abi","East Germany","","","","","2"
"Often","2015","higher vocational","West Germany","","","","","2"
"Often","2015","higher vocational","East Germany","","","","","2"
"Often","2015","higher education","West Germany","","","","","2"
"Often","2015","higher education","East Germany","","","","","2"
"Rarely ","2015","in school","West Germany","","","","","4"
"Rarely ","2015","in school","East Germany","","","","","4"
"Rarely ","2015","inadequately","West Germany","","","","","4"
"Rarely ","2015","inadequately","East Germany","","","","","4"
"Rarely ","2015","middle vocational","West Germany","","","","","4"
"Rarely ","2015","general elemantary","West Germany","","","","","4"
"Rarely ","2015","general elemantary","East Germany","","","","","4"
"Rarely ","2015","vocational + Abi","West Germany","","","","","4"
"Rarely ","2015","middle vocational","East Germany","","","","","4"
"Rarely ","2015","higher vocational","West Germany","","","","","4"
"Rarely ","2015","vocational + Abi","East Germany","","","","","4"
"Rarely ","2015","higher vocational","East Germany","","","","","4"
"Rarely ","2015","higher education","West Germany","","","","","4"
"Rarely ","2015","higher education","East Germany","","","","","4"
"Sometimes","2015","in school","West Germany","","","","","3"
"Sometimes","2015","in school","East Germany","","","","","3"
"Sometimes","2015","inadequately","West Germany","","","","","3"
"Sometimes","2015","inadequately","East Germany","","","","","3"
"Sometimes","2015","general elemantary","West Germany","","","","","3"
"Sometimes","2015","general elemantary","East Germany","","","","","3"
"Sometimes","2015","middle vocational","West Germany","","","","","3"
"Sometimes","2015","middle vocational","East Germany","","","","","3"
"Sometimes","2015","vocational + Abi","West Germany","","","","","3"
"Sometimes","2015","vocational + Abi","East Germany","","","","","3"
"Sometimes","2015","higher vocational","West Germany","","","","","3"
"Sometimes","2015","higher vocational","East Germany","","","","","3"
"Sometimes","2015","higher education","East Germany","","","","","3"
"Sometimes","2015","higher education","West Germany","","","","","3"
"Very often","2015","in school","West Germany","","","","","1"
"Very often","2015","in school","East Germany","","","","","1"
"Very often","2015","inadequately","West Germany","","","","","1"
"Very often","2015","inadequately","East Germany","","","","","1"
"Very often","2015","general elemantary","West Germany","","","","","1"
"Very often","2015","general elemantary","East Germany","","","","","1"
"Very often","2015","middle vocational","West Germany","","","","","1"
"Very often","2015","middle vocational","East Germany","","","","","1"
"Very often","2015","vocational + Abi","West Germany","","","","","1"
"Very often","2015","vocational + Abi","East Germany","","","","","1"
"Very often","2015","higher vocational","West Germany","","","","","1"
"Very often","2015","higher vocational","East Germany","","","","","1"
"Very often","2015","higher education","West Germany","","","","","1"
"Very often","2015","higher education","East Germany","","","","","1"
"Never","2016","in school","West Germany","6","","","","5"
"Never","2016","higher vocational","East Germany","","","","","5"
"Never","2016","higher education","West Germany","137","0.209697970817266","0.177807965848571","0.241587975785961","5"
"Never","2016","higher education","East Germany","19","","","","5"
"Never","2016","in school","East Germany","","","","","5"
"Never","2016","inadequately","West Germany","296","0.178360390712262","0.157147037296885","0.199573744127639","5"
"Never","2016","inadequately","East Germany","55","0.181687734127474","0.137078016163018","0.22629745209193","5"
"Never","2016","general elemantary","West Germany","151","0.20183227524367","0.17137243906457","0.232292111422771","5"
"Never","2016","general elemantary","East Germany","25","","","","5"
"Never","2016","vocational + Abi","East Germany","6","","","","5"
"Never","2016","higher vocational","West Germany","","","","","5"
"Never","2016","middle vocational","West Germany","94","0.161225784772211","0.132256181218764","0.190195388325658","5"
"Never","2016","middle vocational","East Germany","27","","","","5"
"Never","2016","vocational + Abi","West Germany","24","","","","5"
"Often","2016","in school","West Germany","3","","","","2"
"Often","2016","in school","East Germany","","","","","2"
"Often","2016","inadequately","West Germany","219","0.198365522010667","0.17626814503003","0.220462898991305","2"
"Often","2016","inadequately","East Germany","61","0.233421764184146","0.184482655132769","0.282360873235523","2"
"Often","2016","general elemantary","West Germany","119","0.197151870727078","0.166959144773975","0.227344596680181","2"
"Often","2016","general elemantary","East Germany","26","","","","2"
"Often","2016","middle vocational","West Germany","131","0.259131472705521","0.224614442616539","0.293648502794503","2"
"Often","2016","vocational + Abi","West Germany","13","","","","2"
"Often","2016","higher vocational","West Germany","","","","","2"
"Often","2016","higher vocational","East Germany","","","","","2"
"Often","2016","vocational + Abi","East Germany","4","","","","2"
"Often","2016","middle vocational","East Germany","27","","","","2"
"Often","2016","higher education","East Germany","23","","","","2"
"Often","2016","higher education","West Germany","101","0.181047401834391","0.150883573860034","0.211211229808747","2"
"Rarely ","2016","in school","East Germany","1","","","","4"
"Rarely ","2016","in school","West Germany","4","","","","4"
"Rarely ","2016","middle vocational","West Germany","105","0.150756425513432","0.122568908774098","0.178943942252767","4"
"Rarely ","2016","general elemantary","West Germany","92","0.129268414690525","0.103807527379879","0.15472930200117","4"
"Rarely ","2016","inadequately","West Germany","184","0.118565323754237","0.100651291661514","0.13647935584696","4"
"Rarely ","2016","inadequately","East Germany","40","0.0959739986112354","0.0618959750992612","0.13005202212321","4"
"Rarely ","2016","general elemantary","East Germany","18","","","","4"
"Rarely ","2016","middle vocational","East Germany","13","","","","4"
"Rarely ","2016","vocational + Abi","West Germany","10","","","","4"
"Rarely ","2016","vocational + Abi","East Germany","3","","","","4"
"Rarely ","2016","higher vocational","West Germany","","","","","4"
"Rarely ","2016","higher vocational","East Germany","","","","","4"
"Rarely ","2016","higher education","West Germany","109","0.16341651358505","0.134452180134155","0.192380847035944","4"
"Rarely ","2016","higher education","East Germany","25","","","","4"
"Sometimes","2016","in school","West Germany","5","","","","3"
"Sometimes","2016","in school","East Germany","1","","","","3"
"Sometimes","2016","inadequately","West Germany","330","0.292407121576669","0.267201051713335","0.317613191440003","3"
"Sometimes","2016","inadequately","East Germany","84","0.275819863864821","0.224113593033886","0.327526134695755","3"
"Sometimes","2016","general elemantary","West Germany","214","0.330949960943491","0.295239484761247","0.366660437125735","3"
"Sometimes","2016","general elemantary","East Germany","57","0.404474104278532","0.325932792957051","0.483015415600012","3"
"Sometimes","2016","middle vocational","West Germany","198","0.285134864037521","0.2495684576632","0.320701270411843","3"
"Sometimes","2016","middle vocational","East Germany","44","0.357005818050571","0.275579754643496","0.438431881457646","3"
"Sometimes","2016","vocational + Abi","West Germany","29","","","","3"
"Sometimes","2016","vocational + Abi","East Germany","3","","","","3"
"Sometimes","2016","higher vocational","West Germany","","","","","3"
"Sometimes","2016","higher vocational","East Germany","","","","","3"
"Sometimes","2016","higher education","West Germany","180","0.267786781883888","0.233099180100787","0.30247438366699","3"
"Sometimes","2016","higher education","East Germany","37","0.315755180167584","0.233611049753469","0.3978993105817","3"
"Very often","2016","general elemantary","East Germany","24","","","","1"
"Very often","2016","middle vocational","West Germany","91","0.143751452971315","0.116113313009948","0.171389592932681","1"
"Very often","2016","middle vocational","East Germany","22","","","","1"
"Very often","2016","inadequately","East Germany","47","0.213096639212324","0.165720884342432","0.260472394082215","1"
"Very often","2016","general elemantary","West Germany","91","0.140797478395236","0.114401948560064","0.167193008230409","1"
"Very often","2016","vocational + Abi","West Germany","10","","","","1"
"Very often","2016","vocational + Abi","East Germany","3","","","","1"
"Very often","2016","higher vocational","West Germany","","","","","1"
"Very often","2016","higher vocational","East Germany","","","","","1"
"Very often","2016","higher education","West Germany","99","0.178051331879405","0.148083461208999","0.208019202549811","1"
"Very often","2016","in school","West Germany","3","","","","1"
"Very often","2016","in school","East Germany","1","","","","1"
"Very often","2016","inadequately","West Germany","222","0.212301641946165","0.189640797856767","0.234962486035563","1"
"Very often","2016","higher education","East Germany","19","","","","1"
"Never","2017","in school","West Germany","77","0.219360118438839","0.176672817729808","0.26204741914787","5"
"Never","2017","in school","East Germany","13","","","","5"
"Never","2017","inadequately","West Germany","294","0.200519547398554","0.180297836938316","0.220741257858792","5"
"Never","2017","inadequately","East Germany","34","0.249555713417397","0.180758747817879","0.318352679016914","5"
"Never","2017","general elemantary","West Germany","582","0.20807032883635","0.193214157422","0.2229265002507","5"
"Never","2017","general elemantary","East Germany","85","0.150944147034688","0.117107280987401","0.184781013081975","5"
"Never","2017","middle vocational","West Germany","2015","0.202343646257688","0.194331761232076","0.210355531283301","5"
"Never","2017","middle vocational","East Germany","556","0.182876917170588","0.168810049171288","0.196943785169888","5"
"Never","2017","vocational + Abi","West Germany","398","0.198221578983516","0.180563461795278","0.215879696171754","5"
"Never","2017","vocational + Abi","East Germany","71","0.184853021460093","0.143097848447519","0.226608194472666","5"
"Never","2017","higher vocational","West Germany","233","0.19732321558152","0.174271418347117","0.220375012815924","5"
"Never","2017","higher vocational","East Germany","78","0.199485165503833","0.160225504086732","0.238744826920934","5"
"Never","2017","higher education","West Germany","1030","0.176436805851052","0.166369942271776","0.186503669430328","5"
