"plj0587","year","e11102","n","percent","lower_confidence","upper_confidence"
"Very often","2013","Not Employed","244","0.0293440207976655","0.0258178833828218","0.0328701582125092"
"Very often","2013","Employed","239","0.0141438766313015","0.0123565725079041","0.015931180754699"
"Often","2013","Not Employed","858","0.0987824266228183","0.0925485037319117","0.105016349513725"
"Often","2013","Employed","1262","0.075643142794971","0.0716408203514115","0.0796454652385305"
"Sometimes","2013","Not Employed","2948","0.342947380830861","0.333029461408551","0.352865300253172"
"Sometimes","2013","Employed","5679","0.351579597168171","0.344352770703178","0.358806423633164"
"Rarely ","2013","Not Employed","3090","0.339669806332278","0.329774806192073","0.349564806472483"
"Rarely ","2013","Employed","6635","0.399100936458922","0.391688694367556","0.406513178550288"
"Never","2013","Not Employed","1660","0.189256365416376","0.181072211725496","0.197440519107256"
"Never","2013","Employed","2953","0.159532446946635","0.153990116095684","0.165074777797586"
"Very often","2014","Not Employed","","","",""
"Very often","2014","Employed","","","",""
"Often","2014","Not Employed","","","",""
"Often","2014","Employed","","","",""
"Sometimes","2014","Not Employed","","","",""
"Sometimes","2014","Employed","","","",""
"Rarely ","2014","Not Employed","","","",""
"Rarely ","2014","Employed","","","",""
"Never","2014","Not Employed","","","",""
"Never","2014","Employed","","","",""
"Very often","2015","Not Employed","","","",""
"Very often","2015","Employed","","","",""
"Often","2015","Not Employed","","","",""
"Often","2015","Employed","","","",""
"Sometimes","2015","Not Employed","","","",""
"Sometimes","2015","Employed","","","",""
"Rarely ","2015","Not Employed","","","",""
"Rarely ","2015","Employed","","","",""
"Never","2015","Not Employed","","","",""
"Never","2015","Employed","","","",""
"Very often","2016","Not Employed","677","0.174988192043934","0.163577060147027","0.186399323940841"
"Very often","2016","Employed","","","",""
"Often","2016","Not Employed","787","0.203974192015274","0.191872517839831","0.216075866190717"
"Often","2016","Employed","","","",""
"Sometimes","2016","Not Employed","1262","0.306837254901664","0.292986739906024","0.320687769897303"
"Sometimes","2016","Employed","","","",""
"Rarely ","2016","Not Employed","640","0.131967458150396","0.121802731589329","0.142132184711463"
"Rarely ","2016","Employed","","","",""
"Never","2016","Not Employed","893","0.182232902888732","0.170639191524717","0.193826614252747"
"Never","2016","Employed","","","",""
"Very often","2017","Not Employed","708","0.0342840687886434","0.0309528150664944","0.0376153225107924"
"Very often","2017","Employed","226","0.0112215318130003","0.00968535662975259","0.012757706996248"
"Often","2017","Not Employed","1429","0.098740661652266","0.0932791892916527","0.104202134012879"
"Often","2017","Employed","1177","0.062784103460812","0.0592464943502817","0.0663217125713422"
"Sometimes","2017","Not Employed","3684","0.324584895541256","0.316012812448803","0.333156978633708"
"Sometimes","2017","Employed","5576","0.308192888021762","0.301458951943948","0.314926824099576"
"Rarely ","2017","Not Employed","3423","0.347241456904648","0.338525222486649","0.355957691322648"
"Rarely ","2017","Employed","7412","0.424906595207784","0.417697494347645","0.432115696067924"
"Never","2017","Not Employed","2217","0.195148917113187","0.187893244575345","0.202404589651029"
"Never","2017","Employed","3671","0.192894881496642","0.187140607007515","0.198649155985768"
"Very often","2018","Not Employed","56","0.107129057031993","0.0775508781032463","0.136707235960739"
"Very often","2018","Employed","","","",""
"Often","2018","Not Employed","79","0.22537946229164","0.185419495493228","0.265339429090051"
"Often","2018","Employed","","","",""
"Sometimes","2018","Not Employed","129","0.308659940839491","0.264481595944363","0.35283828573462"
"Sometimes","2018","Employed","","","",""
"Rarely ","2018","Not Employed","52","0.111318864941327","0.0812386586003434","0.141399071282311"
"Rarely ","2018","Employed","","","",""
"Never","2018","Not Employed","104","0.247512674895549","0.206239130846508","0.28878621894459"
"Never","2018","Employed","","","",""
"Very often","2019","Not Employed","39","0.148324031330998","0.10639290706727","0.190255155594726"
"Very often","2019","Employed","","","",""
"Often","2019","Not Employed","62","0.229903428716749","0.180262617614144","0.279544239819355"
"Often","2019","Employed","","","",""
"Sometimes","2019","Not Employed","98","0.352970088194506","0.296590138910837","0.409350037478175"
"Sometimes","2019","Employed","","","",""
"Rarely ","2019","Not Employed","26","","",""
"Rarely ","2019","Employed","","","",""
"Never","2019","Not Employed","51","0.188667007137153","0.142509632529171","0.234824381745135"
"Never","2019","Employed","","","",""
