"plj0587","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"Never","2013","Employed","Female","1459","0.152423049510299","0.144876832551634","0.159969266468965","5"
"Never","2013","Employed","Male","1494","0.166060517733018","0.157932779591491","0.174188255874545","5"
"Never","2013","Not Employed","Female","960","0.186210447110395","0.175723351665899","0.196697542554892","5"
"Never","2013","Not Employed","Male","700","0.193418388949753","0.180346051594019","0.206490726305487","5"
"Often","2013","Employed","Male","529","0.0685947508519346","0.0630741795487162","0.0741153221551529","2"
"Often","2013","Employed","Female","733","0.083319196142099","0.0775169519914215","0.0891214402927765","2"
"Often","2013","Not Employed","Female","568","0.112298737965587","0.103792882466247","0.120804593464927","2"
"Often","2013","Not Employed","Male","290","0.0803133804298905","0.0713185269148523","0.0893082339449288","2"
"Rarely ","2013","Not Employed","Female","1738","0.319442563693672","0.306881514188507","0.332003613198837","4"
"Rarely ","2013","Employed","Female","3337","0.388405975435023","0.378173305554478","0.398638645315567","4"
"Rarely ","2013","Employed","Male","3298","0.408921383725634","0.39818367111019","0.419659096341079","4"
"Rarely ","2013","Not Employed","Male","1352","0.367308846982806","0.351354031594684","0.383263662370928","4"
"Sometimes","2013","Employed","Female","3031","0.359772682817641","0.349696510453471","0.369848855181811","3"
"Sometimes","2013","Employed","Male","2648","0.344056450015743","0.333680751921636","0.354432148109849","3"
"Sometimes","2013","Not Employed","Male","1093","0.338242507988487","0.322584239540763","0.35390077643621","3"
"Sometimes","2013","Not Employed","Female","1855","0.346390575758276","0.333572013098857","0.359209138417695","3"
"Very often","2013","Not Employed","Male","72","0.0207168756490639","0.0160028008099185","0.0254309504882094","1"
"Very often","2013","Not Employed","Female","172","0.0356576754720692","0.0306620568927539","0.0406532940513845","1"
"Very often","2013","Employed","Male","84","0.0123668976736703","0.00995311901045808","0.0147806763368825","1"
"Very often","2013","Employed","Female","155","0.0160790960949378","0.0134383581590948","0.0187198340307809","1"
"Never","2014","Employed","Male","","","","","5"
"Never","2014","Employed","Female","","","","","5"
"Never","2014","Not Employed","Female","","","","","5"
"Never","2014","Not Employed","Male","","","","","5"
"Often","2014","Employed","Male","","","","","2"
"Often","2014","Not Employed","Female","","","","","2"
"Often","2014","Employed","Female","","","","","2"
"Often","2014","Not Employed","Male","","","","","2"
"Rarely ","2014","Employed","Male","","","","","4"
