"plj0587","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"Very often","2013","Not Employed","no migration background","189","0.027577196638367","0.0238816502141447","0.0312727430625893"
"Very often","2013","Not Employed","direct migration background","53","0.0493756330262811","0.035562474495083","0.0631887915574793"
"Very often","2013","Not Employed","indirect migration background","2","","",""
"Very often","2013","Employed","no migration background","177","0.0139231342264792","0.0119947750468692","0.0158514934060893"
"Very often","2013","Employed","direct migration background","41","0.0112895701425451","0.00628350672379301","0.0162956335612973"
"Very often","2013","Employed","indirect migration background","21","","",""
"Often","2013","Not Employed","no migration background","689","0.093986142796093","0.0874008457379784","0.100571439854208"
"Often","2013","Not Employed","direct migration background","131","0.147415098589817","0.124811791310193","0.170018405869442"
"Often","2013","Not Employed","indirect migration background","38","0.07787239871437","0.0481380739153575","0.107606723513383"
"Often","2013","Employed","no migration background","976","0.0721501232752695","0.067891968574667","0.0764082779758719"
"Often","2013","Employed","direct migration background","190","0.100690147690243","0.0864317326944544","0.114948562686031"
"Often","2013","Employed","indirect migration background","96","0.0972883372597085","0.0776412899048801","0.116935384614537"
"Sometimes","2013","Not Employed","no migration background","2545","0.346814161003478","0.33607320769751","0.357555114309446"
"Sometimes","2013","Not Employed","direct migration background","310","0.306242590433945","0.276854673819454","0.335630507048436"
"Sometimes","2013","Not Employed","indirect migration background","93","0.347815707725232","0.294967464269287","0.400663951181177"
"Sometimes","2013","Employed","no migration background","4829","0.352774860922604","0.344910914554054","0.360638807291155"
"Sometimes","2013","Employed","direct migration background","581","0.366333479596188","0.343504222829582","0.389162736362795"
"Sometimes","2013","Employed","indirect migration background","269","0.285655237147918","0.255707266236879","0.315603208058957"
"Rarely ","2013","Not Employed","no migration background","2695","0.344419528244767","0.333696117899272","0.355142938590262"
"Rarely ","2013","Not Employed","direct migration background","274","0.291170288727994","0.262205079370272","0.320135498085715"
"Rarely ","2013","Not Employed","indirect migration background","121","0.362000479054908","0.30867490456001","0.415326053549805"
"Rarely ","2013","Employed","no migration background","5753","0.408080227683453","0.399991723031247","0.416168732335659"
"Rarely ","2013","Employed","direct migration background","556","0.322327191146181","0.300181890117206","0.344472492175155"
"Rarely ","2013","Employed","indirect migration background","326","0.374535777408998","0.342447953484057","0.406623601333939"
"Never","2013","Not Employed","no migration background","1425","0.187202971317295","0.178400118113283","0.196005824521306"
"Never","2013","Not Employed","direct migration background","177","0.205796389221963","0.18002030211699","0.231572476326936"
"Never","2013","Not Employed","indirect migration background","58","0.200808609089182","0.156357013306874","0.245260204871491"
"Never","2013","Employed","no migration background","2448","0.153071653892194","0.14714602074251","0.158997287041878"
"Never","2013","Employed","direct migration background","343","0.199359611424843","0.180429183876533","0.218290038973153"
"Never","2013","Employed","indirect migration background","162","0.215876790743133","0.188600362164481","0.243153219321785"
"Very often","2014","Not Employed","no migration background","","","",""
"Very often","2014","Not Employed","direct migration background","","","",""
"Very often","2014","Not Employed","indirect migration background","","","",""
"Very often","2014","Employed","no migration background","","","",""
"Very often","2014","Employed","direct migration background","","","",""
"Very often","2014","Employed","indirect migration background","","","",""
"Often","2014","Not Employed","no migration background","","","",""
"Often","2014","Not Employed","direct migration background","","","",""
"Often","2014","Not Employed","indirect migration background","","","",""
"Often","2014","Employed","no migration background","","","",""
"Often","2014","Employed","direct migration background","","","",""
"Often","2014","Employed","indirect migration background","","","",""
"Sometimes","2014","Not Employed","no migration background","","","",""
"Sometimes","2014","Not Employed","direct migration background","","","",""
"Sometimes","2014","Not Employed","indirect migration background","","","",""
"Sometimes","2014","Employed","no migration background","","","",""
"Sometimes","2014","Employed","direct migration background","","","",""
"Sometimes","2014","Employed","indirect migration background","","","",""
"Rarely ","2014","Not Employed","no migration background","","","",""
"Rarely ","2014","Not Employed","direct migration background","","","",""
"Rarely ","2014","Not Employed","indirect migration background","","","",""
"Rarely ","2014","Employed","no migration background","","","",""
"Rarely ","2014","Employed","direct migration background","","","",""
"Rarely ","2014","Employed","indirect migration background","","","",""
"Never","2014","Not Employed","no migration background","","","",""
"Never","2014","Not Employed","direct migration background","","","",""
"Never","2014","Not Employed","indirect migration background","","","",""
"Never","2014","Employed","no migration background","","","",""
"Never","2014","Employed","direct migration background","","","",""
"Never","2014","Employed","indirect migration background","","","",""
"Very often","2015","Not Employed","no migration background","","","",""
"Very often","2015","Not Employed","direct migration background","","","",""
"Very often","2015","Not Employed","indirect migration background","","","",""
"Very often","2015","Employed","no migration background","","","",""
"Very often","2015","Employed","direct migration background","","","",""
"Very often","2015","Employed","indirect migration background","","","",""
"Often","2015","Not Employed","no migration background","","","",""
"Often","2015","Not Employed","direct migration background","","","",""
