"plb0218","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"No, never","2005","1-pers.-HH","Male","215","0.287208371205524","0.255061729855964","0.319355012555085"
"No, never","2005","1-pers.-HH","Female","268","0.467071841122149","0.426983712343852","0.507159969900446"
"No, never","2005","(Married) couple without C. ","Male","482","0.313393797264555","0.290426353994927","0.336361240534182"
"No, never","2005","(Married) couple without C. ","Female","742","0.461087375406414","0.436508028338583","0.485666722474245"
"No, never","2005","Single parent ","Male","55","0.337618697700161","0.263410297453726","0.411827097946596"
"No, never","2005","Single parent ","Female","173","0.401105678916244","0.354994340389175","0.447217017443313"
"No, never","2005","Couple + C. LE 16 ","Male","422","0.237264383387869","0.21665050405641","0.257878262719328"
"No, never","2005","Couple + C. LE 16 ","Female","516","0.441380285149328","0.412454212511944","0.470306357786712"
"No, never","2005","Couple + C. GT 16 ","Male","420","0.363778991639426","0.336904399942715","0.390653583336136"
"No, never","2005","Couple + C. GT 16 ","Female","497","0.461394528624706","0.430980087337107","0.491808969912305"
"No, never","2005","Couple + C. LE and GT 16","Male","191","0.312733558277788","0.27506869363438","0.350398422921196"
"No, never","2005","Couple + C. LE and GT 16","Female","213","0.439546351059174","0.394958473000572","0.484134229117776"
"Yes, every week","2005","1-pers.-HH","Male","116","0.162752094162221","0.136525246702649","0.188978941621793"
"Yes, every week","2005","1-pers.-HH","Female","82","0.150619600140852","0.121879950406307","0.179359249875397"
"Yes, every week","2005","(Married) couple without C. ","Male","249","0.163962006087375","0.145630497285546","0.182293514889203"
"Yes, every week","2005","(Married) couple without C. ","Female","202","0.146854387157532","0.129401206218562","0.164307568096502"
"Yes, every week","2005","Single parent ","Male","16","","",""
"Yes, every week","2005","Single parent ","Female","66","0.168828648872907","0.133585753429894","0.204071544315921"
"Yes, every week","2005","Couple + C. LE 16 ","Male","235","0.154816943706871","0.137288592064258","0.172345295349484"
"Yes, every week","2005","Couple + C. LE 16 ","Female","135","0.131182023326976","0.111515552179586","0.150848494474366"
"Yes, every week","2005","Couple + C. GT 16 ","Male","183","0.128173540046509","0.109499715367009","0.146847364726008"
"Yes, every week","2005","Couple + C. GT 16 ","Female","126","0.119632182434786","0.0998322214594649","0.139432143410108"
"Yes, every week","2005","Couple + C. LE and GT 16","Male","94","0.166196522532276","0.135953205926618","0.196439839137934"
"Yes, every week","2005","Couple + C. LE and GT 16","Female","60","0.14857040311671","0.116619352964407","0.180521453269013"
