"plb0218","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No, never","2005","Urban Area","West Germany","2737","0.383875031629192","0.372343061753606","0.395407001504779","1"
"No, never","2005","Urban Area","East Germany","298","0.318501588458934","0.288445291996359","0.34855788492151","1"
"No, never","2005","Rural Area","West Germany","735","0.342239835653966","0.321691238495318","0.362788432812613","1"
"No, never","2005","Rural Area","East Germany","516","0.305720621620714","0.283490818371895","0.327950424869532","1"
"Rarely","2005","Rural Area","East Germany","421","0.229905450657497","0.209602798333309","0.250208102981685","5"
"Rarely","2005","Urban Area","West Germany","1728","0.249887370218224","0.23962117414883","0.260153566287617","5"
"Rarely","2005","Urban Area","East Germany","250","0.255580012404657","0.227440297270939","0.283719727538375","5"
"Rarely","2005","Rural Area","West Germany","516","0.251108888021699","0.232327681190257","0.269890094853142","5"
"Yes, every 2 weeks","2005","Urban Area","West Germany","871","0.13668563610186","0.128540092275815","0.144831179927905","3"
"Yes, every 2 weeks","2005","Urban Area","East Germany","158","0.195499514703306","0.169914643351946","0.221084386054666","3"
"Yes, every 2 weeks","2005","Rural Area","West Germany","265","0.130411159285413","0.115826460250258","0.144995858320567","3"
"Yes, every 2 weeks","2005","Rural Area","East Germany","304","0.208065977163836","0.188479733421028","0.227652220906643","3"
"Yes, every 3-4 weeks","2005","Urban Area","West Germany","585","0.085297243438136","0.078673833212117","0.091920653664155","4"
"Yes, every 3-4 weeks","2005","Urban Area","East Germany","95","0.104545866455819","0.0848069937444929","0.124284739167145","4"
"Yes, every 3-4 weeks","2005","Rural Area","West Germany","192","0.103180095518654","0.0900056090125393","0.116354582024769","4"
"Yes, every 3-4 weeks","2005","Rural Area","East Germany","175","0.107261667835508","0.0923306132518748","0.122192722419142","4"
"Yes, every week","2005","Urban Area","West Germany","911","0.144254718612588","0.135923444327325","0.152585992897851","2"
"Yes, every week","2005","Urban Area","East Germany","122","0.125873017977283","0.104473655949583","0.147272380004984","2"
