"plb0218","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"No, never","2005","no migration background","Male","1493","0.287975201490695","0.275646296895525","0.300304106085865"
"No, never","2005","no migration background","Female","2079","0.447430149054643","0.433054935801181","0.461805362308106"
"No, never","2005","direct migration background","Male","244","0.331252543954749","0.294957902153518","0.36754718575598"
"No, never","2005","direct migration background","Female","269","0.446425762712536","0.405252371637014","0.487599153788057"
"No, never","2005","indirect migration background","Male","92","0.361118903524679","0.3020489861539","0.420188820895457"
"No, never","2005","indirect migration background","Female","109","0.458361272826811","0.391759211022431","0.524963334631191"
"Yes, every week","2005","no migration background","Male","782","0.154902843085991","0.145051795851619","0.164753890320364"
"Yes, every week","2005","no migration background","Female","603","0.149841397868437","0.139522722115062","0.160160073621812"
"Yes, every week","2005","direct migration background","Male","92","0.155272055286978","0.127344243204763","0.183199867369193"
"Yes, every week","2005","direct migration background","Female","59","0.105575534016008","0.0801243754854059","0.131026692546609"
"Yes, every week","2005","indirect migration background","Male","45","0.170779354904721","0.124500354472689","0.217058355336753"
"Yes, every week","2005","indirect migration background","Female","26","","",""
"Yes, every 2 weeks","2005","no migration background","Male","682","0.138478298891386","0.129074066396203","0.147882531386569"
"Yes, every 2 weeks","2005","no migration background","Female","680","0.153899468855184","0.143466987304864","0.164331950405503"
"Yes, every 2 weeks","2005","direct migration background","Male","72","0.106702266948542","0.0828946036905591","0.130509930206524"
"Yes, every 2 weeks","2005","direct migration background","Female","97","0.19976191109952","0.166647271794504","0.232876550404537"
"Yes, every 2 weeks","2005","indirect migration background","Male","27","","",""
"Yes, every 2 weeks","2005","indirect migration background","Female","40","0.216415780816488","0.161370997745385","0.271460563887592"
"Yes, every 3-4 weeks","2005","no migration background","Male","546","0.102531231402062","0.0942720473266832","0.11079041547744"
"Yes, every 3-4 weeks","2005","no migration background","Female","342","0.0774320386933229","0.0697049194866052","0.0851591579000406"
"Yes, every 3-4 weeks","2005","direct migration background","Male","76","0.115742124564908","0.0910722452312736","0.140412003898542"
"Yes, every 3-4 weeks","2005","direct migration background","Female","41","0.0695440709334858","0.0484756476016237","0.0906124942653479"
"Yes, every 3-4 weeks","2005","indirect migration background","Male","28","","",""
"Yes, every 3-4 weeks","2005","indirect migration background","Female","14","","",""
"Rarely","2005","no migration background","Male","1679","0.316112425129866","0.303453042498365","0.328771807761366"
"Rarely","2005","no migration background","Female","892","0.171396945528413","0.160501803777328","0.182292087279498"
"Rarely","2005","direct migration background","Male","162","0.291031009244824","0.256003029910804","0.326058988578843"
"Rarely","2005","direct migration background","Female","94","0.178692721238451","0.146963431926146","0.210422010550755"
"Rarely","2005","indirect migration background","Male","62","0.246495101339996","0.193494790196397","0.299495412483595"
"Rarely","2005","indirect migration background","Female","26","","",""
"No, never","2006","no migration background","Male","","","",""
"No, never","2006","no migration background","Female","","","",""
"No, never","2006","direct migration background","Male","","","",""
