"plb0218","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"No, never","2005","Full Time","1-pers.-HH","329","0.333530763019667","0.304468427273386","0.362593098765949"
"No, never","2005","Full Time","(Married) couple without C. ","795","0.351493513643987","0.331835756838294","0.371151270449681"
"No, never","2005","Full Time","Single parent ","117","0.379327218379439","0.32608071384252","0.432573722916358"
"No, never","2005","Full Time","Couple + C. LE 16 ","470","0.243198717346504","0.223212388555966","0.263185046137042"
"No, never","2005","Full Time","Couple + C. GT 16 ","540","0.349507168503835","0.325473420858722","0.373540916148948"
"No, never","2005","Full Time","Couple + C. LE and GT 16","197","0.293619140971784","0.258085062708297","0.329153219235272"
"No, never","2005","Part Time","1-pers.-HH","141","0.431960482316624","0.378023472071579","0.485897492561668"
"No, never","2005","Part Time","(Married) couple without C. ","415","0.461083638898969","0.427611856927427","0.494555420870512"
"No, never","2005","Part Time","Single parent ","97","0.361562975267563","0.302243291261834","0.420882659273293"
"No, never","2005","Part Time","Couple + C. LE 16 ","449","0.450374584466459","0.418918349666382","0.481830819266536"
"No, never","2005","Part Time","Couple + C. GT 16 ","359","0.50301269924306","0.466466201363452","0.539559197122667"
"No, never","2005","Part Time","Couple + C. LE and GT 16","192","0.471708159535223","0.422909408096822","0.520506910973624"
"No, never","2005","Not Working","1-pers.-HH","13","","",""
"No, never","2005","Not Working","(Married) couple without C. ","14","","",""
"No, never","2005","Not Working","Single parent ","14","","",""
"No, never","2005","Not Working","Couple + C. LE 16 ","19","","",""
"No, never","2005","Not Working","Couple + C. GT 16 ","18","","",""
"No, never","2005","Not Working","Couple + C. LE and GT 16","15","","",""
"Yes, every week","2005","Full Time","1-pers.-HH","149","0.160031378271168","0.13743147307394","0.182631283468396"
"Yes, every week","2005","Full Time","(Married) couple without C. ","342","0.158225813303371","0.143199424962903","0.173252201643839"
"Yes, every week","2005","Full Time","Single parent ","43","0.143137004998642","0.10470576422266","0.181568245774624"
"Yes, every week","2005","Full Time","Couple + C. LE 16 ","260","0.15828677327161","0.141282195737206","0.175291350806014"
"Yes, every week","2005","Full Time","Couple + C. GT 16 ","220","0.127389417007757","0.110584007162513","0.144194826853002"
