"plb0218","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No, never","2005","1-pers.-HH","West Germany","393","0.364099022526268","0.33534845260305","0.392849592449486","1"
"No, never","2005","1-pers.-HH","East Germany","90","0.32705073884468","0.272100725406863","0.382000752282496","1"
"No, never","2005","(Married) couple without C. ","West Germany","988","0.39093712567335","0.371658467376145","0.410215783970554","1"
"No, never","2005","(Married) couple without C. ","East Germany","236","0.342402842145516","0.306894149942856","0.377911534348176","1"
"No, never","2005","Single parent ","West Germany","175","0.384658255046316","0.339404739434067","0.429911770658564","1"
"No, never","2005","Single parent ","East Germany","53","0.390439005058849","0.311306147922738","0.46957186219496","1"
"No, never","2005","Couple + C. LE 16 ","West Germany","802","0.320316616752084","0.301134725091088","0.339498508413081","1"
"No, never","2005","Couple + C. LE 16 ","East Germany","136","0.278317658243978","0.238836588457694","0.317798728030262","1"
"No, never","2005","Couple + C. GT 16 ","West Germany","706","0.445421806818547","0.420961402501527","0.469882211135566","1"
"No, never","2005","Couple + C. GT 16 ","East Germany","211","0.263862475576991","0.230663701172162","0.297061249981819","1"
"No, never","2005","Couple + C. LE and GT 16","West Germany","333","0.374309906489631","0.341485252759587","0.407134560219676","1"
"No, never","2005","Couple + C. LE and GT 16","East Germany","71","0.32140095719335","0.260105842251932","0.382696072134767","1"
"Rarely","2005","Single parent ","West Germany","96","0.200100141463189","0.162886847486634","0.237313435439744","5"
"Rarely","2005","1-pers.-HH","East Germany","71","0.251561332450695","0.200737299135222","0.302385365766167","5"
"Rarely","2005","1-pers.-HH","West Germany","268","0.242633698439242","0.217020105501594","0.26824729137689","5"
"Rarely","2005","(Married) couple without C. ","East Germany","168","0.212252470686138","0.1816535621708","0.242851379201476","5"
"Rarely","2005","Single parent ","East Germany","29","","","","5"
"Rarely","2005","(Married) couple without C. ","West Germany","651","0.251240697331478","0.234104739103554","0.268376655559403","5"
"Rarely","2005","Couple + C. LE 16 ","West Germany","633","0.279554910318844","0.261105504727849","0.298004315909838","5"
"Rarely","2005","Couple + C. LE 16 ","East Germany","142","0.23284146120975","0.195609303013741","0.270073619405759","5"
"Rarely","2005","Couple + C. GT 16 ","West Germany","348","0.221296235767598","0.200866175400256","0.24172629613494","5"
"Rarely","2005","Couple + C. GT 16 ","East Germany","185","0.294308572069283","0.259979455014393","0.328637689124172","5"
"Rarely","2005","Couple + C. LE and GT 16","West Germany","197","0.259530087190179","0.229796150118707","0.28926402426165","5"
"Rarely","2005","Couple + C. LE and GT 16","East Germany","59","0.222714189472036","0.168105723963961","0.27732265498011","5"
"Yes, every 2 weeks","2005","1-pers.-HH","West Germany","171","0.146659690034816","0.125521954137017","0.167797425932616","3"
"Yes, every 2 weeks","2005","Single parent ","East Germany","28","","","","3"
