"plb0218","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"No, never","2005","in school","16","","",""
"No, never","2005","inadequately","42","0.52000754108724","0.405401189050954","0.634613893123526"
"No, never","2005","general elemantary","432","0.437680567710151","0.405518410413692","0.469842725006611"
"No, never","2005","middle vocational","2072","0.361067984368714","0.348421324689388","0.373714644048041"
"No, never","2005","vocational + Abi","336","0.440171488794248","0.405222412614574","0.475120564973922"
"No, never","2005","higher vocational","308","0.286772412385371","0.259018081816986","0.314526742953757"
"No, never","2005","higher education","1012","0.332142354129507","0.315100293063464","0.349184415195549"
"Yes, every week","2005","in school","14","","",""
"Yes, every week","2005","inadequately","8","","",""
"Yes, every week","2005","general elemantary","134","0.1776435751149","0.152864802491751","0.202422347738048"
"Yes, every week","2005","middle vocational","788","0.151096076770227","0.141666116124926","0.160526037415528"
"Yes, every week","2005","vocational + Abi","70","0.0949352043605837","0.0742980068433337","0.115572401877834"
"Yes, every week","2005","higher vocational","151","0.152876565136118","0.13079184951026","0.174961280761975"
"Yes, every week","2005","higher education","420","0.144508606097702","0.1317860986225","0.157231113572904"
"Yes, every 2 weeks","2005","in school","7","","",""
"Yes, every 2 weeks","2005","inadequately","7","","",""
"Yes, every 2 weeks","2005","general elemantary","139","0.159423833859021","0.135691516159968","0.183156151558075"
"Yes, every 2 weeks","2005","middle vocational","844","0.152136169737002","0.142679606973825","0.161592732500178"
"Yes, every 2 weeks","2005","vocational + Abi","110","0.136308530376929","0.112151804415802","0.160465256338055"
"Yes, every 2 weeks","2005","higher vocational","160","0.172531774205089","0.149344045399603","0.195719503010575"
"Yes, every 2 weeks","2005","higher education","307","0.115754708893687","0.104178302946248","0.127331114841125"
"Yes, every 3-4 weeks","2005","in school","3","","",""
"Yes, every 3-4 weeks","2005","inadequately","5","","",""
"Yes, every 3-4 weeks","2005","general elemantary","70","0.0705867548047561","0.0539816726068461","0.087191837002666"
"Yes, every 3-4 weeks","2005","middle vocational","530","0.102930622761182","0.0949297137415057","0.110931531780859"
"Yes, every 3-4 weeks","2005","vocational + Abi","69","0.0787048852298394","0.059746669151035","0.0976631013086438"
"Yes, every 3-4 weeks","2005","higher vocational","104","0.0944992384805551","0.0765474976598241","0.112450979301286"
"Yes, every 3-4 weeks","2005","higher education","260","0.0846015876452686","0.0745319841422654","0.0946711911482718"
"Rarely","2005","in school","9","","",""
"Rarely","2005","inadequately","11","","",""
"Rarely","2005","general elemantary","139","0.154665268511172","0.131223749557202","0.178106787465142"
"Rarely","2005","middle vocational","1307","0.232769146362875","0.221642103716414","0.243896189009336"
"Rarely","2005","vocational + Abi","190","0.249879891238401","0.219398955323721","0.280360827153081"
"Rarely","2005","higher vocational","297","0.293320009792867","0.265379762365739","0.321260257219995"
"Rarely","2005","higher education","935","0.322992743233836","0.306072325501965","0.339913160965707"
"No, never","2006","in school","","","",""
"No, never","2006","inadequately","","","",""
"No, never","2006","general elemantary","","","",""
"No, never","2006","middle vocational","","","",""
"No, never","2006","vocational + Abi","","","",""
"No, never","2006","higher vocational","","","",""
"No, never","2006","higher education","","","",""
"Yes, every week","2006","in school","","","",""
"Yes, every week","2006","inadequately","","","",""
"Yes, every week","2006","general elemantary","","","",""
"Yes, every week","2006","middle vocational","","","",""
"Yes, every week","2006","vocational + Abi","","","",""
"Yes, every week","2006","higher vocational","","","",""
"Yes, every week","2006","higher education","","","",""
"Yes, every 2 weeks","2006","in school","","","",""
"Yes, every 2 weeks","2006","inadequately","","","",""
"Yes, every 2 weeks","2006","general elemantary","","","",""
"Yes, every 2 weeks","2006","middle vocational","","","",""
"Yes, every 2 weeks","2006","vocational + Abi","","","",""
"Yes, every 2 weeks","2006","higher vocational","","","",""
"Yes, every 2 weeks","2006","higher education","","","",""
"Yes, every 3-4 weeks","2006","in school","","","",""
"Yes, every 3-4 weeks","2006","inadequately","","","",""
"Yes, every 3-4 weeks","2006","general elemantary","","","",""
"Yes, every 3-4 weeks","2006","middle vocational","","","",""
"Yes, every 3-4 weeks","2006","vocational + Abi","","","",""
"Yes, every 3-4 weeks","2006","higher vocational","","","",""
"Yes, every 3-4 weeks","2006","higher education","","","",""
"Rarely","2006","in school","","","",""
"Rarely","2006","inadequately","","","",""
"Rarely","2006","general elemantary","","","",""
"Rarely","2006","middle vocational","","","",""
"Rarely","2006","vocational + Abi","","","",""
"Rarely","2006","higher vocational","","","",""
"Rarely","2006","higher education","","","",""
"No, never","2007","in school","7","","",""
"No, never","2007","inadequately","33","0.575085202002901","0.453019166243259","0.697151237762543"
"No, never","2007","general elemantary","340","0.428774026268662","0.393975905612548","0.463572146924776"
"No, never","2007","middle vocational","2073","0.360112483097489","0.347601175734602","0.372623790460377"
"No, never","2007","vocational + Abi","324","0.385512590744161","0.352056237891473","0.41896894359685"
"No, never","2007","higher vocational","306","0.280478396150406","0.252309330887918","0.308647461412894"
"No, never","2007","higher education","989","0.306409238142159","0.289986541979558","0.322831934304759"
"Yes, every week","2007","in school","10","","",""
"Yes, every week","2007","inadequately","7","","",""
"Yes, every week","2007","general elemantary","129","0.178945601988539","0.151994032425476","0.205897171551602"
"Yes, every week","2007","middle vocational","818","0.148227551084349","0.138966547604491","0.157488554564207"
"Yes, every week","2007","vocational + Abi","92","0.111498788643689","0.0898632902064746","0.133134287080903"
"Yes, every week","2007","higher vocational","154","0.155961431076344","0.13321095122645","0.178711910926239"
"Yes, every week","2007","higher education","466","0.151213703046973","0.138451177196011","0.163976228897936"
"Yes, every 2 weeks","2007","in school","6","","",""
"Yes, every 2 weeks","2007","inadequately","7","","",""
"Yes, every 2 weeks","2007","general elemantary","118","0.166360920009118","0.140175938524205","0.192545901494031"
"Yes, every 2 weeks","2007","middle vocational","946","0.165377710364884","0.15569459149495","0.175060829234817"
"Yes, every 2 weeks","2007","vocational + Abi","117","0.147396644684335","0.123028630676375","0.171764658692295"
"Yes, every 2 weeks","2007","higher vocational","160","0.196222911213935","0.171320380874594","0.221125441553275"
"Yes, every 2 weeks","2007","higher education","324","0.123939735382528","0.112201193493078","0.135678277271977"
"Yes, every 3-4 weeks","2007","in school","1","","",""
"Yes, every 3-4 weeks","2007","inadequately","8","","",""
"Yes, every 3-4 weeks","2007","general elemantary","66","0.0898112973662087","0.0697079310179383","0.109914663714479"
"Yes, every 3-4 weeks","2007","middle vocational","553","0.106226295207592","0.098195443794973","0.11425714662021"
"Yes, every 3-4 weeks","2007","vocational + Abi","80","0.0925875306398311","0.072663305507648","0.112511755772014"
"Yes, every 3-4 weeks","2007","higher vocational","98","0.0785144950740398","0.061648188727228","0.0953808014208516"
"Yes, every 3-4 weeks","2007","higher education","299","0.103483553288381","0.0926328802437431","0.114334226333019"
"Rarely","2007","in school","5","","",""
"Rarely","2007","inadequately","8","","",""
"Rarely","2007","general elemantary","124","0.136108154367472","0.111997480898032","0.160218827836911"
"Rarely","2007","middle vocational","1265","0.220055960245687","0.209258289603954","0.230853630887419"
"Rarely","2007","vocational + Abi","200","0.263004445287983","0.232741109479982","0.293267781095985"
"Rarely","2007","higher vocational","259","0.288822766485275","0.260403985594029","0.317241547376521"
"Rarely","2007","higher education","949","0.314953770139959","0.298406543071671","0.331500997208247"
"No, never","2008","in school","","","",""
"No, never","2008","inadequately","","","",""
"No, never","2008","general elemantary","","","",""
"No, never","2008","middle vocational","","","",""
"No, never","2008","vocational + Abi","","","",""
"No, never","2008","higher vocational","","","",""
"No, never","2008","higher education","","","",""
"Yes, every week","2008","in school","","","",""
"Yes, every week","2008","inadequately","","","",""
"Yes, every week","2008","general elemantary","","","",""
"Yes, every week","2008","middle vocational","","","",""
"Yes, every week","2008","vocational + Abi","","","",""
"Yes, every week","2008","higher vocational","","","",""
"Yes, every week","2008","higher education","","","",""
"Yes, every 2 weeks","2008","in school","","","",""
"Yes, every 2 weeks","2008","inadequately","","","",""
"Yes, every 2 weeks","2008","general elemantary","","","",""
"Yes, every 2 weeks","2008","middle vocational","","","",""
"Yes, every 2 weeks","2008","vocational + Abi","","","",""
"Yes, every 2 weeks","2008","higher vocational","","","",""
"Yes, every 2 weeks","2008","higher education","","","",""
"Yes, every 3-4 weeks","2008","in school","","","",""
"Yes, every 3-4 weeks","2008","inadequately","","","",""
"Yes, every 3-4 weeks","2008","general elemantary","","","",""
"Yes, every 3-4 weeks","2008","middle vocational","","","",""
"Yes, every 3-4 weeks","2008","vocational + Abi","","","",""
"Yes, every 3-4 weeks","2008","higher vocational","","","",""
"Yes, every 3-4 weeks","2008","higher education","","","",""
"Rarely","2008","in school","","","",""
"Rarely","2008","inadequately","","","",""
"Rarely","2008","general elemantary","","","",""
"Rarely","2008","middle vocational","","","",""
"Rarely","2008","vocational + Abi","","","",""
"Rarely","2008","higher vocational","","","",""
"Rarely","2008","higher education","","","",""
"No, never","2009","in school","9","","",""
"No, never","2009","inadequately","25","","",""
