"plb0218","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"No, never","2005","Urban Area","Male","1310","0.308099460909315","0.294021646409738","0.322177275408891"
"No, never","2005","Urban Area","Female","1725","0.466278628663002","0.450034591444456","0.482522665881548"
"No, never","2005","Rural Area","Male","519","0.268206576069063","0.2485431247393","0.287870027398826"
"No, never","2005","Rural Area","Female","732","0.405578571637052","0.382560862063177","0.428596281210926"
"Yes, every week","2005","Urban Area","Male","595","0.151206523118017","0.140283214227542","0.162129832008492"
"Yes, every week","2005","Urban Area","Female","438","0.132062587610169","0.121038363591755","0.143086811628584"
"Yes, every week","2005","Rural Area","Male","324","0.165712015814813","0.149208906368102","0.182215125261524"
"Yes, every week","2005","Rural Area","Female","250","0.16385527703448","0.146503325748126","0.181207228320835"
"Yes, every 2 weeks","2005","Urban Area","Male","508","0.130476414647451","0.120206315767765","0.140746513527137"
"Yes, every 2 weeks","2005","Urban Area","Female","521","0.155630967115153","0.1438269975588","0.167434936671506"
"Yes, every 2 weeks","2005","Rural Area","Male","273","0.139157141045042","0.123795221906457","0.154519060183627"
"Yes, every 2 weeks","2005","Rural Area","Female","296","0.178651492715121","0.160694052153586","0.196608933276656"
"Yes, every 3-4 weeks","2005","Urban Area","Male","421","0.0978226313518079","0.0887646052199492","0.106880657483667"
"Yes, every 3-4 weeks","2005","Urban Area","Female","259","0.073280449502546","0.0647948574534508","0.0817660415516411"
"Yes, every 3-4 weeks","2005","Rural Area","Male","229","0.121357561913087","0.106864161371119","0.135850962455055"
"Yes, every 3-4 weeks","2005","Rural Area","Female","138","0.0839169060897731","0.0709191152844931","0.0969146968950531"
"Rarely","2005","Urban Area","Male","1298","0.31239496997341","0.298263430585278","0.326526509361541"
"Rarely","2005","Urban Area","Female","680","0.172747367109129","0.160437915043507","0.185056819174752"
"Rarely","2005","Rural Area","Male","605","0.305566705157995","0.285121142416025","0.326012267899964"
"Rarely","2005","Rural Area","Female","332","0.167997752523574","0.15047140727739","0.185524097769758"
"No, never","2006","Urban Area","Male","","","",""
"No, never","2006","Urban Area","Female","","","",""
"No, never","2006","Rural Area","Male","","","",""
"No, never","2006","Rural Area","Female","","","",""
"Yes, every week","2006","Urban Area","Male","","","",""
"Yes, every week","2006","Urban Area","Female","","","",""
"Yes, every week","2006","Rural Area","Male","","","",""
"Yes, every week","2006","Rural Area","Female","","","",""
"Yes, every 2 weeks","2006","Urban Area","Male","","","",""
"Yes, every 2 weeks","2006","Urban Area","Female","","","",""
"Yes, every 2 weeks","2006","Rural Area","Male","","","",""
"Yes, every 2 weeks","2006","Rural Area","Female","","","",""
"Yes, every 3-4 weeks","2006","Urban Area","Male","","","",""
"Yes, every 3-4 weeks","2006","Urban Area","Female","","","",""
"Yes, every 3-4 weeks","2006","Rural Area","Male","","","",""
"Yes, every 3-4 weeks","2006","Rural Area","Female","","","",""
"Rarely","2006","Urban Area","Male","","","",""
"Rarely","2006","Urban Area","Female","","","",""
"Rarely","2006","Rural Area","Male","","","",""
"Rarely","2006","Rural Area","Female","","","",""
"No, never","2007","Urban Area","Male","1250","0.308058127599265","0.293803800848334","0.322312454350197"
"No, never","2007","Urban Area","Female","1666","0.453384190799131","0.437194093773738","0.469574287824524"
"No, never","2007","Rural Area","Male","538","0.27334781507647","0.253955566797513","0.292740063355427"
"No, never","2007","Rural Area","Female","704","0.362107172500049","0.339990393782529","0.384223951217568"
"Yes, every week","2007","Urban Area","Male","616","0.153444812769102","0.142317268996658","0.164572356541546"
"Yes, every week","2007","Urban Area","Female","474","0.136477634324924","0.12531304611652","0.147642222533329"
"Yes, every week","2007","Rural Area","Male","330","0.14761658785667","0.132182102840678","0.163051072872661"
"Yes, every week","2007","Rural Area","Female","273","0.163315575424479","0.146304800646862","0.180326350202095"
"Yes, every 2 weeks","2007","Urban Area","Male","550","0.147890720752156","0.136930641916232","0.158850799588081"
"Yes, every 2 weeks","2007","Urban Area","Female","515","0.151510063617281","0.139849507611524","0.163170619623039"
"Yes, every 2 weeks","2007","Rural Area","Male","317","0.172825453438972","0.156373801943636","0.189277104934308"
"Yes, every 2 weeks","2007","Rural Area","Female","319","0.173617490385089","0.156186713450042","0.191048267320135"
"Yes, every 3-4 weeks","2007","Urban Area","Male","440","0.112712531407655","0.102948844515478","0.122476218299832"
"Yes, every 3-4 weeks","2007","Urban Area","Female","280","0.0789947841759124","0.0702226467987346","0.0877669215530901"
"Yes, every 3-4 weeks","2007","Rural Area","Male","241","0.119518201845124","0.105403091292747","0.133633312397501"
"Yes, every 3-4 weeks","2007","Rural Area","Female","154","0.088229665252938","0.0751775922452925","0.101281738260584"
"Rarely","2007","Urban Area","Male","1174","0.277893807471821","0.264063382111677","0.291724232831966"
"Rarely","2007","Urban Area","Female","697","0.179633327082751","0.167148784572377","0.192117869593125"
"Rarely","2007","Rural Area","Male","603","0.286691941782764","0.267015191424171","0.306368692141357"
"Rarely","2007","Rural Area","Female","364","0.212730096437446","0.193897693283924","0.231562499590968"
"No, never","2008","Urban Area","Male","","","",""
"No, never","2008","Urban Area","Female","","","",""
"No, never","2008","Rural Area","Male","","","",""
"No, never","2008","Rural Area","Female","","","",""
"Yes, every week","2008","Urban Area","Male","","","",""
"Yes, every week","2008","Urban Area","Female","","","",""
"Yes, every week","2008","Rural Area","Male","","","",""
"Yes, every week","2008","Rural Area","Female","","","",""
"Yes, every 2 weeks","2008","Urban Area","Male","","","",""
"Yes, every 2 weeks","2008","Urban Area","Female","","","",""
"Yes, every 2 weeks","2008","Rural Area","Male","","","",""
"Yes, every 2 weeks","2008","Rural Area","Female","","","",""
"Yes, every 3-4 weeks","2008","Urban Area","Male","","","",""
