"plb0218","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No, never","2005","Not Employed","West Germany","64","0.532154400086638","0.440959768285135","0.62334903188814","1"
"No, never","2005","Not Employed","East Germany","36","0.718098335603127","0.600257759347516","0.835938911858738","1"
"No, never","2005","Employed","West Germany","3408","0.371860316343214","0.361742421445518","0.38197821124091","1"
"No, never","2005","Employed","East Germany","778","0.301301788306","0.283377077657358","0.319226498954643","1"
"Rarely","2005","Employed","East Germany","666","0.242399351330789","0.225657927979646","0.259140774681932","5"
"Rarely","2005","Not Employed","West Germany","20","","","","5"
"Rarely","2005","Not Employed","East Germany","5","","","","5"
"Rarely","2005","Employed","West Germany","2224","0.250880624749713","0.24180490227955","0.259956347219876","5"
"Yes, every 2 weeks","2005","Not Employed","West Germany","13","","","","3"
"Yes, every 2 weeks","2005","Not Employed","East Germany","5","","","","3"
"Yes, every 2 weeks","2005","Employed","West Germany","1123","0.135583870116246","0.12841686730158","0.142750872930912","3"
"Yes, every 2 weeks","2005","Employed","East Germany","457","0.205899619674386","0.190102716453594","0.221696522895179","3"
"Yes, every 3-4 weeks","2005","Not Employed","West Germany","4","","","","4"
"Yes, every 3-4 weeks","2005","Not Employed","East Germany","5","","","","4"
"Yes, every 3-4 weeks","2005","Employed","West Germany","773","0.0900466683718077","0.0840540652659396","0.0960392714776757","4"
"Yes, every 3-4 weeks","2005","Employed","East Germany","265","0.107886374350877","0.0957664511266624","0.120006297575092","4"
"Yes, every week","2005","Not Employed","West Germany","14","","","","2"
"Yes, every week","2005","Not Employed","East Germany","5","","","","2"
"Yes, every week","2005","Employed","West Germany","1237","0.151628520419019","0.144119978505005","0.159137062333032","2"
"Yes, every week","2005","Employed","East Germany","351","0.142512866337947","0.128856117355907","0.156169615319988","2"
"No, never","2006","Not Employed","West Germany","","","","","1"
"No, never","2006","Not Employed","East Germany","","","","","1"
"No, never","2006","Employed","West Germany","","","","","1"
"No, never","2006","Employed","East Germany","","","","","1"
"Rarely","2006","Not Employed","West Germany","","","","","5"
"Rarely","2006","Not Employed","East Germany","","","","","5"
"Rarely","2006","Employed","West Germany","","","","","5"
"Rarely","2006","Employed","East Germany","","","","","5"
"Yes, every 2 weeks","2006","Not Employed","West Germany","","","","","3"
"Yes, every 2 weeks","2006","Employed","West Germany","","","","","3"
"Yes, every 2 weeks","2006","Employed","East Germany","","","","","3"
"Yes, every 2 weeks","2006","Not Employed","East Germany","","","","","3"
"Yes, every 3-4 weeks","2006","Not Employed","West Germany","","","","","4"
"Yes, every 3-4 weeks","2006","Not Employed","East Germany","","","","","4"
"Yes, every 3-4 weeks","2006","Employed","West Germany","","","","","4"
"Yes, every 3-4 weeks","2006","Employed","East Germany","","","","","4"
"Yes, every week","2006","Not Employed","West Germany","","","","","2"
"Yes, every week","2006","Not Employed","East Germany","","","","","2"
"Yes, every week","2006","Employed","West Germany","","","","","2"
"Yes, every week","2006","Employed","East Germany","","","","","2"
"No, never","2007","Employed","East Germany","767","0.291557370993843","0.273969277641442","0.309145464346244","1"
"No, never","2007","Not Employed","West Germany","72","0.490421030655445","0.410152512092683","0.570689549218207","1"
"No, never","2007","Not Employed","East Germany","38","0.540035048814768","0.417930611238313","0.662139486391224","1"
"No, never","2007","Employed","West Germany","3281","0.363127929350624","0.353038385515201","0.373217473186047","1"
"Rarely","2007","Not Employed","West Germany","18","","","","5"
"Rarely","2007","Not Employed","East Germany","9","","","","5"
"Rarely","2007","Employed","West Germany","2135","0.239906906907655","0.230947683385956","0.248866130429354","5"
"Rarely","2007","Employed","East Germany","676","0.253160774947368","0.236333407650792","0.269988142243943","5"
"Yes, every 2 weeks","2007","Employed","East Germany","489","0.203531521150645","0.187950190568417","0.219112851732874","3"
"Yes, every 2 weeks","2007","Not Employed","West Germany","24","","","","3"
"Yes, every 2 weeks","2007","Not Employed","East Germany","5","","","","3"
"Yes, every 2 weeks","2007","Employed","West Germany","1183","0.14742431842005","0.139986139208887","0.154862497631213","3"
"Yes, every 3-4 weeks","2007","Employed","East Germany","262","0.102459942859765","0.0907242595602729","0.114195626159258","4"
"Yes, every 3-4 weeks","2007","Not Employed","West Germany","11","","","","4"
"Yes, every 3-4 weeks","2007","Not Employed","East Germany","3","","","","4"
"Yes, every 3-4 weeks","2007","Employed","West Germany","839","0.100416011241061","0.0941102438743387","0.106721778607783","4"
"Yes, every week","2007","Not Employed","West Germany","24","","","","2"
"Yes, every week","2007","Not Employed","East Germany","9","","","","2"
"Yes, every week","2007","Employed","East Germany","371","0.149290390048378","0.135498905980745","0.163081874116012","2"
"Yes, every week","2007","Employed","West Germany","1289","0.14912483408061","0.141651343113855","0.156598325047365","2"
"No, never","2008","Employed","East Germany","","","","","1"
"No, never","2008","Not Employed","West Germany","","","","","1"
"No, never","2008","Not Employed","East Germany","","","","","1"
"No, never","2008","Employed","West Germany","","","","","1"
"Rarely","2008","Employed","East Germany","","","","","5"
"Rarely","2008","Not Employed","West Germany","","","","","5"
"Rarely","2008","Not Employed","East Germany","","","","","5"
"Rarely","2008","Employed","West Germany","","","","","5"
"Yes, every 2 weeks","2008","Employed","East Germany","","","","","3"
"Yes, every 2 weeks","2008","Not Employed","West Germany","","","","","3"
"Yes, every 2 weeks","2008","Not Employed","East Germany","","","","","3"
"Yes, every 2 weeks","2008","Employed","West Germany","","","","","3"
"Yes, every 3-4 weeks","2008","Employed","East Germany","","","","","4"
"Yes, every 3-4 weeks","2008","Not Employed","West Germany","","","","","4"
"Yes, every 3-4 weeks","2008","Not Employed","East Germany","","","","","4"
"Yes, every 3-4 weeks","2008","Employed","West Germany","","","","","4"
"Yes, every week","2008","Employed","East Germany","","","","","2"
"Yes, every week","2008","Not Employed","West Germany","","","","","2"
"Yes, every week","2008","Not Employed","East Germany","","","","","2"
"Yes, every week","2008","Employed","West Germany","","","","","2"
"No, never","2009","Employed","East Germany","728","0.293698332005216","0.275377145756289","0.312019518254142","1"
"No, never","2009","Employed","West Germany","2889","0.367366107772167","0.35659757083515","0.378134644709184","1"
"No, never","2009","Not Employed","West Germany","43","0.472169670611325","0.375287419930152","0.569051921292498","1"
"No, never","2009","Not Employed","East Germany","21","","","","1"
"Rarely","2009","Employed","East Germany","652","0.278312345684328","0.260284301759032","0.296340389609625","5"
"Rarely","2009","Not Employed","West Germany","12","","","","5"
"Rarely","2009","Not Employed","East Germany","1","","","","5"
"Rarely","2009","Employed","West Germany","1923","0.247663400546557","0.238021382456741","0.257305418636372","5"
"Yes, every 2 weeks","2009","Employed","East Germany","397","0.17926205398219","0.163832471501016","0.194691636463363","3"
"Yes, every 2 weeks","2009","Employed","West Germany","1041","0.143670822043625","0.135835883565973","0.151505760521276","3"
"Yes, every 2 weeks","2009","Not Employed","West Germany","17","","","","3"
"Yes, every 2 weeks","2009","Not Employed","East Germany","6","","","","3"
"Yes, every 3-4 weeks","2009","Employed","East Germany","260","0.108592871868686","0.096077422593672","0.1211083211437","4"
"Yes, every 3-4 weeks","2009","Employed","West Germany","642","0.0819246226126878","0.075798617909913","0.0880506273154626","4"
"Yes, every 3-4 weeks","2009","Not Employed","West Germany","11","","","","4"
"Yes, every 3-4 weeks","2009","Not Employed","East Germany","1","","","","4"
"Yes, every week","2009","Employed","East Germany","337","0.140134396459581","0.126170860887902","0.154097932031259","2"
"Yes, every week","2009","Not Employed","West Germany","19","","","","2"
"Yes, every week","2009","Employed","West Germany","1204","0.159375047024964","0.15119902160861","0.167551072441318","2"
"Yes, every week","2009","Not Employed","East Germany","7","","","","2"
"No, never","2010","Employed","East Germany","235","0.317035631004786","0.284061722085306","0.350009539924266","1"
"No, never","2010","Employed","West Germany","1198","0.345880574016998","0.330209476298227","0.361551671735769","1"
"No, never","2010","Not Employed","West Germany","81","0.482024160794527","0.406465786501696","0.557582535087359","1"
"No, never","2010","Not Employed","East Germany","20","","","","1"
"Rarely","2010","Employed","East Germany","200","0.248161542122852","0.217552701396575","0.278770382849129","5"
"Rarely","2010","Employed","West Germany","921","0.258225932645507","0.243806653147143","0.272645212143872","5"
"Rarely","2010","Not Employed","West Germany","29","","","","5"
"Rarely","2010","Not Employed","East Germany","13","","","","5"
"Yes, every 2 weeks","2010","Employed","West Germany","577","0.16487849780864","0.152653053445001","0.177103942172279","3"
"Yes, every 2 weeks","2010","Employed","East Germany","148","0.191910059945528","0.164004156058104","0.219815963832952","3"
"Yes, every 2 weeks","2010","Not Employed","West Germany","21","","","","3"
"Yes, every 2 weeks","2010","Not Employed","East Germany","13","","","","3"
"Yes, every 3-4 weeks","2010","Employed","East Germany","79","0.105235701965956","0.083491010588147","0.126980393343765","4"
"Yes, every 3-4 weeks","2010","Employed","West Germany","336","0.0956906594001921","0.0859989341985023","0.105382384601882","4"
"Yes, every 3-4 weeks","2010","Not Employed","West Germany","16","","","","4"
"Yes, every 3-4 weeks","2010","Not Employed","East Germany","2","","","","4"
"Yes, every week","2010","Employed","East Germany","103","0.137657064960878","0.113242070446222","0.162072059475533","2"
"Yes, every week","2010","Employed","West Germany","507","0.135324336128663","0.124054375980995","0.14659429627633","2"
"Yes, every week","2010","Not Employed","West Germany","21","","","","2"
"Yes, every week","2010","Not Employed","East Germany","2","","","","2"
"No, never","2011","Employed","East Germany","1143","0.320092167126707","0.30455006218557","0.335634272067844","1"
"No, never","2011","Employed","West Germany","4942","0.378113757082969","0.369737019306209","0.38649049485973","1"
"No, never","2011","Not Employed","East Germany","50","0.602955069710203","0.502974298953116","0.702935840467291","1"
"No, never","2011","Not Employed","West Germany","184","0.55985713293605","0.506540659442031","0.613173606430068","1"
"Rarely","2011","Employed","East Germany","833","0.246160024910105","0.231808579715607","0.260511470104603","5"
"Rarely","2011","Employed","West Germany","2946","0.233658616831601","0.226348736851382","0.24096849681182","5"
"Rarely","2011","Not Employed","West Germany","32","0.125703580089907","0.0900970914383842","0.16131006874143","5"
