"plb0218","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No, never","2005","Full Time","Urban Area","1793","0.336386848519067","0.32351165254949","0.349262044488644","1"
"No, never","2005","Full Time","Rural Area","709","0.279796216722626","0.262231288537451","0.2973611449078","1"
"No, never","2005","Part Time","Urban Area","1188","0.460605962802518","0.441024123094116","0.48018780251092","1"
"No, never","2005","Part Time","Rural Area","496","0.427569644711176","0.398478834170811","0.45666045525154","1"
"No, never","2005","Not Working","Urban Area","54","0.568292650526777","0.467625596903939","0.668959704149616","1"
"No, never","2005","Not Working","Rural Area","46","0.589970400154357","0.480820459027362","0.699120341281353","1"
"Rarely","2005","Full Time","Urban Area","1501","0.282732314738155","0.270460601201846","0.295004028274465","5"
"Rarely","2005","Full Time","Rural Area","703","0.270557604738212","0.253174668643871","0.287940540832553","5"
"Rarely","2005","Part Time","Urban Area","468","0.186231948353839","0.170938231201535","0.201525665506143","5"
"Rarely","2005","Part Time","Rural Area","218","0.182708680927087","0.159986024823876","0.205431337030299","5"
"Rarely","2005","Not Working","Urban Area","9","","","","5"
"Rarely","2005","Not Working","Rural Area","16","","","","5"
"Yes, every 2 weeks","2005","Part Time","Urban Area","347","0.1393479986655","0.125742959320951","0.152953038010049","3"
"Yes, every 2 weeks","2005","Full Time","Urban Area","669","0.142837451124076","0.133302258045792","0.15237264420236","3"
"Yes, every 2 weeks","2005","Full Time","Rural Area","387","0.156455816758005","0.142240794798309","0.170670838717701","3"
"Yes, every 2 weeks","2005","Part Time","Rural Area","177","0.164591218920123","0.142786830481722","0.186395607358523","3"
"Yes, every 2 weeks","2005","Not Working","Urban Area","13","","","","3"
"Yes, every 2 weeks","2005","Not Working","Rural Area","5","","","","3"
"Yes, every 3-4 weeks","2005","Full Time","Urban Area","498","0.0915165643261298","0.0836590494434635","0.099374079208796","4"
"Yes, every 3-4 weeks","2005","Part Time","Urban Area","176","0.0775816974313228","0.0670722656067914","0.0880911292558541","4"
"Yes, every 3-4 weeks","2005","Full Time","Rural Area","285","0.122699309966563","0.109861437529657","0.13553718240347","4"
"Yes, every 3-4 weeks","2005","Not Working","Urban Area","6","","","","4"
"Yes, every 3-4 weeks","2005","Part Time","Rural Area","79","0.0688621477450492","0.0539723659159939","0.0837519295741045","4"
"Yes, every 3-4 weeks","2005","Not Working","Rural Area","3","","","","4"
"Yes, every week","2005","Part Time","Urban Area","310","0.136232392746821","0.122755980378915","0.149708805114727","2"
"Yes, every week","2005","Full Time","Urban Area","712","0.146526821292572","0.13689007656943","0.156163566015714","2"
"Yes, every week","2005","Full Time","Rural Area","425","0.170491051814594","0.155776091572424","0.185206012056764","2"
"Yes, every week","2005","Part Time","Rural Area","141","0.156268307696565","0.1349167926293","0.17761982276383","2"
"Yes, every week","2005","Not Working","Urban Area","11","","","","2"
"Yes, every week","2005","Not Working","Rural Area","8","","","","2"
"No, never","2006","Part Time","Urban Area","","","","","1"
"No, never","2006","Part Time","Rural Area","","","","","1"
"No, never","2006","Full Time","Urban Area","","","","","1"
"No, never","2006","Full Time","Rural Area","","","","","1"
"No, never","2006","Not Working","Urban Area","","","","","1"
"No, never","2006","Not Working","Rural Area","","","","","1"
"Rarely","2006","Full Time","Urban Area","","","","","5"
"Rarely","2006","Full Time","Rural Area","","","","","5"
"Rarely","2006","Part Time","Urban Area","","","","","5"
"Rarely","2006","Part Time","Rural Area","","","","","5"
"Rarely","2006","Not Working","Urban Area","","","","","5"
"Rarely","2006","Not Working","Rural Area","","","","","5"
"Yes, every 2 weeks","2006","Full Time","Rural Area","","","","","3"
"Yes, every 2 weeks","2006","Part Time","Urban Area","","","","","3"
"Yes, every 2 weeks","2006","Part Time","Rural Area","","","","","3"
"Yes, every 2 weeks","2006","Not Working","Urban Area","","","","","3"
"Yes, every 2 weeks","2006","Not Working","Rural Area","","","","","3"
"Yes, every 2 weeks","2006","Full Time","Urban Area","","","","","3"
"Yes, every 3-4 weeks","2006","Full Time","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2006","Full Time","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2006","Part Time","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2006","Part Time","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2006","Not Working","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2006","Not Working","Rural Area","","","","","4"
"Yes, every week","2006","Full Time","Urban Area","","","","","2"
"Yes, every week","2006","Full Time","Rural Area","","","","","2"
"Yes, every week","2006","Part Time","Urban Area","","","","","2"
"Yes, every week","2006","Part Time","Rural Area","","","","","2"
"Yes, every week","2006","Not Working","Urban Area","","","","","2"
"Yes, every week","2006","Not Working","Rural Area","","","","","2"
"No, never","2007","Full Time","Urban Area","1662","0.329450216405222","0.316453498651588","0.342446934158856","1"
"No, never","2007","Full Time","Rural Area","684","0.260028055234838","0.24313143679763","0.276924673672046","1"
"No, never","2007","Part Time","Urban Area","1186","0.455557569937578","0.436055000106517","0.475060139768639","1"
"No, never","2007","Part Time","Rural Area","516","0.426019573938837","0.3977331946448","0.454305953232874","1"
"No, never","2007","Not Working","Urban Area","68","0.503876565129527","0.418903903596578","0.588849226662475","1"
"No, never","2007","Not Working","Rural Area","42","0.499135779782803","0.389570625874393","0.608700933691214","1"
"Rarely","2007","Full Time","Urban Area","1403","0.268703292857","0.256445660853536","0.280960924860463","5"
"Rarely","2007","Part Time","Rural Area","221","0.194531643737279","0.171888672626032","0.217174614848526","5"
"Rarely","2007","Full Time","Rural Area","736","0.278129622051197","0.260869840329637","0.295389403772757","5"
"Rarely","2007","Part Time","Urban Area","451","0.171018994608106","0.156274201259788","0.185763787956425","5"
"Rarely","2007","Not Working","Urban Area","17","","","","5"
"Rarely","2007","Not Working","Rural Area","10","","","","5"
"Yes, every 2 weeks","2007","Full Time","Urban Area","699","0.148167438251249","0.138343700046139","0.157991176456358","3"
"Yes, every 2 weeks","2007","Part Time","Urban Area","347","0.149078649514433","0.135131140165089","0.163026158863777","3"
"Yes, every 2 weeks","2007","Not Working","Urban Area","19","","","","3"
"Yes, every 2 weeks","2007","Full Time","Rural Area","440","0.185050130219839","0.170091486766711","0.200008773672967","3"
"Yes, every 2 weeks","2007","Part Time","Rural Area","186","0.151686315760761","0.131166876881785","0.172205754639737","3"
"Yes, every 2 weeks","2007","Not Working","Rural Area","10","","","","3"
"Yes, every 3-4 weeks","2007","Full Time","Urban Area","512","0.103096292820056","0.0946878086731838","0.111504776966927","4"
"Yes, every 3-4 weeks","2007","Full Time","Rural Area","292","0.116232070957126","0.103886414932295","0.128577726981958","4"
"Yes, every 3-4 weeks","2007","Part Time","Urban Area","199","0.0870919340549169","0.0760499601720483","0.0981339079377854","4"
"Yes, every 3-4 weeks","2007","Part Time","Rural Area","98","0.0846785993282236","0.0687532970775786","0.100603901578869","4"
"Yes, every 3-4 weeks","2007","Not Working","Urban Area","9","","","","4"
"Yes, every 3-4 weeks","2007","Not Working","Rural Area","5","","","","4"
"Yes, every week","2007","Full Time","Urban Area","748","0.150582759666474","0.140693325644234","0.160472193688714","2"
"Yes, every week","2007","Part Time","Urban Area","322","0.137252851884966","0.123777296272977","0.150728407496954","2"
"Yes, every week","2007","Full Time","Rural Area","437","0.160560121537","0.146418614030128","0.174701629043872","2"
"Yes, every week","2007","Part Time","Rural Area","153","0.1430838672349","0.123053978492916","0.163113755976883","2"
"Yes, every week","2007","Not Working","Urban Area","20","","","","2"
"Yes, every week","2007","Not Working","Rural Area","13","","","","2"
"No, never","2008","Full Time","Urban Area","","","","","1"
"No, never","2008","Full Time","Rural Area","","","","","1"
"No, never","2008","Part Time","Urban Area","","","","","1"
"No, never","2008","Part Time","Rural Area","","","","","1"
"No, never","2008","Not Working","Urban Area","","","","","1"
"No, never","2008","Not Working","Rural Area","","","","","1"
"Rarely","2008","Full Time","Urban Area","","","","","5"
"Rarely","2008","Part Time","Urban Area","","","","","5"
"Rarely","2008","Full Time","Rural Area","","","","","5"
"Rarely","2008","Part Time","Rural Area","","","","","5"
"Rarely","2008","Not Working","Urban Area","","","","","5"
"Rarely","2008","Not Working","Rural Area","","","","","5"
"Yes, every 2 weeks","2008","Full Time","Urban Area","","","","","3"
"Yes, every 2 weeks","2008","Full Time","Rural Area","","","","","3"
"Yes, every 2 weeks","2008","Part Time","Urban Area","","","","","3"
"Yes, every 2 weeks","2008","Not Working","Urban Area","","","","","3"
"Yes, every 2 weeks","2008","Part Time","Rural Area","","","","","3"
"Yes, every 2 weeks","2008","Not Working","Rural Area","","","","","3"
"Yes, every 3-4 weeks","2008","Full Time","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2008","Full Time","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2008","Part Time","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2008","Part Time","Rural Area","","","","","4"
"Yes, every 3-4 weeks","2008","Not Working","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2008","Not Working","Rural Area","","","","","4"
"Yes, every week","2008","Full Time","Urban Area","","","","","2"
"Yes, every week","2008","Full Time","Rural Area","","","","","2"
"Yes, every week","2008","Part Time","Urban Area","","","","","2"
"Yes, every week","2008","Not Working","Urban Area","","","","","2"
"Yes, every week","2008","Part Time","Rural Area","","","","","2"
"Yes, every week","2008","Not Working","Rural Area","","","","","2"
"No, never","2009","Part Time","Urban Area","1016","0.446414124736055","0.425914239037954","0.466914010434155","1"
"No, never","2009","Not Working","Rural Area","22","","","","1"
"No, never","2009","Full Time","Urban Area","1468","0.332634836152639","0.318711710533372","0.346557961771906","1"
"No, never","2009","Full Time","Rural Area","646","0.273896462240628","0.255804313359217","0.291988611122039","1"
"No, never","2009","Part Time","Rural Area","487","0.420179893553772","0.390756042527015","0.449603744580529","1"
"No, never","2009","Not Working","Urban Area","42","0.436003014311017","0.332395824978265","0.539610203643769","1"
"Rarely","2009","Full Time","Urban Area","1275","0.279440134632491","0.266179920563065","0.292700348701917","5"
"Rarely","2009","Part Time","Urban Area","440","0.187228759223934","0.17114230160195","0.203315216845918","5"
"Rarely","2009","Full Time","Rural Area","663","0.290898988150027","0.27247333791025","0.309324638389804","5"
"Rarely","2009","Part Time","Rural Area","197","0.2000413425503","0.176194609186856","0.223888075913745","5"
"Rarely","2009","Not Working","Urban Area","6","","","","5"
