"plb0218","year","e11102","sex","n","percent","lower_confidence","upper_confidence"
"No, never","2005","Not Employed","Male","42","0.522749325335111","0.411903126270988","0.633595524399234"
"No, never","2005","Not Employed","Female","58","0.636084975413972","0.538301790509878","0.733868160318067"
"No, never","2005","Employed","Male","1787","0.293001755981622","0.281489192754467","0.304514319208776"
"No, never","2005","Employed","Female","2399","0.444739576406435","0.431333100032964","0.458146052779905"
"Yes, every week","2005","Not Employed","Male","12","","",""
"Yes, every week","2005","Not Employed","Female","7","","",""
"Yes, every week","2005","Employed","Male","907","0.156299370807031","0.147113918414486","0.165484823199575"
"Yes, every week","2005","Employed","Female","681","0.142501098809513","0.133070499544263","0.151931698074762"
"Yes, every 2 weeks","2005","Not Employed","Male","5","","",""
"Yes, every 2 weeks","2005","Not Employed","Female","13","","",""
"Yes, every 2 weeks","2005","Employed","Male","776","0.133968689501295","0.125352877764673","0.142584501237916"
"Yes, every 2 weeks","2005","Employed","Female","804","0.163043137431079","0.153077244951089","0.173009029911069"
"Yes, every 3-4 weeks","2005","Not Employed","Male","5","","",""
"Yes, every 3-4 weeks","2005","Not Employed","Female","4","","",""
"Yes, every 3-4 weeks","2005","Employed","Male","645","0.105693549259413","0.0979168523689029","0.113470246149923"
"Yes, every 3-4 weeks","2005","Employed","Female","393","0.0769755679447124","0.0697844494113314","0.0841666864780934"
"Rarely","2005","Not Employed","Male","14","","",""
"Rarely","2005","Not Employed","Female","11","","",""
"Rarely","2005","Employed","Male","1889","0.31103663445064","0.299327316844221","0.322745952057059"
"Rarely","2005","Employed","Female","1001","0.172740619408261","0.162542232492862","0.182939006323661"
"No, never","2006","Not Employed","Male","","","",""
"No, never","2006","Not Employed","Female","","","",""
"No, never","2006","Employed","Male","","","",""
"No, never","2006","Employed","Female","","","",""
"Yes, every week","2006","Not Employed","Male","","","",""
"Yes, every week","2006","Not Employed","Female","","","",""
"Yes, every week","2006","Employed","Male","","","",""
"Yes, every week","2006","Employed","Female","","","",""
"Yes, every 2 weeks","2006","Not Employed","Male","","","",""
"Yes, every 2 weeks","2006","Not Employed","Female","","","",""
"Yes, every 2 weeks","2006","Employed","Male","","","",""
"Yes, every 2 weeks","2006","Employed","Female","","","",""
"Yes, every 3-4 weeks","2006","Not Employed","Male","","","",""
"Yes, every 3-4 weeks","2006","Not Employed","Female","","","",""
"Yes, every 3-4 weeks","2006","Employed","Male","","","",""
"Yes, every 3-4 weeks","2006","Employed","Female","","","",""
"Rarely","2006","Not Employed","Male","","","",""
"Rarely","2006","Not Employed","Female","","","",""
"Rarely","2006","Employed","Male","","","",""
"Rarely","2006","Employed","Female","","","",""
"No, never","2007","Not Employed","Male","38","0.508237824153005","0.393555175845398","0.622920472460613"
"No, never","2007","Not Employed","Female","72","0.498591305671418","0.415768039353186","0.581414571989651"
"No, never","2007","Employed","Male","1750","0.294087503247008","0.28254517409119","0.305629832402825"
"No, never","2007","Employed","Female","2298","0.42219919700462","0.408909586882392","0.435488807126848"
"Yes, every week","2007","Not Employed","Male","10","","",""
"Yes, every week","2007","Not Employed","Female","23","","",""
"Yes, every week","2007","Employed","Male","936","0.151966575980646","0.14287246481312","0.161060687148171"
"Yes, every week","2007","Employed","Female","724","0.145628282495224","0.136137308932483","0.155119256057966"
"Yes, every 2 weeks","2007","Not Employed","Male","9","","",""
"Yes, every 2 weeks","2007","Not Employed","Female","20","","",""
"Yes, every 2 weeks","2007","Employed","Male","858","0.156857613546846","0.147644996942624","0.166070230151068"
"Yes, every 2 weeks","2007","Employed","Female","814","0.15710152543816","0.14731018156885","0.16689286930747"
"Yes, every 3-4 weeks","2007","Not Employed","Male","6","","",""
"Yes, every 3-4 weeks","2007","Not Employed","Female","8","","",""
"Yes, every 3-4 weeks","2007","Employed","Male","675","0.114857011634279","0.106779730336903","0.122934292931656"
"Yes, every 3-4 weeks","2007","Employed","Female","426","0.0831081609277804","0.0756806147959083","0.0905357070596524"
"Rarely","2007","Not Employed","Male","10","","",""
"Rarely","2007","Not Employed","Female","17","","",""
