"plb0218","year","sex","n","percent","lower_confidence","upper_confidence"
"No, never","2005","Male","1829","0.296054012793442","0.284580932633409","0.307527092953475"
"No, never","2005","Female","2457","0.447732654562472","0.434434095626703","0.461031213498242"
"Yes, every week","2005","Male","919","0.155586380838864","0.146477012000092","0.164695749677635"
"Yes, every week","2005","Female","688","0.141776357638382","0.132447624720879","0.151105090555884"
"Yes, every 2 weeks","2005","Male","781","0.133097514621769","0.124560717115133","0.141634312128405"
"Yes, every 2 weeks","2005","Female","817","0.162664536644998","0.152794546987184","0.172534526302812"
"Yes, every 3-4 weeks","2005","Male","650","0.104928880652197","0.0972269221339896","0.112630839170405"
"Yes, every 3-4 weeks","2005","Female","397","0.076530256142823","0.0694206026667178","0.0836399096189281"
"Rarely","2005","Male","1903","0.310333211093728","0.298706452182302","0.321959970005154"
"Rarely","2005","Female","1012","0.171296195011325","0.16122005857729","0.18137233144536"
"No, never","2006","Male","","","",""
"No, never","2006","Female","","","",""
"Yes, every week","2006","Male","","","",""
"Yes, every week","2006","Female","","","",""
"Yes, every 2 weeks","2006","Male","","","",""
"Yes, every 2 weeks","2006","Female","","","",""
"Yes, every 3-4 weeks","2006","Male","","","",""
"Yes, every 3-4 weeks","2006","Female","","","",""
"Rarely","2006","Male","","","",""
"Rarely","2006","Female","","","",""
"No, never","2007","Male","1788","0.297014210477612","0.28550860436848","0.308519816586745"
"No, never","2007","Female","2370","0.424377363162834","0.411250700947135","0.437504025378532"
"Yes, every week","2007","Male","946","0.151590423447284","0.142560454042577","0.16062039285199"
"Yes, every week","2007","Female","747","0.145006435397688","0.135654869602273","0.154358001193103"
"Yes, every 2 weeks","2007","Male","867","0.155824303057499","0.146691972271522","0.164956633843475"
"Yes, every 2 weeks","2007","Female","834","0.158535559516311","0.148835140344643","0.168235978687979"
"Yes, every 3-4 weeks","2007","Male","681","0.11487791842972","0.10684880707187","0.12290702978757"
"Yes, every 3-4 weeks","2007","Female","434","0.0819295273197479","0.0746455680778688","0.0892134865616271"
"Rarely","2007","Male","1777","0.280693144587885","0.269379028839971","0.292007260335798"
"Rarely","2007","Female","1061","0.19015111460342","0.179728883365042","0.200573345841798"
"No, never","2008","Male","","","",""
"No, never","2008","Female","","","",""
"Yes, every week","2008","Male","","","",""
"Yes, every week","2008","Female","","","",""
"Yes, every 2 weeks","2008","Male","","","",""
"Yes, every 2 weeks","2008","Female","","","",""
"Yes, every 3-4 weeks","2008","Male","","","",""
"Yes, every 3-4 weeks","2008","Female","","","",""
"Rarely","2008","Male","","","",""
"Rarely","2008","Female","","","",""
"No, never","2009","Male","1571","0.296668585727249","0.284324156692462","0.309013014762035"
"No, never","2009","Female","2110","0.426498801711342","0.412722656867753","0.440274946554932"
"Yes, every week","2009","Male","843","0.161123866563893","0.151188495860892","0.171059237266893"
"Yes, every week","2009","Female","724","0.151925793953872","0.141927306352549","0.161924281555194"
"Yes, every 2 weeks","2009","Male","681","0.137242548686968","0.127943383430952","0.146541713942983"
"Yes, every 2 weeks","2009","Female","780","0.164947386042391","0.154609511281634","0.175285260803148"
"Yes, every 3-4 weeks","2009","Male","549","0.102749356720978","0.0945439206933614","0.110954792748594"
"Yes, every 3-4 weeks","2009","Female","365","0.0683906166343355","0.0613596212197305","0.0754216120489405"
"Rarely","2009","Male","1616","0.302215642300913","0.289805570239951","0.314625714361876"
"Rarely","2009","Female","972","0.188237401658059","0.177348875311601","0.199125928004518"
"No, never","2010","Male","664","0.29025802944207","0.272372960910068","0.308143097974071"
"No, never","2010","Female","870","0.42030239919554","0.398924511026183","0.441680287364897"
"Yes, every week","2010","Male","339","0.128497352557658","0.115310848015007","0.141683857100309"
"Yes, every week","2010","Female","294","0.142083669133729","0.126962768335867","0.157204569931591"
"Yes, every 2 weeks","2010","Male","394","0.15560372967081","0.141320336275546","0.169887123066075"
"Yes, every 2 weeks","2010","Female","365","0.184538875693723","0.16773812525217","0.201339626135276"
"Yes, every 3-4 weeks","2010","Male","282","0.117046517452308","0.104378857303037","0.129714177601578"
"Yes, every 3-4 weeks","2010","Female","151","0.0722111837861415","0.0610010727646","0.083421294807683"
"Rarely","2010","Male","795","0.308594370877154","0.290392807224618","0.32679593452969"
"Rarely","2010","Female","368","0.180863872190866","0.164193815852684","0.197533928529048"
"No, never","2011","Male","2597","0.311795873008484","0.301889193394587","0.321702552622381"
"No, never","2011","Female","3722","0.441439427485031","0.430795163163286","0.452083691806776"
"Yes, every week","2011","Male","1270","0.148920517159758","0.141306801937373","0.156534232382143"
"Yes, every week","2011","Female","1170","0.147729385136513","0.140123195397484","0.155335574875543"
"Yes, every 2 weeks","2011","Male","1203","0.144125818760009","0.136614604391412","0.151637033128605"
"Yes, every 2 weeks","2011","Female","1419","0.167996030351435","0.159981885988115","0.176010174714754"
"Yes, every 3-4 weeks","2011","Male","893","0.103444995708326","0.0969320491763348","0.109957942240318"
"Yes, every 3-4 weeks","2011","Female","660","0.0765326582295404","0.0708339145703151","0.0822314018887656"
"Rarely","2011","Male","2436","0.291712795363422","0.281991665653824","0.30143392507302"
"Rarely","2011","Female","1389","0.166302498797481","0.158320740183689","0.174284257411274"
"No, never","2012","Male","813","0.336960212469163","0.318293192507661","0.355627232430664"
"No, never","2012","Female","1236","0.46163314628756","0.442804566491134","0.480461726083986"
"Yes, every week","2012","Male","351","0.139443935741289","0.125763331304707","0.15312454017787"
"Yes, every week","2012","Female","394","0.142176105978749","0.12898618203033","0.155366029927168"
"Yes, every 2 weeks","2012","Male","410","0.175600125747152","0.160573991838985","0.190626259655318"
"Yes, every 2 weeks","2012","Female","450","0.17270599617254","0.158429765366201","0.186982226978879"
