"plb0218","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No, never","2005","Urban Area","3035","0.378357774738715","0.367563865190048","0.389151684287381","1"
"No, never","2005","Rural Area","1251","0.329799230267589","0.314646464232477","0.344951996302701","1"
"Rarely","2005","Urban Area","1978","0.250367806429092","0.240725730506936","0.260009882351248","5"
"Rarely","2005","Rural Area","937","0.243885742505955","0.23004524958858","0.25772623542333","5"
"Yes, every 2 weeks","2005","Urban Area","1029","0.141649292002995","0.13388866556615","0.149409918439839","3"
"Yes, every 2 weeks","2005","Rural Area","569","0.156864985610831","0.145143674121416","0.168586297100245","3"
"Yes, every 3-4 weeks","2005","Urban Area","680","0.0869217501617597","0.0806516364088592","0.0931918639146601","4"
"Yes, every 3-4 weeks","2005","Rural Area","367","0.104570520583764","0.094708067125981","0.114432974041547","4"
"Yes, every week","2005","Urban Area","1033","0.142703376667439","0.134918712686661","0.150488040648217","2"
"Yes, every week","2005","Rural Area","574","0.164879521031861","0.152919758322211","0.176839283741512","2"
"No, never","2006","Urban Area","","","","","1"
"No, never","2006","Rural Area","","","","","1"
"Rarely","2006","Urban Area","","","","","5"
"Rarely","2006","Rural Area","","","","","5"
"Yes, every 2 weeks","2006","Urban Area","","","","","3"
"Yes, every 2 weeks","2006","Rural Area","","","","","3"
"Yes, every 3-4 weeks","2006","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2006","Rural Area","","","","","4"
"Yes, every week","2006","Urban Area","","","","","2"
"Yes, every week","2006","Rural Area","","","","","2"
"No, never","2007","Urban Area","2916","0.373133627799988","0.362304419710538","0.383962835889439","1"
"No, never","2007","Rural Area","1242","0.313054373034284","0.298392685227402","0.327716060841166","1"
"Rarely","2007","Urban Area","1871","0.233893785930689","0.224415477179093","0.243372094682285","5"
"Rarely","2007","Rural Area","967","0.253605060758425","0.239849566507065","0.267360555009785","5"
"Yes, every 2 weeks","2007","Urban Area","1065","0.149511424858219","0.141526911544754","0.157495938171684","3"
"Yes, every 2 weeks","2007","Rural Area","636","0.173179771696997","0.161216030029383","0.18514351336461","3"
"Yes, every 3-4 weeks","2007","Urban Area","720","0.0976140747479607","0.0909685482397747","0.104259601256147","4"
"Yes, every 3-4 weeks","2007","Rural Area","395","0.105521254056464","0.0958079298748601","0.115234578238069","4"
"Yes, every week","2007","Urban Area","1090","0.145847086663144","0.137944055223401","0.153750118102886","2"
"Yes, every week","2007","Rural Area","603","0.15463954045383","0.14320827949285","0.166070801414811","2"
"No, never","2008","Urban Area","","","","","1"
"No, never","2008","Rural Area","","","","","1"
"Rarely","2008","Urban Area","","","","","5"
"Rarely","2008","Rural Area","","","","","5"
"Yes, every 2 weeks","2008","Urban Area","","","","","3"
"Yes, every 2 weeks","2008","Rural Area","","","","","3"
"Yes, every 3-4 weeks","2008","Urban Area","","","","","4"
"Yes, every 3-4 weeks","2008","Rural Area","","","","","4"
"Yes, every week","2008","Urban Area","","","","","2"
"Yes, every week","2008","Rural Area","","","","","2"
"No, never","2009","Rural Area","1155","0.323771415002718","0.308191593212798","0.339351236792638","1"
"No, never","2009","Urban Area","2526","0.371342790112979","0.35981305390544","0.382872526320518","1"
"Rarely","2009","Urban Area","1721","0.245914400059269","0.23563832597399","0.256190474144548","5"
"Rarely","2009","Rural Area","867","0.258449333662568","0.243872788763515","0.273025878561621","5"
"Yes, every 2 weeks","2009","Rural Area","539","0.160119071026008","0.14790875618253","0.172329385869485","3"
"Yes, every 2 weeks","2009","Urban Area","922","0.145256541585886","0.136848193825347","0.153664889346425","3"
"Yes, every 3-4 weeks","2009","Rural Area","343","0.0929222773671151","0.0832555683779883","0.102588986356242","4"
"Yes, every 3-4 weeks","2009","Urban Area","571","0.0842174035920157","0.0775903262426629","0.0908444809413685","4"
"Yes, every week","2009","Rural Area","561","0.164737902941592","0.152386831741815","0.177088974141369","2"
"Yes, every week","2009","Urban Area","1006","0.153268864649851","0.144672305463918","0.161865423835783","2"
"No, never","2010","Rural Area","551","0.350379289820872","0.327239780593408","0.373518799048335","1"
"No, never","2010","Urban Area","983","0.346870564627224","0.32951424368379","0.364226885570658","1"
"Rarely","2010","Rural Area","388","0.230665024136426","0.210233366122156","0.251096682150696","5"
"Rarely","2010","Urban Area","775","0.261788499670708","0.245758260373764","0.277818738967653","5"
"Yes, every 2 weeks","2010","Rural Area","282","0.171431266390378","0.153151767504145","0.189710765276611","3"
"Yes, every 2 weeks","2010","Urban Area","477","0.16705793955491","0.153455547853477","0.180660331256343","3"
"Yes, every 3-4 weeks","2010","Rural Area","160","0.0993744583046004","0.0848645550927127","0.113884361516488","4"
"Yes, every 3-4 weeks","2010","Urban Area","273","0.0961038116961558","0.0853563995387286","0.106851223853583","4"
"Yes, every week","2010","Rural Area","252","0.148149961347724","0.130919879374824","0.165380043320624","2"
"Yes, every week","2010","Urban Area","381","0.128179184451002","0.115989381392332","0.140368987509672","2"
"No, never","2011","Rural Area","2110","0.350221974344161","0.338102861317995","0.362341087370326","1"
"No, never","2011","Urban Area","4209","0.381970419974318","0.372810007863883","0.391130832084753","1"
"Rarely","2011","Rural Area","1344","0.244032702550014","0.233121009292814","0.254944395807214","5"
"Rarely","2011","Urban Area","2481","0.228843508118063","0.220923309491535","0.236763706744592","5"
"Yes, every 2 weeks","2011","Rural Area","1041","0.167729800897687","0.158237884211841","0.177221717583534","3"
"Yes, every 2 weeks","2011","Urban Area","1581","0.149160336197697","0.142443789234958","0.155876883160436","3"
"Yes, every 3-4 weeks","2011","Rural Area","586","0.100056642221942","0.0924332690420108","0.107680015401874","4"
"Yes, every 3-4 weeks","2011","Urban Area","967","0.0866884701703021","0.0813834669135152","0.091993473427089","4"
"Yes, every week","2011","Rural Area","871","0.137958879986196","0.129197844267548","0.146719915704845","2"
"Yes, every week","2011","Urban Area","1569","0.153337265539619","0.146544062506512","0.160130468572727","2"
"No, never","2012","Rural Area","774","0.39199329218974","0.370302761584841","0.413683822794638","1"
"No, never","2012","Urban Area","1275","0.401519226255626","0.38456125677568","0.418477195735572","1"
"Rarely","2012","Rural Area","360","0.185659300472824","0.168383503230232","0.202935097715417","5"
"Rarely","2012","Urban Area","671","0.199151564481578","0.185336191897878","0.212966937065277","5"
"Yes, every 2 weeks","2012","Urban Area","520","0.170494851372861","0.15748534697897","0.183504355766751","3"
