"plb0218","year","n","percent","lower_confidence","upper_confidence"
"No, never","2005","4286","0.363618125611791","0.354808242967065","0.372428008256516"
"Yes, every week","2005","1607","0.149434809631085","0.142905486672691","0.155964132589478"
"Yes, every 2 weeks","2005","1598","0.146267922718659","0.139796141799904","0.152739703637414"
"Yes, every 3-4 weeks","2005","1047","0.0922789264604987","0.0869784374743106","0.0975794154466869"
"Rarely","2005","2915","0.248400215577967","0.240486913067433","0.256313518088501"
"No, never","2006","","","",""
"Yes, every week","2006","","","",""
"Yes, every 2 weeks","2006","","","",""
"Yes, every 3-4 weeks","2006","","","",""
"Rarely","2006","","","",""
"No, never","2007","4158","0.35402832853655","0.345289956653365","0.362766700419735"
"Yes, every week","2007","1693","0.148643101054236","0.142142807229802","0.15514339487867"
"Yes, every 2 weeks","2007","1701","0.157037997070027","0.150389688738347","0.163686305401707"
"Yes, every 3-4 weeks","2007","1115","0.100128570435495","0.0946436034348917","0.105613537436098"
"Rarely","2007","2838","0.240162002903692","0.232356202686897","0.247967803120487"
"No, never","2008","","","",""
"Yes, every week","2008","","","",""
"Yes, every 2 weeks","2008","","","",""
"Yes, every 3-4 weeks","2008","","","",""
"Rarely","2008","","","",""
"No, never","2009","3681","0.356278764060874","0.346990001968616","0.365567526153133"
"Yes, every week","2009","1567","0.156900668254832","0.149846176631569","0.163955159878095"
"Yes, every 2 weeks","2009","1461","0.149962933405909","0.14303785255191","0.156888014259907"
"Yes, every 3-4 weeks","2009","914","0.0869739025375359","0.0815081492168822","0.0924396558581897"
"Rarely","2009","2588","0.249883731740849","0.241486285414894","0.258281178066805"
"No, never","2010","1534","0.347986087883617","0.334102804642088","0.361869371125146"
"Yes, every week","2010","633","0.13452846085397","0.124583197357161","0.144473724350779"
"Yes, every 2 weeks","2010","759","0.168448344195776","0.157539950555114","0.179356737836438"
"Yes, every 3-4 weeks","2010","433","0.0971436430177331","0.08851188344341","0.105775402592056"
"Rarely","2010","1163","0.251893464048904","0.239241061937032","0.264545866160776"
"No, never","2011","6319","0.371715555075676","0.364398984570657","0.379032125580694"
"Yes, every week","2011","2440","0.148369990352459","0.142988252327967","0.153751728376951"
"Yes, every 2 weeks","2011","2622","0.155158341705016","0.149676843637073","0.16063983977296"
"Yes, every 3-4 weeks","2011","1553","0.0910064389908341","0.086651916835734","0.0953609611459342"
"Rarely","2011","3825","0.233749673876015","0.227342228927011","0.240157118825019"
"No, never","2012","2049","0.398267935449006","0.384905645685693","0.411630225212318"
"Yes, every week","2012","745","0.140787476242998","0.131294028855061","0.150280923630936"
"Yes, every 2 weeks","2012","860","0.174176941991113","0.163824794051184","0.184529089931041"
"Yes, every 3-4 weeks","2012","471","0.0922211183208345","0.0843234868099241","0.100118749831745"
"Rarely","2012","1031","0.194546527996049","0.18374155693875","0.205351499053347"
"No, never","2013","6002","0.368347833174567","0.360765187148205","0.375930479200928"
"Yes, every week","2013","2099","0.13594617300594","0.130558433123182","0.141333912888697"
"Yes, every 2 weeks","2013","2417","0.155876406064","0.150174160191852","0.161578651936148"
"Yes, every 3-4 weeks","2013","1360","0.0914314179435293","0.0869005718211449","0.0959622640659137"
"Rarely","2013","3667","0.248398169811964","0.241605807585337","0.255190532038591"
"No, never","2014","","","",""
"Yes, every week","2014","","","",""
"Yes, every 2 weeks","2014","","","",""
"Yes, every 3-4 weeks","2014","","","",""
"Rarely","2014","","","",""
"No, never","2015","6056","0.38174810994434","0.374054962482461","0.389441257406219"
"Yes, every week","2015","2074","0.136194657951057","0.130763144462991","0.141626171439123"
"Yes, every 2 weeks","2015","2365","0.159530427458592","0.153731927678328","0.165328927238856"
"Yes, every 3-4 weeks","2015","1309","0.0865071314884269","0.0820555798126499","0.0909586831642039"
"Rarely","2015","3515","0.236019673157584","0.229295357799331","0.242743988515837"
"No, never","2016","","","",""
"Yes, every week","2016","","","",""
"Yes, every 2 weeks","2016","","","",""
"Yes, every 3-4 weeks","2016","","","",""
"Rarely","2016","","","",""
"No, never","2017","7159","0.419964384359934","0.41250425891144","0.427424509808427"
"Yes, every week","2017","2263","0.13339473993509","0.128255574690573","0.138533905179606"
"Yes, every 2 weeks","2017","2513","0.148032329616663","0.14266445437167","0.153400204861655"
"Yes, every 3-4 weeks","2017","1615","0.0900021485694828","0.0856764207303391","0.0943278764086265"
"Rarely","2017","3264","0.208606397518831","0.202464923079583","0.21474787195808"
"No, never","2018","","","",""
"Yes, every week","2018","","","",""
"Yes, every 2 weeks","2018","","","",""
"Yes, every 3-4 weeks","2018","","","",""
"Rarely","2018","","","",""
"No, never","2019","6984","0.426497585151392","0.419043585639635","0.433951584663149"
"Yes, every week","2019","2433","0.126989448400395","0.121971143886498","0.132007752914292"
"Yes, every 2 weeks","2019","2490","0.145805553491996","0.140486567446262","0.151124539537729"
"Yes, every 3-4 weeks","2019","1521","0.0873057929073842","0.0830513017656973","0.0915602840490711"
"Rarely","2019","3483","0.213401620048833","0.207226593543261","0.219576646554406"
