"plb0218","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"No, never","2005","Full Time","in school","3","","",""
"No, never","2005","Full Time","inadequately","27","","",""
"No, never","2005","Full Time","general elemantary","227","0.416331558255839","0.373757284480512","0.458905832031167"
"No, never","2005","Full Time","middle vocational","1173","0.314128848061814","0.298997796215704","0.329259899907924"
"No, never","2005","Full Time","vocational + Abi","207","0.409001956785433","0.36641576310632","0.451588150464547"
"No, never","2005","Full Time","higher vocational","195","0.249780403644764","0.21888201712166","0.280678790167867"
"No, never","2005","Full Time","higher education","640","0.285602254043463","0.266597201386184","0.304607306700742"
"No, never","2005","Part Time","in school","10","","",""
"No, never","2005","Part Time","inadequately","12","","",""
"No, never","2005","Part Time","general elemantary","192","0.472414551532239","0.421407265172948","0.52342183789153"
"No, never","2005","Part Time","middle vocational","852","0.4478692896582","0.425246002971105","0.470492576345295"
"No, never","2005","Part Time","vocational + Abi","125","0.498298045918534","0.43680886314856","0.559787228688508"
"No, never","2005","Part Time","higher vocational","108","0.412489907250658","0.352068292147331","0.472911522353985"
"No, never","2005","Part Time","higher education","356","0.451703685198545","0.415701029154859","0.487706341242231"
"No, never","2005","Not Working","in school","3","","",""
"No, never","2005","Not Working","inadequately","3","","",""
"No, never","2005","Not Working","general elemantary","13","","",""
"No, never","2005","Not Working","middle vocational","47","0.68706843843516","0.578444947960888","0.795691928909432"
"No, never","2005","Not Working","vocational + Abi","4","","",""
"No, never","2005","Not Working","higher vocational","5","","",""
"No, never","2005","Not Working","higher education","16","","",""
"Yes, every week","2005","Full Time","in school","","","",""
"Yes, every week","2005","Full Time","inadequately","4","","",""
"Yes, every week","2005","Full Time","general elemantary","69","0.158964206663929","0.127384987336665","0.190543425991194"
"Yes, every week","2005","Full Time","middle vocational","539","0.156183230793379","0.144349131269778","0.16801733031698"
"Yes, every week","2005","Full Time","vocational + Abi","53","0.0953444534798708","0.0699053118923132","0.120783595067428"
"Yes, every week","2005","Full Time","higher vocational","128","0.175044356656115","0.14792047917922","0.202168234133009"
"Yes, every week","2005","Full Time","higher education","337","0.158264688170099","0.14290798426449","0.173621392075708"
"Yes, every week","2005","Part Time","in school","14","","",""
"Yes, every week","2005","Part Time","inadequately","4","","",""
"Yes, every week","2005","Part Time","general elemantary","61","0.205684363487489","0.164387090341703","0.246981636633275"
"Yes, every week","2005","Part Time","middle vocational","241","0.142898253822645","0.126976578775439","0.15881992886985"
"Yes, every week","2005","Part Time","vocational + Abi","17","","",""
"Yes, every week","2005","Part Time","higher vocational","19","","",""
"Yes, every week","2005","Part Time","higher education","81","0.111690756400888","0.0889035667010367","0.134477946100739"
"Yes, every week","2005","Not Working","in school","","","",""
"Yes, every week","2005","Not Working","inadequately","","","",""
"Yes, every week","2005","Not Working","general elemantary","4","","",""
"Yes, every week","2005","Not Working","middle vocational","8","","",""
"Yes, every week","2005","Not Working","vocational + Abi","","","",""
"Yes, every week","2005","Not Working","higher vocational","4","","",""
"Yes, every week","2005","Not Working","higher education","2","","",""
"Yes, every 2 weeks","2005","Full Time","in school","","","",""
"Yes, every 2 weeks","2005","Full Time","inadequately","5","","",""
"Yes, every 2 weeks","2005","Full Time","general elemantary","80","0.166009494539787","0.133873518616108","0.198145470463465"
"Yes, every 2 weeks","2005","Full Time","middle vocational","544","0.151826718243612","0.140128752737233","0.163524683749991"
"Yes, every 2 weeks","2005","Full Time","vocational + Abi","74","0.143811326933154","0.113416869427444","0.174205784438864"
"Yes, every 2 weeks","2005","Full Time","higher vocational","116","0.169310323155905","0.142541853457776","0.196078792854033"
