"plb0218","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"No, never","2005","Full Time","Male","1459","0.282769051934459","0.270447931137149","0.295090172731768","1"
"No, never","2005","Full Time","Female","1043","0.396864321015818","0.377875126673125","0.415853515358512","1"
"No, never","2005","Part Time","Male","328","0.347960127415821","0.316345238069811","0.379575016761832","1"
"No, never","2005","Part Time","Female","1356","0.490615625260343","0.471856205325719","0.509375045194967","1"
"No, never","2005","Not Working","Male","42","0.522749325335111","0.411903126270988","0.633595524399234","1"
"No, never","2005","Not Working","Female","58","0.636084975413972","0.538301790509878","0.733868160318067","1"
"Rarely","2005","Full Time","Male","1657","0.317983000646101","0.305241977091289","0.330724024200914","5"
"Rarely","2005","Full Time","Female","547","0.195155505595946","0.179773095216304","0.210537915975589","5"
"Rarely","2005","Part Time","Male","232","0.273728707657431","0.244134994430734","0.303322420884129","5"
"Rarely","2005","Part Time","Female","454","0.151261748843268","0.137816236540546","0.164707261145991","5"
"Rarely","2005","Not Working","Male","14","","","","5"
"Rarely","2005","Not Working","Female","11","","","","5"
"Yes, every 2 weeks","2005","Part Time","Male","109","0.130863396041781","0.10847912467458","0.153247667408981","3"
"Yes, every 2 weeks","2005","Full Time","Male","667","0.13454686436568","0.125210810784989","0.14388291794637","3"
"Yes, every 2 weeks","2005","Full Time","Female","389","0.173849035954377","0.159139673446407","0.188558398462346","3"
"Yes, every 2 weeks","2005","Part Time","Female","415","0.152688478755726","0.139191063854566","0.166185893656887","3"
"Yes, every 2 weeks","2005","Not Working","Male","5","","","","3"
"Yes, every 2 weeks","2005","Not Working","Female","13","","","","3"
"Yes, every 3-4 weeks","2005","Full Time","Male","577","0.111312197002609","0.102707199387379","0.119917194617839","4"
"Yes, every 3-4 weeks","2005","Part Time","Male","68","0.0755166059797834","0.0579793905384937","0.0930538214210731","4"
"Yes, every 3-4 weeks","2005","Full Time","Female","206","0.0791520773508354","0.0686734808846284","0.0896306738170424","4"
"Yes, every 3-4 weeks","2005","Not Working","Male","5","","","","4"
"Yes, every 3-4 weeks","2005","Part Time","Female","187","0.0748899466559774","0.06501273480268","0.0847671585092748","4"
"Yes, every 3-4 weeks","2005","Not Working","Female","4","","","","4"
"Yes, every week","2005","Part Time","Male","135","0.171931162905183","0.146887354684407","0.19697497112596","2"
"Yes, every week","2005","Full Time","Male","772","0.153388886051151","0.143529640194026","0.163248131908276","2"
"Yes, every week","2005","Full Time","Female","365","0.154979060083024","0.140933202918719","0.169024917247329","2"
"Yes, every week","2005","Part Time","Female","316","0.130544200484685","0.117901831729896","0.143186569239473","2"
"Yes, every week","2005","Not Working","Male","12","","","","2"
"Yes, every week","2005","Not Working","Female","7","","","","2"
"No, never","2006","Part Time","Male","","","","","1"
"No, never","2006","Part Time","Female","","","","","1"
"No, never","2006","Full Time","Male","","","","","1"
"No, never","2006","Full Time","Female","","","","","1"
"No, never","2006","Not Working","Male","","","","","1"
"No, never","2006","Not Working","Female","","","","","1"
"Rarely","2006","Full Time","Male","","","","","5"
"Rarely","2006","Full Time","Female","","","","","5"
"Rarely","2006","Part Time","Male","","","","","5"
"Rarely","2006","Part Time","Female","","","","","5"
"Rarely","2006","Not Working","Male","","","","","5"
"Rarely","2006","Not Working","Female","","","","","5"
"Yes, every 2 weeks","2006","Full Time","Female","","","","","3"
"Yes, every 2 weeks","2006","Part Time","Male","","","","","3"
"Yes, every 2 weeks","2006","Part Time","Female","","","","","3"
"Yes, every 2 weeks","2006","Not Working","Male","","","","","3"
"Yes, every 2 weeks","2006","Not Working","Female","","","","","3"
"Yes, every 2 weeks","2006","Full Time","Male","","","","","3"
"Yes, every 3-4 weeks","2006","Full Time","Male","","","","","4"
"Yes, every 3-4 weeks","2006","Full Time","Female","","","","","4"
"Yes, every 3-4 weeks","2006","Part Time","Male","","","","","4"
"Yes, every 3-4 weeks","2006","Part Time","Female","","","","","4"
"Yes, every 3-4 weeks","2006","Not Working","Male","","","","","4"
"Yes, every 3-4 weeks","2006","Not Working","Female","","","","","4"
"Yes, every week","2006","Full Time","Male","","","","","2"
"Yes, every week","2006","Full Time","Female","","","","","2"
"Yes, every week","2006","Part Time","Male","","","","","2"
"Yes, every week","2006","Part Time","Female","","","","","2"
"Yes, every week","2006","Not Working","Male","","","","","2"
"Yes, every week","2006","Not Working","Female","","","","","2"
"No, never","2007","Full Time","Male","1383","0.276329708018279","0.264049583175651","0.288609832860906","1"
"No, never","2007","Full Time","Female","963","0.372322009716941","0.35344375626375","0.391200263170132","1"
"No, never","2007","Part Time","Male","367","0.388084698766135","0.356104984408086","0.420064413124183","1"
"No, never","2007","Part Time","Female","1335","0.469700727790884","0.451171780803796","0.488229674777972","1"
"No, never","2007","Not Working","Male","38","0.508237824153005","0.393555175845398","0.622920472460613","1"
"No, never","2007","Not Working","Female","72","0.498591305671418","0.415768039353186","0.581414571989651","1"
"Rarely","2007","Full Time","Male","1573","0.295588019103614","0.283057317122435","0.308118721084793","5"
"Rarely","2007","Part Time","Female","478","0.16489013401612","0.151113321464924","0.178666946567315","5"
"Rarely","2007","Full Time","Female","566","0.220389499797881","0.204202427860731","0.23657657173503","5"
"Rarely","2007","Part Time","Male","194","0.21153025780371","0.184729663225615","0.238330852381804","5"
"Rarely","2007","Not Working","Male","10","","","","5"
"Rarely","2007","Not Working","Female","17","","","","5"
"Yes, every 2 weeks","2007","Full Time","Male","744","0.160375044470973","0.150298080987974","0.170452007953972","3"
"Yes, every 2 weeks","2007","Part Time","Male","114","0.138238824556345","0.115588514985748","0.160889134126941","3"
"Yes, every 2 weeks","2007","Not Working","Male","9","","","","3"
"Yes, every 2 weeks","2007","Full Time","Female","395","0.159982443129903","0.145666685032846","0.17429820122696","3"
"Yes, every 2 weeks","2007","Part Time","Female","419","0.154357826206732","0.140944476404416","0.167771176009048","3"
