"plb0218","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"No, never","2005","Not Employed","1-pers.-HH","13","","",""
"No, never","2005","Not Employed","(Married) couple without C. ","14","","",""
"No, never","2005","Not Employed","Single parent ","14","","",""
"No, never","2005","Not Employed","Couple + C. LE 16 ","19","","",""
"No, never","2005","Not Employed","Couple + C. GT 16 ","18","","",""
"No, never","2005","Not Employed","Couple + C. LE and GT 16","15","","",""
"No, never","2005","Employed","1-pers.-HH","470","0.355912347259542","0.330229008953877","0.381595685565206"
"No, never","2005","Employed","(Married) couple without C. ","1210","0.383068733909884","0.366005286465433","0.400132181354335"
"No, never","2005","Employed","Single parent ","214","0.371294914044494","0.331665922218827","0.410923905870161"
"No, never","2005","Employed","Couple + C. LE 16 ","919","0.311359559499322","0.293992967370091","0.328726151628552"
"No, never","2005","Employed","Couple + C. GT 16 ","899","0.401979032769528","0.381634008519277","0.422324057019779"
"No, never","2005","Employed","Couple + C. LE and GT 16","389","0.364793740866434","0.335438949116665","0.394148532616203"
"Yes, every week","2005","Not Employed","1-pers.-HH","2","","",""
"Yes, every week","2005","Not Employed","(Married) couple without C. ","3","","",""
"Yes, every week","2005","Not Employed","Single parent ","1","","",""
"Yes, every week","2005","Not Employed","Couple + C. LE 16 ","6","","",""
"Yes, every week","2005","Not Employed","Couple + C. GT 16 ","5","","",""
"Yes, every week","2005","Not Employed","Couple + C. LE and GT 16","2","","",""
"Yes, every week","2005","Employed","1-pers.-HH","196","0.158579605795585","0.138984949853114","0.178174261738056"
"Yes, every week","2005","Employed","(Married) couple without C. ","448","0.156031330682839","0.143293980054612","0.168768681311066"
"Yes, every week","2005","Employed","Single parent ","81","0.162875554020657","0.132588781046702","0.193162326994611"
"Yes, every week","2005","Employed","Couple + C. LE 16 ","364","0.14590975699904","0.132669961156867","0.159149552841213"
"Yes, every week","2005","Employed","Couple + C. GT 16 ","304","0.124591347547544","0.110887337612024","0.138295357483064"
"Yes, every week","2005","Employed","Couple + C. LE and GT 16","152","0.160632669833191","0.138240772206283","0.1830245674601"
"Yes, every 2 weeks","2005","Not Employed","1-pers.-HH","1","","",""
"Yes, every 2 weeks","2005","Not Employed","(Married) couple without C. ","4","","",""
"Yes, every 2 weeks","2005","Not Employed","Single parent ","1","","",""
"Yes, every 2 weeks","2005","Not Employed","Couple + C. LE 16 ","6","","",""
"Yes, every 2 weeks","2005","Not Employed","Couple + C. GT 16 ","4","","",""
