"plb0218","year","sampreg","sex","n","percent","lower_confidence","upper_confidence"
"No, never","2005","West Germany","Male","1520","0.306688058752251","0.293570553444295","0.319805564060207"
"No, never","2005","West Germany","Female","1952","0.457599924523583","0.442411307518813","0.472788541528352"
"No, never","2005","East Germany","Male","309","0.241194868657369","0.218246246273353","0.264143491041385"
"No, never","2005","East Germany","Female","505","0.396672813201801","0.369421939267868","0.423923687135734"
"Yes, every week","2005","West Germany","Male","726","0.159712097467249","0.149290808525975","0.170133386408524"
"Yes, every week","2005","West Germany","Female","525","0.140463905076376","0.129870640557742","0.15105716959501"
"Yes, every week","2005","East Germany","Male","193","0.134302545499249","0.116011747625957","0.152593343372541"
"Yes, every week","2005","East Germany","Female","163","0.148567863280118","0.128756004370393","0.168379722189844"
"Yes, every 2 weeks","2005","West Germany","Male","562","0.123308301509191","0.113955147616637","0.132661455401744"
"Yes, every 2 weeks","2005","West Germany","Female","574","0.149967642660363","0.139082555780082","0.160852729540643"
"Yes, every 2 weeks","2005","East Germany","Male","219","0.183598316969423","0.162830361126591","0.204366272812256"
"Yes, every 2 weeks","2005","East Germany","Female","243","0.228366741528809","0.204983233495765","0.251750249561853"
"Yes, every 3-4 weeks","2005","West Germany","Male","482","0.101200425357921","0.0926209432432189","0.109779907472624"
"Yes, every 3-4 weeks","2005","West Germany","Female","295","0.0750958348316669","0.0670610975505312","0.0831305721128025"
"Yes, every 3-4 weeks","2005","East Germany","Male","168","0.124163315709736","0.106473810936018","0.141852820483453"
"Yes, every 3-4 weeks","2005","East Germany","Female","102","0.0839529095090184","0.0685051839794511","0.0994006350385857"
"Rarely","2005","West Germany","Male","1457","0.309091116913388","0.29594516239652","0.322237071430256"
"Rarely","2005","West Germany","Female","787","0.176872692908012","0.165240026144957","0.188505359671066"
"Rarely","2005","East Germany","Male","446","0.316740953164224","0.291786258337527","0.34169564799092"
"Rarely","2005","East Germany","Female","225","0.142439672480253","0.122971033462806","0.161908311497701"
"No, never","2006","West Germany","Male","","","",""
"No, never","2006","West Germany","Female","","","",""
"No, never","2006","East Germany","Male","","","",""
"No, never","2006","East Germany","Female","","","",""
"Yes, every week","2006","West Germany","Male","","","",""
"Yes, every week","2006","West Germany","Female","","","",""
"Yes, every week","2006","East Germany","Male","","","",""
"Yes, every week","2006","East Germany","Female","","","",""
"Yes, every 2 weeks","2006","West Germany","Male","","","",""
"Yes, every 2 weeks","2006","West Germany","Female","","","",""
"Yes, every 2 weeks","2006","East Germany","Male","","","",""
"Yes, every 2 weeks","2006","East Germany","Female","","","",""
"Yes, every 3-4 weeks","2006","West Germany","Male","","","",""
"Yes, every 3-4 weeks","2006","West Germany","Female","","","",""
"Yes, every 3-4 weeks","2006","East Germany","Male","","","",""
"Yes, every 3-4 weeks","2006","East Germany","Female","","","",""
"Rarely","2006","West Germany","Male","","","",""
"Rarely","2006","West Germany","Female","","","",""
"Rarely","2006","East Germany","Male","","","",""
"Rarely","2006","East Germany","Female","","","",""
"No, never","2007","West Germany","Male","1473","0.308045758351629","0.294866237958527","0.32122527874473"
"No, never","2007","West Germany","Female","1880","0.436635854475288","0.421568002248076","0.4517037067025"
"No, never","2007","East Germany","Male","315","0.243250200378503","0.220320957768693","0.266179442988313"
"No, never","2007","East Germany","Female","490","0.365718959021586","0.339375052190822","0.39206286585235"
"Yes, every week","2007","West Germany","Male","751","0.154086048153724","0.143779860296043","0.164392236011405"
"Yes, every week","2007","West Germany","Female","562","0.141886706527555","0.131285867935092","0.152487545120018"
"Yes, every week","2007","East Germany","Male","195","0.139427597935129","0.120915526018726","0.157939669851531"
"Yes, every week","2007","East Germany","Female","185","0.159934725691409","0.139885690395841","0.179983760986976"
"Yes, every 2 weeks","2007","West Germany","Male","625","0.147599169236728","0.137473652622203","0.157724685851254"
"Yes, every 2 weeks","2007","West Germany","Female","582","0.149248355137987","0.138422723918634","0.160073986357339"
"Yes, every 2 weeks","2007","East Germany","Male","242","0.195910806135459","0.174699458705416","0.217122153565502"
"Yes, every 2 weeks","2007","East Germany","Female","252","0.202975986472653","0.180975939263348","0.224976033681958"
"Yes, every 3-4 weeks","2007","West Germany","Male","522","0.113415790332741","0.104363675394408","0.122467905271075"
"Yes, every 3-4 weeks","2007","West Germany","Female","328","0.0833723175257353","0.0749737643850388","0.0917708706664318"
"Yes, every 3-4 weeks","2007","East Germany","Male","159","0.122003833185285","0.104512617437768","0.139495048932803"
"Yes, every 3-4 weeks","2007","East Germany","Female","106","0.0750255969063981","0.0606165529522574","0.0894346408605389"
"Rarely","2007","West Germany","Male","1343","0.276853233925178","0.264080280559833","0.289626187290522"
"Rarely","2007","West Germany","Female","810","0.188856766333435","0.176965938183074","0.200747594483795"
"Rarely","2007","East Germany","Male","434","0.299407562365624","0.274930964420803","0.323884160310445"
"Rarely","2007","East Germany","Female","251","0.196344731907954","0.174617214639757","0.218072249176152"
"No, never","2008","West Germany","Male","","","",""
"No, never","2008","West Germany","Female","","","",""
"No, never","2008","East Germany","Male","","","",""
"No, never","2008","East Germany","Female","","","",""
"Yes, every week","2008","West Germany","Male","","","",""
"Yes, every week","2008","West Germany","Female","","","",""
"Yes, every week","2008","East Germany","Male","","","",""
"Yes, every week","2008","East Germany","Female","","","",""
"Yes, every 2 weeks","2008","West Germany","Male","","","",""
"Yes, every 2 weeks","2008","West Germany","Female","","","",""
"Yes, every 2 weeks","2008","East Germany","Male","","","",""
"Yes, every 2 weeks","2008","East Germany","Female","","","",""
"Yes, every 3-4 weeks","2008","West Germany","Male","","","",""
"Yes, every 3-4 weeks","2008","West Germany","Female","","","",""
"Yes, every 3-4 weeks","2008","East Germany","Male","","","",""
"Yes, every 3-4 weeks","2008","East Germany","Female","","","",""
"Rarely","2008","West Germany","Male","","","",""
"Rarely","2008","West Germany","Female","","","",""
"Rarely","2008","East Germany","Male","","","",""
"Rarely","2008","East Germany","Female","","","",""
"No, never","2009","West Germany","Male","1277","0.30851965900455","0.294257647008274","0.322781671000826"
"No, never","2009","West Germany","Female","1655","0.439492401011387","0.423653367174486","0.455331434848287"
"No, never","2009","East Germany","Male","294","0.240320339716723","0.216451595057552","0.264189084375894"
"No, never","2009","East Germany","Female","455","0.364414431130592","0.336943335170555","0.391885527090628"
"Yes, every week","2009","West Germany","Male","666","0.164090280114217","0.152654374214299","0.175526186014134"
"Yes, every week","2009","West Germany","Female","557","0.154095065886781","0.142573343825867","0.165616787947695"
"Yes, every week","2009","East Germany","Male","177","0.147019473097457","0.127237206343384","0.16680173985153"
"Yes, every week","2009","East Germany","Female","167","0.141560853534884","0.121662482174806","0.161459224894962"
"Yes, every 2 weeks","2009","West Germany","Male","505","0.136020091842237","0.125434800621816","0.146605383062658"
"Yes, every 2 weeks","2009","West Germany","Female","553","0.15287276612649","0.141388542706844","0.164356989546135"
"Yes, every 2 weeks","2009","East Germany","Male","176","0.143054958872301","0.123495942601605","0.162613975142997"
"Yes, every 2 weeks","2009","East Germany","Female","227","0.222640805715411","0.198894041463816","0.246387569967005"
"Yes, every 3-4 weeks","2009","West Germany","Male","389","0.0969846868616504","0.0878467406195048","0.106122633103796"
"Yes, every 3-4 weeks","2009","West Germany","Female","264","0.0663166743129294","0.0583757067891177","0.0742576418367412"
"Yes, every 3-4 weeks","2009","East Germany","Male","160","0.130158607157814","0.111362169611761","0.148955044703866"
