"plb0218","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"No, never","2005","16-34 y.","West Germany","970","0.368998005787031","0.349709071445417","0.388286940128644"
"No, never","2005","16-34 y.","East Germany","256","0.359095026394492","0.324829917301962","0.393360135487022"
"No, never","2005","35-65 y.","West Germany","2459","0.375499081403994","0.363600693878145","0.387397468929844"
"No, never","2005","35-65 y.","East Germany","544","0.284016329407434","0.263172550339743","0.304860108475126"
"No, never","2005","66 and older","West Germany","43","0.400227194934609","0.309892298323085","0.490562091546133"
"No, never","2005","66 and older","East Germany","14","","",""
"Yes, every week","2005","16-34 y.","West Germany","379","0.166283015596455","0.151399205169355","0.181166826023555"
"Yes, every week","2005","16-34 y.","East Germany","87","0.107067577048361","0.0849830101539494","0.129152143942772"
"Yes, every week","2005","35-65 y.","West Germany","841","0.140590450476486","0.132049717810222","0.14913118314275"
"Yes, every week","2005","35-65 y.","East Germany","265","0.155828535608257","0.139063978838145","0.172593092378369"
"Yes, every week","2005","66 and older","West Germany","31","0.3482039240425","0.260366099623955","0.436041748461044"
"Yes, every week","2005","66 and older","East Germany","4","","",""
"Yes, every 2 weeks","2005","16-34 y.","West Germany","363","0.158306891960998","0.143715132692879","0.172898651229117"
"Yes, every 2 weeks","2005","16-34 y.","East Germany","162","0.236432266657253","0.206084428473621","0.266780104840885"
"Yes, every 2 weeks","2005","35-65 y.","West Germany","765","0.126800222902736","0.118624353493521","0.134976092311951"
"Yes, every 2 weeks","2005","35-65 y.","East Germany","299","0.191184084825146","0.173007848541173","0.20936032110912"
"Yes, every 2 weeks","2005","66 and older","West Germany","8","","",""
"Yes, every 2 weeks","2005","66 and older","East Germany","1","","",""
"Yes, every 3-4 weeks","2005","16-34 y.","West Germany","193","0.0862911209740417","0.0750665994429663","0.097515642505117"
"Yes, every 3-4 weeks","2005","16-34 y.","East Germany","76","0.0915129360270031","0.0709184375031268","0.112107434550879"
"Yes, every 3-4 weeks","2005","35-65 y.","West Germany","577","0.0922778425361256","0.085166652023027","0.0993890330492242"
"Yes, every 3-4 weeks","2005","35-65 y.","East Germany","191","0.111259712354786","0.0967248926975738","0.125794532011998"
"Yes, every 3-4 weeks","2005","66 and older","West Germany","7","","",""
"Yes, every 3-4 weeks","2005","66 and older","East Germany","3","","",""
"Rarely","2005","16-34 y.","West Germany","499","0.220120965681475","0.203558492552205","0.236683438810744"
"Rarely","2005","16-34 y.","East Germany","172","0.205892193872891","0.177011323576458","0.234773064169325"
"Rarely","2005","35-65 y.","West Germany","1721","0.264832402680658","0.253990740562271","0.275674064799044"
"Rarely","2005","35-65 y.","East Germany","499","0.257711337804377","0.237494816695651","0.277927858913103"
"Rarely","2005","66 and older","West Germany","24","","",""
"Rarely","2005","66 and older","East Germany","","","",""
"No, never","2006","16-34 y.","West Germany","","","",""
"No, never","2006","16-34 y.","East Germany","","","",""
"No, never","2006","35-65 y.","West Germany","","","",""
"No, never","2006","35-65 y.","East Germany","","","",""
"No, never","2006","66 and older","West Germany","","","",""
"No, never","2006","66 and older","East Germany","","","",""
"Yes, every week","2006","16-34 y.","West Germany","","","",""
"Yes, every week","2006","16-34 y.","East Germany","","","",""
"Yes, every week","2006","35-65 y.","West Germany","","","",""
"Yes, every week","2006","35-65 y.","East Germany","","","",""
"Yes, every week","2006","66 and older","West Germany","","","",""
"Yes, every week","2006","66 and older","East Germany","","","",""
"Yes, every 2 weeks","2006","16-34 y.","West Germany","","","",""
"Yes, every 2 weeks","2006","16-34 y.","East Germany","","","",""
"Yes, every 2 weeks","2006","35-65 y.","West Germany","","","",""
"Yes, every 2 weeks","2006","35-65 y.","East Germany","","","",""
"Yes, every 2 weeks","2006","66 and older","West Germany","","","",""
"Yes, every 2 weeks","2006","66 and older","East Germany","","","",""
"Yes, every 3-4 weeks","2006","16-34 y.","West Germany","","","",""
"Yes, every 3-4 weeks","2006","16-34 y.","East Germany","","","",""
"Yes, every 3-4 weeks","2006","35-65 y.","West Germany","","","",""
"Yes, every 3-4 weeks","2006","35-65 y.","East Germany","","","",""
"Yes, every 3-4 weeks","2006","66 and older","West Germany","","","",""
"Yes, every 3-4 weeks","2006","66 and older","East Germany","","","",""
"Rarely","2006","16-34 y.","West Germany","","","",""
"Rarely","2006","16-34 y.","East Germany","","","",""
"Rarely","2006","35-65 y.","West Germany","","","",""
"Rarely","2006","35-65 y.","East Germany","","","",""
"Rarely","2006","66 and older","West Germany","","","",""
"Rarely","2006","66 and older","East Germany","","","",""
"No, never","2007","16-34 y.","West Germany","856","0.371920160228717","0.351891708139274","0.391948612318161"
"No, never","2007","16-34 y.","East Germany","267","0.337825807734755","0.304266085379904","0.371385530089606"
"No, never","2007","35-65 y.","West Germany","2447","0.362225948203537","0.350531428073242","0.373920468333832"
"No, never","2007","35-65 y.","East Germany","525","0.2783175648206","0.25784536215057","0.298789767490631"
"No, never","2007","66 and older","West Germany","50","0.394879543506873","0.316652719764693","0.473106367249053"
"No, never","2007","66 and older","East Germany","13","","",""
"Yes, every week","2007","16-34 y.","West Germany","329","0.147651814671868","0.132950945459669","0.162352683884067"
"Yes, every week","2007","16-34 y.","East Germany","104","0.147344064623039","0.122194002921263","0.172494126324815"
"Yes, every week","2007","35-65 y.","West Germany","941","0.145251580011533","0.13667846223818","0.153824697784886"
"Yes, every week","2007","35-65 y.","East Germany","272","0.149438153028792","0.133152510738421","0.165723795319163"
"Yes, every week","2007","66 and older","West Germany","43","0.301111031604486","0.227698552949263","0.37452351025971"
"Yes, every week","2007","66 and older","East Germany","4","","",""
"Yes, every 2 weeks","2007","16-34 y.","West Germany","369","0.169636943847084","0.154084117315026","0.185189770379141"
"Yes, every 2 weeks","2007","16-34 y.","East Germany","155","0.19505721384294","0.166941485619122","0.223172942066758"
"Yes, every 2 weeks","2007","35-65 y.","West Germany","825","0.142121167278413","0.133625420432428","0.150616914124398"
"Yes, every 2 weeks","2007","35-65 y.","East Germany","339","0.203658730873163","0.185262776456165","0.22205468529016"
"Yes, every 2 weeks","2007","66 and older","West Germany","13","","",""
"Yes, every 2 weeks","2007","66 and older","East Germany","","","",""
"Yes, every 3-4 weeks","2007","16-34 y.","West Germany","221","0.109108218480339","0.0961884031055742","0.122028033855104"
"Yes, every 3-4 weeks","2007","16-34 y.","East Germany","75","0.0928739822225492","0.0722787512215395","0.113469213223559"
"Yes, every 3-4 weeks","2007","35-65 y.","West Germany","619","0.0980359309474734","0.0908007989104105","0.105271062984536"
"Yes, every 3-4 weeks","2007","35-65 y.","East Germany","188","0.102686129918621","0.0888201910770412","0.1165520687602"
"Yes, every 3-4 weeks","2007","66 and older","West Germany","10","","",""
"Yes, every 3-4 weeks","2007","66 and older","East Germany","2","","",""
"Rarely","2007","16-34 y.","West Germany","462","0.201682862771992","0.185054965845444","0.218310759698541"
"Rarely","2007","16-34 y.","East Germany","162","0.226898931576717","0.197180890119495","0.256616973033939"
"Rarely","2007","35-65 y.","West Germany","1657","0.252365373559044","0.241796741201567","0.26293400591652"
"Rarely","2007","35-65 y.","East Germany","517","0.265899421358824","0.245717724613353","0.286081118104295"
"Rarely","2007","66 and older","West Germany","34","0.215596871116634","0.149786650444449","0.281407091788819"
"Rarely","2007","66 and older","East Germany","6","","",""
"No, never","2008","16-34 y.","West Germany","","","",""
"No, never","2008","16-34 y.","East Germany","","","",""
"No, never","2008","35-65 y.","West Germany","","","",""
"No, never","2008","35-65 y.","East Germany","","","",""
"No, never","2008","66 and older","West Germany","","","",""
"No, never","2008","66 and older","East Germany","","","",""
"Yes, every week","2008","16-34 y.","West Germany","","","",""
"Yes, every week","2008","16-34 y.","East Germany","","","",""
"Yes, every week","2008","35-65 y.","West Germany","","","",""
"Yes, every week","2008","35-65 y.","East Germany","","","",""
"Yes, every week","2008","66 and older","West Germany","","","",""
"Yes, every week","2008","66 and older","East Germany","","","",""
"Yes, every 2 weeks","2008","16-34 y.","West Germany","","","",""
"Yes, every 2 weeks","2008","16-34 y.","East Germany","","","",""
"Yes, every 2 weeks","2008","35-65 y.","West Germany","","","",""
"Yes, every 2 weeks","2008","35-65 y.","East Germany","","","",""
"Yes, every 2 weeks","2008","66 and older","West Germany","","","",""
"Yes, every 2 weeks","2008","66 and older","East Germany","","","",""
"Yes, every 3-4 weeks","2008","16-34 y.","West Germany","","","",""
"Yes, every 3-4 weeks","2008","16-34 y.","East Germany","","","",""
"Yes, every 3-4 weeks","2008","35-65 y.","West Germany","","","",""
"Yes, every 3-4 weeks","2008","35-65 y.","East Germany","","","",""
"Yes, every 3-4 weeks","2008","66 and older","West Germany","","","",""
"Yes, every 3-4 weeks","2008","66 and older","East Germany","","","",""
"Rarely","2008","16-34 y.","West Germany","","","",""
"Rarely","2008","16-34 y.","East Germany","","","",""
"Rarely","2008","35-65 y.","West Germany","","","",""
"Rarely","2008","35-65 y.","East Germany","","","",""
"Rarely","2008","66 and older","West Germany","","","",""
"Rarely","2008","66 and older","East Germany","","","",""
"No, never","2009","16-34 y.","West Germany","762","0.384978678637573","0.363376099924583","0.406581257350564"
"No, never","2009","16-34 y.","East Germany","219","0.342969978579964","0.30627866461087","0.379661292549058"
"No, never","2009","35-65 y.","West Germany","2101","0.361628711319089","0.349109275896613","0.374148146741566"
"No, never","2009","35-65 y.","East Germany","524","0.278939664196199","0.257873297208134","0.300006031184264"
"No, never","2009","66 and older","West Germany","69","0.375133619318681","0.307004339322913","0.443262899314449"
"No, never","2009","66 and older","East Germany","6","","",""
"Yes, every week","2009","16-34 y.","West Germany","302","0.16164302171059","0.145299895164225","0.177986148256954"
"Yes, every week","2009","16-34 y.","East Germany","79","0.138542380420905","0.111839944251584","0.165244816590225"
"Yes, every week","2009","35-65 y.","West Germany","870","0.156763374832801","0.14728980518262","0.166236944482983"
"Yes, every week","2009","35-65 y.","East Germany","261","0.147399234321486","0.130747127874856","0.164051340768116"
"Yes, every week","2009","66 and older","West Germany","51","0.213798778889581","0.156106632973281","0.271490924805881"
"Yes, every week","2009","66 and older","East Germany","4","","",""
"Yes, every 2 weeks","2009","16-34 y.","West Germany","318","0.157288526328166","0.141125222126007","0.173451830530326"
