"plb0218","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"No, never","2005","Full Time","no migration background","2102","0.314429605076361","0.303240283939506","0.325618926213216"
"No, never","2005","Full Time","direct migration background","276","0.33415496999256","0.300685690307426","0.367624249677695"
"No, never","2005","Full Time","indirect migration background","124","0.373916841646306","0.319616608361033","0.428217074931579"
"No, never","2005","Part Time","no migration background","1396","0.446384963051798","0.428699051026085","0.464070875077512"
"No, never","2005","Part Time","direct migration background","224","0.475560168057901","0.427742141351229","0.523378194764573"
"No, never","2005","Part Time","indirect migration background","64","0.458257137306914","0.377436386396919","0.539077888216909"
"No, never","2005","Not Working","no migration background","74","0.616419341229582","0.532508183193847","0.700330499265318"
"No, never","2005","Not Working","direct migration background","13","","",""
"No, never","2005","Not Working","indirect migration background","13","","",""
"Yes, every week","2005","Full Time","no migration background","1002","0.15925526933788","0.150436764079302","0.168073774596457"
"Yes, every week","2005","Full Time","direct migration background","99","0.132778628863746","0.108700934478459","0.156856323249034"
"Yes, every week","2005","Full Time","indirect migration background","36","0.0996754294150669","0.066055888378481","0.133294970451653"
"Yes, every week","2005","Part Time","no migration background","367","0.139535550127881","0.127207975399378","0.151863124856385"
"Yes, every week","2005","Part Time","direct migration background","50","0.132760548938055","0.100270893002679","0.165250204873432"
"Yes, every week","2005","Part Time","indirect migration background","34","0.217936401662156","0.150969903837281","0.284902899487031"
"Yes, every week","2005","Not Working","no migration background","16","","",""
"Yes, every week","2005","Not Working","direct migration background","2","","",""
"Yes, every week","2005","Not Working","indirect migration background","1","","",""
"Yes, every 2 weeks","2005","Full Time","no migration background","895","0.143384546836064","0.134938370929572","0.151830722742557"
"Yes, every 2 weeks","2005","Full Time","direct migration background","114","0.163109113684615","0.136893540651597","0.189324686717632"
"Yes, every 2 weeks","2005","Full Time","indirect migration background","47","0.178305567959761","0.135348384757629","0.221262751161893"
"Yes, every 2 weeks","2005","Part Time","no migration background","456","0.152867161554678","0.140064460560125","0.165669862549231"
"Yes, every 2 weeks","2005","Part Time","direct migration background","50","0.129781663813805","0.0976034551714726","0.161959872456137"
"Yes, every 2 weeks","2005","Part Time","indirect migration background","18","","",""
"Yes, every 2 weeks","2005","Not Working","no migration background","11","","",""
"Yes, every 2 weeks","2005","Not Working","direct migration background","5","","",""
"Yes, every 2 weeks","2005","Not Working","indirect migration background","2","","",""
"Yes, every 3-4 weeks","2005","Full Time","no migration background","664","0.101335772612502","0.0940630652244881","0.108608480000516"
"Yes, every 3-4 weeks","2005","Full Time","direct migration background","89","0.103777301982073","0.0821379137194438","0.125416690244702"
"Yes, every 3-4 weeks","2005","Full Time","indirect migration background","30","0.0874238166261846","0.0557246665728158","0.119122966679554"
"Yes, every 3-4 weeks","2005","Part Time","no migration background","218","0.0724408273609992","0.0632186970101819","0.0816629577118164"
"Yes, every 3-4 weeks","2005","Part Time","direct migration background","26","","",""
"Yes, every 3-4 weeks","2005","Part Time","indirect migration background","11","","",""
