"plb0218","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"No, never","2005","1-pers.-HH","no migration background","427","0.357848105345011","0.330815813401615","0.384880397288407","1"
"No, never","2005","1-pers.-HH","direct migration background","34","0.418868430221002","0.309377829445907","0.528359030996096","1"
"No, never","2005","1-pers.-HH","indirect migration background","22","","","","1"
"No, never","2005","(Married) couple without C. ","no migration background","1079","0.37709063314299","0.359167764388258","0.395013501897722","1"
"No, never","2005","(Married) couple without C. ","direct migration background","110","0.42530830068082","0.364746678433744","0.485869922927897","1"
"No, never","2005","(Married) couple without C. ","indirect migration background","35","0.431292956364815","0.324098666583844","0.538487246145786","1"
"No, never","2005","Single parent ","no migration background","182","0.392114151628669","0.348797442501487","0.43543086075585","1"
"No, never","2005","Single parent ","direct migration background","26","","","","1"
"No, never","2005","Single parent ","indirect migration background","20","","","","1"
"No, never","2005","Couple + C. LE 16 ","no migration background","764","0.310454916950994","0.291500702109174","0.329409131792814","1"
"No, never","2005","Couple + C. LE 16 ","direct migration background","135","0.341324876549548","0.292480630824409","0.390169122274687","1"
"No, never","2005","Couple + C. LE 16 ","indirect migration background","39","0.291517714110606","0.20916988907136","0.373865539149852","1"
"No, never","2005","Couple + C. GT 16 ","no migration background","746","0.393450898863171","0.371662003825985","0.415239793900358","1"
"No, never","2005","Couple + C. GT 16 ","direct migration background","120","0.438093652181139","0.37424973170605","0.501937572656229","1"
"No, never","2005","Couple + C. GT 16 ","indirect migration background","51","0.51951301850183","0.421589474886702","0.617436562116959","1"
"No, never","2005","Couple + C. LE and GT 16","no migration background","309","0.35204744071352","0.319939620042292","0.384155261384749","1"
"No, never","2005","Couple + C. LE and GT 16","direct migration background","71","0.371370828013127","0.297422675981183","0.445318980045071","1"
"No, never","2005","Couple + C. LE and GT 16","indirect migration background","24","","","","1"
"Rarely","2005","1-pers.-HH","no migration background","308","0.247989694366245","0.223637206440942","0.272342182291548","5"
"Rarely","2005","(Married) couple without C. ","indirect migration background","13","","","","5"
"Rarely","2005","(Married) couple without C. ","no migration background","753","0.252900292823271","0.236825841028502","0.268974744618041","5"
"Rarely","2005","(Married) couple without C. ","direct migration background","53","0.196430565968081","0.147762471009867","0.245098660926295","5"
"Rarely","2005","1-pers.-HH","direct migration background","18","","","","5"
"Rarely","2005","1-pers.-HH","indirect migration background","13","","","","5"
"Rarely","2005","Single parent ","no migration background","107","0.193130787356179","0.15810680642011","0.228154768292247","5"
"Rarely","2005","Single parent ","direct migration background","11","","","","5"
"Rarely","2005","Single parent ","indirect migration background","7","","","","5"
"Rarely","2005","Couple + C. LE 16 ","no migration background","654","0.273438868363612","0.255179262491351","0.291698474235874","5"
"Rarely","2005","Couple + C. LE 16 ","indirect migration background","32","0.295862710300738","0.213158246947312","0.378567173654163","5"
"Rarely","2005","Couple + C. GT 16 ","no migration background","482","0.249187421635407","0.229895042762353","0.268479800508461","5"
"Rarely","2005","Couple + C. GT 16 ","direct migration background","37","0.189835300965509","0.139371583038161","0.240299018892858","5"
"Rarely","2005","Couple + C. LE 16 ","direct migration background","89","0.265319683592301","0.219838920451345","0.310800446733257","5"
"Rarely","2005","Couple + C. GT 16 ","indirect migration background","14","","","","5"
