"plb0218","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No, never","2005","Full Time","West Germany","2025","0.333293948726834","0.321218517612047","0.345369379841622","1"
"No, never","2005","Full Time","East Germany","477","0.248334091483194","0.228528373352576","0.268139809613812","1"
"No, never","2005","Part Time","West Germany","1383","0.453683255215017","0.435597959286532","0.471768551143501","1"
"No, never","2005","Part Time","East Germany","301","0.435612732589153","0.398589241601101","0.472636223577205","1"
"No, never","2005","Not Working","West Germany","64","0.532154400086638","0.440959768285135","0.62334903188814","1"
"No, never","2005","Not Working","East Germany","36","0.718098335603127","0.600257759347516","0.835938911858738","1"
"Rarely","2005","Full Time","West Germany","1661","0.278097759688964","0.266619932758796","0.289575586619131","5"
"Rarely","2005","Full Time","East Germany","543","0.283395407706598","0.262737030977302","0.304053784435893","5"
"Rarely","2005","Part Time","West Germany","563","0.193136374875011","0.178796046552696","0.207476703197326","5"
"Rarely","2005","Part Time","East Germany","123","0.13844506647411","0.112657004277638","0.164233128670583","5"
"Rarely","2005","Not Working","West Germany","20","","","","5"
"Rarely","2005","Not Working","East Germany","5","","","","5"
"Yes, every 2 weeks","2005","Part Time","West Germany","387","0.135128103638015","0.122709415477592","0.147546791798438","3"
"Yes, every 2 weeks","2005","Full Time","West Germany","736","0.135798690773986","0.127023087461403","0.144574294086569","3"
"Yes, every 2 weeks","2005","Full Time","East Germany","320","0.202473046161354","0.184051915264583","0.220894177058125","3"
"Yes, every 2 weeks","2005","Part Time","East Germany","137","0.214588431002744","0.183934210342602","0.245242651662886","3"
"Yes, every 2 weeks","2005","Not Working","West Germany","13","","","","3"
"Yes, every 2 weeks","2005","Not Working","East Germany","5","","","","3"
"Yes, every 3-4 weeks","2005","Full Time","West Germany","570","0.0977450544069746","0.0901376979932288","0.10535241082072","4"
"Yes, every 3-4 weeks","2005","Part Time","West Germany","203","0.0737136660980997","0.0642213187402822","0.0832060134559172","4"
"Yes, every 3-4 weeks","2005","Full Time","East Germany","213","0.117687327877777","0.102915436523306","0.132459219232247","4"
"Yes, every 3-4 weeks","2005","Not Working","West Germany","4","","","","4"
"Yes, every 3-4 weeks","2005","Part Time","East Germany","52","0.0830339567070288","0.0624303631818556","0.103637550232202","4"
"Yes, every 3-4 weeks","2005","Not Working","East Germany","5","","","","4"
"Yes, every week","2005","Part Time","West Germany","375","0.144338600173857","0.131572177965376","0.157105022382339","2"
"Yes, every week","2005","Full Time","West Germany","862","0.155064546403241","0.145792197708476","0.164336895098006","2"
"Yes, every week","2005","Full Time","East Germany","275","0.148110126771078","0.131826763943818","0.164393489598338","2"
"Yes, every week","2005","Part Time","East Germany","76","0.128319813226964","0.103347203687894","0.153292422766034","2"
"Yes, every week","2005","Not Working","West Germany","14","","","","2"
"Yes, every week","2005","Not Working","East Germany","5","","","","2"
"No, never","2006","Part Time","West Germany","","","","","1"
"No, never","2006","Part Time","East Germany","","","","","1"
"No, never","2006","Full Time","West Germany","","","","","1"
"No, never","2006","Full Time","East Germany","","","","","1"
"No, never","2006","Not Working","West Germany","","","","","1"
"No, never","2006","Not Working","East Germany","","","","","1"
"Rarely","2006","Full Time","West Germany","","","","","5"
"Rarely","2006","Full Time","East Germany","","","","","5"
"Rarely","2006","Part Time","West Germany","","","","","5"
"Rarely","2006","Part Time","East Germany","","","","","5"
"Rarely","2006","Not Working","West Germany","","","","","5"
"Rarely","2006","Not Working","East Germany","","","","","5"
"Yes, every 2 weeks","2006","Full Time","East Germany","","","","","3"
"Yes, every 2 weeks","2006","Part Time","West Germany","","","","","3"
"Yes, every 2 weeks","2006","Part Time","East Germany","","","","","3"
"Yes, every 2 weeks","2006","Not Working","West Germany","","","","","3"
"Yes, every 2 weeks","2006","Not Working","East Germany","","","","","3"
"Yes, every 2 weeks","2006","Full Time","West Germany","","","","","3"
"Yes, every 3-4 weeks","2006","Full Time","West Germany","","","","","4"
"Yes, every 3-4 weeks","2006","Full Time","East Germany","","","","","4"
"Yes, every 3-4 weeks","2006","Part Time","West Germany","","","","","4"
"Yes, every 3-4 weeks","2006","Part Time","East Germany","","","","","4"
"Yes, every 3-4 weeks","2006","Not Working","West Germany","","","","","4"
"Yes, every 3-4 weeks","2006","Not Working","East Germany","","","","","4"
"Yes, every week","2006","Full Time","West Germany","","","","","2"
"Yes, every week","2006","Full Time","East Germany","","","","","2"
"Yes, every week","2006","Part Time","West Germany","","","","","2"
"Yes, every week","2006","Part Time","East Germany","","","","","2"
"Yes, every week","2006","Not Working","West Germany","","","","","2"
"Yes, every week","2006","Not Working","East Germany","","","","","2"
"No, never","2007","Full Time","West Germany","1868","0.318642435630498","0.306605192133263","0.330679679127733","1"
"No, never","2007","Full Time","East Germany","478","0.252798246484437","0.233030912096184","0.272565580872689","1"
"No, never","2007","Part Time","West Germany","1413","0.45553000636311","0.437622206372884","0.473437806353336","1"
"No, never","2007","Part Time","East Germany","289","0.396035614628325","0.360010593140604","0.432060636116046","1"
"No, never","2007","Not Working","West Germany","72","0.490421030655445","0.410152512092683","0.570689549218207","1"
"No, never","2007","Not Working","East Germany","38","0.540035048814768","0.417930611238313","0.662139486391224","1"
"Rarely","2007","Full Time","West Germany","1599","0.270883385764049","0.259402447538798","0.282364323989299","5"
"Rarely","2007","Part Time","East Germany","136","0.191884334528736","0.162878325007694","0.220890344049778","5"
"Rarely","2007","Full Time","East Germany","540","0.275892983118746","0.255564084750442","0.29622188148705","5"
"Rarely","2007","Part Time","West Germany","536","0.175564786690404","0.161884546005713","0.189245027375095","5"
"Rarely","2007","Not Working","West Germany","18","","","","5"
"Rarely","2007","Not Working","East Germany","9","","","","5"
"Yes, every 2 weeks","2007","Full Time","West Germany","787","0.149806000788545","0.140586416881018","0.159025584696071","3"
"Yes, every 2 weeks","2007","Part Time","West Germany","396","0.142477258620794","0.129908500647604","0.155046016593984","3"
"Yes, every 2 weeks","2007","Not Working","West Germany","24","","","","3"
"Yes, every 2 weeks","2007","Full Time","East Germany","352","0.207423892790735","0.188982572216321","0.225865213365149","3"
"Yes, every 2 weeks","2007","Part Time","East Germany","137","0.193039329758898","0.163966952412404","0.222111707105392","3"
"Yes, every 2 weeks","2007","Not Working","East Germany","5","","","","3"
"Yes, every 3-4 weeks","2007","Full Time","West Germany","604","0.108292579541972","0.100264748229962","0.116320410853982","4"
"Yes, every 3-4 weeks","2007","Full Time","East Germany","200","0.103367562776162","0.0895210152561132","0.117214110296211","4"
"Yes, every 3-4 weeks","2007","Part Time","West Germany","235","0.084055368481562","0.0740780438269474","0.0940326931361766","4"
"Yes, every 3-4 weeks","2007","Part Time","East Germany","62","0.10001338257356","0.0779140811281142","0.122112684019005","4"
"Yes, every 3-4 weeks","2007","Not Working","West Germany","11","","","","4"
"Yes, every 3-4 weeks","2007","Not Working","East Germany","3","","","","4"
"Yes, every week","2007","Full Time","West Germany","898","0.152375598274937","0.143091341660928","0.161659854888946","2"
"Yes, every week","2007","Part Time","West Germany","391","0.14237257984413","0.129807673048938","0.154937486639323","2"
"Yes, every week","2007","Full Time","East Germany","287","0.16051731482992","0.143821448704404","0.177213180955436","2"
"Yes, every week","2007","Part Time","East Germany","84","0.119027338510482","0.0951747212628329","0.142879955758131","2"
"Yes, every week","2007","Not Working","West Germany","24","","","","2"
"Yes, every week","2007","Not Working","East Germany","9","","","","2"
"No, never","2008","Full Time","West Germany","","","","","1"
"No, never","2008","Full Time","East Germany","","","","","1"
"No, never","2008","Part Time","West Germany","","","","","1"
"No, never","2008","Part Time","East Germany","","","","","1"
"No, never","2008","Not Working","West Germany","","","","","1"
"No, never","2008","Not Working","East Germany","","","","","1"
"Rarely","2008","Full Time","West Germany","","","","","5"
"Rarely","2008","Part Time","West Germany","","","","","5"
"Rarely","2008","Full Time","East Germany","","","","","5"
"Rarely","2008","Part Time","East Germany","","","","","5"
"Rarely","2008","Not Working","West Germany","","","","","5"
"Rarely","2008","Not Working","East Germany","","","","","5"
"Yes, every 2 weeks","2008","Full Time","West Germany","","","","","3"
"Yes, every 2 weeks","2008","Full Time","East Germany","","","","","3"
"Yes, every 2 weeks","2008","Part Time","West Germany","","","","","3"
"Yes, every 2 weeks","2008","Not Working","West Germany","","","","","3"
"Yes, every 2 weeks","2008","Part Time","East Germany","","","","","3"
"Yes, every 2 weeks","2008","Not Working","East Germany","","","","","3"
