"plb0218","year","age_gr","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No, never","2005","16-34 y.","(0) in school","16","","",""
"No, never","2005","16-34 y.","(1a) inadequately completed","6","","",""
"No, never","2005","16-34 y.","(1b) general elementary school","102","0.436217755467003","0.37170545497953","0.500730055954476"
"No, never","2005","16-34 y.","(1c) basic vocational qualification","128","0.298760265505881","0.255141578946941","0.342378952064821"
"No, never","2005","16-34 y.","(2b) intermediate general qualification","131","0.457039607836251","0.398055664491978","0.516023551180523"
"No, never","2005","16-34 y.","(2a) intermediate vocational","301","0.305307256206594","0.274896649736417","0.335717862676771"
"No, never","2005","16-34 y.","(2c_gen) general maturity certificate","132","0.432331426979791","0.375412405469878","0.489250448489703"
"No, never","2005","16-34 y.","(2c_voc) vocational maturity certificate","165","0.4478362261232","0.397838545442665","0.497833906803735"
"No, never","2005","16-34 y.","(3a) lower tertiary education","72","0.409438380832939","0.335520328495733","0.483356433170146"
"No, never","2005","16-34 y.","(3b) higher tertiary education","93","0.32396121461487","0.267932196759276","0.379990232470463"
"No, never","2005","35-65 y.","(0) in school","","","",""
"No, never","2005","35-65 y.","(1a) inadequately completed","25","","",""
"No, never","2005","35-65 y.","(1b) general elementary school","180","0.462706823356292","0.410912554521771","0.514501092190813"
"No, never","2005","35-65 y.","(1c) basic vocational qualification","742","0.365745287151217","0.344976833901578","0.386513740400855"
"No, never","2005","35-65 y.","(2b) intermediate general qualification","24","","",""
"No, never","2005","35-65 y.","(2a) intermediate vocational","885","0.346029527642196","0.327049139912423","0.365009915371969"
"No, never","2005","35-65 y.","(2c_gen) general maturity certificate","36","0.463258708895989","0.354666196502277","0.5718512212897"
"No, never","2005","35-65 y.","(2c_voc) vocational maturity certificate","277","0.409506437449533","0.372215971487896","0.44679690341117"
"No, never","2005","35-65 y.","(3a) lower tertiary education","339","0.3473450196617","0.31654513311652","0.37814490620688"
"No, never","2005","35-65 y.","(3b) higher tertiary education","485","0.303612949556756","0.280489389771953","0.326736509341559"
"No, never","2005","66 and older","(0) in school","","","",""
"No, never","2005","66 and older","(1a) inadequately completed","2","","",""
"No, never","2005","66 and older","(1b) general elementary school","9","","",""
"No, never","2005","66 and older","(1c) basic vocational qualification","14","","",""
"No, never","2005","66 and older","(2b) intermediate general qualification","","","",""
"No, never","2005","66 and older","(2a) intermediate vocational","7","","",""
"No, never","2005","66 and older","(2c_gen) general maturity certificate","","","",""
"No, never","2005","66 and older","(2c_voc) vocational maturity certificate","2","","",""
"No, never","2005","66 and older","(3a) lower tertiary education","7","","",""
"No, never","2005","66 and older","(3b) higher tertiary education","16","","",""
"Yes, every week","2005","16-34 y.","(0) in school","14","","",""
"Yes, every week","2005","16-34 y.","(1a) inadequately completed","9","","",""
"Yes, every week","2005","16-34 y.","(1b) general elementary school","37","0.166705382959389","0.118220175036486","0.215190590882292"
"Yes, every week","2005","16-34 y.","(1c) basic vocational qualification","86","0.203506751868884","0.16513970540961","0.241873798328158"
"Yes, every week","2005","16-34 y.","(2b) intermediate general qualification","41","0.176071695903949","0.130973175430658","0.221170216377239"
"Yes, every week","2005","16-34 y.","(2a) intermediate vocational","121","0.146582623821085","0.123227502747245","0.169937744894924"
"Yes, every week","2005","16-34 y.","(2c_gen) general maturity certificate","46","0.183185328180804","0.138741781929599","0.22762887443201"
"Yes, every week","2005","16-34 y.","(2c_voc) vocational maturity certificate","34","0.0871500560623756","0.0587911270997184","0.115508985025033"
"Yes, every week","2005","16-34 y.","(3a) lower tertiary education","17","","",""
"Yes, every week","2005","16-34 y.","(3b) higher tertiary education","35","0.0992758314444839","0.063474566751152","0.135077096137816"
"Yes, every week","2005","35-65 y.","(0) in school","","","",""
"Yes, every week","2005","35-65 y.","(1a) inadequately completed","7","","",""
"Yes, every week","2005","35-65 y.","(1b) general elementary school","46","0.175861844781845","0.13631526629598","0.215408423267711"
"Yes, every week","2005","35-65 y.","(1c) basic vocational qualification","325","0.156276203111687","0.140618447612088","0.171933958611286"
"Yes, every week","2005","35-65 y.","(2b) intermediate general qualification","7","","",""
"Yes, every week","2005","35-65 y.","(2a) intermediate vocational","292","0.12919373145","0.115810810139454","0.142576652760547"
"Yes, every week","2005","35-65 y.","(2c_gen) general maturity certificate","11","","",""
"Yes, every week","2005","35-65 y.","(2c_voc) vocational maturity certificate","58","0.0910093077824839","0.0691979609639706","0.112820654600997"
"Yes, every week","2005","35-65 y.","(3a) lower tertiary education","114","0.124133949852119","0.102803948445908","0.145463951258329"
"Yes, every week","2005","35-65 y.","(3b) higher tertiary education","243","0.177694928634051","0.158471838375831","0.196918018892272"
"Yes, every week","2005","66 and older","(0) in school","","","",""
"Yes, every week","2005","66 and older","(1a) inadequately completed","","","",""
"Yes, every week","2005","66 and older","(1b) general elementary school","3","","",""
"Yes, every week","2005","66 and older","(1c) basic vocational qualification","17","","",""
"Yes, every week","2005","66 and older","(2b) intermediate general qualification","","","",""
"Yes, every week","2005","66 and older","(2a) intermediate vocational","4","","",""
"Yes, every week","2005","66 and older","(2c_gen) general maturity certificate","","","",""
"Yes, every week","2005","66 and older","(2c_voc) vocational maturity certificate","","","",""
"Yes, every week","2005","66 and older","(3a) lower tertiary education","7","","",""
"Yes, every week","2005","66 and older","(3b) higher tertiary education","4","","",""
"Yes, every 2 weeks","2005","16-34 y.","(0) in school","7","","",""
"Yes, every 2 weeks","2005","16-34 y.","(1a) inadequately completed","1","","",""
"Yes, every 2 weeks","2005","16-34 y.","(1b) general elementary school","43","0.168668224950368","0.119955885228583","0.217380564672153"
"Yes, every 2 weeks","2005","16-34 y.","(1c) basic vocational qualification","75","0.148240901797385","0.114378300118501","0.182103503476269"
"Yes, every 2 weeks","2005","16-34 y.","(2b) intermediate general qualification","40","0.179628087624174","0.13417479759127","0.225081377657077"
"Yes, every 2 weeks","2005","16-34 y.","(2a) intermediate vocational","165","0.20503209237679","0.17837296945802","0.23169121529556"
"Yes, every 2 weeks","2005","16-34 y.","(2c_gen) general maturity certificate","41","0.150869069962862","0.109745668134329","0.191992471791395"
"Yes, every 2 weeks","2005","16-34 y.","(2c_voc) vocational maturity certificate","61","0.168696635616111","0.131044529632993","0.206348741599228"
"Yes, every 2 weeks","2005","16-34 y.","(3a) lower tertiary education","20","","",""
"Yes, every 2 weeks","2005","16-34 y.","(3b) higher tertiary education","42","0.171612228987121","0.126471179726492","0.21675327824775"
"Yes, every 2 weeks","2005","35-65 y.","(0) in school","","","",""
"Yes, every 2 weeks","2005","35-65 y.","(1a) inadequately completed","7","","",""
"Yes, every 2 weeks","2005","35-65 y.","(1b) general elementary school","47","0.144943287670863","0.108373738505753","0.181512836835974"
"Yes, every 2 weeks","2005","35-65 y.","(1c) basic vocational qualification","303","0.138847269822363","0.12393678736511","0.153757752279617"
"Yes, every 2 weeks","2005","35-65 y.","(2b) intermediate general qualification","9","","",""
"Yes, every 2 weeks","2005","35-65 y.","(2a) intermediate vocational","371","0.165923093417422","0.151079949563268","0.180766237271576"
"Yes, every 2 weeks","2005","35-65 y.","(2c_gen) general maturity certificate","6","","",""
"Yes, every 2 weeks","2005","35-65 y.","(2c_voc) vocational maturity certificate","80","0.119283552322552","0.0947043267453016","0.143862777899803"
"Yes, every 2 weeks","2005","35-65 y.","(3a) lower tertiary education","91","0.114053224563773","0.0934903251794634","0.134616123948083"
"Yes, every 2 weeks","2005","35-65 y.","(3b) higher tertiary education","148","0.100081999459482","0.0849899346987264","0.115174064220238"
"Yes, every 2 weeks","2005","66 and older","(0) in school","","","",""
