"plb0218","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"No, never","2005","Full Time","lower secondary degree","598","0.322540538280362","0.301438411724432","0.343642664836292"
"No, never","2005","Full Time","secondary school degree","880","0.291805938162092","0.274864697720976","0.308747178603208"
"No, never","2005","Full Time","college entrance qualification","812","0.329649345942449","0.311211255210225","0.348087436674673"
"No, never","2005","Full Time","Other degree","140","0.384554887301551","0.334646275523836","0.434463499079267"
"No, never","2005","Full Time","no degree/no degree yet","23","","",""
"No, never","2005","Part Time","lower secondary degree","418","0.435200500701117","0.403455880148232","0.466945121254002"
"No, never","2005","Part Time","secondary school degree","607","0.471243383963104","0.443637363119785","0.498849404806423"
"No, never","2005","Part Time","college entrance qualification","492","0.455065013783947","0.425044393117355","0.485085634450539"
"No, never","2005","Part Time","Other degree","110","0.469714888221338","0.400373356174345","0.53905642026833"
"No, never","2005","Part Time","no degree/no degree yet","23","","",""
"No, never","2005","Not Working","lower secondary degree","20","","",""
"No, never","2005","Not Working","secondary school degree","34","0.591261406988379","0.460142958936302","0.722379855040457"
"No, never","2005","Not Working","college entrance qualification","27","","",""
"No, never","2005","Not Working","Other degree","7","","",""
"No, never","2005","Not Working","no degree/no degree yet","3","","",""
"Yes, every week","2005","Full Time","lower secondary degree","312","0.171841940021652","0.154811980576317","0.188871899466987"
"Yes, every week","2005","Full Time","secondary school degree","386","0.147034617277065","0.133836940017274","0.160232294536857"
"Yes, every week","2005","Full Time","college entrance qualification","367","0.146528998010117","0.132658406091768","0.160399589928465"
"Yes, every week","2005","Full Time","Other degree","50","0.137242076710391","0.101940851607031","0.172543301813752"
"Yes, every week","2005","Full Time","no degree/no degree yet","8","","",""
"Yes, every week","2005","Part Time","lower secondary degree","158","0.185884973375953","0.160976717252046","0.21079322949986"
"Yes, every week","2005","Part Time","secondary school degree","128","0.113553680011431","0.096007600274089","0.131099759748773"
"Yes, every week","2005","Part Time","college entrance qualification","106","0.113049074350418","0.0939596031396913","0.132138545561145"
"Yes, every week","2005","Part Time","Other degree","23","","",""
