"plb0218","year","migback","n","percent","lower_confidence","upper_confidence","value"
"Yes, every 2 weeks","2011","direct migration background","304","0.177312771312265","0.159504687014392","0.195120855610137","3"
"Yes, every 2 weeks","2011","indirect migration background","129","0.169883429370135","0.144227176657977","0.195539682082294","3"
"Yes, every 2 weeks","2011","no migration background","2189","0.150934242623849","0.145039795938419","0.156828689309279","3"
"Yes, every 3-4 weeks","2011","no migration background","1305","0.0900638125207733","0.0853501430817658","0.0947774819597809","4"
"Yes, every 3-4 weeks","2011","direct migration background","166","0.0982778585449247","0.0843977128268655","0.112158004262984","4"
"Yes, every 3-4 weeks","2011","indirect migration background","82","0.0882531920205791","0.0688733376012347","0.107633046439923","4"
"Yes, every week","2011","no migration background","2038","0.145477771236276","0.139672286432559","0.151283256039992","2"
"Yes, every week","2011","direct migration background","266","0.150160980275799","0.133504750728997","0.166817209822601","2"
"Yes, every week","2011","indirect migration background","136","0.193163568499753","0.166192165801227","0.220134971198278","2"
"No, never","2012","direct migration background","273","0.383487549822636","0.347921762346743","0.41905333729853","1"
"No, never","2012","indirect migration background","117","0.392575250339092","0.338215814110258","0.446934686567925","1"
"No, never","2012","no migration background","1659","0.403074021928913","0.388110601071326","0.4180374427865","1"
"Rarely","2012","indirect migration background","59","0.152379357392027","0.112372809773212","0.192385905010841","5"
"Rarely","2012","no migration background","853","0.212972779823757","0.200483563930008","0.225461995717505","5"
"Rarely","2012","direct migration background","119","0.144215049472965","0.118518578533655","0.169911520412274","5"
"Yes, every 2 weeks","2012","no migration background","652","0.154745742243613","0.143713055569616","0.16577842891761","3"
"Yes, every 2 weeks","2012","direct migration background","141","0.228876967648095","0.198147944689647","0.259605990606543","3"
"Yes, every 2 weeks","2012","indirect migration background","67","0.213431249322436","0.167820774691742","0.25904172395313","3"
"Yes, every 3-4 weeks","2012","no migration background","366","0.0892163458408386","0.0805205752019591","0.0979121164797181","4"
"Yes, every 3-4 weeks","2012","direct migration background","79","0.101275118866083","0.0792077460455151","0.12334249168665","4"
"Yes, every 3-4 weeks","2012","indirect migration background","26","","","","4"
"Yes, every week","2012","no migration background","598","0.139991110162879","0.129406376227729","0.150575844098029","2"
"Yes, every week","2012","direct migration background","106","0.142145314190221","0.116603072696086","0.167687555684357","2"
"Yes, every week","2012","indirect migration background","41","0.145234454798354","0.106012830309618","0.18445607928709","2"
"No, never","2013","indirect migration background","327","0.408433393267042","0.374371754087928","0.442495032446156","1"
"No, never","2013","no migration background","5068","0.365857642166352","0.357630403039945","0.37408488129276","1"
"No, never","2013","direct migration background","607","0.376124476999533","0.352223846187167","0.400025107811899","1"
"Rarely","2013","no migration background","3220","0.256187773975527","0.24873160864116","0.263643939309894","5"
"Rarely","2013","direct migration background","300","0.203348908444949","0.183490264367662","0.223207552522235","5"
"Rarely","2013","indirect migration background","147","0.174806759641217","0.148488325925043","0.20112519335739","5"
"Yes, every 2 weeks","2013","indirect migration background","140","0.15071865777019","0.125926610113598","0.175510705426783","3"
"Yes, every 2 weeks","2013","no migration background","1990","0.155276487760331","0.149090417988001","0.16146255753266","3"
"Yes, every 2 weeks","2013","direct migration background","287","0.163676611818499","0.14542189812524","0.181931325511758","3"
"Yes, every 3-4 weeks","2013","no migration background","1163","0.0913700323042558","0.0864485028274113","0.0962915617811003","4"
"Yes, every 3-4 weeks","2013","direct migration background","132","0.0971999060113589","0.0825840817700659","0.111815730252652","4"
"Yes, every 3-4 weeks","2013","indirect migration background","65","0.0784794100311473","0.0598442346678435","0.097114585394451","4"
"Yes, every week","2013","no migration background","1726","0.131308063793534","0.125539293222536","0.137076834364533","2"
"Yes, every week","2013","direct migration background","252","0.159650096725661","0.141577970062338","0.177722223388984","2"
"Yes, every week","2013","indirect migration background","121","0.187561779290404","0.160511581643747","0.21461197693706","2"
"No, never","2014","no migration background","","","","","1"
"No, never","2014","direct migration background","","","","","1"
"No, never","2014","indirect migration background","","","","","1"
"Rarely","2014","no migration background","","","","","5"
"Rarely","2014","direct migration background","","","","","5"
"Rarely","2014","indirect migration background","","","","","5"
"Yes, every 2 weeks","2014","no migration background","","","","","3"
"Yes, every 2 weeks","2014","indirect migration background","","","","","3"
"Yes, every 2 weeks","2014","direct migration background","","","","","3"
"Yes, every 3-4 weeks","2014","no migration background","","","","","4"
"Yes, every 3-4 weeks","2014","indirect migration background","","","","","4"
"Yes, every 3-4 weeks","2014","direct migration background","","","","","4"
"Yes, every week","2014","no migration background","","","","","2"
"Yes, every week","2014","direct migration background","","","","","2"
"Yes, every week","2014","indirect migration background","","","","","2"
"No, never","2015","no migration background","4460","0.378334834604772","0.369474589678531","0.387195079531013","1"
"No, never","2015","direct migration background","1153","0.39569350695759","0.377340230170452","0.414046783744727","1"
"No, never","2015","indirect migration background","443","0.396070545167399","0.36694237242095","0.425198717913849","1"
"Rarely","2015","indirect migration background","197","0.18174989971589","0.158782385901688","0.204717413530092","5"
"Rarely","2015","no migration background","2869","0.251524618167974","0.243597628257361","0.259451608078586","5"
"Rarely","2015","direct migration background","449","0.168073951237949","0.154039414280989","0.182108488194909","5"
"Yes, every 2 weeks","2015","indirect migration background","177","0.181958431352242","0.158980673879499","0.204936188824984","3"
"Yes, every 2 weeks","2015","no migration background","1721","0.15507134343113","0.148458243421166","0.161684443441095","3"
"Yes, every 2 weeks","2015","direct migration background","467","0.176164574021209","0.161866253026504","0.190462895015914","3"
"Yes, every 3-4 weeks","2015","no migration background","986","0.0853802086250234","0.0802748271379635","0.0904855901120832","4"
"Yes, every 3-4 weeks","2015","direct migration background","228","0.0965280198020016","0.0854441972403803","0.107611842363623","4"
"Yes, every 3-4 weeks","2015","indirect migration background","95","0.0785245243517736","0.0625039378747747","0.0945451108287724","4"
"Yes, every week","2015","no migration background","1473","0.129688995171101","0.123551119371394","0.135826870970808","2"
"Yes, every week","2015","direct migration background","430","0.163539947981251","0.149658331168902","0.177421564793599","2"
"Yes, every week","2015","indirect migration background","171","0.161696599412695","0.139769311458369","0.183623887367021","2"
"No, never","2016","indirect migration background","","","","","1"
"No, never","2016","no migration background","","","","","1"
"No, never","2016","direct migration background","","","","","1"
"Rarely","2016","no migration background","","","","","5"
"Rarely","2016","direct migration background","","","","","5"
"Rarely","2016","indirect migration background","","","","","5"
"Yes, every 2 weeks","2016","direct migration background","","","","","3"
"Yes, every 2 weeks","2016","indirect migration background","","","","","3"
"Yes, every 2 weeks","2016","no migration background","","","","","3"
"Yes, every 3-4 weeks","2016","no migration background","","","","","4"
"Yes, every 3-4 weeks","2016","indirect migration background","","","","","4"
"Yes, every 3-4 weeks","2016","direct migration background","","","","","4"
"Yes, every week","2016","no migration background","","","","","2"
"Yes, every week","2016","direct migration background","","","","","2"
"Yes, every week","2016","indirect migration background","","","","","2"
"No, never","2017","no migration background","5370","0.417679590524496","0.409098269696844","0.426260911352147","1"
"No, never","2017","direct migration background","1287","0.427218627762301","0.409416084459248","0.445021171065355","1"
"No, never","2017","indirect migration background","502","0.430427128225632","0.401933774985424","0.458920481465839","1"
"Rarely","2017","no migration background","2591","0.221509321728505","0.214283716702624","0.228734926754385","5"
"Rarely","2017","direct migration background","493","0.163002956199811","0.149709980216051","0.176295932183572","5"
"Rarely","2017","indirect migration background","180","0.160683350860173","0.139550044182572","0.181816657537773","5"
"Yes, every 2 weeks","2017","indirect migration background","179","0.146937023105982","0.126563071895198","0.167310974316765","3"
"Yes, every 2 weeks","2017","no migration background","1797","0.142332813408431","0.13625337559592","0.148412251220943","3"
"Yes, every 2 weeks","2017","direct migration background","537","0.177423516394689","0.16367498677709","0.191172046012289","3"
"Yes, every 3-4 weeks","2017","no migration background","1256","0.0896438987467958","0.0846731990309366","0.094614598462655","4"
"Yes, every 3-4 weeks","2017","direct migration background","253","0.091383625969124","0.0810134293609231","0.101753822577325","4"
"Yes, every 3-4 weeks","2017","indirect migration background","106","0.0910551340010232","0.0744997184682344","0.107610549533812","4"
"Yes, every week","2017","no migration background","1674","0.128834375591773","0.123005057564316","0.134663693619229","2"
"Yes, every week","2017","direct migration background","396","0.140971273674074","0.128447602012225","0.153494945335923","2"
"Yes, every week","2017","indirect migration background","193","0.170897363807191","0.149235744144156","0.192558983470226","2"
"No, never","2018","indirect migration background","","","","","1"
"No, never","2018","no migration background","","","","","1"
"No, never","2018","direct migration background","","","","","1"
"Rarely","2018","indirect migration background","","","","","5"
"Rarely","2018","no migration background","","","","","5"
"Rarely","2018","direct migration background","","","","","5"
"Yes, every 2 weeks","2018","no migration background","","","","","3"
"Yes, every 2 weeks","2018","indirect migration background","","","","","3"
"Yes, every 2 weeks","2018","direct migration background","","","","","3"
"Yes, every 3-4 weeks","2018","no migration background","","","","","4"
"Yes, every 3-4 weeks","2018","direct migration background","","","","","4"
"Yes, every 3-4 weeks","2018","indirect migration background","","","","","4"
"Yes, every week","2018","direct migration background","","","","","2"
"Yes, every week","2018","indirect migration background","","","","","2"
"Yes, every week","2018","no migration background","","","","","2"
"No, never","2019","indirect migration background","524","0.464114993877117","0.436334729713454","0.49189525804078","1"
"No, never","2019","no migration background","5337","0.423123651827912","0.414671058046428","0.431576245609397","1"
"No, never","2019","direct migration background","1123","0.425815697637919","0.406620187222291","0.445011208053546","1"
"Rarely","2019","no migration background","2814","0.227566576351066","0.220393594253889","0.234739558448242","5"
"Rarely","2019","direct migration background","436","0.166295234764165","0.151840530272898","0.180749939255431","5"
"Rarely","2019","indirect migration background","233","0.164040982970627","0.143413015232644","0.18466895070861","5"
"Yes, every 2 weeks","2019","indirect migration background","192","0.151962767090322","0.131965814114453","0.171959720066191","3"
"Yes, every 2 weeks","2019","no migration background","1851","0.137012307534354","0.131129331603756","0.142895283464952","3"
"Yes, every 2 weeks","2019","direct migration background","447","0.186316968612882","0.171201660382156","0.201432276843608","3"
"Yes, every 3-4 weeks","2019","no migration background","1263","0.0925992554626898","0.0876399792992257","0.0975585316261538","4"
"Yes, every 3-4 weeks","2019","indirect migration background","88","0.0779480867374834","0.063014360514792","0.0928818129601748","4"
"Yes, every 3-4 weeks","2019","direct migration background","170","0.0655191567714873","0.0559133792357638","0.0751249343072107","4"
"Yes, every week","2019","no migration background","1859","0.119698208823978","0.1141446087931","0.125251808854856","2"
"Yes, every week","2019","direct migration background","373","0.156052942213548","0.141964701753","0.170141182674095","2"
"Yes, every week","2019","indirect migration background","201","0.141933169324451","0.122493437202797","0.161372901446106","2"
