"plh0194","year","sampreg","n","percent","lower_confidence","upper_confidence"
"Fully agree","2003","West Germany","7280","0.448419056248099","0.440905153101511","0.455932959394687"
"Fully agree","2003","East Germany","2548","0.492775990194657","0.479389355643061","0.506162624746253"
"Rather agree","2003","West Germany","7472","0.430492650206232","0.423011791140532","0.437973509271932"
"Rather agree","2003","East Germany","2223","0.396499326643121","0.383401270641893","0.409597382644349"
"Rather disagree","2003","West Germany","1799","0.103442796441072","0.0988417346657837","0.10804385821636"
"Rather disagree","2003","East Germany","490","0.0912567628956356","0.0835459553815504","0.0989675704097209"
"Disagree fully","2003","West Germany","278","0.0176454971045971","0.0156563357885447","0.0196346584206494"
"Disagree fully","2003","East Germany","97","0.0194679202665863","0.0157684680749427","0.0231673724582299"
"Fully agree","2004","West Germany","","","",""
"Fully agree","2004","East Germany","","","",""
"Rather agree","2004","West Germany","","","",""
"Rather agree","2004","East Germany","","","",""
"Rather disagree","2004","West Germany","","","",""
"Rather disagree","2004","East Germany","","","",""
"Disagree fully","2004","West Germany","","","",""
"Disagree fully","2004","East Germany","","","",""
"Fully agree","2005","West Germany","","","",""
"Fully agree","2005","East Germany","","","",""
"Rather agree","2005","West Germany","","","",""
"Rather agree","2005","East Germany","","","",""
"Rather disagree","2005","West Germany","","","",""
"Rather disagree","2005","East Germany","","","",""
"Disagree fully","2005","West Germany","","","",""
"Disagree fully","2005","East Germany","","","",""
"Fully agree","2006","West Germany","","","",""
"Fully agree","2006","East Germany","","","",""
"Rather agree","2006","West Germany","","","",""
"Rather agree","2006","East Germany","","","",""
"Rather disagree","2006","West Germany","","","",""
"Rather disagree","2006","East Germany","","","",""
"Disagree fully","2006","West Germany","","","",""
"Disagree fully","2006","East Germany","","","",""
"Fully agree","2007","West Germany","","","",""
"Fully agree","2007","East Germany","","","",""
"Rather agree","2007","West Germany","","","",""
"Rather agree","2007","East Germany","","","",""
"Rather disagree","2007","West Germany","","","",""
"Rather disagree","2007","East Germany","","","",""
"Disagree fully","2007","West Germany","","","",""
"Disagree fully","2007","East Germany","","","",""
"Fully agree","2008","West Germany","6026","0.425900890701924","0.417872081772895","0.433929699630953"
"Fully agree","2008","East Germany","2196","0.475349038873687","0.461206679115594","0.489491398631779"
"Rather agree","2008","West Germany","6704","0.45192088269835","0.443840047599333","0.460001717797368"
"Rather agree","2008","East Germany","1980","0.402288477413866","0.38840190877583","0.416175046051901"
"Rather disagree","2008","West Germany","1598","0.106211451969734","0.101208728727095","0.111214175212374"
"Rather disagree","2008","East Germany","523","0.103684070568679","0.0950509677916693","0.11231717334569"
"Disagree fully","2008","West Germany","243","0.0159667746299915","0.0139315287194732","0.0180020205405098"
"Disagree fully","2008","East Germany","91","0.0186784131437684","0.0148443787968507","0.022512447490686"
"Fully agree","2009","West Germany","","","",""
"Fully agree","2009","East Germany","","","",""
"Rather agree","2009","West Germany","","","",""
"Rather agree","2009","East Germany","","","",""
"Rather disagree","2009","West Germany","","","",""
"Rather disagree","2009","East Germany","","","",""
"Disagree fully","2009","West Germany","","","",""
"Disagree fully","2009","East Germany","","","",""
"Fully agree","2010","West Germany","","","",""
"Fully agree","2010","East Germany","","","",""
"Rather agree","2010","West Germany","","","",""
"Rather agree","2010","East Germany","","","",""
"Rather disagree","2010","West Germany","","","",""
"Rather disagree","2010","East Germany","","","",""
"Disagree fully","2010","West Germany","","","",""
"Disagree fully","2010","East Germany","","","",""
"Fully agree","2011","West Germany","","","",""
"Fully agree","2011","East Germany","","","",""
"Rather agree","2011","West Germany","","","",""
"Rather agree","2011","East Germany","","","",""
"Rather disagree","2011","West Germany","","","",""
"Rather disagree","2011","East Germany","","","",""
"Disagree fully","2011","West Germany","","","",""
"Disagree fully","2011","East Germany","","","",""
"Fully agree","2012","West Germany","","","",""
"Fully agree","2012","East Germany","","","",""
"Rather agree","2012","West Germany","","","",""
"Rather agree","2012","East Germany","","","",""
"Rather disagree","2012","West Germany","","","",""
"Rather disagree","2012","East Germany","","","",""
"Disagree fully","2012","West Germany","","","",""
"Disagree fully","2012","East Germany","","","",""
"Fully agree","2013","West Germany","8029","0.417534057243665","0.410659970720745","0.424408143766586"
"Fully agree","2013","East Germany","2606","0.470399502584562","0.457483941280108","0.483315063889016"
"Rather agree","2013","West Germany","9238","0.455265659067513","0.448324074857031","0.462207243277995"
