"m11125","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"0 Completely dissatisfied","1984","1-pers.-HH","West Germany","63","0.0503320985148925","0.0385955225275645","0.0620686745022204"
"0 Completely dissatisfied","1984","1-pers.-HH","East Germany","","","",""
"0 Completely dissatisfied","1984","(Married) couple without C. ","West Germany","106","0.0430078426827628","0.035361165326693","0.0506545200388326"
"0 Completely dissatisfied","1984","(Married) couple without C. ","East Germany","","","",""
"0 Completely dissatisfied","1984","Single parent ","West Germany","20","","",""
"0 Completely dissatisfied","1984","Single parent ","East Germany","","","",""
"0 Completely dissatisfied","1984","Couple + C. LE 16 ","West Germany","57","0.0176188308920169","0.0129680624428757","0.0222695993411581"
"0 Completely dissatisfied","1984","Couple + C. LE 16 ","East Germany","","","",""
"0 Completely dissatisfied","1984","Couple + C. GT 16 ","West Germany","51","0.0287766245490315","0.0214240750415475","0.0361291740565155"
"0 Completely dissatisfied","1984","Couple + C. GT 16 ","East Germany","","","",""
"0 Completely dissatisfied","1984","Couple + C. LE and GT 16","West Germany","28","","",""
"0 Completely dissatisfied","1984","Couple + C. LE and GT 16","East Germany","","","",""
"1 on Scale 1 to 10","1984","1-pers.-HH","West Germany","31","0.0278532236367563","0.0190196452013086","0.036686802072204"
"1 on Scale 1 to 10","1984","1-pers.-HH","East Germany","","","",""
"1 on Scale 1 to 10","1984","(Married) couple without C. ","West Germany","47","0.0203265947345202","0.0150077450014304","0.02564544446761"
"1 on Scale 1 to 10","1984","(Married) couple without C. ","East Germany","","","",""
"1 on Scale 1 to 10","1984","Single parent ","West Germany","13","","",""
"1 on Scale 1 to 10","1984","Single parent ","East Germany","","","",""
"1 on Scale 1 to 10","1984","Couple + C. LE 16 ","West Germany","18","","",""
"1 on Scale 1 to 10","1984","Couple + C. LE 16 ","East Germany","","","",""
"1 on Scale 1 to 10","1984","Couple + C. GT 16 ","West Germany","33","0.0154131520372682","0.00999524916332826","0.0208310549112081"
"1 on Scale 1 to 10","1984","Couple + C. GT 16 ","East Germany","","","",""
"1 on Scale 1 to 10","1984","Couple + C. LE and GT 16","West Germany","15","","",""
"1 on Scale 1 to 10","1984","Couple + C. LE and GT 16","East Germany","","","",""
"2 on Scale 1 to 10","1984","1-pers.-HH","West Germany","51","0.0463267730764966","0.0350431430800006","0.0576104030729926"
"2 on Scale 1 to 10","1984","1-pers.-HH","East Germany","","","",""
"2 on Scale 1 to 10","1984","(Married) couple without C. ","West Germany","105","0.038178639930709","0.030955896586388","0.0454013832750301"
"2 on Scale 1 to 10","1984","(Married) couple without C. ","East Germany","","","",""
"2 on Scale 1 to 10","1984","Single parent ","West Germany","6","","",""
"2 on Scale 1 to 10","1984","Single parent ","East Germany","","","",""
"2 on Scale 1 to 10","1984","Couple + C. LE 16 ","West Germany","68","0.0208744909153833","0.0158206299681513","0.0259283518626154"
"2 on Scale 1 to 10","1984","Couple + C. LE 16 ","East Germany","","","",""
"2 on Scale 1 to 10","1984","Couple + C. GT 16 ","West Germany","52","0.0262805361195341","0.0192450760118758","0.0333159962271924"
"2 on Scale 1 to 10","1984","Couple + C. GT 16 ","East Germany","","","",""
"2 on Scale 1 to 10","1984","Couple + C. LE and GT 16","West Germany","46","0.0198367414728734","0.0132412476252197","0.0264322353205272"
