"m11125","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"0 Completely dissatisfied","1984","(Married) couple without C. ","106","0.0430078426827628","0.035361165326693","0.0506545200388326"
"0 Completely dissatisfied","1984","1-pers.-HH","63","0.0503320985148925","0.0385955225275645","0.0620686745022204"
"0 Completely dissatisfied","1984","Couple + C. GT 16 ","51","0.0287766245490315","0.0214240750415475","0.0361291740565155"
"0 Completely dissatisfied","1984","Couple + C. LE 16 ","57","0.0176188308920169","0.0129680624428757","0.0222695993411581"
"0 Completely dissatisfied","1984","Couple + C. LE and GT 16","28","","",""
"0 Completely dissatisfied","1984","Single parent ","20","","",""
"1 on Scale 1 to 10","1984","(Married) couple without C. ","47","0.0203265947345202","0.0150077450014304","0.02564544446761"
"1 on Scale 1 to 10","1984","1-pers.-HH","31","0.0278532236367563","0.0190196452013086","0.036686802072204"
"1 on Scale 1 to 10","1984","Couple + C. GT 16 ","33","0.0154131520372682","0.00999524916332826","0.0208310549112081"
"1 on Scale 1 to 10","1984","Couple + C. LE 16 ","18","","",""
"1 on Scale 1 to 10","1984","Couple + C. LE and GT 16","15","","",""
"1 on Scale 1 to 10","1984","Single parent ","13","","",""
"10 Completely satisfied","1984","(Married) couple without C. ","447","0.152707085247466","0.139149225758768","0.166264944736164"
"10 Completely satisfied","1984","1-pers.-HH","241","0.161617520488049","0.141857002119627","0.18137803885647"
"10 Completely satisfied","1984","Couple + C. GT 16 ","473","0.217756340815637","0.199604741355261","0.235907940276012"
"10 Completely satisfied","1984","Couple + C. LE 16 ","849","0.260819131085332","0.245297361207665","0.276340900962999"
"10 Completely satisfied","1984","Couple + C. LE and GT 16","494","0.269163543073353","0.248184717919309","0.290142368227397"
"10 Completely satisfied","1984","Single parent ","138","0.22476434570514","0.190763525904429","0.258765165505851"
"2 on Scale 1 to 10","1984","(Married) couple without C. ","105","0.038178639930709","0.030955896586388","0.0454013832750301"
"2 on Scale 1 to 10","1984","1-pers.-HH","51","0.0463267730764966","0.0350431430800006","0.0576104030729926"
"2 on Scale 1 to 10","1984","Couple + C. GT 16 ","52","0.0262805361195341","0.0192450760118758","0.0333159962271924"
"2 on Scale 1 to 10","1984","Couple + C. LE 16 ","68","0.0208744909153833","0.0158206299681513","0.0259283518626154"
"2 on Scale 1 to 10","1984","Couple + C. LE and GT 16","46","0.0198367414728734","0.0132412476252197","0.0264322353205272"
"2 on Scale 1 to 10","1984","Single parent ","6","","",""
"3 on Scale 1 to 10","1984","(Married) couple without C. ","144","0.0578999803158982","0.0490969446411507","0.0667030159906457"
"3 on Scale 1 to 10","1984","1-pers.-HH","80","0.0645160162593202","0.0513278332271465","0.0777041992914939"
"3 on Scale 1 to 10","1984","Couple + C. GT 16 ","71","0.0344168560568065","0.0263993572394282","0.0424343548741848"
"3 on Scale 1 to 10","1984","Couple + C. LE 16 ","80","0.0226073570842251","0.0173525643674642","0.027862149800986"
"3 on Scale 1 to 10","1984","Couple + C. LE and GT 16","52","0.0264484991855221","0.0188584790976438","0.0340385192734003"
"3 on Scale 1 to 10","1984","Single parent ","25","","",""
"4 on Scale 1 to 10","1984","(Married) couple without C. ","130","0.0497314452519415","0.0415376809555269","0.0579252095483562"
"4 on Scale 1 to 10","1984","1-pers.-HH","77","0.0604717187734602","0.0476760172392232","0.0732674203076973"
"4 on Scale 1 to 10","1984","Couple + C. GT 16 ","75","0.0415054481272362","0.032733302216032","0.0502775940384403"
"4 on Scale 1 to 10","1984","Couple + C. LE 16 ","87","0.0264172101750059","0.0207479540327613","0.0320864663172504"
"4 on Scale 1 to 10","1984","Couple + C. LE and GT 16","64","0.0360850577420257","0.0272634853575993","0.0449066301264521"
"4 on Scale 1 to 10","1984","Single parent ","27","","",""
"5 on Scale 1 to 10","1984","(Married) couple without C. ","492","0.188492146973328","0.173750780552711","0.203233513393944"
"5 on Scale 1 to 10","1984","1-pers.-HH","220","0.175378224843412","0.154963278133235","0.19579317155359"
"5 on Scale 1 to 10","1984","Couple + C. GT 16 ","289","0.157882973048646","0.141846371409474","0.173919574687819"
"5 on Scale 1 to 10","1984","Couple + C. LE 16 ","364","0.116848215682864","0.105492228929201","0.128204202436527"
"5 on Scale 1 to 10","1984","Couple + C. LE and GT 16","197","0.116888626419578","0.101691663280452","0.132085589558705"
"5 on Scale 1 to 10","1984","Single parent ","90","0.157474321509794","0.127805161201606","0.187143481817982"
"6 on Scale 1 to 10","1984","(Married) couple without C. ","188","0.072599496236644","0.0628193530148504","0.0823796394584376"
"6 on Scale 1 to 10","1984","1-pers.-HH","87","0.0660221349103646","0.052691645628746","0.0793526241919832"
"6 on Scale 1 to 10","1984","Couple + C. GT 16 ","142","0.0743811311679823","0.0628411272072287","0.0859211351287359"
"6 on Scale 1 to 10","1984","Couple + C. LE 16 ","189","0.0560607070769208","0.047928705067107","0.0641927090867345"
"6 on Scale 1 to 10","1984","Couple + C. LE and GT 16","99","0.0529073076087221","0.0423192324132461","0.063495382804198"
"6 on Scale 1 to 10","1984","Single parent ","34","0.0615229219877087","0.0419507456086473","0.0810950983667702"
"7 on Scale 1 to 10","1984","(Married) couple without C. ","350","0.128330970182123","0.115724709194142","0.140937231170103"
"7 on Scale 1 to 10","1984","1-pers.-HH","149","0.109967267368471","0.0931727424772647","0.126761792259677"
"7 on Scale 1 to 10","1984","Couple + C. GT 16 ","209","0.105934030915958","0.0923989455177186","0.119469116314198"
"7 on Scale 1 to 10","1984","Couple + C. LE 16 ","344","0.119658870466584","0.108185418410623","0.131132322522546"
"7 on Scale 1 to 10","1984","Couple + C. LE and GT 16","183","0.123283372225824","0.107732855746511","0.138833888705138"
"7 on Scale 1 to 10","1984","Single parent ","66","0.112959956870838","0.0871764087732844","0.138743504968392"
"8 on Scale 1 to 10","1984","(Married) couple without C. ","455","0.162939072092138","0.149019178928941","0.176858965255335"
"8 on Scale 1 to 10","1984","1-pers.-HH","206","0.149636487237465","0.130487135465192","0.168785839009739"
"8 on Scale 1 to 10","1984","Couple + C. GT 16 ","344","0.177860240002326","0.161042380040665","0.194678099963986"
