"m11125","year","e11102","migback","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","Not Employed","no migration background","191","0.0573287299160252","0.0497327500083226","0.0649247098237277","0"
"0 Completely dissatisfied","1984","Not Employed","direct migration background","51","0.0578511215106775","0.0433667892241068","0.0723354537972482","0"
"0 Completely dissatisfied","1984","Not Employed","indirect migration background","1","","","","0"
"0 Completely dissatisfied","1984","Employed","no migration background","84","0.0175278290059322","0.0139170820625402","0.0211385759493243","0"
"0 Completely dissatisfied","1984","Employed","direct migration background","47","0.0199238164560232","0.0143471377574447","0.0255004951546017","0"
"0 Completely dissatisfied","1984","Employed","indirect migration background","","","","","0"
"1 on Scale 1 to 10","1984","Not Employed","no migration background","100","0.0311984949936557","0.025517796544497","0.0368791934428143","1"
"1 on Scale 1 to 10","1984","Not Employed","direct migration background","23","","","","1"
"1 on Scale 1 to 10","1984","Not Employed","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1984","Employed","no migration background","30","0.00600514756063099","0.00387932618827695","0.00813096893298504","1"
"1 on Scale 1 to 10","1984","Employed","direct migration background","21","","","","1"
"1 on Scale 1 to 10","1984","Employed","indirect migration background","1","","","","1"
"10 Completely satisfied","1984","Not Employed","direct migration background","290","0.247887217274352","0.221098533760769","0.274675900787934","10"
"10 Completely satisfied","1984","Not Employed","no migration background","610","0.157365239111458","0.145466755959747","0.169263722263169","10"
"10 Completely satisfied","1984","Not Employed","indirect migration background","21","","","","10"
"10 Completely satisfied","1984","Employed","indirect migration background","28","","","","10"
"10 Completely satisfied","1984","Employed","no migration background","1164","0.228770573775551","0.217213051580209","0.240328095970894","10"
"10 Completely satisfied","1984","Employed","direct migration background","667","0.251618166898612","0.234300393422916","0.268935940374308","10"
"2 on Scale 1 to 10","1984","Not Employed","no migration background","157","0.0467973554644087","0.0398962162779649","0.0536984946508524","2"
"2 on Scale 1 to 10","1984","Not Employed","direct migration background","45","0.0330708481334379","0.0219764738364355","0.0441652224304403","2"
"2 on Scale 1 to 10","1984","Not Employed","indirect migration background","3","","","","2"
"2 on Scale 1 to 10","1984","Employed","no migration background","92","0.0189514518396886","0.0151996546620033","0.022703249017374","2"
"2 on Scale 1 to 10","1984","Employed","direct migration background","68","0.0274375216299261","0.0209183767251079","0.0339566665347443","2"
"2 on Scale 1 to 10","1984","Employed","indirect migration background","","","","","2"
"3 on Scale 1 to 10","1984","Not Employed","direct migration background","36","0.0352392059438143","0.023799741298849","0.0466786705887796","3"
"3 on Scale 1 to 10","1984","Not Employed","indirect migration background","2","","","","3"
"3 on Scale 1 to 10","1984","Not Employed","no migration background","200","0.0594244830490736","0.0516995085817725","0.0671494575163747","3"
"3 on Scale 1 to 10","1984","Employed","no migration background","153","0.0314356807747537","0.0266344948129968","0.0362368667365106","3"
"3 on Scale 1 to 10","1984","Employed","direct migration background","101","0.0385245638295595","0.0308439239813351","0.0462052036777839","3"
"3 on Scale 1 to 10","1984","Employed","indirect migration background","1","","","","3"
"4 on Scale 1 to 10","1984","Not Employed","direct migration background","31","0.0351045822333008","0.023686192905488","0.0465229715611135","4"
"4 on Scale 1 to 10","1984","Employed","no migration background","187","0.0381758499628936","0.0329033685687754","0.0434483313570118","4"
"4 on Scale 1 to 10","1984","Not Employed","indirect migration background","1","","","","4"
"4 on Scale 1 to 10","1984","Not Employed","no migration background","181","0.0533101945722698","0.0459696801629673","0.0606507089815723","4"
"4 on Scale 1 to 10","1984","Employed","direct migration background","102","0.0405385744787659","0.032667981837568","0.0484091671199639","4"
"4 on Scale 1 to 10","1984","Employed","indirect migration background","1","","","","4"
"5 on Scale 1 to 10","1984","Not Employed","no migration background","629","0.180564447271769","0.167995727765794","0.193133166777744","5"
"5 on Scale 1 to 10","1984","Not Employed","direct migration background","124","0.130637176508875","0.109728971715443","0.151545381302306","5"
"5 on Scale 1 to 10","1984","Employed","indirect migration background","9","","","","5"
"5 on Scale 1 to 10","1984","Not Employed","indirect migration background","6","","","","5"
"5 on Scale 1 to 10","1984","Employed","no migration background","678","0.134978724130698","0.12557675299333","0.144380695268066","5"
"5 on Scale 1 to 10","1984","Employed","direct migration background","327","0.156682678837494","0.142176085267269","0.171189272407718","5"
"6 on Scale 1 to 10","1984","Employed","no migration background","322","0.0627177330522646","0.0560465441875862","0.0693889219169431","6"
"6 on Scale 1 to 10","1984","Not Employed","direct migration background","59","0.0576363259562219","0.0431772601886409","0.0720953917238028","6"
"6 on Scale 1 to 10","1984","Not Employed","indirect migration background","","","","","6"
"6 on Scale 1 to 10","1984","Not Employed","no migration background","255","0.0718926345940857","0.0634523163771964","0.0803329528109751","6"
"6 on Scale 1 to 10","1984","Employed","direct migration background","162","0.0624272679472127","0.0527723388724873","0.0720821970219382","6"
"6 on Scale 1 to 10","1984","Employed","indirect migration background","1","","","","6"
"7 on Scale 1 to 10","1984","Not Employed","no migration background","367","0.104717066763453","0.0947123131292235","0.114721820397682","7"
"7 on Scale 1 to 10","1984","Not Employed","direct migration background","100","0.123397121605846","0.102992113049049","0.143802130162644","7"
"7 on Scale 1 to 10","1984","Not Employed","indirect migration background","4","","","","7"
