"m11125","year","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","Female","199","0.0377613132589084","0.0330252974626031","0.0424973290552138","0"
"0 Completely dissatisfied","1984","Male","175","0.0319715559533245","0.0275153073868145","0.0364278045198346","0"
"1 on Scale 1 to 10","1984","Female","98","0.0198430380992747","0.0163780632377471","0.0233080129608022","1"
"1 on Scale 1 to 10","1984","Male","77","0.0144428780327303","0.0114207613091443","0.0174649947563163","1"
"10 Completely satisfied","1984","Female","1350","0.194026970791036","0.184201813839724","0.203852127742347","10"
"10 Completely satisfied","1984","Male","1430","0.210715754306749","0.200385555429382","0.221045953184116","10"
"2 on Scale 1 to 10","1984","Female","199","0.034059700695879","0.0295531553353373","0.0385662460564206","2"
"2 on Scale 1 to 10","1984","Male","166","0.0281522807351551","0.0239624221583852","0.032342139311925","2"
"3 on Scale 1 to 10","1984","Female","283","0.0490333515633907","0.0436682663621981","0.0543984367645833","3"
"3 on Scale 1 to 10","1984","Male","210","0.0373632906114591","0.0325593544175992","0.0421672268053191","3"
"4 on Scale 1 to 10","1984","Female","275","0.0465712768169894","0.041335858613666","0.0518066950203128","4"
"4 on Scale 1 to 10","1984","Male","228","0.0417622780939221","0.0366950298123151","0.046829526375529","4"
"5 on Scale 1 to 10","1984","Female","1021","0.173069738100687","0.163670488091592","0.182468988109783","5"
"5 on Scale 1 to 10","1984","Male","752","0.134553840263296","0.125909904352603","0.143197776173989","5"
"6 on Scale 1 to 10","1984","Male","381","0.0648341532490686","0.0585969527878758","0.0710713537102613","6"
"6 on Scale 1 to 10","1984","Female","418","0.0670446059756589","0.0608307590296236","0.0732584529216941","6"
"7 on Scale 1 to 10","1984","Male","713","0.123005700943627","0.114686062230264","0.13132533965699","7"
"7 on Scale 1 to 10","1984","Female","697","0.116681026215021","0.108704623177711","0.12465742925233","7"
"8 on Scale 1 to 10","1984","Female","1049","0.16697854277564","0.157712237197769","0.17624484835351","8"
"8 on Scale 1 to 10","1984","Male","1103","0.188874654762691","0.178960075486339","0.198789234039042","8"
"9 on Scale 1 to 10","1984","Female","634","0.094930435707516","0.0876477442974759","0.102213127117556","9"
"9 on Scale 1 to 10","1984","Male","752","0.124323613047978","0.115965810767595","0.132681415328361","9"
"0 Completely dissatisfied","1985","Female","121","0.0242448855795289","0.0202182644315104","0.0282715067275475","0"
"0 Completely dissatisfied","1985","Male","109","0.0230885343116397","0.0190928242636663","0.0270842443596131","0"
"1 on Scale 1 to 10","1985","Female","71","0.0147447441615505","0.01158935242817","0.0179001358949311","1"
"1 on Scale 1 to 10","1985","Male","62","0.0129486724970077","0.00994086060531353","0.0159564843887018","1"
"10 Completely satisfied","1985","Female","934","0.153173449414449","0.143744804901846","0.162602093927051","10"
"10 Completely satisfied","1985","Male","1000","0.163499976462459","0.153660771529751","0.173339181395167","10"
"2 on Scale 1 to 10","1985","Male","138","0.0260774468020409","0.0218374754155659","0.0303174181885158","2"
"2 on Scale 1 to 10","1985","Female","166","0.033835310216346","0.0291019348687186","0.0385686855639733","2"
"3 on Scale 1 to 10","1985","Female","232","0.0451913964781697","0.039753307298853","0.0506294856574863","3"
"3 on Scale 1 to 10","1985","Male","189","0.0379704126224197","0.0328854817521064","0.043055343492733","3"
"4 on Scale 1 to 10","1985","Female","300","0.0560731153028227","0.0500501993469027","0.0620960312587426","4"
"4 on Scale 1 to 10","1985","Male","218","0.0450497781582819","0.039531483640641","0.0505680726759229","4"
"5 on Scale 1 to 10","1985","Female","953","0.178505483597248","0.168480390879008","0.188530576315487","5"
"5 on Scale 1 to 10","1985","Male","703","0.13590250584918","0.126785267987166","0.145019743711194","5"
"6 on Scale 1 to 10","1985","Female","450","0.0823632205565855","0.0751660408195138","0.0895604002936571","6"
"6 on Scale 1 to 10","1985","Male","420","0.0847597511669115","0.0773495402067714","0.0921699621270515","6"
"7 on Scale 1 to 10","1985","Female","718","0.130145489277417","0.121337066470478","0.138953912084356","7"
"7 on Scale 1 to 10","1985","Male","747","0.142380283232744","0.133083333453608","0.151677233011879","7"
"8 on Scale 1 to 10","1985","Female","1079","0.179684115621705","0.169633198627397","0.189735032616013","8"
"8 on Scale 1 to 10","1985","Male","1176","0.214016184433938","0.203104336867486","0.22492803200039","8"
"9 on Scale 1 to 10","1985","Female","581","0.102038789794178","0.0941142925190583","0.109963287069298","9"
"9 on Scale 1 to 10","1985","Male","665","0.114306454463377","0.105841097086725","0.12277181184003","9"
"0 Completely dissatisfied","1986","Female","136","0.0301344903976777","0.0255582074277789","0.0347107733675765","0"
"0 Completely dissatisfied","1986","Male","90","0.0198943599053497","0.0161189582644681","0.0236697615462314","0"
"1 on Scale 1 to 10","1986","Female","72","0.0155804623547245","0.0122652948993545","0.0188956298100944","1"
"1 on Scale 1 to 10","1986","Male","59","0.0123126574336382","0.00933107120907703","0.0152942436581994","1"
"10 Completely satisfied","1986","Female","765","0.127448467640944","0.118521827257018","0.136375108024869","10"
"10 Completely satisfied","1986","Male","894","0.145677370875654","0.13613912017118","0.155215621580128","10"
"2 on Scale 1 to 10","1986","Female","141","0.0271512601809516","0.0228007234121611","0.0315017969497422","2"
"2 on Scale 1 to 10","1986","Male","108","0.0230611352212904","0.0190029135513195","0.0271193568912613","2"
"3 on Scale 1 to 10","1986","Female","259","0.0507696849734949","0.0448932596511832","0.0566461102958066","3"
"3 on Scale 1 to 10","1986","Male","181","0.036542145900441","0.0314690261350011","0.041615265665881","3"
"4 on Scale 1 to 10","1986","Female","298","0.0603828905196389","0.0540067541798961","0.0667590268593818","4"
"4 on Scale 1 to 10","1986","Male","241","0.0493249508248063","0.0434701636983572","0.0551797379512554","4"
"5 on Scale 1 to 10","1986","Male","676","0.1357660099661","0.126504689127447","0.145027330804753","5"
"5 on Scale 1 to 10","1986","Female","869","0.175098366340735","0.164924938328653","0.185271794352818","5"
"6 on Scale 1 to 10","1986","Female","480","0.0924101099970063","0.0846578245458001","0.100162395448213","6"
