"m11125","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","no migration background","West Germany","275","0.0354168928758122","0.0315267682818102","0.0393070174698143","0"
"0 Completely dissatisfied","1984","no migration background","East Germany","","","","","0"
"0 Completely dissatisfied","1984","direct migration background","West Germany","98","0.0327914519988006","0.0268140661874534","0.0387688378101479","0"
"0 Completely dissatisfied","1984","direct migration background","East Germany","","","","","0"
"0 Completely dissatisfied","1984","indirect migration background","West Germany","1","","","","0"
"0 Completely dissatisfied","1984","indirect migration background","East Germany","","","","","0"
"1 on Scale 1 to 10","1984","no migration background","West Germany","130","0.0173286450448593","0.0145821747410117","0.0200751153487068","1"
"1 on Scale 1 to 10","1984","no migration background","East Germany","","","","","1"
"1 on Scale 1 to 10","1984","direct migration background","West Germany","44","0.0162585176652677","0.0120137701022437","0.0205032652282917","1"
"1 on Scale 1 to 10","1984","direct migration background","East Germany","","","","","1"
"1 on Scale 1 to 10","1984","indirect migration background","West Germany","1","","","","1"
"1 on Scale 1 to 10","1984","indirect migration background","East Germany","","","","","1"
"10 Completely satisfied","1984","no migration background","East Germany","","","","","10"
"10 Completely satisfied","1984","no migration background","West Germany","1774","0.196676461249264","0.18831061467516","0.205042307823369","10"
"10 Completely satisfied","1984","direct migration background","West Germany","957","0.250352363807033","0.235811997833157","0.264892729780909","10"
"10 Completely satisfied","1984","indirect migration background","East Germany","","","","","10"
"10 Completely satisfied","1984","direct migration background","East Germany","","","","","10"
"10 Completely satisfied","1984","indirect migration background","West Germany","49","0.222050990288931","0.150048912446078","0.294053068131784","10"
"2 on Scale 1 to 10","1984","no migration background","West Germany","249","0.0314671772897831","0.0277928780620423","0.035141476517524","2"
"2 on Scale 1 to 10","1984","no migration background","East Germany","","","","","2"
"2 on Scale 1 to 10","1984","direct migration background","West Germany","113","0.0293487460693162","0.0236837803411697","0.0350137117974627","2"
"2 on Scale 1 to 10","1984","direct migration background","East Germany","","","","","2"
"2 on Scale 1 to 10","1984","indirect migration background","West Germany","3","","","","2"
"2 on Scale 1 to 10","1984","indirect migration background","East Germany","","","","","2"
"3 on Scale 1 to 10","1984","no migration background","East Germany","","","","","3"
"3 on Scale 1 to 10","1984","direct migration background","West Germany","137","0.0374099371024446","0.0310407342997368","0.0437791399051524","3"
"3 on Scale 1 to 10","1984","no migration background","West Germany","353","0.0440156339938474","0.0396982832512611","0.0483329847364337","3"
"3 on Scale 1 to 10","1984","direct migration background","East Germany","","","","","3"
"3 on Scale 1 to 10","1984","indirect migration background","West Germany","3","","","","3"
"3 on Scale 1 to 10","1984","indirect migration background","East Germany","","","","","3"
"4 on Scale 1 to 10","1984","no migration background","East Germany","","","","","4"
