"m11125","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"0 Completely dissatisfied","1984","in school","West Germany","1","","",""
"0 Completely dissatisfied","1984","in school","East Germany","","","",""
"0 Completely dissatisfied","1984","inadequately","West Germany","38","0.0502592104608895","0.0368448066649484","0.0636736142568306"
"0 Completely dissatisfied","1984","inadequately","East Germany","","","",""
"0 Completely dissatisfied","1984","general elemantary","West Germany","121","0.0435594667903114","0.0367603136487906","0.0503586199318322"
"0 Completely dissatisfied","1984","general elemantary","East Germany","","","",""
"0 Completely dissatisfied","1984","middle vocational","West Germany","173","0.0340758937644712","0.0293722426213921","0.0387795449075503"
"0 Completely dissatisfied","1984","middle vocational","East Germany","","","",""
"0 Completely dissatisfied","1984","vocational + Abi","West Germany","6","","",""
"0 Completely dissatisfied","1984","vocational + Abi","East Germany","","","",""
"0 Completely dissatisfied","1984","higher vocational","West Germany","20","","",""
"0 Completely dissatisfied","1984","higher vocational","East Germany","","","",""
"0 Completely dissatisfied","1984","higher education","West Germany","10","","",""
"0 Completely dissatisfied","1984","higher education","East Germany","","","",""
"1 on Scale 1 to 10","1984","in school","West Germany","1","","",""
"1 on Scale 1 to 10","1984","in school","East Germany","","","",""
"1 on Scale 1 to 10","1984","inadequately","West Germany","24","","",""
"1 on Scale 1 to 10","1984","inadequately","East Germany","","","",""
"1 on Scale 1 to 10","1984","general elemantary","West Germany","66","0.025707774756092","0.0204359444697255","0.0309796050424586"
"1 on Scale 1 to 10","1984","general elemantary","East Germany","","","",""
"1 on Scale 1 to 10","1984","middle vocational","West Germany","66","0.0138627828934895","0.0108314484144711","0.0168941173725079"
"1 on Scale 1 to 10","1984","middle vocational","East Germany","","","",""
"1 on Scale 1 to 10","1984","vocational + Abi","West Germany","3","","",""
"1 on Scale 1 to 10","1984","vocational + Abi","East Germany","","","",""
"1 on Scale 1 to 10","1984","higher vocational","West Germany","10","","",""
"1 on Scale 1 to 10","1984","higher vocational","East Germany","","","",""
"1 on Scale 1 to 10","1984","higher education","West Germany","5","","",""
"1 on Scale 1 to 10","1984","higher education","East Germany","","","",""
"2 on Scale 1 to 10","1984","in school","West Germany","3","","",""
"2 on Scale 1 to 10","1984","in school","East Germany","","","",""
"2 on Scale 1 to 10","1984","inadequately","West Germany","54","0.0452179294644666","0.0324603447011606","0.0579755142277726"
"2 on Scale 1 to 10","1984","inadequately","East Germany","","","",""
"2 on Scale 1 to 10","1984","general elemantary","West Germany","132","0.0459216273899081","0.0389491804168984","0.0528940743629178"
"2 on Scale 1 to 10","1984","general elemantary","East Germany","","","",""
"2 on Scale 1 to 10","1984","middle vocational","West Germany","140","0.0258522290203474","0.021737877523745","0.0299665805169499"
"2 on Scale 1 to 10","1984","middle vocational","East Germany","","","",""
"2 on Scale 1 to 10","1984","vocational + Abi","West Germany","3","","",""
"2 on Scale 1 to 10","1984","vocational + Abi","East Germany","","","",""
"2 on Scale 1 to 10","1984","higher vocational","West Germany","12","","",""
"2 on Scale 1 to 10","1984","higher vocational","East Germany","","","",""
"2 on Scale 1 to 10","1984","higher education","West Germany","18","","",""
"2 on Scale 1 to 10","1984","higher education","East Germany","","","",""
"3 on Scale 1 to 10","1984","in school","West Germany","3","","",""
"3 on Scale 1 to 10","1984","in school","East Germany","","","",""
"3 on Scale 1 to 10","1984","inadequately","West Germany","52","0.0488672735493076","0.0356302416295502","0.0621043054690651"
"3 on Scale 1 to 10","1984","inadequately","East Germany","","","",""
"3 on Scale 1 to 10","1984","general elemantary","West Germany","171","0.0561854387791016","0.0485146542378863","0.0638562233203168"
"3 on Scale 1 to 10","1984","general elemantary","East Germany","","","",""
"3 on Scale 1 to 10","1984","middle vocational","West Germany","204","0.0389597963898824","0.0339430852996803","0.0439765074800845"
"3 on Scale 1 to 10","1984","middle vocational","East Germany","","","",""
"3 on Scale 1 to 10","1984","vocational + Abi","West Germany","12","","",""
"3 on Scale 1 to 10","1984","vocational + Abi","East Germany","","","",""
"3 on Scale 1 to 10","1984","higher vocational","West Germany","27","","",""
"3 on Scale 1 to 10","1984","higher vocational","East Germany","","","",""
"3 on Scale 1 to 10","1984","higher education","West Germany","23","","",""
"3 on Scale 1 to 10","1984","higher education","East Germany","","","",""
"4 on Scale 1 to 10","1984","in school","West Germany","2","","",""
"4 on Scale 1 to 10","1984","in school","East Germany","","","",""
"4 on Scale 1 to 10","1984","inadequately","West Germany","53","0.0577789238967106","0.0434530167873671","0.0721048310060541"
"4 on Scale 1 to 10","1984","inadequately","East Germany","","","",""
"4 on Scale 1 to 10","1984","general elemantary","West Germany","149","0.0517591390710373","0.0443794610446653","0.0591388170974094"
"4 on Scale 1 to 10","1984","general elemantary","East Germany","","","",""
"4 on Scale 1 to 10","1984","middle vocational","West Germany","236","0.0429378177367771","0.0376821241720743","0.04819351130148"
"4 on Scale 1 to 10","1984","middle vocational","East Germany","","","",""
"4 on Scale 1 to 10","1984","vocational + Abi","West Germany","14","","",""
"4 on Scale 1 to 10","1984","vocational + Abi","East Germany","","","",""
"4 on Scale 1 to 10","1984","higher vocational","West Germany","22","","",""
"4 on Scale 1 to 10","1984","higher vocational","East Germany","","","",""
"4 on Scale 1 to 10","1984","higher education","West Germany","24","","",""
"4 on Scale 1 to 10","1984","higher education","East Germany","","","",""
"5 on Scale 1 to 10","1984","in school","West Germany","9","","",""
"5 on Scale 1 to 10","1984","in school","East Germany","","","",""
"5 on Scale 1 to 10","1984","inadequately","West Germany","164","0.139843902830805","0.118549208863364","0.161138596798246"
"5 on Scale 1 to 10","1984","inadequately","East Germany","","","",""
"5 on Scale 1 to 10","1984","general elemantary","West Germany","571","0.185375579419883","0.172430952663953","0.198320206175813"
"5 on Scale 1 to 10","1984","general elemantary","East Germany","","","",""
"5 on Scale 1 to 10","1984","middle vocational","West Germany","802","0.1502644162538","0.141000172986355","0.159528659521244"
"5 on Scale 1 to 10","1984","middle vocational","East Germany","","","",""
"5 on Scale 1 to 10","1984","vocational + Abi","West Germany","35","0.101462179266214","0.0679586106609683","0.134965747871459"
"5 on Scale 1 to 10","1984","vocational + Abi","East Germany","","","",""
"5 on Scale 1 to 10","1984","higher vocational","West Germany","112","0.177379650716163","0.148192831629734","0.206566469802592"
"5 on Scale 1 to 10","1984","higher vocational","East Germany","","","",""
"5 on Scale 1 to 10","1984","higher education","West Germany","71","0.0910613734670918","0.0710249649279034","0.11109778200628"
"5 on Scale 1 to 10","1984","higher education","East Germany","","","",""
"6 on Scale 1 to 10","1984","in school","West Germany","4","","",""
"6 on Scale 1 to 10","1984","in school","East Germany","","","",""
"6 on Scale 1 to 10","1984","inadequately","West Germany","77","0.0789020444360049","0.0623497563521141","0.0954543325198956"
"6 on Scale 1 to 10","1984","inadequately","East Germany","","","",""
"6 on Scale 1 to 10","1984","general elemantary","West Germany","230","0.0673185754154555","0.0589718008994947","0.0756653499314162"
"6 on Scale 1 to 10","1984","general elemantary","East Germany","","","",""
"6 on Scale 1 to 10","1984","middle vocational","West Germany","382","0.0680445920830776","0.0615157773108524","0.0745734068553028"
"6 on Scale 1 to 10","1984","middle vocational","East Germany","","","",""
"6 on Scale 1 to 10","1984","vocational + Abi","West Germany","18","","",""
"6 on Scale 1 to 10","1984","vocational + Abi","East Germany","","","",""
"6 on Scale 1 to 10","1984","higher vocational","West Germany","39","0.0608992175920077","0.0426267541390175","0.0791716810449979"
"6 on Scale 1 to 10","1984","higher vocational","East Germany","","","",""
"6 on Scale 1 to 10","1984","higher education","West Germany","42","0.0536515984061719","0.0379587290493592","0.0693444677629846"
"6 on Scale 1 to 10","1984","higher education","East Germany","","","",""
"7 on Scale 1 to 10","1984","in school","West Germany","14","","",""
"7 on Scale 1 to 10","1984","in school","East Germany","","","",""
"7 on Scale 1 to 10","1984","inadequately","West Germany","106","0.1109507163958","0.0916670782879693","0.130234354503631"
"7 on Scale 1 to 10","1984","inadequately","East Germany","","","",""
"7 on Scale 1 to 10","1984","general elemantary","West Germany","372","0.111918295450372","0.1014165481356","0.122420042765144"
"7 on Scale 1 to 10","1984","general elemantary","East Germany","","","",""
"7 on Scale 1 to 10","1984","middle vocational","West Germany","698","0.125681055906538","0.117086769386903","0.134275342426174"
"7 on Scale 1 to 10","1984","middle vocational","East Germany","","","",""
"7 on Scale 1 to 10","1984","vocational + Abi","West Germany","33","0.104167252516469","0.070271142088778","0.13806336294416"
"7 on Scale 1 to 10","1984","vocational + Abi","East Germany","","","",""
"7 on Scale 1 to 10","1984","higher vocational","West Germany","76","0.115201711948867","0.0908075025467922","0.139595921350942"
"7 on Scale 1 to 10","1984","higher vocational","East Germany","","","",""
"7 on Scale 1 to 10","1984","higher education","West Germany","104","0.131333155678979","0.107809797967985","0.154856513389972"
"7 on Scale 1 to 10","1984","higher education","East Germany","","","",""
"8 on Scale 1 to 10","1984","in school","West Germany","35","0.209491049584702","0.151164884887835","0.267817214281569"
"8 on Scale 1 to 10","1984","in school","East Germany","","","",""
"8 on Scale 1 to 10","1984","inadequately","West Germany","136","0.125087043136159","0.104775188191294","0.145398898081024"
"8 on Scale 1 to 10","1984","inadequately","East Germany","","","",""
"8 on Scale 1 to 10","1984","general elemantary","West Germany","517","0.145387062716709","0.133645330489305","0.157128794944112"
"8 on Scale 1 to 10","1984","general elemantary","East Germany","","","",""
"8 on Scale 1 to 10","1984","middle vocational","West Germany","1070","0.18275994959517","0.172740235962271","0.192779663228068"
"8 on Scale 1 to 10","1984","middle vocational","East Germany","","","",""
"8 on Scale 1 to 10","1984","vocational + Abi","West Germany","53","0.188784720448744","0.145361475377724","0.232207965519764"
"8 on Scale 1 to 10","1984","vocational + Abi","East Germany","","","",""
"8 on Scale 1 to 10","1984","higher vocational","West Germany","145","0.212811276694408","0.181538107475233","0.244084445913582"
"8 on Scale 1 to 10","1984","higher vocational","East Germany","","","",""
"8 on Scale 1 to 10","1984","higher education","West Germany","188","0.239667112825204","0.209937338663879","0.26939688698653"
"8 on Scale 1 to 10","1984","higher education","East Germany","","","",""
"9 on Scale 1 to 10","1984","in school","West Germany","38","0.21186084073817","0.153293691315758","0.270427990160581"
"9 on Scale 1 to 10","1984","in school","East Germany","","","",""
"9 on Scale 1 to 10","1984","inadequately","West Germany","77","0.0802046438858036","0.06352808801776","0.0968811997538472"
"9 on Scale 1 to 10","1984","inadequately","East Germany","","","",""
"9 on Scale 1 to 10","1984","general elemantary","West Germany","346","0.0846986992929343","0.0754238904054919","0.0939735081803768"
"9 on Scale 1 to 10","1984","general elemantary","East Germany","","","",""
"9 on Scale 1 to 10","1984","middle vocational","West Germany","671","0.111207101638145","0.103056183666114","0.119358019610177"
"9 on Scale 1 to 10","1984","middle vocational","East Germany","","","",""
"9 on Scale 1 to 10","1984","vocational + Abi","West Germany","56","0.180464746478779","0.137791979722023","0.223137513235536"
"9 on Scale 1 to 10","1984","vocational + Abi","East Germany","","","",""
"9 on Scale 1 to 10","1984","higher vocational","West Germany","71","0.108512959144186","0.084748197386563","0.132277720901808"
"9 on Scale 1 to 10","1984","higher vocational","East Germany","","","",""
"9 on Scale 1 to 10","1984","higher education","West Germany","122","0.151889988862054","0.126893663430214","0.176886314293893"
"9 on Scale 1 to 10","1984","higher education","East Germany","","","",""
"10 Completely satisfied","1984","in school","West Germany","77","0.393391849694837","0.323376366990354","0.46340733239932"
"10 Completely satisfied","1984","in school","East Germany","","","",""
"10 Completely satisfied","1984","inadequately","West Germany","238","0.227584965939737","0.201842026033555","0.253327905845919"
"10 Completely satisfied","1984","inadequately","East Germany","","","",""
"10 Completely satisfied","1984","general elemantary","West Germany","787","0.182168340918196","0.169310946400936","0.195025735435456"
"10 Completely satisfied","1984","general elemantary","East Germany","","","",""
"10 Completely satisfied","1984","middle vocational","West Germany","1273","0.206354364718302","0.195862320327174","0.21684640910943"
"10 Completely satisfied","1984","middle vocational","East Germany","","","",""
"10 Completely satisfied","1984","vocational + Abi","West Germany","79","0.215061126570614","0.169471118289748","0.260651134851479"
"10 Completely satisfied","1984","vocational + Abi","East Germany","","","",""
"10 Completely satisfied","1984","higher vocational","West Germany","124","0.172787194986297","0.143900387595232","0.201674002377362"
"10 Completely satisfied","1984","higher vocational","East Germany","","","",""
"10 Completely satisfied","1984","higher education","West Germany","185","0.215390907274943","0.18676061039506","0.244021204154826"
"10 Completely satisfied","1984","higher education","East Germany","","","",""
"0 Completely dissatisfied","1985","in school","West Germany","","","",""
"0 Completely dissatisfied","1985","in school","East Germany","","","",""
"0 Completely dissatisfied","1985","inadequately","West Germany","27","","",""
"0 Completely dissatisfied","1985","inadequately","East Germany","","","",""
"0 Completely dissatisfied","1985","general elemantary","West Germany","71","0.0265711197914289","0.0208765521928574","0.0322656873900004"
"0 Completely dissatisfied","1985","general elemantary","East Germany","","","",""
"0 Completely dissatisfied","1985","middle vocational","West Germany","104","0.0234137149409371","0.0192942441209516","0.0275331857609226"
"0 Completely dissatisfied","1985","middle vocational","East Germany","","","",""
"0 Completely dissatisfied","1985","vocational + Abi","West Germany","5","","",""
"0 Completely dissatisfied","1985","vocational + Abi","East Germany","","","",""
"0 Completely dissatisfied","1985","higher vocational","West Germany","14","","",""
"0 Completely dissatisfied","1985","higher vocational","East Germany","","","",""
"0 Completely dissatisfied","1985","higher education","West Germany","5","","",""
"0 Completely dissatisfied","1985","higher education","East Germany","","","",""
"1 on Scale 1 to 10","1985","in school","West Germany","2","","",""
"1 on Scale 1 to 10","1985","in school","East Germany","","","",""
"1 on Scale 1 to 10","1985","inadequately","West Germany","18","","",""
"1 on Scale 1 to 10","1985","inadequately","East Germany","","","",""
"1 on Scale 1 to 10","1985","general elemantary","West Germany","40","0.0173069676707171","0.0126892950431834","0.0219246402982507"
"1 on Scale 1 to 10","1985","general elemantary","East Germany","","","",""
"1 on Scale 1 to 10","1985","middle vocational","West Germany","60","0.0139692195063869","0.0107719277773124","0.0171665112354614"
"1 on Scale 1 to 10","1985","middle vocational","East Germany","","","",""
"1 on Scale 1 to 10","1985","vocational + Abi","West Germany","2","","",""
"1 on Scale 1 to 10","1985","vocational + Abi","East Germany","","","",""
"1 on Scale 1 to 10","1985","higher vocational","West Germany","7","","",""
"1 on Scale 1 to 10","1985","higher vocational","East Germany","","","",""
"1 on Scale 1 to 10","1985","higher education","West Germany","2","","",""
"1 on Scale 1 to 10","1985","higher education","East Germany","","","",""
"2 on Scale 1 to 10","1985","in school","West Germany","1","","",""
"2 on Scale 1 to 10","1985","in school","East Germany","","","",""
"2 on Scale 1 to 10","1985","inadequately","West Germany","38","0.0471545623730374","0.0328371302117671","0.0614719945343077"
"2 on Scale 1 to 10","1985","inadequately","East Germany","","","",""
"2 on Scale 1 to 10","1985","general elemantary","West Germany","104","0.0389814251419083","0.0321281454264462","0.0458347048573703"
"2 on Scale 1 to 10","1985","general elemantary","East Germany","","","",""
"2 on Scale 1 to 10","1985","middle vocational","West Germany","120","0.025418805422998","0.0211309756152219","0.0297066352307741"
"2 on Scale 1 to 10","1985","middle vocational","East Germany","","","",""
"2 on Scale 1 to 10","1985","vocational + Abi","West Germany","10","","",""
"2 on Scale 1 to 10","1985","vocational + Abi","East Germany","","","",""
"2 on Scale 1 to 10","1985","higher vocational","West Germany","17","","",""
"2 on Scale 1 to 10","1985","higher vocational","East Germany","","","",""
"2 on Scale 1 to 10","1985","higher education","West Germany","10","","",""
"2 on Scale 1 to 10","1985","higher education","East Germany","","","",""
