"m11125","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence"
"3 on Scale 1 to 10","1984","Employed","middle vocational","111","0.0297480587833247","0.0243675879723122","0.0351285295943373"
"3 on Scale 1 to 10","1984","Employed","vocational + Abi","9","","",""
"3 on Scale 1 to 10","1984","Employed","higher vocational","14","","",""
"3 on Scale 1 to 10","1984","Employed","higher education","14","","",""
"4 on Scale 1 to 10","1984","Not Employed","in school","2","","",""
"4 on Scale 1 to 10","1984","Not Employed","inadequately","17","","",""
"4 on Scale 1 to 10","1984","Not Employed","general elemantary","94","0.0632893707767926","0.0519012005980583","0.0746775409555269"
"4 on Scale 1 to 10","1984","Not Employed","middle vocational","79","0.046112315234526","0.0366445060022506","0.0555801244668015"
"4 on Scale 1 to 10","1984","Not Employed","vocational + Abi","5","","",""
"4 on Scale 1 to 10","1984","Not Employed","higher vocational","8","","",""
"4 on Scale 1 to 10","1984","Not Employed","higher education","7","","",""
"4 on Scale 1 to 10","1984","Employed","in school","","","",""
"4 on Scale 1 to 10","1984","Employed","inadequately","36","0.0783714543136226","0.0575335243630831","0.099209384264162"
"4 on Scale 1 to 10","1984","Employed","general elemantary","55","0.0339240567650131","0.0253335634926959","0.0425145500373303"
"4 on Scale 1 to 10","1984","Employed","middle vocational","157","0.0409924527940204","0.0347131464795751","0.0472717591084656"
"4 on Scale 1 to 10","1984","Employed","vocational + Abi","9","","",""
"4 on Scale 1 to 10","1984","Employed","higher vocational","14","","",""
"4 on Scale 1 to 10","1984","Employed","higher education","17","","",""
"5 on Scale 1 to 10","1984","Not Employed","in school","9","","",""
"5 on Scale 1 to 10","1984","Not Employed","inadequately","53","0.116371758167422","0.0841302844532767","0.148613231881567"
"5 on Scale 1 to 10","1984","Not Employed","general elemantary","306","0.18991681757088","0.171571199181166","0.208262435960594"
"5 on Scale 1 to 10","1984","Not Employed","middle vocational","315","0.179211782880227","0.161898028562237","0.196525537198216"
"5 on Scale 1 to 10","1984","Not Employed","vocational + Abi","11","","",""
"5 on Scale 1 to 10","1984","Not Employed","higher vocational","39","0.222808951895284","0.162844697290311","0.282773206500257"
"5 on Scale 1 to 10","1984","Not Employed","higher education","19","","",""
"5 on Scale 1 to 10","1984","Employed","in school","","","",""
"5 on Scale 1 to 10","1984","Employed","inadequately","111","0.158898671690442","0.130553313151279","0.187244030229604"
"5 on Scale 1 to 10","1984","Employed","general elemantary","265","0.178351145023317","0.160185967112472","0.196516322934162"
"5 on Scale 1 to 10","1984","Employed","middle vocational","487","0.132525170196712","0.121787097728922","0.143263242664501"
"5 on Scale 1 to 10","1984","Employed","vocational + Abi","24","","",""
"5 on Scale 1 to 10","1984","Employed","higher vocational","73","0.156367394786707","0.123635789974988","0.189098999598425"
"5 on Scale 1 to 10","1984","Employed","higher education","52","0.0834697892548787","0.0619058746770763","0.105033703832681"
"6 on Scale 1 to 10","1984","Not Employed","in school","3","","",""
"6 on Scale 1 to 10","1984","Not Employed","inadequately","27","","",""
"6 on Scale 1 to 10","1984","Not Employed","general elemantary","116","0.0687686041673298","0.0569324736730448","0.0806047346616148"
"6 on Scale 1 to 10","1984","Not Employed","middle vocational","141","0.0764235796513834","0.064430174083056","0.0884169852197108"
"6 on Scale 1 to 10","1984","Not Employed","vocational + Abi","5","","",""
"6 on Scale 1 to 10","1984","Not Employed","higher vocational","13","","",""
"6 on Scale 1 to 10","1984","Not Employed","higher education","7","","",""
"6 on Scale 1 to 10","1984","Employed","in school","1","","",""
"6 on Scale 1 to 10","1984","Employed","inadequately","50","0.0664575583673054","0.0471451299888923","0.0857699867457186"
"6 on Scale 1 to 10","1984","Employed","general elemantary","114","0.0650756558631215","0.0533710690084071","0.0767802427178358"
"6 on Scale 1 to 10","1984","Employed","middle vocational","241","0.0629098617256792","0.0552203501847813","0.070599373266577"
"6 on Scale 1 to 10","1984","Employed","vocational + Abi","13","","",""
"6 on Scale 1 to 10","1984","Employed","higher vocational","26","","",""
"6 on Scale 1 to 10","1984","Employed","higher education","35","0.0558949667437143","0.0379853596030567","0.0738045738843718"
"7 on Scale 1 to 10","1984","Not Employed","in school","12","","",""
"7 on Scale 1 to 10","1984","Not Employed","inadequately","39","0.120733752455288","0.087974736824728","0.153492768085848"
"7 on Scale 1 to 10","1984","Not Employed","general elemantary","171","0.104792874829762","0.0904672531552312","0.119118496504293"
"7 on Scale 1 to 10","1984","Not Employed","middle vocational","203","0.111321795468427","0.097122892891957","0.125520698044897"
"7 on Scale 1 to 10","1984","Not Employed","vocational + Abi","7","","",""
"7 on Scale 1 to 10","1984","Not Employed","higher vocational","15","","",""
"7 on Scale 1 to 10","1984","Not Employed","higher education","20","","",""
"7 on Scale 1 to 10","1984","Employed","in school","2","","",""
"7 on Scale 1 to 10","1984","Employed","inadequately","67","0.103008813619876","0.0794404764548234","0.126577150784928"
"7 on Scale 1 to 10","1984","Employed","general elemantary","201","0.122939970164002","0.107358092546873","0.138521847781131"
"7 on Scale 1 to 10","1984","Employed","middle vocational","495","0.134480559412219","0.123675755961254","0.145285362863183"
"7 on Scale 1 to 10","1984","Employed","vocational + Abi","26","","",""
"7 on Scale 1 to 10","1984","Employed","higher vocational","61","0.130161951914236","0.0998384923959228","0.16048541143255"
"7 on Scale 1 to 10","1984","Employed","higher education","84","0.129914293619067","0.10370236134769","0.156126225890443"
"8 on Scale 1 to 10","1984","Not Employed","in school","34","0.215714108945847","0.155289400062532","0.276138817829162"
"8 on Scale 1 to 10","1984","Not Employed","inadequately","50","0.113583199067785","0.0816801398206966","0.145486258314874"
"8 on Scale 1 to 10","1984","Not Employed","general elemantary","251","0.138762283729216","0.122593286933849","0.154931280524584"
"8 on Scale 1 to 10","1984","Not Employed","middle vocational","311","0.15802498638026","0.141558349965455","0.174491622795065"
"8 on Scale 1 to 10","1984","Not Employed","vocational + Abi","6","","",""
"8 on Scale 1 to 10","1984","Not Employed","higher vocational","33","0.163687159285661","0.110371606648879","0.217002711922444"
"8 on Scale 1 to 10","1984","Not Employed","higher education","33","0.19293742417492","0.131793973845372","0.254080874504467"
"8 on Scale 1 to 10","1984","Employed","in school","1","","",""
"8 on Scale 1 to 10","1984","Employed","inadequately","86","0.134425903852288","0.107977999231418","0.160873808473158"
"8 on Scale 1 to 10","1984","Employed","general elemantary","266","0.155634339746031","0.13843243364516","0.172836245846902"
"8 on Scale 1 to 10","1984","Employed","middle vocational","759","0.19791779121665","0.185299499500651","0.210536082932649"
"8 on Scale 1 to 10","1984","Employed","vocational + Abi","47","0.234879257773243","0.180211731559746","0.289546783986741"
"8 on Scale 1 to 10","1984","Employed","higher vocational","112","0.235532483063649","0.197292081498167","0.27377288462913"
"8 on Scale 1 to 10","1984","Employed","higher education","155","0.253497313329722","0.219582305641183","0.28741232101826"
"9 on Scale 1 to 10","1984","Not Employed","in school","36","0.210998551459502","0.15105855305678","0.270938549862224"
"9 on Scale 1 to 10","1984","Not Employed","inadequately","31","0.0931386099024296","0.0639178420055046","0.122359377799355"
"9 on Scale 1 to 10","1984","Not Employed","general elemantary","153","0.0716059150330356","0.0595464937496026","0.0836653363164686"
"9 on Scale 1 to 10","1984","Not Employed","middle vocational","177","0.0842729731506729","0.0717323364132892","0.0968136098880565"
"9 on Scale 1 to 10","1984","Not Employed","vocational + Abi","17","","",""
"9 on Scale 1 to 10","1984","Not Employed","higher vocational","15","","",""
"9 on Scale 1 to 10","1984","Not Employed","higher education","18","","",""
"9 on Scale 1 to 10","1984","Employed","in school","2","","",""
"9 on Scale 1 to 10","1984","Employed","inadequately","46","0.0697048051867997","0.0499606111833613","0.0894489991902381"
"9 on Scale 1 to 10","1984","Employed","general elemantary","193","0.104950754138784","0.0904070569070801","0.119494451370488"
"9 on Scale 1 to 10","1984","Employed","middle vocational","494","0.127712614513928","0.11714211774167","0.138283111286186"
"9 on Scale 1 to 10","1984","Employed","vocational + Abi","39","0.163244785666652","0.115584024520905","0.210905546812399"
"9 on Scale 1 to 10","1984","Employed","higher vocational","56","0.120298239229446","0.0909815524757773","0.149614925983114"
"9 on Scale 1 to 10","1984","Employed","higher education","104","0.16761776236946","0.138496447956468","0.196739076782452"
"10 Completely satisfied","1984","Not Employed","in school","74","0.394549304848508","0.322748696781967","0.46634991291505"
"10 Completely satisfied","1984","Not Employed","inadequately","79","0.188389336079577","0.149074332201042","0.227704339958112"
"10 Completely satisfied","1984","Not Employed","general elemantary","331","0.140340548406087","0.124094765662039","0.156586331150135"
"10 Completely satisfied","1984","Not Employed","middle vocational","350","0.166486492038166","0.1496698904087","0.183303093667633"
"10 Completely satisfied","1984","Not Employed","vocational + Abi","21","","",""
"10 Completely satisfied","1984","Not Employed","higher vocational","25","","",""
"10 Completely satisfied","1984","Not Employed","higher education","33","0.186182046034687","0.125867698735899","0.246496393333476"
"10 Completely satisfied","1984","Employed","in school","3","","",""
"10 Completely satisfied","1984","Employed","inadequately","159","0.259404114892851","0.22541993924203","0.293388290543673"
"10 Completely satisfied","1984","Employed","general elemantary","456","0.246868005345617","0.226407020651688","0.267328990039546"
"10 Completely satisfied","1984","Employed","middle vocational","923","0.230785809981441","0.21744209063992","0.244129529322963"
"10 Completely satisfied","1984","Employed","vocational + Abi","58","0.21664912784998","0.16352415278086","0.2697741029191"
"10 Completely satisfied","1984","Employed","higher vocational","99","0.200383092279721","0.164309529095244","0.236456655464199"
"10 Completely satisfied","1984","Employed","higher education","152","0.224035613009761","0.191529205412618","0.256542020606904"
"0 Completely dissatisfied","1985","Not Employed","in school","","","",""
"0 Completely dissatisfied","1985","Not Employed","inadequately","20","","",""
"0 Completely dissatisfied","1985","Not Employed","general elemantary","48","0.0337347235807848","0.0246850875449455","0.0427843596166241"
"0 Completely dissatisfied","1985","Not Employed","middle vocational","72","0.0464940852268729","0.0365407025411374","0.0564474679126085"
"0 Completely dissatisfied","1985","Not Employed","vocational + Abi","2","","",""
"0 Completely dissatisfied","1985","Not Employed","higher vocational","8","","",""
"0 Completely dissatisfied","1985","Not Employed","higher education","3","","",""
"0 Completely dissatisfied","1985","Employed","in school","","","",""
"0 Completely dissatisfied","1985","Employed","inadequately","7","","",""
"0 Completely dissatisfied","1985","Employed","general elemantary","23","","",""
"0 Completely dissatisfied","1985","Employed","middle vocational","32","0.00911975637673633","0.00595091423963499","0.0122885985138377"
"0 Completely dissatisfied","1985","Employed","vocational + Abi","3","","",""
"0 Completely dissatisfied","1985","Employed","higher vocational","6","","",""
"0 Completely dissatisfied","1985","Employed","higher education","2","","",""
"1 on Scale 1 to 10","1985","Not Employed","in school","2","","",""
"1 on Scale 1 to 10","1985","Not Employed","inadequately","10","","",""
"1 on Scale 1 to 10","1985","Not Employed","general elemantary","30","0.0248519250969976","0.0170489602538203","0.032654889940175"
"1 on Scale 1 to 10","1985","Not Employed","middle vocational","35","0.0251521527938858","0.0177498618226213","0.0325544437651502"
"1 on Scale 1 to 10","1985","Not Employed","vocational + Abi","1","","",""
"1 on Scale 1 to 10","1985","Not Employed","higher vocational","4","","",""
"1 on Scale 1 to 10","1985","Not Employed","higher education","","","",""
"1 on Scale 1 to 10","1985","Employed","in school","","","",""
"1 on Scale 1 to 10","1985","Employed","inadequately","8","","",""
"1 on Scale 1 to 10","1985","Employed","general elemantary","10","","",""
"1 on Scale 1 to 10","1985","Employed","middle vocational","25","","",""
"1 on Scale 1 to 10","1985","Employed","vocational + Abi","1","","",""
"1 on Scale 1 to 10","1985","Employed","higher vocational","3","","",""
"1 on Scale 1 to 10","1985","Employed","higher education","2","","",""
"2 on Scale 1 to 10","1985","Not Employed","in school","1","","",""
"2 on Scale 1 to 10","1985","Not Employed","inadequately","19","","",""
"2 on Scale 1 to 10","1985","Not Employed","general elemantary","79","0.0568155603329333","0.0452123995812241","0.0684187210846425"
"2 on Scale 1 to 10","1985","Not Employed","middle vocational","58","0.0386921625485803","0.0295751427897358","0.0478091823074248"
"2 on Scale 1 to 10","1985","Not Employed","vocational + Abi","5","","",""
"2 on Scale 1 to 10","1985","Not Employed","higher vocational","11","","",""
"2 on Scale 1 to 10","1985","Not Employed","higher education","6","","",""
"2 on Scale 1 to 10","1985","Employed","in school","","","",""
"2 on Scale 1 to 10","1985","Employed","inadequately","19","","",""
"2 on Scale 1 to 10","1985","Employed","general elemantary","25","","",""
"2 on Scale 1 to 10","1985","Employed","middle vocational","62","0.0171984513121055","0.0128645802342561","0.0215323223899549"
"2 on Scale 1 to 10","1985","Employed","vocational + Abi","5","","",""
"2 on Scale 1 to 10","1985","Employed","higher vocational","6","","",""
"2 on Scale 1 to 10","1985","Employed","higher education","4","","",""
"3 on Scale 1 to 10","1985","Not Employed","in school","","","",""
"3 on Scale 1 to 10","1985","Not Employed","inadequately","22","","",""
"3 on Scale 1 to 10","1985","Not Employed","general elemantary","84","0.0647389722928725","0.0524052641429961","0.0770726804427489"
"3 on Scale 1 to 10","1985","Not Employed","middle vocational","90","0.0581305814031554","0.0470692390520927","0.0691919237542181"
"3 on Scale 1 to 10","1985","Not Employed","vocational + Abi","3","","",""
"3 on Scale 1 to 10","1985","Not Employed","higher vocational","10","","",""
"3 on Scale 1 to 10","1985","Not Employed","higher education","8","","",""
"3 on Scale 1 to 10","1985","Employed","in school","","","",""
"3 on Scale 1 to 10","1985","Employed","inadequately","21","","",""
"3 on Scale 1 to 10","1985","Employed","general elemantary","45","0.0299996519827791","0.0214659405234338","0.0385333634421245"
"3 on Scale 1 to 10","1985","Employed","middle vocational","99","0.0273289001108815","0.0218939885180656","0.0327638117036973"
"3 on Scale 1 to 10","1985","Employed","vocational + Abi","8","","",""
"3 on Scale 1 to 10","1985","Employed","higher vocational","14","","",""
"3 on Scale 1 to 10","1985","Employed","higher education","13","","",""
"4 on Scale 1 to 10","1985","Not Employed","in school","4","","",""
"4 on Scale 1 to 10","1985","Not Employed","inadequately","31","0.0907254632486575","0.0601056982852852","0.12134522821203"
"4 on Scale 1 to 10","1985","Not Employed","general elemantary","89","0.0685935798485079","0.0559241901049028","0.081262969592113"
"4 on Scale 1 to 10","1985","Not Employed","middle vocational","97","0.0616185301081433","0.0502512769719752","0.0729857832443113"
"4 on Scale 1 to 10","1985","Not Employed","vocational + Abi","3","","",""
"4 on Scale 1 to 10","1985","Not Employed","higher vocational","12","","",""
"4 on Scale 1 to 10","1985","Not Employed","higher education","3","","",""
"4 on Scale 1 to 10","1985","Employed","in school","1","","",""
"4 on Scale 1 to 10","1985","Employed","inadequately","18","","",""
"4 on Scale 1 to 10","1985","Employed","general elemantary","65","0.041024469613687","0.0311020143063687","0.0509469249210054"
"4 on Scale 1 to 10","1985","Employed","middle vocational","150","0.0476855008862685","0.0405818473119708","0.0547891544605663"
"4 on Scale 1 to 10","1985","Employed","vocational + Abi","7","","",""
"4 on Scale 1 to 10","1985","Employed","higher vocational","20","","",""
"4 on Scale 1 to 10","1985","Employed","higher education","14","","",""
"5 on Scale 1 to 10","1985","Not Employed","in school","10","","",""
"5 on Scale 1 to 10","1985","Not Employed","inadequately","49","0.153947910712584","0.115473215187365","0.192422606237803"
"5 on Scale 1 to 10","1985","Not Employed","general elemantary","286","0.208236452231597","0.187883825019131","0.228589079444064"
"5 on Scale 1 to 10","1985","Not Employed","middle vocational","298","0.179144780184838","0.161016962948196","0.197272597421481"
"5 on Scale 1 to 10","1985","Not Employed","vocational + Abi","12","","",""
"5 on Scale 1 to 10","1985","Not Employed","higher vocational","30","0.181989829272839","0.123818679313701","0.240160979231977"
"5 on Scale 1 to 10","1985","Not Employed","higher education","18","","",""
"5 on Scale 1 to 10","1985","Employed","in school","2","","",""
"5 on Scale 1 to 10","1985","Employed","inadequately","79","0.191601430229103","0.157242078254949","0.225960782203257"
"5 on Scale 1 to 10","1985","Employed","general elemantary","242","0.157562093341606","0.139336204285351","0.175787982397861"
"5 on Scale 1 to 10","1985","Employed","middle vocational","468","0.140520028774027","0.128935312638474","0.152104744909581"
"5 on Scale 1 to 10","1985","Employed","vocational + Abi","24","","",""
"5 on Scale 1 to 10","1985","Employed","higher vocational","63","0.145261457720432","0.112669026068931","0.177853889371932"
"5 on Scale 1 to 10","1985","Employed","higher education","62","0.104332086674618","0.0800336263001073","0.128630547049128"
"6 on Scale 1 to 10","1985","Not Employed","in school","2","","",""
"6 on Scale 1 to 10","1985","Not Employed","inadequately","19","","",""
"6 on Scale 1 to 10","1985","Not Employed","general elemantary","127","0.0892951681830594","0.0750013863718232","0.103588949994295"
"6 on Scale 1 to 10","1985","Not Employed","middle vocational","142","0.0870159110120694","0.0736917125494237","0.100340109474715"
"6 on Scale 1 to 10","1985","Not Employed","vocational + Abi","6","","",""
"6 on Scale 1 to 10","1985","Not Employed","higher vocational","18","","",""
"6 on Scale 1 to 10","1985","Not Employed","higher education","13","","",""
"6 on Scale 1 to 10","1985","Employed","in school","1","","",""
"6 on Scale 1 to 10","1985","Employed","inadequately","45","0.0695975163956657","0.047381554374708","0.0918134784166233"
"6 on Scale 1 to 10","1985","Employed","general elemantary","109","0.0851791247090951","0.0712145240540195","0.0991437253641707"
"6 on Scale 1 to 10","1985","Employed","middle vocational","282","0.0816648460218693","0.072535985328986","0.0907937067147526"
"6 on Scale 1 to 10","1985","Employed","vocational + Abi","17","","",""
"6 on Scale 1 to 10","1985","Employed","higher vocational","39","0.0896637953510258","0.0632376154527464","0.116089975249305"
"6 on Scale 1 to 10","1985","Employed","higher education","42","0.075652656153182","0.0546329814586027","0.0966723308477613"
"7 on Scale 1 to 10","1985","Not Employed","in school","23","","",""
"7 on Scale 1 to 10","1985","Not Employed","inadequately","33","0.0992965193455897","0.0674143639607653","0.131178674730414"
"7 on Scale 1 to 10","1985","Not Employed","general elemantary","167","0.109438437805582","0.0937903503720919","0.125086525239071"
"7 on Scale 1 to 10","1985","Not Employed","middle vocational","228","0.135703605443671","0.119513965263566","0.151893245623776"
"7 on Scale 1 to 10","1985","Not Employed","vocational + Abi","10","","",""
"7 on Scale 1 to 10","1985","Not Employed","higher vocational","19","","",""
"7 on Scale 1 to 10","1985","Not Employed","higher education","20","","",""
"7 on Scale 1 to 10","1985","Employed","in school","1","","",""
"7 on Scale 1 to 10","1985","Employed","inadequately","79","0.130601869181945","0.101183616753788","0.160020121610101"
"7 on Scale 1 to 10","1985","Employed","general elemantary","208","0.147732719579051","0.129981828656297","0.165483610501805"
"7 on Scale 1 to 10","1985","Employed","middle vocational","488","0.144628456237899","0.132903730957871","0.156353181517928"
"7 on Scale 1 to 10","1985","Employed","vocational + Abi","28","","",""
"7 on Scale 1 to 10","1985","Employed","higher vocational","62","0.138367016461635","0.106429409897775","0.170304623025495"
"7 on Scale 1 to 10","1985","Employed","higher education","93","0.160267335222701","0.131107213472692","0.189427456972709"
"8 on Scale 1 to 10","1985","Not Employed","in school","42","0.239650266544462","0.177116119181619","0.302184413907304"
"8 on Scale 1 to 10","1985","Not Employed","inadequately","57","0.135167428874785","0.098717911178262","0.171616946571308"
"8 on Scale 1 to 10","1985","Not Employed","general elemantary","252","0.153385879796807","0.135323299408518","0.171448460185096"
"8 on Scale 1 to 10","1985","Not Employed","middle vocational","280","0.15069698968092","0.13378503629753","0.167608943064309"
"8 on Scale 1 to 10","1985","Not Employed","vocational + Abi","14","","",""
"8 on Scale 1 to 10","1985","Not Employed","higher vocational","24","","",""
"8 on Scale 1 to 10","1985","Not Employed","higher education","27","","",""
"8 on Scale 1 to 10","1985","Employed","in school","1","","",""
"8 on Scale 1 to 10","1985","Employed","inadequately","96","0.195944485339239","0.161291363714205","0.230597606964273"
"8 on Scale 1 to 10","1985","Employed","general elemantary","299","0.184264509441688","0.164869525353389","0.203659493529987"
"8 on Scale 1 to 10","1985","Employed","middle vocational","802","0.227453988738396","0.213480419308222","0.24142755816857"
"8 on Scale 1 to 10","1985","Employed","vocational + Abi","44","0.230743665102921","0.171911421342371","0.289575908863471"
"8 on Scale 1 to 10","1985","Employed","higher vocational","117","0.269277264177023","0.22824730604632","0.310307222307726"
"8 on Scale 1 to 10","1985","Employed","higher education","178","0.289255778879453","0.253215014593314","0.325296543165592"
"9 on Scale 1 to 10","1985","Not Employed","in school","37","0.232594524178512","0.17070263125366","0.294486417103365"
"9 on Scale 1 to 10","1985","Not Employed","inadequately","19","","",""
"9 on Scale 1 to 10","1985","Not Employed","general elemantary","128","0.0729610358046713","0.059925201311262","0.0859968702980806"
"9 on Scale 1 to 10","1985","Not Employed","middle vocational","173","0.0853305661636118","0.0721238589648944","0.0985372733623293"
"9 on Scale 1 to 10","1985","Not Employed","vocational + Abi","10","","",""
"9 on Scale 1 to 10","1985","Not Employed","higher vocational","13","","",""
"9 on Scale 1 to 10","1985","Not Employed","higher education","26","","",""
"9 on Scale 1 to 10","1985","Employed","in school","","","",""
"9 on Scale 1 to 10","1985","Employed","inadequately","48","0.0972974279568997","0.0714238885503326","0.123170967363467"
"9 on Scale 1 to 10","1985","Employed","general elemantary","186","0.128638095853016","0.111889516050099","0.145386675655934"
"9 on Scale 1 to 10","1985","Employed","middle vocational","408","0.114950864588886","0.104318295499817","0.125583433677956"
"9 on Scale 1 to 10","1985","Employed","vocational + Abi","23","","",""
"9 on Scale 1 to 10","1985","Employed","higher vocational","52","0.120132877731499","0.0900607328043866","0.150205022658612"
"9 on Scale 1 to 10","1985","Employed","higher education","109","0.164536453450701","0.135065708089357","0.194007198812044"
"10 Completely satisfied","1985","Not Employed","in school","58","0.269553051955838","0.204549357293926","0.33455674661775"
"10 Completely satisfied","1985","Not Employed","inadequately","59","0.182668942541239","0.141476162852738","0.223861722229739"
"10 Completely satisfied","1985","Not Employed","general elemantary","239","0.117948265026188","0.10178097772332","0.134115552329055"
"10 Completely satisfied","1985","Not Employed","middle vocational","246","0.132020635434252","0.116018211842178","0.148023059026327"
"10 Completely satisfied","1985","Not Employed","vocational + Abi","12","","",""
"10 Completely satisfied","1985","Not Employed","higher vocational","20","","",""
"10 Completely satisfied","1985","Not Employed","higher education","25","","",""
"10 Completely satisfied","1985","Employed","in school","1","","",""
"10 Completely satisfied","1985","Employed","inadequately","84","0.192067344808247","0.157676157456351","0.226458532160142"
"10 Completely satisfied","1985","Employed","general elemantary","323","0.191497537031369","0.171813409458086","0.211181664604653"
"10 Completely satisfied","1985","Employed","middle vocational","641","0.18240571623934","0.169532515351258","0.195278917127423"
"10 Completely satisfied","1985","Employed","vocational + Abi","37","0.169507316265961","0.117113852927758","0.221900779604165"
"10 Completely satisfied","1985","Employed","higher vocational","67","0.13140469414968","0.100155480062909","0.16265390823645"
"10 Completely satisfied","1985","Employed","higher education","89","0.144133076200806","0.116215272410054","0.172050879991557"
"0 Completely dissatisfied","1986","Not Employed","in school","","","",""
"0 Completely dissatisfied","1986","Not Employed","inadequately","15","","",""
"0 Completely dissatisfied","1986","Not Employed","general elemantary","62","0.0488103942006744","0.0374130798208468","0.060207708580502"
"0 Completely dissatisfied","1986","Not Employed","middle vocational","71","0.049563255489605","0.0390332272674561","0.0600932837117539"
"0 Completely dissatisfied","1986","Not Employed","vocational + Abi","2","","",""
"0 Completely dissatisfied","1986","Not Employed","higher vocational","3","","",""
"0 Completely dissatisfied","1986","Not Employed","higher education","","","",""
"0 Completely dissatisfied","1986","Employed","in school","","","",""
"0 Completely dissatisfied","1986","Employed","inadequately","13","","",""
"0 Completely dissatisfied","1986","Employed","general elemantary","9","","",""
"0 Completely dissatisfied","1986","Employed","middle vocational","36","0.00975687057812977","0.00643922110167663","0.0130745200545829"
"0 Completely dissatisfied","1986","Employed","vocational + Abi","1","","",""
"0 Completely dissatisfied","1986","Employed","higher vocational","6","","",""
"0 Completely dissatisfied","1986","Employed","higher education","5","","",""
