"m11125","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","16-34 y.","1-pers.-HH","4","","","","0"
"0 Completely dissatisfied","1984","16-34 y.","(Married) couple without C. ","7","","","","0"
"0 Completely dissatisfied","1984","16-34 y.","Single parent ","8","","","","0"
"0 Completely dissatisfied","1984","16-34 y.","Couple + C. LE 16 ","18","","","","0"
"0 Completely dissatisfied","1984","16-34 y.","Couple + C. GT 16 ","6","","","","0"
"0 Completely dissatisfied","1984","16-34 y.","Couple + C. LE and GT 16","5","","","","0"
"0 Completely dissatisfied","1984","35-65 y.","1-pers.-HH","33","0.07177693911311","0.0495058280229476","0.0940480502032723","0"
"0 Completely dissatisfied","1984","35-65 y.","(Married) couple without C. ","59","0.04050451030139","0.0304642788716076","0.0505447417311725","0"
"0 Completely dissatisfied","1984","35-65 y.","Single parent ","9","","","","0"
"0 Completely dissatisfied","1984","35-65 y.","Couple + C. LE 16 ","39","0.0245299974533124","0.0168612521715303","0.0321987427350945","0"
"0 Completely dissatisfied","1984","35-65 y.","Couple + C. GT 16 ","38","0.0333660721294645","0.0229728564124809","0.0437592878464482","0"
"0 Completely dissatisfied","1984","35-65 y.","Couple + C. LE and GT 16","23","","","","0"
"0 Completely dissatisfied","1984","66 and older","1-pers.-HH","26","","","","0"
"0 Completely dissatisfied","1984","66 and older","(Married) couple without C. ","40","0.0711391573601492","0.0501647417044049","0.0921135730158935","0"
"0 Completely dissatisfied","1984","66 and older","Single parent ","3","","","","0"
"0 Completely dissatisfied","1984","66 and older","Couple + C. LE 16 ","","","","","0"
"0 Completely dissatisfied","1984","66 and older","Couple + C. GT 16 ","7","","","","0"
"0 Completely dissatisfied","1984","66 and older","Couple + C. LE and GT 16","","","","","0"
"1 on Scale 1 to 10","1984","16-34 y.","1-pers.-HH","","","","","1"
"1 on Scale 1 to 10","1984","16-34 y.","(Married) couple without C. ","2","","","","1"
"1 on Scale 1 to 10","1984","16-34 y.","Single parent ","4","","","","1"
"1 on Scale 1 to 10","1984","16-34 y.","Couple + C. LE 16 ","10","","","","1"
"1 on Scale 1 to 10","1984","35-65 y.","1-pers.-HH","7","","","","1"
"1 on Scale 1 to 10","1984","35-65 y.","(Married) couple without C. ","22","","","","1"
"1 on Scale 1 to 10","1984","35-65 y.","Couple + C. GT 16 ","27","","","","1"
"1 on Scale 1 to 10","1984","35-65 y.","Couple + C. LE and GT 16","11","","","","1"
"1 on Scale 1 to 10","1984","66 and older","1-pers.-HH","24","","","","1"
"1 on Scale 1 to 10","1984","66 and older","Single parent ","1","","","","1"
"1 on Scale 1 to 10","1984","66 and older","Couple + C. LE 16 ","","","","","1"
"1 on Scale 1 to 10","1984","66 and older","(Married) couple without C. ","23","","","","1"
"1 on Scale 1 to 10","1984","16-34 y.","Couple + C. GT 16 ","2","","","","1"
