"m11125","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"0 Completely dissatisfied","1984","Not Employed","1-pers.-HH","46","0.0662618485464335","0.0472128667520413","0.0853108303408258"
"0 Completely dissatisfied","1984","Not Employed","(Married) couple without C. ","83","0.0701075675055083","0.0557270397194145","0.0844880952916021"
"0 Completely dissatisfied","1984","Not Employed","Single parent ","9","","",""
"0 Completely dissatisfied","1984","Not Employed","Couple + C. LE 16 ","28","","",""
"0 Completely dissatisfied","1984","Not Employed","Couple + C. GT 16 ","30","0.0453090528517387","0.0297680955959815","0.0608500101074959"
"0 Completely dissatisfied","1984","Not Employed","Couple + C. LE and GT 16","10","","",""
"0 Completely dissatisfied","1984","Employed","1-pers.-HH","17","","",""
"0 Completely dissatisfied","1984","Employed","(Married) couple without C. ","23","","",""
"0 Completely dissatisfied","1984","Employed","Single parent ","11","","",""
"0 Completely dissatisfied","1984","Employed","Couple + C. LE 16 ","29","","",""
"0 Completely dissatisfied","1984","Employed","Couple + C. GT 16 ","21","","",""
"0 Completely dissatisfied","1984","Employed","Couple + C. LE and GT 16","18","","",""
"1 on Scale 1 to 10","1984","Not Employed","1-pers.-HH","28","","",""
"1 on Scale 1 to 10","1984","Not Employed","(Married) couple without C. ","42","0.0369163451059655","0.0262965197645402","0.0475361704473908"
"1 on Scale 1 to 10","1984","Not Employed","Single parent ","9","","",""
"1 on Scale 1 to 10","1984","Not Employed","Couple + C. LE 16 ","3","","",""
"1 on Scale 1 to 10","1984","Not Employed","Couple + C. GT 16 ","14","","",""
"1 on Scale 1 to 10","1984","Not Employed","Couple + C. LE and GT 16","11","","",""
"1 on Scale 1 to 10","1984","Employed","1-pers.-HH","3","","",""
"1 on Scale 1 to 10","1984","Employed","(Married) couple without C. ","5","","",""
"1 on Scale 1 to 10","1984","Employed","Single parent ","4","","",""
"1 on Scale 1 to 10","1984","Employed","Couple + C. LE 16 ","15","","",""
"1 on Scale 1 to 10","1984","Employed","Couple + C. GT 16 ","19","","",""
"1 on Scale 1 to 10","1984","Employed","Couple + C. LE and GT 16","4","","",""
"2 on Scale 1 to 10","1984","Not Employed","1-pers.-HH","39","0.0638720801489483","0.0451458407899868","0.0825983195079097"
"2 on Scale 1 to 10","1984","Not Employed","(Married) couple without C. ","68","0.0521331141120977","0.0396130506864311","0.0646531775377644"
"2 on Scale 1 to 10","1984","Not Employed","Single parent ","3","","",""
"2 on Scale 1 to 10","1984","Not Employed","Couple + C. LE 16 ","26","","",""
"2 on Scale 1 to 10","1984","Not Employed","Couple + C. GT 16 ","26","","",""
"2 on Scale 1 to 10","1984","Not Employed","Couple + C. LE and GT 16","16","","",""
"2 on Scale 1 to 10","1984","Employed","1-pers.-HH","12","","",""
"2 on Scale 1 to 10","1984","Employed","(Married) couple without C. ","37","0.0230729426285421","0.0154574018258628","0.0306884834312215"
"2 on Scale 1 to 10","1984","Employed","Single parent ","3","","",""
"2 on Scale 1 to 10","1984","Employed","Couple + C. LE 16 ","42","0.0177685980184978","0.0122305527598883","0.0233066432771073"
"2 on Scale 1 to 10","1984","Employed","Couple + C. GT 16 ","26","","",""
"2 on Scale 1 to 10","1984","Employed","Couple + C. LE and GT 16","30","0.0209668283877127","0.012545884546582","0.0293877722288434"
