"m11125","year","regtyp","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1985","Rural Area","49","0.0252068756335566","0.0187655815391082","0.031648169728005","0"
"0 Completely dissatisfied","1985","Urban Area","181","0.023237338686253","0.020081911704176","0.02639276566833","0"
"1 on Scale 1 to 10","1985","Rural Area","32","0.0139547659414237","0.00913454341493328","0.0187749884679141","1"
"1 on Scale 1 to 10","1985","Urban Area","101","0.0138831487846811","0.0114325139907335","0.0163337835786287","1"
"10 Completely satisfied","1985","Rural Area","401","0.154460861883685","0.139610621801238","0.169311101966133","10"
"10 Completely satisfied","1985","Urban Area","1533","0.15912936099475","0.151467925141332","0.166790796848167","10"
"2 on Scale 1 to 10","1985","Urban Area","250","0.0314872331915522","0.0278296826055905","0.0351447837775139","2"
"2 on Scale 1 to 10","1985","Rural Area","54","0.0259627522718203","0.0194281292618141","0.0324973752818265","2"
"3 on Scale 1 to 10","1985","Rural Area","95","0.0486198936384001","0.0397821494679592","0.0574576378088411","3"
"3 on Scale 1 to 10","1985","Urban Area","326","0.0396937080239116","0.0356045288641785","0.0437828871836448","3"
"4 on Scale 1 to 10","1985","Rural Area","96","0.043987162089924","0.0355605650884534","0.0524137590913946","4"
"4 on Scale 1 to 10","1985","Urban Area","422","0.0530136978048391","0.0483208516846099","0.0577065439250682","4"
"5 on Scale 1 to 10","1985","Rural Area","353","0.160913022563513","0.145813734268568","0.176012310858457","5"
"5 on Scale 1 to 10","1985","Urban Area","1303","0.1577155173933","0.150081783291091","0.165349251495508","5"
"6 on Scale 1 to 10","1985","Rural Area","201","0.0932628471510145","0.0813132729378126","0.105212421364216","6"
"6 on Scale 1 to 10","1985","Urban Area","669","0.0804811785075114","0.0747835006438524","0.0861788563711704","6"
"7 on Scale 1 to 10","1985","Rural Area","289","0.131960547162844","0.118053043704436","0.145868050621252","7"
"7 on Scale 1 to 10","1985","Urban Area","1176","0.137112791551888","0.129908580651241","0.144317002452535","7"
"8 on Scale 1 to 10","1985","Rural Area","444","0.19318761441065","0.176964534455271","0.209410694366028","8"
"8 on Scale 1 to 10","1985","Urban Area","1811","0.196645344375247","0.18832069581569","0.204969992934805","8"
"9 on Scale 1 to 10","1985","Rural Area","261","0.108483657253169","0.0957044414577649","0.121262873048573","9"
"9 on Scale 1 to 10","1985","Urban Area","985","0.107600680686067","0.101110488746965","0.114090872625168","9"
"0 Completely dissatisfied","1986","Rural Area","53","0.0265884098222106","0.0198351371886319","0.0333416824557893","0"
"0 Completely dissatisfied","1986","Urban Area","173","0.0248993635926262","0.0215743100048685","0.0282244171803839","0"
"1 on Scale 1 to 10","1986","Rural Area","21","","","","1"
"1 on Scale 1 to 10","1986","Urban Area","110","0.0154667016613216","0.0128334409204663","0.018099962402177","1"
"10 Completely satisfied","1986","Rural Area","348","0.140887790888916","0.126283466547856","0.155492115229976","10"
"10 Completely satisfied","1986","Urban Area","1311","0.134598216900508","0.127315249741093","0.141881184059922","10"
"2 on Scale 1 to 10","1986","Urban Area","198","0.0251853406373294","0.0218417373323943","0.0285289439422645","2"
"2 on Scale 1 to 10","1986","Rural Area","51","0.0253239302320249","0.0187289188395482","0.0319189416245016","2"
"3 on Scale 1 to 10","1986","Rural Area","97","0.0496703453783972","0.0405501199130437","0.0587905708437507","3"
"3 on Scale 1 to 10","1986","Urban Area","343","0.0423308718943279","0.0380343586375373","0.0466273851511184","3"
"4 on Scale 1 to 10","1986","Rural Area","106","0.0528665607703058","0.0434733091007834","0.0622598124398282","4"
"4 on Scale 1 to 10","1986","Urban Area","433","0.0558520763747251","0.050951812260061","0.0607523404893893","4"
"5 on Scale 1 to 10","1986","Rural Area","301","0.151369862166061","0.136324634030707","0.166415090301416","5"
"5 on Scale 1 to 10","1986","Urban Area","1244","0.158067302055624","0.150282644478789","0.165851959632459","5"
"6 on Scale 1 to 10","1986","Rural Area","178","0.0866415830569346","0.0748328405907678","0.0984503255231015","6"
"6 on Scale 1 to 10","1986","Urban Area","722","0.0890657871354922","0.0829875342139739","0.0951440400570105","6"
"7 on Scale 1 to 10","1986","Rural Area","283","0.130912590815104","0.1167532745544","0.145071907075809","7"
"7 on Scale 1 to 10","1986","Urban Area","1127","0.135067117249939","0.127773452034162","0.142360782465716","7"
"8 on Scale 1 to 10","1986","Rural Area","486","0.217841163753545","0.200513608338459","0.235168719168631","8"
"8 on Scale 1 to 10","1986","Urban Area","1719","0.200389430024349","0.191847490867564","0.208931369181133","8"
"9 on Scale 1 to 10","1986","Rural Area","256","0.108563122678439","0.0955042314147695","0.121622013942108","9"
"9 on Scale 1 to 10","1986","Urban Area","1056","0.119077792473758","0.11216642520137","0.125989159746146","9"
"0 Completely dissatisfied","1987","Rural Area","43","0.0211975196511882","0.0151159664868736","0.0272790728155029","0"
"0 Completely dissatisfied","1987","Urban Area","141","0.0211437281972908","0.0180561688560248","0.0242312875385568","0"
"1 on Scale 1 to 10","1987","Urban Area","113","0.0160909743661809","0.0133905394828224","0.0187914092495394","1"
"1 on Scale 1 to 10","1987","Rural Area","28","","","","1"
"10 Completely satisfied","1987","Rural Area","323","0.129770699628598","0.115582423641534","0.143958975615661","10"
"10 Completely satisfied","1987","Urban Area","1152","0.116031768068861","0.109158364414021","0.122905171723701","10"
"2 on Scale 1 to 10","1987","Rural Area","52","0.0251098607188368","0.0185040755672176","0.031715645870456","2"
"2 on Scale 1 to 10","1987","Urban Area","253","0.0335250055511438","0.0296618267794427","0.0373881843228448","2"
"3 on Scale 1 to 10","1987","Rural Area","81","0.0402680032019163","0.0319679765281554","0.0485680298756771","3"
"3 on Scale 1 to 10","1987","Urban Area","343","0.0438026530178137","0.0394103829008775","0.0481949231347499","3"
"4 on Scale 1 to 10","1987","Rural Area","109","0.0551987558453375","0.0455569290290703","0.0648405826616047","4"
"4 on Scale 1 to 10","1987","Urban Area","359","0.0475581172293038","0.0429904270912224","0.0521258073673852","4"
"5 on Scale 1 to 10","1987","Rural Area","320","0.162678131645946","0.14709569898991","0.178260564301982","5"
"5 on Scale 1 to 10","1987","Urban Area","1174","0.154696700525321","0.146935804355305","0.162457596695338","5"
"6 on Scale 1 to 10","1987","Urban Area","733","0.0922733569392597","0.0860620818008503","0.0984846320776692","6"
"6 on Scale 1 to 10","1987","Rural Area","202","0.101722865173874","0.0889602722136516","0.114485458134096","6"
"7 on Scale 1 to 10","1987","Rural Area","306","0.139582153895846","0.124950476860671","0.15421383093102","7"
"7 on Scale 1 to 10","1987","Urban Area","1263","0.153275290897361","0.145543639632806","0.161006942161915","7"
"8 on Scale 1 to 10","1987","Rural Area","439","0.203846095470068","0.18683727617803","0.220854914762106","8"
"8 on Scale 1 to 10","1987","Urban Area","1843","0.215069873217816","0.206251867940921","0.22388787849471","8"
"9 on Scale 1 to 10","1987","Rural Area","252","0.103744554349086","0.090870272512601","0.116618836185571","9"
"9 on Scale 1 to 10","1987","Urban Area","966","0.106532531989649","0.0999111969719509","0.113153867007346","9"
"0 Completely dissatisfied","1988","Rural Area","39","0.0235945047958964","0.0169754961686056","0.0302135134231873","0"
"0 Completely dissatisfied","1988","Urban Area","150","0.0246562836155384","0.0212540659966435","0.0280585012344333","0"
