"m11125","year","n","percent","lower_confidence","upper_confidence"
"0 Completely dissatisfied","1984","374","0.0350425339726387","0.0317808483752862","0.0383042195699913"
"1 on Scale 1 to 10","1984","175","0.017307207570195","0.0149940104360748","0.0196204047043152"
"10 Completely satisfied","1984","2780","0.201863761962196","0.194744123260668","0.208983400663724"
"2 on Scale 1 to 10","1984","365","0.0312856688709142","0.0281977858206723","0.034373551921156"
"3 on Scale 1 to 10","1984","493","0.0435532738483859","0.0399330864315693","0.0471734612652025"
"4 on Scale 1 to 10","1984","503","0.0443130463893749","0.0406628696648504","0.0479632231138994"
"5 on Scale 1 to 10","1984","1773","0.154983276146334","0.148564306386538","0.16140224590613"
"6 on Scale 1 to 10","1984","799","0.0660066120202756","0.0616025251088141","0.0704106989317371"
"7 on Scale 1 to 10","1984","1410","0.119650994339236","0.11389426442804","0.125407724250432"
"8 on Scale 1 to 10","1984","2152","0.177260613781072","0.170486889304336","0.184034338257808"
"9 on Scale 1 to 10","1984","1386","0.108733011099377","0.103211284782315","0.114254737416439"
"0 Completely dissatisfied","1985","230","0.0237010265019255","0.0208624803570797","0.0265395726467712"
"1 on Scale 1 to 10","1985","133","0.013900009602154","0.0117153237720236","0.0160846954322844"
"10 Completely satisfied","1985","1934","0.158030256883886","0.151223514250715","0.164836999517058"
"2 on Scale 1 to 10","1985","304","0.0301866053998768","0.0269938018891092","0.0333794089106444"
"3 on Scale 1 to 10","1985","421","0.0417951986892864","0.0380608631926056","0.0455295341859671"
"4 on Scale 1 to 10","1985","518","0.0508885817289672","0.0467875820325536","0.0549895814253807"
"5 on Scale 1 to 10","1985","1656","0.158468305600704","0.151653908934375","0.165282702267034"
"6 on Scale 1 to 10","1985","870","0.0834903650181119","0.0783284878984942","0.0886522421377295"
"7 on Scale 1 to 10","1985","1465","0.135899799356013","0.12950521346382","0.142294385248206"
"8 on Scale 1 to 10","1985","2255","0.195831291479888","0.188426111924198","0.203236471035578"
"9 on Scale 1 to 10","1985","1246","0.107808559739186","0.102021251518508","0.113595867959865"
"0 Completely dissatisfied","1986","226","0.0252935447631617","0.0223067223189205","0.0282803672074029"
"1 on Scale 1 to 10","1986","131","0.0140356318489966","0.0117978681196616","0.0162733955783316"
"10 Completely satisfied","1986","1659","0.136066046255025","0.12954401628483","0.142588076225219"
"2 on Scale 1 to 10","1986","249","0.0252176839845417","0.0222352279105399","0.0282001400585435"
"3 on Scale 1 to 10","1986","440","0.0440437215478131","0.0401404509950976","0.0479469921005287"
"4 on Scale 1 to 10","1986","539","0.0551553316586901","0.0508128139849568","0.0594978493324233"
"5 on Scale 1 to 10","1986","1545","0.156504286994806","0.149592788861087","0.163415785128524"
"6 on Scale 1 to 10","1986","900","0.0885000384990337","0.0830972534021785","0.0939028235958889"
"7 on Scale 1 to 10","1986","1410","0.134097554626714","0.127615502065794","0.140579607187635"
"8 on Scale 1 to 10","1986","2205","0.20446222845269","0.196790299306534","0.212134157598846"
"9 on Scale 1 to 10","1986","1312","0.116623931368528","0.110518247846763","0.122729614890293"
"0 Completely dissatisfied","1987","184","0.0211560807566061","0.0184029223409117","0.0239092391723004"
"1 on Scale 1 to 10","1987","141","0.0162724770008145","0.0138518876743668","0.0186930663272622"
"10 Completely satisfied","1987","1475","0.119186748176733","0.11298787466006","0.125385621693406"
"2 on Scale 1 to 10","1987","305","0.0315925689249508","0.0282461647217679","0.0349389731281337"
"3 on Scale 1 to 10","1987","424","0.042990963272584","0.0391103221903095","0.0468716043548585"
"4 on Scale 1 to 10","1987","468","0.0493126978340775","0.0451702686035193","0.0534551270646357"
"5 on Scale 1 to 10","1987","1494","0.156529540022952","0.149577856976857","0.163481223069046"
"6 on Scale 1 to 10","1987","935","0.0944433226589197","0.0888483197441384","0.100038325573701"
"7 on Scale 1 to 10","1987","1569","0.150130826958057","0.143296939125985","0.15696471479013"
"8 on Scale 1 to 10","1987","2282","0.212492467880628","0.204666176773192","0.220318758988063"
"9 on Scale 1 to 10","1987","1218","0.105892306513677","0.100005442692735","0.11177917033462"
"0 Completely dissatisfied","1988","189","0.0244152226798565","0.0213904744603322","0.0274399708993807"
"1 on Scale 1 to 10","1988","138","0.0163743685390856","0.0138870948468793","0.0188616422312919"
"10 Completely satisfied","1988","1236","0.101346539237728","0.0954319176443403","0.107261160831117"
"2 on Scale 1 to 10","1988","280","0.0331277869793798","0.0296202106596139","0.0366353632991458"
"3 on Scale 1 to 10","1988","451","0.0477737213306802","0.0435935797198719","0.0519538629414884"
"4 on Scale 1 to 10","1988","498","0.0541223931534404","0.049688018887969","0.0585567674189119"
"5 on Scale 1 to 10","1988","1438","0.154953666781532","0.147861685722164","0.1620456478409"
"6 on Scale 1 to 10","1988","889","0.0933638380236369","0.0876617719656791","0.0990659040815948"
"7 on Scale 1 to 10","1988","1429","0.144691599952734","0.137796994706366","0.151586205199102"
"8 on Scale 1 to 10","1988","2238","0.219381377437585","0.211270913255039","0.227491841620131"
"9 on Scale 1 to 10","1988","1215","0.110449485884341","0.104306301731988","0.116592670036695"
"0 Completely dissatisfied","1989","213","0.0254100005877923","0.0222754241500204","0.0285445770255642"
"1 on Scale 1 to 10","1989","123","0.0146128697909661","0.0122226559770193","0.017003083604913"
"10 Completely satisfied","1989","1177","0.106551546166452","0.100405721293769","0.112697371039135"
"2 on Scale 1 to 10","1989","285","0.0330709724287997","0.0295090346110104","0.0366329102465891"
"3 on Scale 1 to 10","1989","472","0.0527172143237725","0.048265968275575","0.0571684603719699"
"4 on Scale 1 to 10","1989","490","0.0546371217503353","0.0501101401356348","0.0591641033650359"
