"m11125","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","West Germany","374","0.0350425339726387","0.0317808483752862","0.0383042195699913","0"
"0 Completely dissatisfied","1984","East Germany","","","","","0"
"1 on Scale 1 to 10","1984","West Germany","175","0.017307207570195","0.0149940104360748","0.0196204047043152","1"
"1 on Scale 1 to 10","1984","East Germany","","","","","1"
"10 Completely satisfied","1984","West Germany","2780","0.201863761962196","0.194744123260668","0.208983400663724","10"
"10 Completely satisfied","1984","East Germany","","","","","10"
"2 on Scale 1 to 10","1984","West Germany","365","0.0312856688709142","0.0281977858206723","0.034373551921156","2"
"2 on Scale 1 to 10","1984","East Germany","","","","","2"
"3 on Scale 1 to 10","1984","West Germany","493","0.0435532738483859","0.0399330864315693","0.0471734612652025","3"
"3 on Scale 1 to 10","1984","East Germany","","","","","3"
"4 on Scale 1 to 10","1984","West Germany","503","0.0443130463893749","0.0406628696648504","0.0479632231138994","4"
"4 on Scale 1 to 10","1984","East Germany","","","","","4"
"5 on Scale 1 to 10","1984","West Germany","1773","0.154983276146334","0.148564306386538","0.16140224590613","5"
"5 on Scale 1 to 10","1984","East Germany","","","","","5"
"6 on Scale 1 to 10","1984","West Germany","799","0.0660066120202756","0.0616025251088141","0.0704106989317371","6"
"6 on Scale 1 to 10","1984","East Germany","","","","","6"
"7 on Scale 1 to 10","1984","East Germany","","","","","7"
"7 on Scale 1 to 10","1984","West Germany","1410","0.119650994339236","0.11389426442804","0.125407724250432","7"
"8 on Scale 1 to 10","1984","East Germany","","","","","8"
"8 on Scale 1 to 10","1984","West Germany","2152","0.177260613781072","0.170486889304336","0.184034338257808","8"
"9 on Scale 1 to 10","1984","West Germany","1386","0.108733011099377","0.103211284782315","0.114254737416439","9"
"9 on Scale 1 to 10","1984","East Germany","","","","","9"
"0 Completely dissatisfied","1985","West Germany","230","0.0237010265019255","0.0208624803570797","0.0265395726467712","0"
"0 Completely dissatisfied","1985","East Germany","","","","","0"
"1 on Scale 1 to 10","1985","West Germany","133","0.013900009602154","0.0117153237720236","0.0160846954322844","1"
"1 on Scale 1 to 10","1985","East Germany","","","","","1"
"10 Completely satisfied","1985","West Germany","1934","0.158030256883886","0.151223514250715","0.164836999517058","10"
"10 Completely satisfied","1985","East Germany","","","","","10"
"2 on Scale 1 to 10","1985","West Germany","304","0.0301866053998768","0.0269938018891092","0.0333794089106444","2"
"2 on Scale 1 to 10","1985","East Germany","","","","","2"
"3 on Scale 1 to 10","1985","East Germany","","","","","3"
"3 on Scale 1 to 10","1985","West Germany","421","0.0417951986892864","0.0380608631926056","0.0455295341859671","3"
"4 on Scale 1 to 10","1985","West Germany","518","0.0508885817289672","0.0467875820325536","0.0549895814253807","4"
"4 on Scale 1 to 10","1985","East Germany","","","","","4"
"5 on Scale 1 to 10","1985","West Germany","1656","0.158468305600704","0.151653908934375","0.165282702267034","5"
"5 on Scale 1 to 10","1985","East Germany","","","","","5"
"6 on Scale 1 to 10","1985","West Germany","870","0.0834903650181119","0.0783284878984942","0.0886522421377295","6"
"6 on Scale 1 to 10","1985","East Germany","","","","","6"
"7 on Scale 1 to 10","1985","West Germany","1465","0.135899799356013","0.12950521346382","0.142294385248206","7"
"7 on Scale 1 to 10","1985","East Germany","","","","","7"
"8 on Scale 1 to 10","1985","West Germany","2255","0.195831291479888","0.188426111924198","0.203236471035578","8"
"8 on Scale 1 to 10","1985","East Germany","","","","","8"
"9 on Scale 1 to 10","1985","West Germany","1246","0.107808559739186","0.102021251518508","0.113595867959865","9"
"9 on Scale 1 to 10","1985","East Germany","","","","","9"
"0 Completely dissatisfied","1986","West Germany","226","0.0252935447631617","0.0223067223189205","0.0282803672074029","0"
"0 Completely dissatisfied","1986","East Germany","","","","","0"
"1 on Scale 1 to 10","1986","West Germany","131","0.0140356318489966","0.0117978681196616","0.0162733955783316","1"
"1 on Scale 1 to 10","1986","East Germany","","","","","1"
