"m11125","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"2 on Scale 1 to 10","1985","higher education","Rural Area","","","","","2"
"2 on Scale 1 to 10","1985","general elemantary","Urban Area","85","0.0432175679833527","0.0349873104374154","0.0514478255292899","2"
"2 on Scale 1 to 10","1985","vocational + Abi","Rural Area","","","","","2"
"2 on Scale 1 to 10","1985","higher vocational","Urban Area","14","","","","2"
"2 on Scale 1 to 10","1985","higher vocational","Rural Area","3","","","","2"
"2 on Scale 1 to 10","1985","higher education","Urban Area","10","","","","2"
"3 on Scale 1 to 10","1985","in school","Rural Area","","","","","3"
"3 on Scale 1 to 10","1985","in school","Urban Area","","","","","3"
"3 on Scale 1 to 10","1985","inadequately","Urban Area","39","0.0546509067505258","0.0382297413368771","0.0710720721641745","3"
"3 on Scale 1 to 10","1985","inadequately","Rural Area","4","","","","3"
"3 on Scale 1 to 10","1985","general elemantary","Urban Area","94","0.0483423206965333","0.0396611000771676","0.057023541315899","3"
"3 on Scale 1 to 10","1985","general elemantary","Rural Area","35","0.0574210264407847","0.0404159732237808","0.0744260796577886","3"
"3 on Scale 1 to 10","1985","middle vocational","Urban Area","148","0.0385862645332172","0.0326660705966592","0.0445064584697752","3"
"3 on Scale 1 to 10","1985","middle vocational","Rural Area","41","0.0408480060463586","0.0292036426746442","0.0524923694180729","3"
"3 on Scale 1 to 10","1985","vocational + Abi","Urban Area","9","","","","3"
"3 on Scale 1 to 10","1985","vocational + Abi","Rural Area","2","","","","3"
"3 on Scale 1 to 10","1985","higher vocational","Urban Area","17","","","","3"
"3 on Scale 1 to 10","1985","higher vocational","Rural Area","7","","","","3"
"3 on Scale 1 to 10","1985","higher education","Urban Area","16","","","","3"
"3 on Scale 1 to 10","1985","higher education","Rural Area","5","","","","3"
"4 on Scale 1 to 10","1985","general elemantary","Rural Area","30","0.0416694323822968","0.0270627996822263","0.0562760650823673","4"
"4 on Scale 1 to 10","1985","middle vocational","Urban Area","200","0.0545786945873215","0.047596552726734","0.0615608364479091","4"
"4 on Scale 1 to 10","1985","in school","Rural Area","1","","","","4"
"4 on Scale 1 to 10","1985","vocational + Abi","Rural Area","2","","","","4"
"4 on Scale 1 to 10","1985","inadequately","Urban Area","43","0.0531915246460536","0.0369785959872909","0.0694044533048162","4"
"4 on Scale 1 to 10","1985","inadequately","Rural Area","6","","","","4"
"4 on Scale 1 to 10","1985","general elemantary","Urban Area","124","0.0635673110494088","0.0536924300502994","0.0734421920485182","4"
"4 on Scale 1 to 10","1985","higher vocational","Urban Area","26","","","","4"
"4 on Scale 1 to 10","1985","higher vocational","Rural Area","6","","","","4"
"4 on Scale 1 to 10","1985","higher education","Urban Area","14","","","","4"
"4 on Scale 1 to 10","1985","higher education","Rural Area","3","","","","4"
"4 on Scale 1 to 10","1985","in school","Urban Area","4","","","","4"
"4 on Scale 1 to 10","1985","middle vocational","Rural Area","47","0.0478113175237866","0.035259302076697","0.0603633329708762","4"
"4 on Scale 1 to 10","1985","vocational + Abi","Urban Area","8","","","","4"
"5 on Scale 1 to 10","1985","in school","Urban Area","9","","","","5"
"5 on Scale 1 to 10","1985","middle vocational","Rural Area","153","0.141356301415638","0.120861171205457","0.161851431625818","5"
"5 on Scale 1 to 10","1985","vocational + Abi","Rural Area","8","","","","5"
"5 on Scale 1 to 10","1985","middle vocational","Urban Area","613","0.159482565208709","0.148228890091967","0.170736240325452","5"
"5 on Scale 1 to 10","1985","vocational + Abi","Urban Area","28","","","","5"
"5 on Scale 1 to 10","1985","in school","Rural Area","3","","","","5"
"5 on Scale 1 to 10","1985","higher vocational","Rural Area","16","","","","5"
"5 on Scale 1 to 10","1985","higher education","Urban Area","65","0.104453013886512","0.08075768286316","0.128148344909863","5"
"5 on Scale 1 to 10","1985","higher education","Rural Area","15","","","","5"
"5 on Scale 1 to 10","1985","inadequately","Urban Area","108","0.156181858748488","0.129954841223626","0.182408876273349","5"
"5 on Scale 1 to 10","1985","inadequately","Rural Area","20","","","","5"
"5 on Scale 1 to 10","1985","general elemantary","Urban Area","394","0.183371348322132","0.167709078075835","0.19903361856843","5"
"5 on Scale 1 to 10","1985","general elemantary","Rural Area","134","0.200066445169102","0.170825074173222","0.229307816164982","5"
"5 on Scale 1 to 10","1985","higher vocational","Urban Area","77","0.164383718913411","0.131534389465643","0.197233048361179","5"
"6 on Scale 1 to 10","1985","in school","Rural Area","","","","","6"
"6 on Scale 1 to 10","1985","in school","Urban Area","3","","","","6"
"6 on Scale 1 to 10","1985","inadequately","Rural Area","7","","","","6"
"6 on Scale 1 to 10","1985","general elemantary","Urban Area","174","0.085415663041963","0.0741031965596047","0.0967281295243214","6"
"6 on Scale 1 to 10","1985","vocational + Abi","Rural Area","3","","","","6"
"6 on Scale 1 to 10","1985","higher education","Rural Area","10","","","","6"
"6 on Scale 1 to 10","1985","inadequately","Urban Area","57","0.0604012083942338","0.0431903226202337","0.0776120941682339","6"
"6 on Scale 1 to 10","1985","middle vocational","Rural Area","105","0.0974226475644883","0.0799781373040635","0.114867157824913","6"
"6 on Scale 1 to 10","1985","vocational + Abi","Urban Area","20","","","","6"
"6 on Scale 1 to 10","1985","general elemantary","Rural Area","62","0.0935492584025226","0.0722641471411747","0.114834369663871","6"
"6 on Scale 1 to 10","1985","middle vocational","Urban Area","319","0.0795885820323596","0.0712693969526491","0.0879077671120701","6"
"6 on Scale 1 to 10","1985","higher vocational","Urban Area","43","0.088141690072694","0.0630142625836677","0.11326911756172","6"
"6 on Scale 1 to 10","1985","higher vocational","Rural Area","14","","","","6"
"6 on Scale 1 to 10","1985","higher education","Urban Area","45","0.0786932826401932","0.0578325741680875","0.0995539911122989","6"
"7 on Scale 1 to 10","1985","inadequately","Urban Area","101","0.123476894839032","0.0997093830573512","0.147244406620713","7"
"7 on Scale 1 to 10","1985","in school","Rural Area","9","","","","7"
"7 on Scale 1 to 10","1985","in school","Urban Area","15","","","","7"
"7 on Scale 1 to 10","1985","inadequately","Rural Area","11","","","","7"
"7 on Scale 1 to 10","1985","general elemantary","Urban Area","284","0.122574399693516","0.109301014257639","0.135847785129392","7"
"7 on Scale 1 to 10","1985","general elemantary","Rural Area","91","0.130563747755845","0.105936616670671","0.15519087884102","7"
"7 on Scale 1 to 10","1985","vocational + Abi","Rural Area","2","","","","7"
"7 on Scale 1 to 10","1985","higher vocational","Urban Area","68","0.135859541390376","0.105490512612499","0.166228570168252","7"
"7 on Scale 1 to 10","1985","higher education","Urban Area","99","0.1639717450603","0.135286861517315","0.192656628603286","7"
"7 on Scale 1 to 10","1985","higher education","Rural Area","14","","","","7"
"7 on Scale 1 to 10","1985","middle vocational","Urban Area","568","0.141580823355573","0.130865227485889","0.152296419225258","7"
"7 on Scale 1 to 10","1985","middle vocational","Rural Area","148","0.139998859783743","0.119586257945199","0.160411461622288","7"
"7 on Scale 1 to 10","1985","vocational + Abi","Urban Area","36","0.164575678210446","0.116964764670288","0.212186591750604","7"
"7 on Scale 1 to 10","1985","higher vocational","Rural Area","13","","","","7"
"8 on Scale 1 to 10","1985","general elemantary","Urban Area","431","0.162384124777046","0.147457180833704","0.177311068720388","8"
"8 on Scale 1 to 10","1985","higher vocational","Rural Area","21","","","","8"
"8 on Scale 1 to 10","1985","inadequately","Rural Area","18","","","","8"
"8 on Scale 1 to 10","1985","higher vocational","Urban Area","120","0.244895505965756","0.20678123679497","0.283009775136543","8"
"8 on Scale 1 to 10","1985","in school","Urban Area","36","0.24516347123467","0.17632094530815","0.314005997161189","8"
"8 on Scale 1 to 10","1985","in school","Rural Area","7","","","","8"
"8 on Scale 1 to 10","1985","inadequately","Urban Area","135","0.165172561999664","0.138345291166852","0.191999832832476","8"
