"m11125","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence","value"
"8 on Scale 1 to 10","1988","in school","Rural Area","6","","","","8"
"8 on Scale 1 to 10","1988","inadequately","Rural Area","13","","","","8"
"8 on Scale 1 to 10","1988","general elemantary","Urban Area","451","0.197801002694302","0.180908158805763","0.214693846582841","8"
"8 on Scale 1 to 10","1988","general elemantary","Rural Area","106","0.163877292661031","0.134258533172496","0.193496052149566","8"
"8 on Scale 1 to 10","1988","middle vocational","Urban Area","884","0.228476808142094","0.214993995279879","0.241959621004309","8"
"8 on Scale 1 to 10","1988","middle vocational","Rural Area","226","0.215375035735357","0.190172085301098","0.240577986169616","8"
"8 on Scale 1 to 10","1988","vocational + Abi","Urban Area","65","0.296892111552289","0.238477098995895","0.355307124108684","8"
"8 on Scale 1 to 10","1988","vocational + Abi","Rural Area","10","","","","8"
"8 on Scale 1 to 10","1988","higher vocational","Urban Area","105","0.244172278663539","0.203567845745995","0.284776711581083","8"
"8 on Scale 1 to 10","1988","higher vocational","Rural Area","20","","","","8"
"8 on Scale 1 to 10","1988","higher education","Urban Area","156","0.26475675606214","0.229155843365009","0.30035766875927","8"
"8 on Scale 1 to 10","1988","higher education","Rural Area","30","0.252268658730682","0.171472438747398","0.333064878713966","8"
"9 on Scale 1 to 10","1988","in school","Urban Area","25","","","","9"
"9 on Scale 1 to 10","1988","in school","Rural Area","10","","","","9"
"9 on Scale 1 to 10","1988","inadequately","Urban Area","61","0.0968810052062154","0.0732913589615973","0.120470651450833","9"
"9 on Scale 1 to 10","1988","inadequately","Rural Area","12","","","","9"
"9 on Scale 1 to 10","1988","general elemantary","Urban Area","233","0.0932419122866629","0.080910898829535","0.105572925743791","9"
"9 on Scale 1 to 10","1988","general elemantary","Rural Area","66","0.0884436238167683","0.0657241903911496","0.111163057242387","9"
"9 on Scale 1 to 10","1988","middle vocational","Urban Area","444","0.107839854951636","0.0978790139182588","0.117800695985013","9"
"9 on Scale 1 to 10","1988","middle vocational","Rural Area","113","0.0996204992068972","0.0812589297704554","0.117982068643339","9"
"9 on Scale 1 to 10","1988","vocational + Abi","Urban Area","35","0.148937671467651","0.103418209159499","0.194457133775804","9"
"9 on Scale 1 to 10","1988","vocational + Abi","Rural Area","6","","","","9"
"9 on Scale 1 to 10","1988","higher vocational","Urban Area","47","0.096245759847285","0.0683697993796845","0.124121720314886","9"
"9 on Scale 1 to 10","1988","higher vocational","Rural Area","8","","","","9"
"9 on Scale 1 to 10","1988","higher education","Urban Area","101","0.175519660773195","0.144824131757633","0.206215189788758","9"
"9 on Scale 1 to 10","1988","higher education","Rural Area","24","","","","9"
"0 Completely dissatisfied","1989","higher vocational","Urban Area","1","","","","0"
"0 Completely dissatisfied","1989","middle vocational","Rural Area","27","","","","0"
"0 Completely dissatisfied","1989","in school","Rural Area","","","","","0"
"0 Completely dissatisfied","1989","general elemantary","Urban Area","51","0.0339022389905869","0.0260295190859715","0.0417749588952023","0"
"0 Completely dissatisfied","1989","middle vocational","Urban Area","77","0.0236310163146761","0.0187019023035141","0.0285601303258382","0"
"0 Completely dissatisfied","1989","vocational + Abi","Urban Area","","","","","0"
"0 Completely dissatisfied","1989","higher vocational","Rural Area","","","","","0"
"0 Completely dissatisfied","1989","in school","Urban Area","2","","","","0"
"0 Completely dissatisfied","1989","general elemantary","Rural Area","16","","","","0"
"0 Completely dissatisfied","1989","higher education","Rural Area","","","","","0"
"0 Completely dissatisfied","1989","inadequately","Urban Area","26","","","","0"
"0 Completely dissatisfied","1989","vocational + Abi","Rural Area","1","","","","0"
"0 Completely dissatisfied","1989","higher education","Urban Area","5","","","","0"
"0 Completely dissatisfied","1989","inadequately","Rural Area","5","","","","0"
"1 on Scale 1 to 10","1989","in school","Urban Area","2","","","","1"
"1 on Scale 1 to 10","1989","in school","Rural Area","","","","","1"
"1 on Scale 1 to 10","1989","inadequately","Urban Area","15","","","","1"
"1 on Scale 1 to 10","1989","inadequately","Rural Area","1","","","","1"
"1 on Scale 1 to 10","1989","general elemantary","Urban Area","25","","","","1"
"1 on Scale 1 to 10","1989","general elemantary","Rural Area","15","","","","1"
"1 on Scale 1 to 10","1989","middle vocational","Urban Area","46","0.0154587990381977","0.0114554311664843","0.0194621669099111","1"
"1 on Scale 1 to 10","1989","middle vocational","Rural Area","7","","","","1"
"1 on Scale 1 to 10","1989","vocational + Abi","Urban Area","1","","","","1"
"1 on Scale 1 to 10","1989","vocational + Abi","Rural Area","","","","","1"
"1 on Scale 1 to 10","1989","higher vocational","Urban Area","3","","","","1"
"1 on Scale 1 to 10","1989","higher vocational","Rural Area","4","","","","1"
"1 on Scale 1 to 10","1989","higher education","Urban Area","1","","","","1"
"1 on Scale 1 to 10","1989","higher education","Rural Area","","","","","1"
"10 Completely satisfied","1989","in school","Urban Area","45","0.301077282362157","0.22717279558569","0.374981769138624","10"
"10 Completely satisfied","1989","in school","Rural Area","11","","","","10"
"10 Completely satisfied","1989","inadequately","Urban Area","56","0.105091447729681","0.0798935113838922","0.130289384075471","10"
"10 Completely satisfied","1989","inadequately","Rural Area","14","","","","10"
"10 Completely satisfied","1989","general elemantary","Urban Area","272","0.109062255463068","0.0955022149022151","0.122622296023921","10"
"10 Completely satisfied","1989","general elemantary","Rural Area","78","0.102474897282809","0.0771754752353164","0.127774319330302","10"
"10 Completely satisfied","1989","middle vocational","Urban Area","399","0.104734735981501","0.0947980420147468","0.114671429948254","10"
"10 Completely satisfied","1989","middle vocational","Rural Area","118","0.102942412790071","0.0838971926446154","0.121987632935527","10"
"10 Completely satisfied","1989","vocational + Abi","Urban Area","35","0.0948707787866526","0.0586187132810821","0.131122844292223","10"
"10 Completely satisfied","1989","vocational + Abi","Rural Area","5","","","","10"
"10 Completely satisfied","1989","higher vocational","Urban Area","32","0.0741255271982494","0.0487053857831141","0.0995456686133847","10"
"10 Completely satisfied","1989","higher vocational","Rural Area","9","","","","10"
"10 Completely satisfied","1989","higher education","Urban Area","71","0.111583206663128","0.0861990845004624","0.136967328825794","10"
"10 Completely satisfied","1989","higher education","Rural Area","11","","","","10"
"2 on Scale 1 to 10","1989","higher education","Rural Area","4","","","","2"
"2 on Scale 1 to 10","1989","middle vocational","Rural Area","21","","","","2"
"2 on Scale 1 to 10","1989","higher education","Urban Area","15","","","","2"
"2 on Scale 1 to 10","1989","vocational + Abi","Urban Area","2","","","","2"
"2 on Scale 1 to 10","1989","higher vocational","Urban Area","17","","","","2"
"2 on Scale 1 to 10","1989","higher vocational","Rural Area","2","","","","2"
"2 on Scale 1 to 10","1989","in school","Urban Area","","","","","2"
"2 on Scale 1 to 10","1989","in school","Rural Area","","","","","2"
"2 on Scale 1 to 10","1989","inadequately","Urban Area","23","","","","2"
"2 on Scale 1 to 10","1989","inadequately","Rural Area","7","","","","2"
"2 on Scale 1 to 10","1989","general elemantary","Urban Area","63","0.0340138703074012","0.0261286552408174","0.041899085373985","2"
"2 on Scale 1 to 10","1989","general elemantary","Rural Area","13","","","","2"
"2 on Scale 1 to 10","1989","middle vocational","Urban Area","113","0.0358078503566881","0.0297782073939248","0.0418374933194514","2"
"2 on Scale 1 to 10","1989","vocational + Abi","Rural Area","2","","","","2"
"3 on Scale 1 to 10","1989","vocational + Abi","Urban Area","12","","","","3"
"3 on Scale 1 to 10","1989","in school","Urban Area","","","","","3"
"3 on Scale 1 to 10","1989","vocational + Abi","Rural Area","2","","","","3"
"3 on Scale 1 to 10","1989","higher vocational","Urban Area","23","","","","3"
"3 on Scale 1 to 10","1989","in school","Rural Area","2","","","","3"
"3 on Scale 1 to 10","1989","higher education","Rural Area","7","","","","3"
"3 on Scale 1 to 10","1989","inadequately","Urban Area","39","0.054648147440032","0.0359724676214121","0.073323827258652","3"
"3 on Scale 1 to 10","1989","middle vocational","Rural Area","48","0.0591312597889962","0.0443486283467787","0.0739138912312138","3"
"3 on Scale 1 to 10","1989","general elemantary","Rural Area","32","0.0549212624832488","0.0359156091088366","0.073926915857661","3"
"3 on Scale 1 to 10","1989","middle vocational","Urban Area","158","0.0461866351135247","0.0393756404568749","0.0529976297701746","3"
"3 on Scale 1 to 10","1989","inadequately","Rural Area","7","","","","3"
"3 on Scale 1 to 10","1989","general elemantary","Urban Area","104","0.0629990492051193","0.0524299716344871","0.0735681267757515","3"
"3 on Scale 1 to 10","1989","higher vocational","Rural Area","5","","","","3"
"3 on Scale 1 to 10","1989","higher education","Urban Area","26","","","","3"
"4 on Scale 1 to 10","1989","inadequately","Urban Area","33","0.0420936329825323","0.0255944783496216","0.0585927876154429","4"
"4 on Scale 1 to 10","1989","in school","Rural Area","","","","","4"
"4 on Scale 1 to 10","1989","in school","Urban Area","7","","","","4"
"4 on Scale 1 to 10","1989","inadequately","Rural Area","5","","","","4"
"4 on Scale 1 to 10","1989","general elemantary","Urban Area","104","0.0549307825335089","0.0450192736655879","0.06484229140143","4"
"4 on Scale 1 to 10","1989","general elemantary","Rural Area","33","0.0716337385157161","0.0501209337796038","0.0931465432518283","4"
"4 on Scale 1 to 10","1989","vocational + Abi","Rural Area","","","","","4"
"4 on Scale 1 to 10","1989","higher vocational","Urban Area","24","","","","4"
"4 on Scale 1 to 10","1989","higher vocational","Rural Area","4","","","","4"
"4 on Scale 1 to 10","1989","higher education","Urban Area","26","","","","4"
"4 on Scale 1 to 10","1989","middle vocational","Urban Area","181","0.0543758905393794","0.047017494885682","0.0617342861930768","4"
"4 on Scale 1 to 10","1989","middle vocational","Rural Area","52","0.0551174097762538","0.0408149087672095","0.0694199107852981","4"
"4 on Scale 1 to 10","1989","vocational + Abi","Urban Area","10","","","","4"
"4 on Scale 1 to 10","1989","higher education","Rural Area","6","","","","4"
"5 on Scale 1 to 10","1989","general elemantary","Urban Area","321","0.186428711699562","0.169487117378112","0.203370306021012","5"
"5 on Scale 1 to 10","1989","general elemantary","Rural Area","90","0.203293210807533","0.169720280513132","0.236866141101935","5"
"5 on Scale 1 to 10","1989","higher education","Urban Area","68","0.117140053376594","0.0912130116564919","0.143067095096696","5"
"5 on Scale 1 to 10","1989","higher education","Rural Area","13","","","","5"
"5 on Scale 1 to 10","1989","higher vocational","Rural Area","13","","","","5"
"5 on Scale 1 to 10","1989","in school","Rural Area","2","","","","5"
"5 on Scale 1 to 10","1989","inadequately","Urban Area","81","0.126499594820562","0.0991866781046404","0.153812511536484","5"
"5 on Scale 1 to 10","1989","inadequately","Rural Area","10","","","","5"
"5 on Scale 1 to 10","1989","middle vocational","Urban Area","544","0.156482229478069","0.144692595913693","0.168271863042445","5"
"5 on Scale 1 to 10","1989","middle vocational","Rural Area","144","0.153668973715108","0.131067232908694","0.176270714521522","5"
"5 on Scale 1 to 10","1989","vocational + Abi","Urban Area","31","0.149965606923649","0.105795819003893","0.194135394843405","5"
"5 on Scale 1 to 10","1989","higher vocational","Urban Area","55","0.131537493140075","0.0987416857754096","0.16433330050474","5"
"5 on Scale 1 to 10","1989","in school","Urban Area","10","","","","5"
"5 on Scale 1 to 10","1989","vocational + Abi","Rural Area","5","","","","5"
"6 on Scale 1 to 10","1989","in school","Urban Area","3","","","","6"
"6 on Scale 1 to 10","1989","higher education","Rural Area","7","","","","6"
"6 on Scale 1 to 10","1989","inadequately","Urban Area","60","0.0946104621411667","0.0705624448434706","0.118658479438863","6"
"6 on Scale 1 to 10","1989","middle vocational","Urban Area","339","0.100600849681799","0.0908397727185266","0.110361926645072","6"
"6 on Scale 1 to 10","1989","middle vocational","Rural Area","77","0.0779332390252647","0.0611327775827091","0.0947337004678204","6"
"6 on Scale 1 to 10","1989","vocational + Abi","Urban Area","20","","","","6"
"6 on Scale 1 to 10","1989","vocational + Abi","Rural Area","2","","","","6"
"6 on Scale 1 to 10","1989","in school","Rural Area","2","","","","6"
"6 on Scale 1 to 10","1989","general elemantary","Rural Area","64","0.128153818474566","0.10026922852028","0.156038408428853","6"
"6 on Scale 1 to 10","1989","inadequately","Rural Area","4","","","","6"
"6 on Scale 1 to 10","1989","general elemantary","Urban Area","196","0.10382152573306","0.0905524390998787","0.117090612366241","6"
"6 on Scale 1 to 10","1989","higher vocational","Urban Area","41","0.0977223230752986","0.0689095534302174","0.12653509272038","6"
"6 on Scale 1 to 10","1989","higher vocational","Rural Area","9","","","","6"
"6 on Scale 1 to 10","1989","higher education","Urban Area","60","0.0992654785196048","0.0751579952119031","0.123372961827307","6"
"7 on Scale 1 to 10","1989","in school","Rural Area","2","","","","7"
"7 on Scale 1 to 10","1989","in school","Urban Area","17","","","","7"
"7 on Scale 1 to 10","1989","inadequately","Urban Area","77","0.129249316308161","0.101684633640417","0.156813998975905","7"
"7 on Scale 1 to 10","1989","inadequately","Rural Area","12","","","","7"
"7 on Scale 1 to 10","1989","general elemantary","Urban Area","263","0.135012249718334","0.120146334979657","0.149878164457011","7"
"7 on Scale 1 to 10","1989","general elemantary","Rural Area","72","0.119197039198964","0.0921667514481414","0.146227326949786","7"
"7 on Scale 1 to 10","1989","middle vocational","Urban Area","509","0.136135278171718","0.125006976578661","0.147263579764775","7"
"7 on Scale 1 to 10","1989","middle vocational","Rural Area","148","0.14885647937412","0.126548309962123","0.171164648786118","7"
"7 on Scale 1 to 10","1989","vocational + Abi","Urban Area","40","0.174427806896234","0.127482020456936","0.221373593335532","7"
"7 on Scale 1 to 10","1989","vocational + Abi","Rural Area","6","","","","7"
"7 on Scale 1 to 10","1989","higher vocational","Urban Area","59","0.142265024147266","0.108369399614877","0.176160648679655","7"
"7 on Scale 1 to 10","1989","higher education","Urban Area","77","0.12621276404504","0.099439036618537","0.152986491471542","7"
"7 on Scale 1 to 10","1989","higher education","Rural Area","21","","","","7"
"7 on Scale 1 to 10","1989","higher vocational","Rural Area","18","","","","7"
"8 on Scale 1 to 10","1989","in school","Urban Area","28","","","","8"
"8 on Scale 1 to 10","1989","in school","Rural Area","2","","","","8"
"8 on Scale 1 to 10","1989","inadequately","Urban Area","107","0.194509835232936","0.161986665790379","0.227033004675494","8"
"8 on Scale 1 to 10","1989","inadequately","Rural Area","16","","","","8"
"8 on Scale 1 to 10","1989","general elemantary","Urban Area","412","0.179087979370278","0.16240853428618","0.195767424454375","8"
"8 on Scale 1 to 10","1989","general elemantary","Rural Area","89","0.154381574251888","0.124240168486612","0.184522980017163","8"
"8 on Scale 1 to 10","1989","vocational + Abi","Urban Area","70","0.278020277395668","0.222594477875768","0.333446076915568","8"
"8 on Scale 1 to 10","1989","vocational + Abi","Rural Area","10","","","","8"
"8 on Scale 1 to 10","1989","higher vocational","Urban Area","110","0.263486135419999","0.220740935103767","0.306231335736231","8"
"8 on Scale 1 to 10","1989","higher vocational","Rural Area","31","0.25976436824346","0.17706332351206","0.34246541297486","8"
"8 on Scale 1 to 10","1989","middle vocational","Urban Area","877","0.228239410041538","0.214620031436995","0.241858788646082","8"
"8 on Scale 1 to 10","1989","middle vocational","Rural Area","216","0.225969698770684","0.199758749601354","0.252180647940013","8"
"8 on Scale 1 to 10","1989","higher education","Urban Area","144","0.251989305303072","0.216986785593428","0.286991825012717","8"
"8 on Scale 1 to 10","1989","higher education","Rural Area","26","","","","8"
"9 on Scale 1 to 10","1989","higher vocational","Rural Area","13","","","","9"
"9 on Scale 1 to 10","1989","higher vocational","Urban Area","43","0.0931424789754253","0.0649416785385284","0.121343279412322","9"
"9 on Scale 1 to 10","1989","higher education","Urban Area","98","0.161826213084573","0.132133777464493","0.191518648704654","9"
"9 on Scale 1 to 10","1989","vocational + Abi","Rural Area","4","","","","9"
"9 on Scale 1 to 10","1989","in school","Urban Area","34","0.256780618307609","0.186399385975487","0.32716185063973","9"
"9 on Scale 1 to 10","1989","in school","Rural Area","6","","","","9"
"9 on Scale 1 to 10","1989","inadequately","Urban Area","52","0.111374143831633","0.0855251513691195","0.137223136294147","9"
"9 on Scale 1 to 10","1989","inadequately","Rural Area","4","","","","9"
"9 on Scale 1 to 10","1989","general elemantary","Urban Area","219","0.0832337172035562","0.0712171883532662","0.0952502460538463","9"
"9 on Scale 1 to 10","1989","general elemantary","Rural Area","50","0.0758446567440467","0.0537588363207581","0.0979304771673354","9"
"9 on Scale 1 to 10","1989","middle vocational","Urban Area","405","0.0983473052829089","0.0886840923155307","0.108010518250287","9"
"9 on Scale 1 to 10","1989","middle vocational","Rural Area","120","0.107366925974785","0.0879647512931027","0.126769100656468","9"
"9 on Scale 1 to 10","1989","vocational + Abi","Urban Area","30","0.112842184172214","0.0736997875117609","0.151984580832668","9"
"9 on Scale 1 to 10","1989","higher education","Rural Area","13","","","","9"
"0 Completely dissatisfied","1990","higher vocational","Urban Area","8","","","","0"
"0 Completely dissatisfied","1990","middle vocational","Rural Area","79","0.0283550144563146","0.022023394037787","0.0346866348748423","0"
"0 Completely dissatisfied","1990","vocational + Abi","Urban Area","5","","","","0"
"0 Completely dissatisfied","1990","in school","Urban Area","2","","","","0"
"0 Completely dissatisfied","1990","in school","Rural Area","","","","","0"
"0 Completely dissatisfied","1990","inadequately","Urban Area","11","","","","0"
"0 Completely dissatisfied","1990","inadequately","Rural Area","1","","","","0"
"0 Completely dissatisfied","1990","general elemantary","Urban Area","54","0.0349455812744259","0.027102423638329","0.0427887389105228","0"
"0 Completely dissatisfied","1990","general elemantary","Rural Area","50","0.0543444149753097","0.0393835138306604","0.069305316119959","0"
"0 Completely dissatisfied","1990","middle vocational","Urban Area","93","0.0231623863808952","0.0187168587237163","0.0276079140380741","0"
"0 Completely dissatisfied","1990","vocational + Abi","Rural Area","","","","","0"
"0 Completely dissatisfied","1990","higher vocational","Rural Area","9","","","","0"
"0 Completely dissatisfied","1990","higher education","Urban Area","9","","","","0"
"0 Completely dissatisfied","1990","higher education","Rural Area","20","","","","0"
"1 on Scale 1 to 10","1990","inadequately","Rural Area","2","","","","1"
"1 on Scale 1 to 10","1990","in school","Rural Area","","","","","1"
"1 on Scale 1 to 10","1990","general elemantary","Rural Area","20","","","","1"
"1 on Scale 1 to 10","1990","inadequately","Urban Area","11","","","","1"
"1 on Scale 1 to 10","1990","in school","Urban Area","1","","","","1"
"1 on Scale 1 to 10","1990","middle vocational","Urban Area","48","0.0129825122266698","0.00963700268866299","0.0163280217646766","1"
"1 on Scale 1 to 10","1990","vocational + Abi","Rural Area","1","","","","1"
"1 on Scale 1 to 10","1990","general elemantary","Urban Area","28","","","","1"
"1 on Scale 1 to 10","1990","middle vocational","Rural Area","31","0.0150418195587462","0.0103987497789659","0.0196848893385265","1"
"1 on Scale 1 to 10","1990","higher vocational","Rural Area","1","","","","1"
"1 on Scale 1 to 10","1990","higher education","Urban Area","9","","","","1"
"1 on Scale 1 to 10","1990","vocational + Abi","Urban Area","4","","","","1"
"1 on Scale 1 to 10","1990","higher vocational","Urban Area","7","","","","1"
"1 on Scale 1 to 10","1990","higher education","Rural Area","3","","","","1"
"10 Completely satisfied","1990","in school","Urban Area","42","0.246080077406956","0.174985026098001","0.317175128715911","10"
"10 Completely satisfied","1990","in school","Rural Area","14","","","","10"
"10 Completely satisfied","1990","inadequately","Urban Area","63","0.121893639750326","0.0947239563662823","0.14906332313437","10"
"10 Completely satisfied","1990","inadequately","Rural Area","16","","","","10"
"10 Completely satisfied","1990","general elemantary","Urban Area","255","0.08935265613654","0.0771698382087689","0.101535474064311","10"
"10 Completely satisfied","1990","general elemantary","Rural Area","133","0.11733127054889","0.0960929801033275","0.138569560994453","10"
"10 Completely satisfied","1990","middle vocational","Urban Area","513","0.102839291526102","0.09386221062282","0.111816372429383","10"
"10 Completely satisfied","1990","middle vocational","Rural Area","429","0.134396409831336","0.121385745098672","0.147407074564001","10"
"10 Completely satisfied","1990","vocational + Abi","Urban Area","30","0.0620053086366255","0.0342488714673473","0.0897617458059037","10"
"10 Completely satisfied","1990","vocational + Abi","Rural Area","15","","","","10"
"10 Completely satisfied","1990","higher vocational","Urban Area","38","0.0739779434179778","0.0508033649431697","0.0971525218927859","10"
"10 Completely satisfied","1990","higher vocational","Rural Area","35","0.0950594998044743","0.060644025092161","0.129474974516788","10"
"10 Completely satisfied","1990","higher education","Urban Area","115","0.0947470167955376","0.0766135022531459","0.112880531337929","10"
"10 Completely satisfied","1990","higher education","Rural Area","103","0.129282545142631","0.103971808992032","0.15459328129323","10"
"2 on Scale 1 to 10","1990","general elemantary","Rural Area","33","0.036436684157689","0.0240708518939911","0.048802516421387","2"
"2 on Scale 1 to 10","1990","general elemantary","Urban Area","66","0.0374372195564093","0.0293297517434372","0.0455446873693813","2"
"2 on Scale 1 to 10","1990","in school","Urban Area","","","","","2"
"2 on Scale 1 to 10","1990","higher education","Rural Area","8","","","","2"
"2 on Scale 1 to 10","1990","inadequately","Rural Area","7","","","","2"
"2 on Scale 1 to 10","1990","middle vocational","Urban Area","106","0.0266161901671302","0.0218591646270545","0.0313732157072059","2"
"2 on Scale 1 to 10","1990","middle vocational","Rural Area","65","0.0242001171827258","0.0183382598689123","0.0300619744965392","2"
"2 on Scale 1 to 10","1990","vocational + Abi","Urban Area","6","","","","2"
"2 on Scale 1 to 10","1990","vocational + Abi","Rural Area","","","","","2"
"2 on Scale 1 to 10","1990","higher education","Urban Area","26","","","","2"
"2 on Scale 1 to 10","1990","in school","Rural Area","","","","","2"
"2 on Scale 1 to 10","1990","inadequately","Urban Area","24","","","","2"
"2 on Scale 1 to 10","1990","higher vocational","Rural Area","2","","","","2"
"2 on Scale 1 to 10","1990","higher vocational","Urban Area","4","","","","2"
"3 on Scale 1 to 10","1990","vocational + Abi","Urban Area","9","","","","3"
"3 on Scale 1 to 10","1990","in school","Rural Area","2","","","","3"
"3 on Scale 1 to 10","1990","middle vocational","Rural Area","97","0.0386394720036198","0.0312874827669393","0.0459914612403002","3"
"3 on Scale 1 to 10","1990","vocational + Abi","Rural Area","5","","","","3"
"3 on Scale 1 to 10","1990","inadequately","Urban Area","39","0.0659516415231221","0.045339743792906","0.0865635392533382","3"
"3 on Scale 1 to 10","1990","middle vocational","Urban Area","170","0.0419206568764186","0.0359977452001316","0.0478435685527055","3"
"3 on Scale 1 to 10","1990","in school","Urban Area","2","","","","3"
"3 on Scale 1 to 10","1990","higher education","Rural Area","27","","","","3"
"3 on Scale 1 to 10","1990","inadequately","Rural Area","4","","","","3"
"3 on Scale 1 to 10","1990","general elemantary","Urban Area","105","0.0633372337543657","0.0529346772898285","0.0737397902189029","3"
"3 on Scale 1 to 10","1990","general elemantary","Rural Area","47","0.0636997512140514","0.047582527434165","0.0798169749939377","3"
"3 on Scale 1 to 10","1990","higher vocational","Urban Area","20","","","","3"
"3 on Scale 1 to 10","1990","higher vocational","Rural Area","16","","","","3"
"3 on Scale 1 to 10","1990","higher education","Urban Area","44","0.0493244652442934","0.035916539939809","0.0627323905487779","3"
"4 on Scale 1 to 10","1990","inadequately","Urban Area","42","0.0520969282817332","0.0336421633629006","0.0705516932005659","4"
"4 on Scale 1 to 10","1990","inadequately","Rural Area","5","","","","4"
"4 on Scale 1 to 10","1990","general elemantary","Rural Area","52","0.0655537005438002","0.0492198123255491","0.0818875887620513","4"
"4 on Scale 1 to 10","1990","higher vocational","Rural Area","15","","","","4"
"4 on Scale 1 to 10","1990","general elemantary","Urban Area","119","0.0607082324337995","0.0505095760487287","0.0709068888188704","4"
"4 on Scale 1 to 10","1990","higher vocational","Urban Area","26","","","","4"
"4 on Scale 1 to 10","1990","in school","Urban Area","5","","","","4"
"4 on Scale 1 to 10","1990","in school","Rural Area","1","","","","4"
"4 on Scale 1 to 10","1990","middle vocational","Rural Area","112","0.0464092405372384","0.0383845300077197","0.0544339510667571","4"
"4 on Scale 1 to 10","1990","vocational + Abi","Urban Area","15","","","","4"
"4 on Scale 1 to 10","1990","vocational + Abi","Rural Area","5","","","","4"
"4 on Scale 1 to 10","1990","middle vocational","Urban Area","211","0.0539070219277696","0.0472326553148864","0.0605813885406528","4"
"4 on Scale 1 to 10","1990","higher education","Urban Area","46","0.0541393330553323","0.0401278449025229","0.0681508212081417","4"
"4 on Scale 1 to 10","1990","higher education","Rural Area","25","","","","4"
"5 on Scale 1 to 10","1990","general elemantary","Rural Area","140","0.170858956712948","0.146019226169956","0.195698687255941","5"
"5 on Scale 1 to 10","1990","middle vocational","Urban Area","680","0.162082460981916","0.151190925011601","0.172973996952232","5"
"5 on Scale 1 to 10","1990","general elemantary","Urban Area","346","0.189129333120215","0.172404024190131","0.205854642050298","5"
"5 on Scale 1 to 10","1990","inadequately","Rural Area","13","","","","5"
"5 on Scale 1 to 10","1990","vocational + Abi","Urban Area","26","","","","5"
"5 on Scale 1 to 10","1990","middle vocational","Rural Area","435","0.166477968883218","0.152268329593375","0.180687608173061","5"
"5 on Scale 1 to 10","1990","higher education","Rural Area","91","0.116296797592062","0.0921125100954921","0.140481085088633","5"
"5 on Scale 1 to 10","1990","in school","Rural Area","4","","","","5"
"5 on Scale 1 to 10","1990","inadequately","Urban Area","86","0.171820467237195","0.140493367630267","0.203147566844124","5"
"5 on Scale 1 to 10","1990","higher vocational","Rural Area","47","0.202468336632446","0.155316510834465","0.249620162430428","5"
"5 on Scale 1 to 10","1990","higher education","Urban Area","125","0.117055974545491","0.0971502674704646","0.136961681620518","5"
"5 on Scale 1 to 10","1990","in school","Urban Area","11","","","","5"
"5 on Scale 1 to 10","1990","vocational + Abi","Rural Area","5","","","","5"
"5 on Scale 1 to 10","1990","higher vocational","Urban Area","70","0.159640390241719","0.127209861698071","0.192070918785367","5"
"6 on Scale 1 to 10","1990","middle vocational","Rural Area","226","0.0905766145598438","0.0796285530550563","0.101524676064631","6"
"6 on Scale 1 to 10","1990","in school","Rural Area","2","","","","6"
"6 on Scale 1 to 10","1990","vocational + Abi","Urban Area","27","","","","6"
"6 on Scale 1 to 10","1990","in school","Urban Area","7","","","","6"
"6 on Scale 1 to 10","1990","inadequately","Rural Area","4","","","","6"
"6 on Scale 1 to 10","1990","general elemantary","Rural Area","94","0.121298559544755","0.09975277615354","0.142844342935971","6"
"6 on Scale 1 to 10","1990","middle vocational","Urban Area","426","0.0973109832349643","0.0885516613083285","0.1060703051616","6"
"6 on Scale 1 to 10","1990","vocational + Abi","Rural Area","6","","","","6"
"6 on Scale 1 to 10","1990","higher education","Rural Area","50","0.0826205954261183","0.0618516302665335","0.103389560585703","6"
"6 on Scale 1 to 10","1990","inadequately","Urban Area","63","0.115947920273767","0.089359600083899","0.142536240463636","6"
"6 on Scale 1 to 10","1990","general elemantary","Urban Area","198","0.102768056720794","0.0897992402825064","0.115736873159081","6"
"6 on Scale 1 to 10","1990","higher vocational","Rural Area","19","","","","6"
"6 on Scale 1 to 10","1990","higher education","Urban Area","70","0.079712565974233","0.0629423223782141","0.0964828095702518","6"
"6 on Scale 1 to 10","1990","higher vocational","Urban Area","49","0.106414864698167","0.0791113115610777","0.133718417835256","6"
"7 on Scale 1 to 10","1990","in school","Urban Area","12","","","","7"
"7 on Scale 1 to 10","1990","in school","Rural Area","8","","","","7"
"7 on Scale 1 to 10","1990","vocational + Abi","Urban Area","53","0.187083627075407","0.142199796119038","0.231967458031776","7"
"7 on Scale 1 to 10","1990","general elemantary","Rural Area","108","0.121125122969672","0.0995926238056625","0.142657622133681","7"
"7 on Scale 1 to 10","1990","general elemantary","Urban Area","287","0.130847913670696","0.116445005317026","0.145250822024366","7"
"7 on Scale 1 to 10","1990","higher education","Urban Area","156","0.156353319819197","0.133865462107898","0.178841177530496","7"
"7 on Scale 1 to 10","1990","middle vocational","Urban Area","670","0.153151604582238","0.142508113793282","0.163795095371195","7"
"7 on Scale 1 to 10","1990","middle vocational","Rural Area","347","0.141732907596294","0.128428586850846","0.155037228341743","7"
"7 on Scale 1 to 10","1990","vocational + Abi","Rural Area","9","","","","7"
"7 on Scale 1 to 10","1990","higher vocational","Urban Area","103","0.214403780992587","0.178065367434057","0.250742194551118","7"
