"m11125","year","migback","n","percent","lower_confidence","upper_confidence"
"0 Completely dissatisfied","1984","no migration background","275","0.0354168928758122","0.0315267682818102","0.0393070174698143"
"0 Completely dissatisfied","1984","direct migration background","98","0.0327914519988006","0.0268140661874534","0.0387688378101479"
"0 Completely dissatisfied","1984","indirect migration background","1","","",""
"1 on Scale 1 to 10","1984","no migration background","130","0.0173286450448593","0.0145821747410117","0.0200751153487068"
"1 on Scale 1 to 10","1984","direct migration background","44","0.0162585176652677","0.0120137701022437","0.0205032652282917"
"1 on Scale 1 to 10","1984","indirect migration background","1","","",""
"2 on Scale 1 to 10","1984","no migration background","249","0.0314671772897831","0.0277928780620423","0.035141476517524"
"2 on Scale 1 to 10","1984","direct migration background","113","0.0293487460693162","0.0236837803411697","0.0350137117974627"
"2 on Scale 1 to 10","1984","indirect migration background","3","","",""
"3 on Scale 1 to 10","1984","no migration background","353","0.0440156339938474","0.0396982832512611","0.0483329847364337"
"3 on Scale 1 to 10","1984","direct migration background","137","0.0374099371024446","0.0310407342997368","0.0437791399051524"
"3 on Scale 1 to 10","1984","indirect migration background","3","","",""
"4 on Scale 1 to 10","1984","no migration background","368","0.0449781898887531","0.0406160851610803","0.049340294616426"
"4 on Scale 1 to 10","1984","direct migration background","133","0.0386949783767976","0.0322216325183195","0.0451683242352757"
"4 on Scale 1 to 10","1984","indirect migration background","2","","",""
"5 on Scale 1 to 10","1984","no migration background","1307","0.15546785613973","0.147841504021762","0.163094208257697"
"5 on Scale 1 to 10","1984","direct migration background","451","0.147846194647271","0.135932815301194","0.159759573993347"
"5 on Scale 1 to 10","1984","indirect migration background","15","","",""
"6 on Scale 1 to 10","1984","no migration background","577","0.0668415190955066","0.0615851080904578","0.0720979301005554"
"6 on Scale 1 to 10","1984","direct migration background","221","0.0608018401621955","0.0527812212919883","0.0688224590324028"
"6 on Scale 1 to 10","1984","indirect migration background","1","","",""
"7 on Scale 1 to 10","1984","no migration background","1041","0.119685208171971","0.112853525335844","0.126516891008098"
"7 on Scale 1 to 10","1984","direct migration background","359","0.119349060342546","0.108467722235932","0.130230398449161"
"7 on Scale 1 to 10","1984","indirect migration background","10","","",""
"8 on Scale 1 to 10","1984","no migration background","1612","0.180304104179527","0.172212816490518","0.188395391868537"
"8 on Scale 1 to 10","1984","direct migration background","523","0.151915028082849","0.1398676939842","0.163962362181497"
"8 on Scale 1 to 10","1984","indirect migration background","17","","",""
"9 on Scale 1 to 10","1984","no migration background","986","0.107818312070945","0.101290594239706","0.114346029902185"
"9 on Scale 1 to 10","1984","direct migration background","374","0.115231881745479","0.104514913078837","0.125948850412122"
"9 on Scale 1 to 10","1984","indirect migration background","26","","",""
"10 Completely satisfied","1984","no migration background","1774","0.196676461249264","0.18831061467516","0.205042307823369"
"10 Completely satisfied","1984","direct migration background","957","0.250352363807033","0.235811997833157","0.264892729780909"
