"m11125","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"0 Completely dissatisfied","1985","Rural Area","Female","27","","",""
"0 Completely dissatisfied","1985","Rural Area","Male","22","","",""
"0 Completely dissatisfied","1985","Urban Area","Female","94","0.0231130842100242","0.0186967124568715","0.0275294559631769"
"0 Completely dissatisfied","1985","Urban Area","Male","87","0.0233779695210914","0.0188669354383585","0.0278890036038244"
"1 on Scale 1 to 10","1985","Rural Area","Female","19","","",""
"1 on Scale 1 to 10","1985","Rural Area","Male","13","","",""
"1 on Scale 1 to 10","1985","Urban Area","Female","52","0.013524215501307","0.0101294187184427","0.0169190122841713"
"1 on Scale 1 to 10","1985","Urban Area","Male","49","0.014289388373179","0.0107462265164022","0.0178325502299558"
"10 Completely satisfied","1985","Rural Area","Female","198","0.152740998965103","0.132021477521606","0.173460520408599"
"10 Completely satisfied","1985","Rural Area","Male","203","0.15636683127604","0.135067270621716","0.177666391930364"
"10 Completely satisfied","1985","Urban Area","Female","736","0.153305295154414","0.142716256687515","0.163894333621314"
"10 Completely satisfied","1985","Urban Area","Male","797","0.165721020837831","0.154620230340046","0.176821811335617"
"2 on Scale 1 to 10","1985","Rural Area","Female","27","","",""
"2 on Scale 1 to 10","1985","Rural Area","Male","27","","",""
"2 on Scale 1 to 10","1985","Urban Area","Female","139","0.0353121852297624","0.0298875540024282","0.0407368164570967"
"2 on Scale 1 to 10","1985","Urban Area","Male","111","0.0271581642141088","0.0223054939729029","0.0320108344553148"
"3 on Scale 1 to 10","1985","Rural Area","Female","47","0.0487917914490469","0.0363836999303147","0.0611998829677791"
"3 on Scale 1 to 10","1985","Rural Area","Male","48","0.0484293947549335","0.0358402411040565","0.0610185484058106"
"3 on Scale 1 to 10","1985","Urban Area","Female","185","0.0440937060032919","0.0380596340040816","0.0501277780025021"
"3 on Scale 1 to 10","1985","Urban Area","Male","141","0.034713803815162","0.029248823447127","0.040178784183197"
"4 on Scale 1 to 10","1985","Rural Area","Female","61","0.0509966338198798","0.03832599699968","0.0636672706400796"
"4 on Scale 1 to 10","1985","Rural Area","Male","35","0.036219194986543","0.0252624882556356","0.0471759017174503"
"4 on Scale 1 to 10","1985","Urban Area","Female","239","0.0576208358764802","0.050771993976045","0.0644696777769154"
"4 on Scale 1 to 10","1985","Urban Area","Male","183","0.0477993530754153","0.0414301557881889","0.0541685503626418"
"5 on Scale 1 to 10","1985","Rural Area","Female","200","0.174899885422657","0.15302015849063","0.196779612354683"
"5 on Scale 1 to 10","1985","Rural Area","Male","153","0.14541264040133","0.124739768332811","0.166085512469848"
"5 on Scale 1 to 10","1985","Urban Area","Female","753","0.179604760427845","0.168322788523468","0.190886732332223"
"5 on Scale 1 to 10","1985","Urban Area","Male","550","0.132941339308465","0.122805406542759","0.143077272074171"
"6 on Scale 1 to 10","1985","Rural Area","Female","96","0.0839962225207048","0.0680200654621953","0.0999723795792142"
"6 on Scale 1 to 10","1985","Rural Area","Male","105","0.103532213810987","0.0856662438757215","0.121398183746252"
"6 on Scale 1 to 10","1985","Urban Area","Female","354","0.0818653499851704","0.073807525996955","0.0899231739733858"
"6 on Scale 1 to 10","1985","Urban Area","Male","315","0.0789145774773454","0.0708656497419408","0.08696350521275"
"7 on Scale 1 to 10","1985","Rural Area","Female","143","0.127328506910291","0.108129355691863","0.146527658128719"
"7 on Scale 1 to 10","1985","Rural Area","Male","146","0.137093820780255","0.116923526519854","0.157264115040656"
"7 on Scale 1 to 10","1985","Urban Area","Female","575","0.131004332470262","0.121087655623448","0.140921009317077"
"7 on Scale 1 to 10","1985","Urban Area","Male","601","0.144026326792613","0.133543929833306","0.15450872375192"
"8 on Scale 1 to 10","1985","Rural Area","Female","207","0.175048190259596","0.153161156201853","0.196935224317339"
"8 on Scale 1 to 10","1985","Rural Area","Male","237","0.21328990678134","0.189267638232885","0.237312175329795"
"8 on Scale 1 to 10","1985","Urban Area","Female","872","0.181097519193645","0.16977907144648","0.192415966940809"
"8 on Scale 1 to 10","1985","Urban Area","Male","939","0.214242325196968","0.201993162352752","0.226491488041185"
"9 on Scale 1 to 10","1985","Rural Area","Female","133","0.110501361997911","0.0924441677248351","0.128558556270987"
"9 on Scale 1 to 10","1985","Rural Area","Male","128","0.106247616552055","0.0881763035083214","0.124318929595789"
"9 on Scale 1 to 10","1985","Urban Area","Female","448","0.099458715947797","0.0906626644382152","0.108254767457379"
"9 on Scale 1 to 10","1985","Urban Area","Male","537","0.11681573138782","0.107226456142851","0.126405006632789"
"0 Completely dissatisfied","1986","Rural Area","Female","33","0.0322291252244653","0.021848913061103","0.0426093373878276"
"0 Completely dissatisfied","1986","Rural Area","Male","20","","",""
"0 Completely dissatisfied","1986","Urban Area","Female","103","0.029497206785862","0.0244098339504383","0.0345845796212858"
"0 Completely dissatisfied","1986","Urban Area","Male","70","0.0197698754381209","0.015553273542456","0.0239864773337858"
"1 on Scale 1 to 10","1986","Rural Area","Female","11","","",""
"1 on Scale 1 to 10","1986","Rural Area","Male","10","","",""
"1 on Scale 1 to 10","1986","Urban Area","Female","61","0.0174543764608145","0.0135167613987938","0.0213919915228352"
"1 on Scale 1 to 10","1986","Urban Area","Male","49","0.0132491936014541","0.00978585400146511","0.016712533201443"
"10 Completely satisfied","1986","Rural Area","Female","164","0.133687508499877","0.113685279252206","0.153689737747548"
"10 Completely satisfied","1986","Rural Area","Male","184","0.148910982286444","0.127560223102588","0.1702617414703"
"10 Completely satisfied","1986","Urban Area","Female","601","0.125550266368818","0.115587476519465","0.135513056218171"
"10 Completely satisfied","1986","Urban Area","Male","710","0.144692374775037","0.134036708636481","0.155348040913594"
"2 on Scale 1 to 10","1986","Rural Area","Female","29","","",""
"2 on Scale 1 to 10","1986","Rural Area","Male","22","","",""
"2 on Scale 1 to 10","1986","Urban Area","Female","112","0.0269642763657256","0.0220938890143949","0.0318346637170564"
"2 on Scale 1 to 10","1986","Urban Area","Male","86","0.0232007079817705","0.0186408648994604","0.0277605510640805"
"3 on Scale 1 to 10","1986","Rural Area","Female","55","0.057067518334648","0.0434332923180959","0.0707017443512002"
"3 on Scale 1 to 10","1986","Rural Area","Male","42","0.0414277610987906","0.0294763105214672","0.0533792116761141"
"3 on Scale 1 to 10","1986","Urban Area","Female","204","0.0488535963361432","0.0423720790986501","0.0553351135736364"
"3 on Scale 1 to 10","1986","Urban Area","Male","139","0.0350539299993504","0.0294831438267715","0.0406247161719293"
"4 on Scale 1 to 10","1986","Rural Area","Female","57","0.0536736842478983","0.0404273149235993","0.0669200535721973"
"4 on Scale 1 to 10","1986","Rural Area","Male","49","0.0519671924133061","0.0386553313821585","0.0652790534444537"
"4 on Scale 1 to 10","1986","Urban Area","Female","241","0.0624241375907708","0.0551499548006666","0.069698320380875"
"4 on Scale 1 to 10","1986","Urban Area","Male","192","0.0485200929334487","0.0420119477390562","0.0550282381278412"
"5 on Scale 1 to 10","1986","Rural Area","Female","170","0.166590555254561","0.144690253734259","0.188490856774863"
"5 on Scale 1 to 10","1986","Rural Area","Male","131","0.13440961987918","0.113953001109766","0.154866238648593"
"5 on Scale 1 to 10","1986","Urban Area","Female","699","0.177686831169212","0.166193366391005","0.189180295947419"
"5 on Scale 1 to 10","1986","Urban Area","Male","545","0.136179182353504","0.125790420167084","0.146567944539923"
"6 on Scale 1 to 10","1986","Rural Area","Female","95","0.0891854979240028","0.0724338403643459","0.10593715548366"
"6 on Scale 1 to 10","1986","Rural Area","Male","83","0.0838069281399863","0.067188271017641","0.100425585262332"
"6 on Scale 1 to 10","1986","Urban Area","Female","385","0.0933911843123512","0.0846419985862715","0.102140370038431"
"6 on Scale 1 to 10","1986","Urban Area","Male","337","0.0842402477141238","0.075827319089596","0.0926531763386517"
"7 on Scale 1 to 10","1986","Rural Area","Female","132","0.119929003671125","0.10083413549301","0.13902387184924"
"7 on Scale 1 to 10","1986","Rural Area","Male","151","0.143151474948555","0.122146972187022","0.164155977710088"
"7 on Scale 1 to 10","1986","Urban Area","Female","537","0.125692437033341","0.115724818327367","0.135660055739314"
"7 on Scale 1 to 10","1986","Urban Area","Male","590","0.14552578430367","0.134844682217185","0.156206886390156"
"8 on Scale 1 to 10","1986","Rural Area","Female","246","0.20755850122448","0.183721612684172","0.231395389764787"
"8 on Scale 1 to 10","1986","Rural Area","Male","240","0.229299015694529","0.204087061076114","0.254510970312944"
"8 on Scale 1 to 10","1986","Urban Area","Female","800","0.182502310804963","0.170888301324187","0.194116320285739"
"8 on Scale 1 to 10","1986","Urban Area","Male","919","0.220344822650405","0.207790325587099","0.232899319713712"
"9 on Scale 1 to 10","1986","Rural Area","Female","120","0.102891514817228","0.0850345369564837","0.120748492677972"
"9 on Scale 1 to 10","1986","Rural Area","Male","136","0.114882929728159","0.0957584083896688","0.134007451066649"
"9 on Scale 1 to 10","1986","Urban Area","Female","506","0.109983376771999","0.100576026617952","0.119390726926046"
"9 on Scale 1 to 10","1986","Urban Area","Male","550","0.129223788249115","0.119063146875693","0.139384429622537"
"0 Completely dissatisfied","1987","Rural Area","Female","29","","",""
"0 Completely dissatisfied","1987","Rural Area","Male","14","","",""
"0 Completely dissatisfied","1987","Urban Area","Female","83","0.0245845247409227","0.0198962291032269","0.0292728203786185"
"0 Completely dissatisfied","1987","Urban Area","Male","58","0.0173053039666743","0.0133372707807681","0.0212733371525804"
"1 on Scale 1 to 10","1987","Rural Area","Female","16","","",""
"1 on Scale 1 to 10","1987","Rural Area","Male","12","","",""
"1 on Scale 1 to 10","1987","Urban Area","Female","67","0.0190804000148175","0.0149384991073607","0.0232223009222742"
"1 on Scale 1 to 10","1987","Urban Area","Male","46","0.0127560826630984","0.00934142421826765","0.0161707411079292"
"10 Completely satisfied","1987","Rural Area","Female","156","0.130691943551778","0.110836228068424","0.150547659035131"
"10 Completely satisfied","1987","Rural Area","Male","167","0.128743574071797","0.108466596184103","0.149020551959492"
"10 Completely satisfied","1987","Urban Area","Female","526","0.11209706428783","0.102545618257956","0.121648510317703"
"10 Completely satisfied","1987","Urban Area","Male","626","0.120421176783352","0.110518213030737","0.130324140535967"
"2 on Scale 1 to 10","1987","Rural Area","Female","30","0.0283276153592791","0.0185543606145579","0.0381008701040003"
"2 on Scale 1 to 10","1987","Rural Area","Male","22","","",""
"2 on Scale 1 to 10","1987","Urban Area","Female","143","0.0392231473614812","0.0333459300916873","0.0451003646312752"
"2 on Scale 1 to 10","1987","Urban Area","Male","110","0.0271683711739186","0.0222215408359662","0.0321152015118709"
"3 on Scale 1 to 10","1987","Rural Area","Female","45","0.04589276280273","0.0335661152856871","0.0582194103197729"
"3 on Scale 1 to 10","1987","Rural Area","Male","36","0.0339967712388198","0.023025029528736","0.0449685129489036"
"3 on Scale 1 to 10","1987","Urban Area","Female","197","0.0464532648414143","0.0400813733179543","0.0528251563648743"
"3 on Scale 1 to 10","1987","Urban Area","Male","146","0.04084572937509","0.0348229918906064","0.0468684668595735"
