"m11125","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"6 on Scale 1 to 10","1985","no migration background","Female","333","0.0812118356455391","0.0729130525689508","0.0895106187221274","6"
"6 on Scale 1 to 10","1985","no migration background","Male","321","0.0880505777543825","0.0790421160332328","0.0970590394755322","6"
"6 on Scale 1 to 10","1985","direct migration background","Male","96","0.0574191629509391","0.0458747056042856","0.0689636202975926","6"
"6 on Scale 1 to 10","1985","direct migration background","Female","116","0.0999074090562063","0.083999093137225","0.115815724975188","6"
"6 on Scale 1 to 10","1985","indirect migration background","Male","3","","","","6"
"6 on Scale 1 to 10","1985","indirect migration background","Female","1","","","","6"
"7 on Scale 1 to 10","1985","no migration background","Male","551","0.143990128001469","0.132829081907527","0.155151174095411","7"
"7 on Scale 1 to 10","1985","direct migration background","Male","189","0.129522086481811","0.11285972369933","0.146184449264292","7"
"7 on Scale 1 to 10","1985","no migration background","Female","543","0.129768275656465","0.119558909599442","0.139977641713487","7"
"7 on Scale 1 to 10","1985","direct migration background","Female","166","0.133367981997952","0.115332617648252","0.151403346347652","7"
"7 on Scale 1 to 10","1985","indirect migration background","Male","7","","","","7"
"7 on Scale 1 to 10","1985","indirect migration background","Female","9","","","","7"
"8 on Scale 1 to 10","1985","no migration background","Female","787","0.179363171184872","0.167707448885677","0.191018893484067","8"
"8 on Scale 1 to 10","1985","indirect migration background","Male","12","","","","8"
"8 on Scale 1 to 10","1985","direct migration background","Male","318","0.199475318475849","0.179645545659616","0.219305091292083","8"
"8 on Scale 1 to 10","1985","direct migration background","Female","280","0.184099170315294","0.163539016076306","0.204659324554283","8"
"8 on Scale 1 to 10","1985","no migration background","Male","846","0.216040270883093","0.202957088672789","0.229123453093396","8"
"8 on Scale 1 to 10","1985","indirect migration background","Female","12","","","","8"
"9 on Scale 1 to 10","1985","direct migration background","Male","191","0.118795195047646","0.102739701602595","0.134850688492697","9"
"9 on Scale 1 to 10","1985","direct migration background","Female","119","0.0900366801077054","0.0748520769928251","0.105221283222586","9"
"9 on Scale 1 to 10","1985","indirect migration background","Male","11","","","","9"
"9 on Scale 1 to 10","1985","no migration background","Male","463","0.113087509965704","0.103019425219466","0.123155594711942","9"
"9 on Scale 1 to 10","1985","no migration background","Female","456","0.103689990163873","0.0944282073433237","0.112951772984422","9"
"9 on Scale 1 to 10","1985","indirect migration background","Female","6","","","","9"
"0 Completely dissatisfied","1986","no migration background","Male","63","0.0197384730752063","0.0152239906663494","0.0242529554840632","0"
"0 Completely dissatisfied","1986","no migration background","Female","102","0.0290555724765166","0.0238281976607463","0.0342829472922869","0"
"0 Completely dissatisfied","1986","direct migration background","Male","27","","","","0"
"0 Completely dissatisfied","1986","direct migration background","Female","32","0.0315292419086014","0.0220774152477024","0.0409810685695004","0"
"0 Completely dissatisfied","1986","indirect migration background","Male","","","","","0"
"0 Completely dissatisfied","1986","indirect migration background","Female","2","","","","0"
"1 on Scale 1 to 10","1986","direct migration background","Female","19","","","","1"
"1 on Scale 1 to 10","1986","direct migration background","Male","21","","","","1"
"1 on Scale 1 to 10","1986","no migration background","Male","38","0.0123448873276196","0.00876123035197375","0.0159285443032655","1"
"1 on Scale 1 to 10","1986","no migration background","Female","52","0.014942609376393","0.0111667507554798","0.0187184679973062","1"
"1 on Scale 1 to 10","1986","indirect migration background","Female","1","","","","1"
"1 on Scale 1 to 10","1986","indirect migration background","Male","","","","","1"
"10 Completely satisfied","1986","no migration background","Female","529","0.125816523577309","0.11549504600356","0.136138001151059","10"
"10 Completely satisfied","1986","no migration background","Male","545","0.142337344871412","0.130997740840999","0.153676948901826","10"
"10 Completely satisfied","1986","direct migration background","Female","215","0.140146032274737","0.121369366270844","0.15892269827863","10"
"10 Completely satisfied","1986","direct migration background","Male","322","0.166184803194765","0.147562883144888","0.184806723244642","10"
"10 Completely satisfied","1986","indirect migration background","Male","27","","","","10"
"10 Completely satisfied","1986","indirect migration background","Female","21","","","","10"
"2 on Scale 1 to 10","1986","indirect migration background","Male","1","","","","2"
"2 on Scale 1 to 10","1986","direct migration background","Female","44","0.0360942210593325","0.0260051342949028","0.0461833078237622","2"
"2 on Scale 1 to 10","1986","direct migration background","Male","29","","","","2"
"2 on Scale 1 to 10","1986","no migration background","Male","78","0.0242802910592952","0.0192848976972765","0.0292756844213139","2"
"2 on Scale 1 to 10","1986","no migration background","Female","95","0.0260417074293984","0.0210851899323056","0.0309982249264912","2"
"2 on Scale 1 to 10","1986","indirect migration background","Female","2","","","","2"
"3 on Scale 1 to 10","1986","no migration background","Male","128","0.036620059134626","0.030524149370143","0.042715968899109","3"
"3 on Scale 1 to 10","1986","no migration background","Female","182","0.0499972385005418","0.0432144671244329","0.0567800098766507","3"
"3 on Scale 1 to 10","1986","direct migration background","Female","75","0.0595087139104728","0.0467124438172372","0.0723049840037085","3"
"3 on Scale 1 to 10","1986","indirect migration background","Male","2","","","","3"
"3 on Scale 1 to 10","1986","direct migration background","Male","51","0.0347781393975913","0.0256125447232614","0.0439437340719211","3"
"3 on Scale 1 to 10","1986","indirect migration background","Female","2","","","","3"
"4 on Scale 1 to 10","1986","direct migration background","Female","67","0.0517329521923916","0.0397527350755367","0.0637131693092466","4"
"4 on Scale 1 to 10","1986","no migration background","Male","176","0.0508719863013411","0.0437404687921967","0.0580035038104855","4"
"4 on Scale 1 to 10","1986","direct migration background","Male","65","0.0391222453115096","0.0294229572742783","0.0488215333487409","4"
"4 on Scale 1 to 10","1986","no migration background","Female","227","0.0614092312391999","0.0539374059971142","0.0688810564812855","4"
"4 on Scale 1 to 10","1986","indirect migration background","Male","","","","","4"
"4 on Scale 1 to 10","1986","indirect migration background","Female","4","","","","4"
"5 on Scale 1 to 10","1986","no migration background","Male","481","0.138277174209895","0.12707404729917","0.149480301120621","5"
"5 on Scale 1 to 10","1986","no migration background","Female","644","0.175171708940717","0.163341688533626","0.187001729347808","5"
"5 on Scale 1 to 10","1986","direct migration background","Male","194","0.121260490632159","0.104930586379833","0.137590394884485","5"
"5 on Scale 1 to 10","1986","direct migration background","Female","216","0.175469865999145","0.154895793476121","0.196043938522168","5"
"5 on Scale 1 to 10","1986","indirect migration background","Male","1","","","","5"
"5 on Scale 1 to 10","1986","indirect migration background","Female","9","","","","5"
"6 on Scale 1 to 10","1986","direct migration background","Male","119","0.0851593905632043","0.0711962570474743","0.0991225240789343","6"
"6 on Scale 1 to 10","1986","no migration background","Female","372","0.095798156083618","0.0866384190607224","0.104957893106513","6"
"6 on Scale 1 to 10","1986","indirect migration background","Female","5","","","","6"
"6 on Scale 1 to 10","1986","no migration background","Male","298","0.0840447882892332","0.0750400162648285","0.0930495603136379","6"
"6 on Scale 1 to 10","1986","direct migration background","Female","103","0.0610704479825524","0.0481181214370858","0.074022774528019","6"
"6 on Scale 1 to 10","1986","indirect migration background","Male","3","","","","6"
"7 on Scale 1 to 10","1986","no migration background","Male","538","0.1445146365275","0.133103144830152","0.155926128224847","7"
"7 on Scale 1 to 10","1986","direct migration background","Male","194","0.146366671063136","0.128683885496332","0.16404945662994","7"
"7 on Scale 1 to 10","1986","no migration background","Female","519","0.12443512022659","0.114162354394534","0.134707886058645","7"
"7 on Scale 1 to 10","1986","direct migration background","Female","146","0.13086960444912","0.112627388518415","0.149111820379825","7"
"7 on Scale 1 to 10","1986","indirect migration background","Male","9","","","","7"
"7 on Scale 1 to 10","1986","indirect migration background","Female","4","","","","7"
"8 on Scale 1 to 10","1986","direct migration background","Female","239","0.172552010165532","0.152113647925953","0.19299037240511","8"
"8 on Scale 1 to 10","1986","direct migration background","Male","319","0.230163261811422","0.209105547988747","0.251220975634098","8"
"8 on Scale 1 to 10","1986","no migration background","Male","821","0.221162977173223","0.207693221532322","0.234632732814124","8"
"8 on Scale 1 to 10","1986","no migration background","Female","792","0.190027583350996","0.177817597141726","0.202237569560266","8"
"8 on Scale 1 to 10","1986","indirect migration background","Male","19","","","","8"
"8 on Scale 1 to 10","1986","indirect migration background","Female","15","","","","8"
"9 on Scale 1 to 10","1986","direct migration background","Female","157","0.118592759791647","0.101105042546414","0.13608047703688","9"
"9 on Scale 1 to 10","1986","direct migration background","Male","194","0.128983101886798","0.112215397843426","0.145750805930171","9"
"9 on Scale 1 to 10","1986","no migration background","Male","481","0.125807382030648","0.115044295314934","0.136570468746362","9"
"9 on Scale 1 to 10","1986","no migration background","Female","452","0.107304548798721","0.0976721941703567","0.116936903427085","9"
"9 on Scale 1 to 10","1986","indirect migration background","Male","11","","","","9"
"9 on Scale 1 to 10","1986","indirect migration background","Female","17","","","","9"
"0 Completely dissatisfied","1987","no migration background","Female","90","0.0264481540021225","0.021404303709625","0.03149200429462","0"
"0 Completely dissatisfied","1987","no migration background","Male","50","0.0162679185338364","0.0121338060982844","0.0204020309693883","0"
"0 Completely dissatisfied","1987","direct migration background","Male","21","","","","0"
"0 Completely dissatisfied","1987","direct migration background","Female","20","","","","0"
"0 Completely dissatisfied","1987","indirect migration background","Male","1","","","","0"
"0 Completely dissatisfied","1987","indirect migration background","Female","2","","","","0"
"1 on Scale 1 to 10","1987","direct migration background","Male","14","","","","1"
"1 on Scale 1 to 10","1987","no migration background","Male","44","0.0146228683573514","0.0107000753110576","0.0185456614036452","1"
"1 on Scale 1 to 10","1987","direct migration background","Female","23","","","","1"
"1 on Scale 1 to 10","1987","no migration background","Female","60","0.0187966314400616","0.0145278443829553","0.0230654184971679","1"
"1 on Scale 1 to 10","1987","indirect migration background","Male","","","","","1"
"1 on Scale 1 to 10","1987","indirect migration background","Female","","","","","1"
"10 Completely satisfied","1987","no migration background","Female","459","0.112335743364312","0.102409879579726","0.122261607148897","10"
"10 Completely satisfied","1987","no migration background","Male","453","0.116466137833934","0.105983047974592","0.126949227693276","10"
"10 Completely satisfied","1987","direct migration background","Male","309","0.163368363338076","0.144764359463668","0.181972367212483","10"
"10 Completely satisfied","1987","direct migration background","Female","200","0.143528558294978","0.124585689516489","0.162471427073468","10"
"10 Completely satisfied","1987","indirect migration background","Male","31","0.21286418225304","0.124802864969881","0.300925499536199","10"
"10 Completely satisfied","1987","indirect migration background","Female","23","","","","10"
"2 on Scale 1 to 10","1987","direct migration background","Female","40","0.0232692456289866","0.0151241023233949","0.0314143889345783","2"
"2 on Scale 1 to 10","1987","indirect migration background","Male","2","","","","2"
"2 on Scale 1 to 10","1987","no migration background","Male","86","0.0259167598003995","0.0207243822987961","0.031109137302003","2"
"2 on Scale 1 to 10","1987","direct migration background","Male","44","0.0240334640092926","0.0163265422559238","0.0317403857626614","2"
"2 on Scale 1 to 10","1987","no migration background","Female","133","0.0384505711711551","0.0324066030115578","0.0444945393307525","2"
"2 on Scale 1 to 10","1987","indirect migration background","Female","","","","","2"
"3 on Scale 1 to 10","1987","no migration background","Male","129","0.0390945607869096","0.0327605854623453","0.0454285361114739","3"
"3 on Scale 1 to 10","1987","no migration background","Female","173","0.0451314642367091","0.0386062245887155","0.0516567038847026","3"
"3 on Scale 1 to 10","1987","direct migration background","Female","67","0.057398632435903","0.0448315358848996","0.0699657289869065","3"
"3 on Scale 1 to 10","1987","indirect migration background","Male","5","","","","3"
"3 on Scale 1 to 10","1987","direct migration background","Male","48","0.035186232586159","0.0259144459035962","0.0444580192687218","3"
"3 on Scale 1 to 10","1987","indirect migration background","Female","2","","","","3"
"4 on Scale 1 to 10","1987","direct migration background","Female","62","0.0624078586928595","0.049338726030891","0.075476991354828","4"
"4 on Scale 1 to 10","1987","no migration background","Male","169","0.0479035010332537","0.0409243598528046","0.0548826422137028","4"
"4 on Scale 1 to 10","1987","no migration background","Female","175","0.049185380395208","0.0423878539548242","0.0559829068355917","4"
"4 on Scale 1 to 10","1987","direct migration background","Male","57","0.0448087599863874","0.0343980121126786","0.0552195078600962","4"
"4 on Scale 1 to 10","1987","indirect migration background","Male","2","","","","4"
"4 on Scale 1 to 10","1987","indirect migration background","Female","3","","","","4"
"5 on Scale 1 to 10","1987","no migration background","Male","468","0.13935812790923","0.128040503955859","0.150675751862602","5"
"5 on Scale 1 to 10","1987","no migration background","Female","637","0.176464639928777","0.164481933052671","0.188447346804882","5"
"5 on Scale 1 to 10","1987","direct migration background","Male","183","0.132238577957626","0.115192104161145","0.149285051754107","5"
"5 on Scale 1 to 10","1987","direct migration background","Female","192","0.148152877814758","0.128959296249822","0.167346459379693","5"
"5 on Scale 1 to 10","1987","indirect migration background","Male","6","","","","5"
"5 on Scale 1 to 10","1987","indirect migration background","Female","8","","","","5"
"6 on Scale 1 to 10","1987","no migration background","Male","309","0.0912342655213248","0.0818244126320859","0.100644118410564","6"
"6 on Scale 1 to 10","1987","no migration background","Female","369","0.0968851862636091","0.0875872806073167","0.106183091919901","6"
"6 on Scale 1 to 10","1987","direct migration background","Male","117","0.0980417432618643","0.0830775250595722","0.113005961464156","6"
"6 on Scale 1 to 10","1987","direct migration background","Female","134","0.104097676320212","0.0875981682684481","0.120597184371975","6"
"6 on Scale 1 to 10","1987","indirect migration background","Male","1","","","","6"
"6 on Scale 1 to 10","1987","indirect migration background","Female","5","","","","6"
"7 on Scale 1 to 10","1987","no migration background","Male","586","0.162008292410205","0.149967187094599","0.174049397725811","7"
"7 on Scale 1 to 10","1987","direct migration background","Male","221","0.158085203965396","0.139726797397476","0.176443610533315","7"
"7 on Scale 1 to 10","1987","no migration background","Female","552","0.139679424402945","0.12878306709191","0.150575781713979","7"
"7 on Scale 1 to 10","1987","direct migration background","Female","196","0.144606101884418","0.125604223688498","0.163607980080339","7"
"7 on Scale 1 to 10","1987","indirect migration background","Male","10","","","","7"
"7 on Scale 1 to 10","1987","indirect migration background","Female","4","","","","7"
"8 on Scale 1 to 10","1987","no migration background","Male","842","0.22609127001085","0.21242139191534","0.239761148106359","8"
"8 on Scale 1 to 10","1987","direct migration background","Male","327","0.217825827110972","0.197054620660626","0.238597033561318","8"
"8 on Scale 1 to 10","1987","direct migration background","Female","250","0.200506373847118","0.178874619584975","0.22213812810926","8"
"8 on Scale 1 to 10","1987","no migration background","Female","828","0.202571582649204","0.189938187578353","0.215204977720056","8"
"8 on Scale 1 to 10","1987","indirect migration background","Male","13","","","","8"
"8 on Scale 1 to 10","1987","indirect migration background","Female","22","","","","8"
"9 on Scale 1 to 10","1987","no migration background","Male","461","0.121036297802706","0.110377182549386","0.131695413056026","9"
"9 on Scale 1 to 10","1987","direct migration background","Female","132","0.0847378489110109","0.0696914831234087","0.0997842146986131","9"
"9 on Scale 1 to 10","1987","direct migration background","Male","176","0.105063409798856","0.0896330099936225","0.12049380960409","9"
"9 on Scale 1 to 10","1987","no migration background","Female","412","0.0940512221458973","0.0848759489085911","0.103226495383203","9"
"9 on Scale 1 to 10","1987","indirect migration background","Male","12","","","","9"
"9 on Scale 1 to 10","1987","indirect migration background","Female","25","","","","9"
"0 Completely dissatisfied","1988","no migration background","Male","63","0.0218049375831262","0.0169080993347767","0.0267017758314757","0"
"0 Completely dissatisfied","1988","no migration background","Female","87","0.0284203873708291","0.0230501136552792","0.033790661086379","0"
"0 Completely dissatisfied","1988","direct migration background","Male","19","","","","0"
"0 Completely dissatisfied","1988","direct migration background","Female","18","","","","0"
"0 Completely dissatisfied","1988","indirect migration background","Male","","","","","0"
"0 Completely dissatisfied","1988","indirect migration background","Female","2","","","","0"
"1 on Scale 1 to 10","1988","no migration background","Male","43","0.0146975538072095","0.0106626525456855","0.0187324550687335","1"
"1 on Scale 1 to 10","1988","no migration background","Female","53","0.0188066681103965","0.0144165575984368","0.0231967786223561","1"
"1 on Scale 1 to 10","1988","direct migration background","Male","18","","","","1"
"1 on Scale 1 to 10","1988","indirect migration background","Female","","","","","1"
"1 on Scale 1 to 10","1988","direct migration background","Female","24","","","","1"
"1 on Scale 1 to 10","1988","indirect migration background","Male","","","","","1"
"10 Completely satisfied","1988","no migration background","Male","370","0.0987808046000932","0.0887767259376355","0.108784883262551","10"
"10 Completely satisfied","1988","no migration background","Female","386","0.0987150144607128","0.089075283716196","0.10835474520523","10"
"10 Completely satisfied","1988","direct migration background","Male","247","0.126531199950251","0.109233856647293","0.14382854325321","10"
"10 Completely satisfied","1988","direct migration background","Female","167","0.110007486127572","0.092764712552767","0.127250259702378","10"
"10 Completely satisfied","1988","indirect migration background","Male","37","0.205356785085112","0.128455114121773","0.282258456048451","10"
"10 Completely satisfied","1988","indirect migration background","Female","29","","","","10"
"2 on Scale 1 to 10","1988","direct migration background","Female","48","0.0423854561861697","0.0312833180719781","0.0534875943003613","2"
"2 on Scale 1 to 10","1988","indirect migration background","Male","","","","","2"
"2 on Scale 1 to 10","1988","no migration background","Male","92","0.0329582458661457","0.0269723348120293","0.0389441569202621","2"
"2 on Scale 1 to 10","1988","no migration background","Female","105","0.0345329762852976","0.0286319444702531","0.040434008100342","2"
"2 on Scale 1 to 10","1988","direct migration background","Male","35","0.0177190747470199","0.0108547903490683","0.0245833591449715","2"
"2 on Scale 1 to 10","1988","indirect migration background","Female","","","","","2"
"3 on Scale 1 to 10","1988","no migration background","Male","147","0.0456961645180156","0.0386943788737784","0.0526979501622529","3"
"3 on Scale 1 to 10","1988","no migration background","Female","162","0.0484969927365996","0.0415546713371012","0.055439314136098","3"
"3 on Scale 1 to 10","1988","direct migration background","Male","63","0.0486287537410042","0.0374375069289041","0.0598200005531044","3"
"3 on Scale 1 to 10","1988","direct migration background","Female","74","0.0585505388476789","0.0456125497151904","0.0714885279801673","3"
"3 on Scale 1 to 10","1988","indirect migration background","Male","3","","","","3"
