"m11125","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"0 Completely dissatisfied","1984","1-pers.-HH","Male","20","","",""
"0 Completely dissatisfied","1984","1-pers.-HH","Female","43","0.0561080114438516","0.0400908672326531","0.07212515565505"
"0 Completely dissatisfied","1984","(Married) couple without C. ","Male","53","0.0418444834846124","0.0311712292803735","0.0525177376888513"
"0 Completely dissatisfied","1984","(Married) couple without C. ","Female","53","0.0441863500328213","0.0332319039100855","0.0551407961555571"
"0 Completely dissatisfied","1984","Single parent ","Male","7","","",""
"0 Completely dissatisfied","1984","Single parent ","Female","13","","",""
"0 Completely dissatisfied","1984","Couple + C. LE 16 ","Male","31","0.0214524361412179","0.0142114252241454","0.0286934470582905"
"0 Completely dissatisfied","1984","Couple + C. LE 16 ","Female","26","","",""
"0 Completely dissatisfied","1984","Couple + C. GT 16 ","Male","32","0.0309987670450486","0.0206671186224867","0.0413304154676106"
"0 Completely dissatisfied","1984","Couple + C. GT 16 ","Female","19","","",""
"0 Completely dissatisfied","1984","Couple + C. LE and GT 16","Male","17","","",""
"0 Completely dissatisfied","1984","Couple + C. LE and GT 16","Female","11","","",""
"1 on Scale 1 to 10","1984","1-pers.-HH","Male","5","","",""
"1 on Scale 1 to 10","1984","1-pers.-HH","Female","26","","",""
"1 on Scale 1 to 10","1984","(Married) couple without C. ","Male","28","","",""
"1 on Scale 1 to 10","1984","(Married) couple without C. ","Female","19","","",""
"1 on Scale 1 to 10","1984","Single parent ","Male","3","","",""
"1 on Scale 1 to 10","1984","Single parent ","Female","10","","",""
"1 on Scale 1 to 10","1984","Couple + C. LE 16 ","Male","11","","",""
"1 on Scale 1 to 10","1984","Couple + C. LE 16 ","Female","7","","",""
"1 on Scale 1 to 10","1984","Couple + C. GT 16 ","Male","19","","",""
"1 on Scale 1 to 10","1984","Couple + C. GT 16 ","Female","14","","",""
"1 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Male","7","","",""
"1 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Female","8","","",""
"2 on Scale 1 to 10","1984","1-pers.-HH","Male","15","","",""
"2 on Scale 1 to 10","1984","1-pers.-HH","Female","36","0.050998699640642","0.0356869629387111","0.0663104363425728"
"2 on Scale 1 to 10","1984","(Married) couple without C. ","Male","50","0.0364204043444381","0.0264347638997863","0.0464060447890899"
"2 on Scale 1 to 10","1984","(Married) couple without C. ","Female","55","0.0399597695808197","0.0295193981610109","0.0504001410006285"
"2 on Scale 1 to 10","1984","Single parent ","Male","1","","",""
"2 on Scale 1 to 10","1984","Single parent ","Female","5","","",""
"2 on Scale 1 to 10","1984","Couple + C. LE 16 ","Male","36","0.0234571103707981","0.015893087383003","0.0310211333585932"
"2 on Scale 1 to 10","1984","Couple + C. LE 16 ","Female","32","0.0181875616133492","0.0115048305050629","0.0248702927216355"
"2 on Scale 1 to 10","1984","Couple + C. GT 16 ","Male","26","","",""
"2 on Scale 1 to 10","1984","Couple + C. GT 16 ","Female","26","","",""
"2 on Scale 1 to 10","1984","Couple + C. LE and GT 16","Male","25","","",""
