"m11125","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence"
"0 Completely dissatisfied","1984","in school","Male","1","","",""
"0 Completely dissatisfied","1984","in school","Female","","","",""
"0 Completely dissatisfied","1984","inadequately","Male","14","","",""
"0 Completely dissatisfied","1984","inadequately","Female","24","","",""
"0 Completely dissatisfied","1984","general elemantary","Male","33","0.0355375448009748","0.0248467935514977","0.046228296050452"
"0 Completely dissatisfied","1984","general elemantary","Female","88","0.0463777125456148","0.037801708848411","0.0549537162428185"
"0 Completely dissatisfied","1984","middle vocational","Male","103","0.03568293807426","0.0292234852145309","0.0421423909339892"
"0 Completely dissatisfied","1984","middle vocational","Female","70","0.0322051811290671","0.0253489075583212","0.039061454699813"
"0 Completely dissatisfied","1984","vocational + Abi","Male","4","","",""
"0 Completely dissatisfied","1984","vocational + Abi","Female","2","","",""
"0 Completely dissatisfied","1984","higher vocational","Male","9","","",""
"0 Completely dissatisfied","1984","higher vocational","Female","11","","",""
"0 Completely dissatisfied","1984","higher education","Male","7","","",""
"0 Completely dissatisfied","1984","higher education","Female","3","","",""
"1 on Scale 1 to 10","1984","in school","Male","1","","",""
"1 on Scale 1 to 10","1984","in school","Female","","","",""
"1 on Scale 1 to 10","1984","inadequately","Male","8","","",""
"1 on Scale 1 to 10","1984","inadequately","Female","16","","",""
"1 on Scale 1 to 10","1984","general elemantary","Male","18","","",""
"1 on Scale 1 to 10","1984","general elemantary","Female","48","0.0273388502369558","0.0206889824793514","0.0339887179945603"
"1 on Scale 1 to 10","1984","middle vocational","Male","39","0.0136651064297704","0.00962238131439298","0.0177078315451478"
"1 on Scale 1 to 10","1984","middle vocational","Female","27","","",""
"1 on Scale 1 to 10","1984","vocational + Abi","Male","2","","",""
"1 on Scale 1 to 10","1984","vocational + Abi","Female","1","","",""
"1 on Scale 1 to 10","1984","higher vocational","Male","6","","",""
"1 on Scale 1 to 10","1984","higher vocational","Female","4","","",""
"1 on Scale 1 to 10","1984","higher education","Male","3","","",""
"1 on Scale 1 to 10","1984","higher education","Female","2","","",""
"2 on Scale 1 to 10","1984","in school","Male","1","","",""
"2 on Scale 1 to 10","1984","in school","Female","2","","",""
"2 on Scale 1 to 10","1984","inadequately","Male","25","","",""
"2 on Scale 1 to 10","1984","inadequately","Female","29","","",""
"2 on Scale 1 to 10","1984","general elemantary","Male","36","0.0368058215234897","0.0259331308166711","0.0476785122303082"
"2 on Scale 1 to 10","1984","general elemantary","Female","96","0.0491241742637562","0.0403106087735344","0.057937739753978"
"2 on Scale 1 to 10","1984","middle vocational","Male","82","0.0280327591809326","0.0222847925066427","0.0337807258552226"
"2 on Scale 1 to 10","1984","middle vocational","Female","58","0.0233139385087295","0.0174536508172234","0.0291742262002357"
"2 on Scale 1 to 10","1984","vocational + Abi","Male","3","","",""
"2 on Scale 1 to 10","1984","vocational + Abi","Female","","","",""
"2 on Scale 1 to 10","1984","higher vocational","Male","7","","",""
