"m11125","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","16-34 y.","Female","28","","","","0"
"0 Completely dissatisfied","1984","16-34 y.","Male","25","","","","0"
"0 Completely dissatisfied","1984","35-65 y.","Female","112","0.0390438811073212","0.0322460765716843","0.0458416856429581","0"
"0 Completely dissatisfied","1984","35-65 y.","Male","113","0.0368811150933879","0.0303653243882263","0.0433969057985494","0"
"0 Completely dissatisfied","1984","66 and older","Female","59","0.0729117583739789","0.0545479796569868","0.091275537090971","0"
"0 Completely dissatisfied","1984","66 and older","Male","37","0.072912641687381","0.0502815315804262","0.0955437517943359","0"
"1 on Scale 1 to 10","1984","16-34 y.","Female","11","","","","1"
"1 on Scale 1 to 10","1984","16-34 y.","Male","11","","","","1"
"1 on Scale 1 to 10","1984","35-65 y.","Female","42","0.0133041032565549","0.00928318848133821","0.0173250180317716","1"
"1 on Scale 1 to 10","1984","35-65 y.","Male","45","0.0140324371333362","0.00996591611712241","0.0180989581495499","1"
"1 on Scale 1 to 10","1984","66 and older","Female","45","0.0565490789853205","0.0402345269736481","0.0728636309969929","1"
"1 on Scale 1 to 10","1984","66 and older","Male","21","","","","1"
"10 Completely satisfied","1984","16-34 y.","Female","772","0.316482791053782","0.297613853734626","0.335351728372938","10"
"10 Completely satisfied","1984","16-34 y.","Male","755","0.300526813212459","0.281649278093143","0.319404348331775","10"
"10 Completely satisfied","1984","35-65 y.","Female","515","0.161535584490011","0.148619917904747","0.174451251075276","10"
"10 Completely satisfied","1984","35-65 y.","Male","620","0.174944844340118","0.161810233185551","0.188079455494685","10"
"10 Completely satisfied","1984","66 and older","Female","63","0.0881770625663066","0.0681491448496376","0.108204980282976","10"
"10 Completely satisfied","1984","66 and older","Male","55","0.110676721358085","0.0833679548504116","0.137985487865759","10"
"2 on Scale 1 to 10","1984","16-34 y.","Male","26","","","","2"
"2 on Scale 1 to 10","1984","35-65 y.","Female","115","0.0335039125285409","0.0271886964196318","0.0398191286374501","2"
"2 on Scale 1 to 10","1984","16-34 y.","Female","31","0.0104628823088824","0.00633488524307343","0.0145908793746913","2"
"2 on Scale 1 to 10","1984","35-65 y.","Male","110","0.0303631436661708","0.0244311172070174","0.0362951701253242","2"
"2 on Scale 1 to 10","1984","66 and older","Female","53","0.0698301112187369","0.0518287546860526","0.0878314677514212","2"
"2 on Scale 1 to 10","1984","66 and older","Male","30","0.0604390001397675","0.039696302463108","0.081181697816427","2"
"3 on Scale 1 to 10","1984","16-34 y.","Male","33","0.013906254524014","0.0090847527895443","0.0187277562584836","3"
"3 on Scale 1 to 10","1984","35-65 y.","Male","142","0.0451767869492744","0.0379964585241456","0.0523571153744032","3"
"3 on Scale 1 to 10","1984","35-65 y.","Female","174","0.0546317927483005","0.0466561879464561","0.0626073975501449","3"
"3 on Scale 1 to 10","1984","16-34 y.","Female","46","0.018287486470737","0.0128516443130254","0.0237233286284486","3"
"3 on Scale 1 to 10","1984","66 and older","Female","63","0.0813819419530621","0.0620696311517885","0.100694252754336","3"
"3 on Scale 1 to 10","1984","66 and older","Male","35","0.0693439819222886","0.0472312146797477","0.0914567491648295","3"
"4 on Scale 1 to 10","1984","16-34 y.","Female","59","0.0244999545846054","0.0182281292974697","0.0307717798717411","4"
"4 on Scale 1 to 10","1984","16-34 y.","Male","47","0.0254600514210653","0.0189744896550359","0.0319456131870947","4"
"4 on Scale 1 to 10","1984","66 and older","Male","33","0.0615483683779658","0.0406285297351815","0.0824682070207502","4"
"4 on Scale 1 to 10","1984","35-65 y.","Female","153","0.0466556175462996","0.0392541595184782","0.0540570755741211","4"
"4 on Scale 1 to 10","1984","35-65 y.","Male","148","0.0478300811517699","0.0404521781333088","0.0552079841702309","4"
"4 on Scale 1 to 10","1984","66 and older","Female","63","0.0786665721573763","0.059651137547134","0.0976820067676186","4"
"5 on Scale 1 to 10","1984","35-65 y.","Male","486","0.161155985858997","0.14844471478534","0.173867256932655","5"
"5 on Scale 1 to 10","1984","16-34 y.","Male","161","0.0685517711717334","0.0581476155659185","0.0789559267775483","5"
"5 on Scale 1 to 10","1984","35-65 y.","Female","594","0.196783927388747","0.182831447322125","0.210736407455368","5"
"5 on Scale 1 to 10","1984","16-34 y.","Female","270","0.11532832461993","0.102369765392576","0.128286883847284","5"
"5 on Scale 1 to 10","1984","66 and older","Female","157","0.204051408028663","0.175586155840878","0.232516660216448","5"
"5 on Scale 1 to 10","1984","66 and older","Male","105","0.206870253263293","0.171611637854552","0.242128868672034","5"
"6 on Scale 1 to 10","1984","16-34 y.","Female","110","0.0473169044051727","0.0387033964956129","0.0559304123147325","6"
"6 on Scale 1 to 10","1984","16-34 y.","Male","99","0.0418424850162239","0.0335983455906784","0.0500866244417694","6"
"6 on Scale 1 to 10","1984","35-65 y.","Female","255","0.0799170667442378","0.0704006454792959","0.0894334880091797","6"
"6 on Scale 1 to 10","1984","35-65 y.","Male","239","0.0743760311475641","0.0653049521157992","0.0834471101793289","6"
"6 on Scale 1 to 10","1984","66 and older","Female","53","0.0668713278073298","0.0492274732601852","0.0845151823544745","6"
"6 on Scale 1 to 10","1984","66 and older","Male","43","0.0889726779840456","0.0641905757902724","0.113754780177819","6"
"7 on Scale 1 to 10","1984","16-34 y.","Female","226","0.0960780449659934","0.0841223393949485","0.108033750537038","7"
"7 on Scale 1 to 10","1984","35-65 y.","Female","376","0.127406076336216","0.11570457554186","0.139107577130573","7"
"7 on Scale 1 to 10","1984","16-34 y.","Male","252","0.116686864862609","0.103468234201013","0.129905495524204","7"
"7 on Scale 1 to 10","1984","35-65 y.","Male","413","0.134782478816416","0.12297643128795","0.146588526344882","7"
"7 on Scale 1 to 10","1984","66 and older","Female","95","0.122631031876962","0.0994627379330496","0.145799325820875","7"
"7 on Scale 1 to 10","1984","66 and older","Male","48","0.0946062285046682","0.0691307278665441","0.120081729142792","7"
"8 on Scale 1 to 10","1984","16-34 y.","Female","433","0.199010298113124","0.182812763877564","0.215207832348683","8"
"8 on Scale 1 to 10","1984","16-34 y.","Male","460","0.217964671317363","0.200965632008456","0.23496371062627","8"
"8 on Scale 1 to 10","1984","35-65 y.","Female","522","0.165474059776317","0.152432627661428","0.178515491891206","8"
"8 on Scale 1 to 10","1984","66 and older","Female","94","0.12351608968267","0.100276071175152","0.146756108190189","8"
"8 on Scale 1 to 10","1984","35-65 y.","Male","569","0.18164521918588","0.16831590046178","0.194974537909981","8"
"8 on Scale 1 to 10","1984","66 and older","Male","74","0.139798244678208","0.109612969958658","0.169983519397758","8"
"9 on Scale 1 to 10","1984","16-34 y.","Male","397","0.188349997702743","0.172251500184149","0.204448495221337","9"
"9 on Scale 1 to 10","1984","16-34 y.","Female","348","0.155948151835597","0.141229353877718","0.170666949793477","9"
"9 on Scale 1 to 10","1984","35-65 y.","Female","261","0.0817439780774535","0.0721289583276829","0.0913589978272241","9"
"9 on Scale 1 to 10","1984","66 and older","Male","26","","","","9"
"9 on Scale 1 to 10","1984","35-65 y.","Male","329","0.0988118766570848","0.088495256080943","0.109128497233226","9"
"9 on Scale 1 to 10","1984","66 and older","Female","25","","","","9"
"0 Completely dissatisfied","1985","16-34 y.","Female","18","","","","0"
"0 Completely dissatisfied","1985","16-34 y.","Male","12","","","","0"
"0 Completely dissatisfied","1985","35-65 y.","Female","74","0.0276252660544281","0.0216290508658835","0.0336214812429727","0"
"0 Completely dissatisfied","1985","35-65 y.","Male","68","0.0248794691755435","0.0192037149720203","0.0305552233790667","0"
"0 Completely dissatisfied","1985","66 and older","Female","29","","","","0"
"0 Completely dissatisfied","1985","66 and older","Male","29","","","","0"
"1 on Scale 1 to 10","1985","35-65 y.","Female","33","0.0104924335035505","0.0067646145238228","0.0142202524832782","1"
"1 on Scale 1 to 10","1985","35-65 y.","Male","42","0.0155125974169378","0.0110093976127754","0.0200157972211002","1"
"1 on Scale 1 to 10","1985","16-34 y.","Female","14","","","","1"
"1 on Scale 1 to 10","1985","16-34 y.","Male","8","","","","1"
"1 on Scale 1 to 10","1985","66 and older","Female","24","","","","1"
"1 on Scale 1 to 10","1985","66 and older","Male","12","","","","1"
"10 Completely satisfied","1985","16-34 y.","Female","522","0.235003516988485","0.216729260170439","0.253277773806532","10"
"10 Completely satisfied","1985","35-65 y.","Female","359","0.12902048886741","0.116756254149641","0.141284723585179","10"
"10 Completely satisfied","1985","66 and older","Male","38","0.090086681188752","0.0634557157584238","0.11671764661908","10"
"10 Completely satisfied","1985","35-65 y.","Male","413","0.129105980202299","0.116887147796684","0.141324812607914","10"
"10 Completely satisfied","1985","66 and older","Female","53","0.0880964461738497","0.0665865248047885","0.109606367542911","10"
"10 Completely satisfied","1985","16-34 y.","Male","549","0.239060006159138","0.220774641893053","0.257345370425223","10"
"2 on Scale 1 to 10","1985","16-34 y.","Female","25","","","","2"
"2 on Scale 1 to 10","1985","35-65 y.","Female","90","0.0298279920848278","0.0236043655726952","0.0360516185969604","2"
"2 on Scale 1 to 10","1985","16-34 y.","Male","27","","","","2"
"2 on Scale 1 to 10","1985","35-65 y.","Male","82","0.0251483571976196","0.0194428015135322","0.030853912881707","2"
"2 on Scale 1 to 10","1985","66 and older","Female","51","0.0728398713626327","0.0531180449157327","0.0925616978095327","2"
"2 on Scale 1 to 10","1985","66 and older","Male","29","","","","2"
"3 on Scale 1 to 10","1985","35-65 y.","Male","125","0.0420702414004715","0.0347550076392702","0.0493854751616727","3"
"3 on Scale 1 to 10","1985","35-65 y.","Female","132","0.0407138223336919","0.0334835913047385","0.0479440533626452","3"
"3 on Scale 1 to 10","1985","16-34 y.","Female","38","0.0175191728016621","0.011864705929814","0.0231736396735102","3"
"3 on Scale 1 to 10","1985","16-34 y.","Male","31","0.0175265730736611","0.011900778649119","0.0231523674982033","3"
"3 on Scale 1 to 10","1985","66 and older","Female","62","0.0955248908550125","0.0732178604622552","0.11783192124777","3"
"3 on Scale 1 to 10","1985","66 and older","Male","33","0.0774047152720221","0.0525478745173972","0.102261556026647","3"
"4 on Scale 1 to 10","1985","16-34 y.","Male","51","0.0264948570039209","0.0196095253696335","0.0333801886382082","4"
"4 on Scale 1 to 10","1985","16-34 y.","Female","72","0.0326054936050889","0.0249509373022851","0.0402600499078926","4"
"4 on Scale 1 to 10","1985","35-65 y.","Female","169","0.0582172476822229","0.049650650545201","0.0667838448192448","4"
"4 on Scale 1 to 10","1985","35-65 y.","Male","137","0.0525177430785949","0.0443892050054369","0.060646281151753","4"
"4 on Scale 1 to 10","1985","66 and older","Female","59","0.0854495915905194","0.0642345448105405","0.106664638370498","4"
"4 on Scale 1 to 10","1985","66 and older","Male","30","0.0667542597059272","0.0435379009529073","0.0899706184589471","4"
"5 on Scale 1 to 10","1985","16-34 y.","Male","164","0.0775656583388955","0.0660979293488201","0.0890333873289709","5"
"5 on Scale 1 to 10","1985","16-34 y.","Female","225","0.105694988197912","0.0924441651811353","0.118945811214689","5"
"5 on Scale 1 to 10","1985","35-65 y.","Female","589","0.213367951652504","0.198379472965622","0.228356430339386","5"
"5 on Scale 1 to 10","1985","35-65 y.","Male","464","0.170552537234389","0.156846957580659","0.184258116888119","5"
"5 on Scale 1 to 10","1985","66 and older","Female","139","0.206455649126735","0.175738269746493","0.237173028506977","5"
"5 on Scale 1 to 10","1985","66 and older","Male","75","0.162146500155133","0.127862267028131","0.196430733282135","5"
"6 on Scale 1 to 10","1985","16-34 y.","Female","114","0.053449907500133","0.043755570699203","0.0631442443010629","6"
"6 on Scale 1 to 10","1985","35-65 y.","Female","271","0.0967265505312436","0.0859124696061302","0.107540631456357","6"
"6 on Scale 1 to 10","1985","16-34 y.","Male","105","0.0554044331331917","0.0455966657386481","0.0652122005277352","6"
"6 on Scale 1 to 10","1985","35-65 y.","Male","257","0.0929259762704518","0.0823465088512152","0.103505443689688","6"
"6 on Scale 1 to 10","1985","66 and older","Female","65","0.0922990175462802","0.0703328083165687","0.114265226775992","6"
"6 on Scale 1 to 10","1985","66 and older","Male","58","0.13281475098844","0.101247577066163","0.164381924910717","6"
"7 on Scale 1 to 10","1985","16-34 y.","Male","258","0.133452120714993","0.11887291145207","0.148031329977917","7"
"7 on Scale 1 to 10","1985","66 and older","Female","72","0.115274112543001","0.0910384199456725","0.13950980514033","7"
"7 on Scale 1 to 10","1985","35-65 y.","Female","379","0.131117933245463","0.118769308110575","0.14346655838035","7"
"7 on Scale 1 to 10","1985","35-65 y.","Male","429","0.151860709194061","0.13878304512055","0.164938373267572","7"
"7 on Scale 1 to 10","1985","16-34 y.","Female","267","0.13886050022149","0.123956634065768","0.153764366377211","7"
"7 on Scale 1 to 10","1985","66 and older","Male","60","0.130692213516649","0.0993399971509987","0.1620444298823","7"
"8 on Scale 1 to 10","1985","35-65 y.","Female","531","0.17828274858802","0.164279686786423","0.192285810389617","8"
"8 on Scale 1 to 10","1985","35-65 y.","Male","608","0.210412741069067","0.195559885529145","0.225265596608988","8"
"8 on Scale 1 to 10","1985","66 and older","Female","80","0.120714426021465","0.0959897997945299","0.1454390522484","8"
"8 on Scale 1 to 10","1985","16-34 y.","Female","468","0.222328000233073","0.204406756935192","0.240249243530954","8"
"8 on Scale 1 to 10","1985","16-34 y.","Male","510","0.250489401453481","0.231913131457383","0.269065671449579","8"
"8 on Scale 1 to 10","1985","66 and older","Male","58","0.129711774454605","0.0984597712525706","0.160963777656639","8"
"9 on Scale 1 to 10","1985","16-34 y.","Female","305","0.165786081385431","0.14975785112497","0.181814311645891","9"
"9 on Scale 1 to 10","1985","16-34 y.","Male","375","0.178662450297869","0.162239452674348","0.195085447921389","9"
"9 on Scale 1 to 10","1985","35-65 y.","Female","243","0.0846075654566385","0.0744259802205189","0.0947891506927581","9"
"9 on Scale 1 to 10","1985","35-65 y.","Male","268","0.0850136477605654","0.0748505639283762","0.0951767315927545","9"
