"m11125","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"10 Completely satisfied","1984","66 and older","higher education","12","","","","10"
"10 Completely satisfied","1984","66 and older","middle vocational","60","0.108268079788342","0.0829371258390972","0.133599033737587","10"
"10 Completely satisfied","1984","66 and older","vocational + Abi","3","","","","10"
"10 Completely satisfied","1984","66 and older","higher vocational","8","","","","10"
"10 Completely satisfied","1984","16-34 y.","in school","77","0.393391849694837","0.323376366990354","0.46340733239932","10"
"10 Completely satisfied","1984","16-34 y.","inadequately","103","0.315627787038854","0.263807161584884","0.367448412492824","10"
"10 Completely satisfied","1984","16-34 y.","general elemantary","505","0.36729746809766","0.340919367733635","0.393675568461686","10"
"10 Completely satisfied","1984","16-34 y.","middle vocational","663","0.290777714224338","0.27170594866947","0.309849479779207","10"
"10 Completely satisfied","1984","16-34 y.","vocational + Abi","48","0.23770037020903","0.172551940764833","0.302848799653226","10"
"10 Completely satisfied","1984","16-34 y.","higher vocational","58","0.262382699654996","0.203023230477375","0.321742168832617","10"
"10 Completely satisfied","1984","16-34 y.","higher education","66","0.24240968330335","0.189074420398083","0.295744946208616","10"
"10 Completely satisfied","1984","35-65 y.","in school","","","","","10"
"10 Completely satisfied","1984","35-65 y.","inadequately","135","0.18207005795136","0.153379895501641","0.210760220401078","10"
"10 Completely satisfied","1984","35-65 y.","general elemantary","248","0.132137489372047","0.115856864452274","0.14841811429182","10"
"10 Completely satisfied","1984","35-65 y.","middle vocational","550","0.180395791066813","0.166541289736761","0.194250292396866","10"
"10 Completely satisfied","1984","35-65 y.","vocational + Abi","28","","","","10"
"10 Completely satisfied","1984","35-65 y.","higher vocational","58","0.150325875869515","0.113661463696108","0.186990288042922","10"
"10 Completely satisfied","1984","35-65 y.","higher education","107","0.204843911395217","0.168776640884076","0.240911181906357","10"
"10 Completely satisfied","1984","66 and older","in school","","","","","10"
"10 Completely satisfied","1984","66 and older","inadequately","","","","","10"
"10 Completely satisfied","1984","66 and older","general elemantary","34","0.0695688692540829","0.0476381735912998","0.0914995649168661","10"
"2 on Scale 1 to 10","1984","66 and older","higher vocational","4","","","","2"
"2 on Scale 1 to 10","1984","66 and older","inadequately","2","","","","2"
"2 on Scale 1 to 10","1984","66 and older","vocational + Abi","","","","","2"
"2 on Scale 1 to 10","1984","16-34 y.","middle vocational","26","","","","2"
"2 on Scale 1 to 10","1984","16-34 y.","vocational + Abi","2","","","","2"
"2 on Scale 1 to 10","1984","16-34 y.","higher vocational","","","","","2"
"2 on Scale 1 to 10","1984","35-65 y.","higher vocational","8","","","","2"
"2 on Scale 1 to 10","1984","35-65 y.","vocational + Abi","1","","","","2"
"2 on Scale 1 to 10","1984","66 and older","middle vocational","23","","","","2"
"2 on Scale 1 to 10","1984","66 and older","in school","","","","","2"
"2 on Scale 1 to 10","1984","16-34 y.","in school","3","","","","2"
"2 on Scale 1 to 10","1984","16-34 y.","inadequately","4","","","","2"
"2 on Scale 1 to 10","1984","16-34 y.","general elemantary","16","","","","2"
"2 on Scale 1 to 10","1984","35-65 y.","in school","","","","","2"
"2 on Scale 1 to 10","1984","35-65 y.","middle vocational","91","0.0297541625212658","0.0236322042082611","0.0358761208342704","2"
"2 on Scale 1 to 10","1984","66 and older","general elemantary","48","0.0916012794638709","0.0667360857882086","0.116466473139533","2"
"2 on Scale 1 to 10","1984","35-65 y.","higher education","8","","","","2"
"2 on Scale 1 to 10","1984","16-34 y.","higher education","4","","","","2"
"2 on Scale 1 to 10","1984","35-65 y.","inadequately","48","0.0643289472650741","0.0460891289634884","0.0825687655666597","2"
"2 on Scale 1 to 10","1984","35-65 y.","general elemantary","68","0.0429533744713968","0.0332057728040983","0.0527009761386952","2"
"2 on Scale 1 to 10","1984","66 and older","higher education","6","","","","2"
"3 on Scale 1 to 10","1984","16-34 y.","vocational + Abi","4","","","","3"
"3 on Scale 1 to 10","1984","16-34 y.","middle vocational","27","","","","3"
"3 on Scale 1 to 10","1984","16-34 y.","in school","3","","","","3"
"3 on Scale 1 to 10","1984","16-34 y.","inadequately","9","","","","3"
"3 on Scale 1 to 10","1984","16-34 y.","general elemantary","31","0.0248116272454307","0.0163001166506487","0.0333231378402127","3"
"3 on Scale 1 to 10","1984","16-34 y.","higher vocational","2","","","","3"
"3 on Scale 1 to 10","1984","16-34 y.","higher education","3","","","","3"
"3 on Scale 1 to 10","1984","35-65 y.","general elemantary","91","0.0538432154758703","0.042991968977229","0.0646944619745117","3"
"3 on Scale 1 to 10","1984","35-65 y.","middle vocational","138","0.047352886021276","0.0397001829455574","0.0550055890969946","3"
"3 on Scale 1 to 10","1984","35-65 y.","higher education","19","","","","3"
"3 on Scale 1 to 10","1984","66 and older","in school","","","","","3"
"3 on Scale 1 to 10","1984","66 and older","inadequately","1","","","","3"
"3 on Scale 1 to 10","1984","66 and older","middle vocational","39","0.067043733060228","0.0466548277425494","0.0874326383779065","3"
"3 on Scale 1 to 10","1984","66 and older","higher education","1","","","","3"
"3 on Scale 1 to 10","1984","35-65 y.","inadequately","42","0.070517900741889","0.0514840836563612","0.0895517178274168","3"
"3 on Scale 1 to 10","1984","35-65 y.","vocational + Abi","6","","","","3"
"3 on Scale 1 to 10","1984","35-65 y.","higher vocational","19","","","","3"
"3 on Scale 1 to 10","1984","66 and older","vocational + Abi","2","","","","3"
"3 on Scale 1 to 10","1984","66 and older","higher vocational","6","","","","3"
"3 on Scale 1 to 10","1984","35-65 y.","in school","","","","","3"
"3 on Scale 1 to 10","1984","66 and older","general elemantary","49","0.0948821031779894","0.0696212772004904","0.120142929155488","3"
"4 on Scale 1 to 10","1984","16-34 y.","middle vocational","50","0.0249721362857175","0.0184189047131732","0.0315253678582617","4"
"4 on Scale 1 to 10","1984","16-34 y.","general elemantary","27","","","","4"
"4 on Scale 1 to 10","1984","66 and older","higher education","1","","","","4"
"4 on Scale 1 to 10","1984","66 and older","middle vocational","41","0.0686080709173002","0.0479999681657791","0.0892161736688213","4"
"4 on Scale 1 to 10","1984","66 and older","vocational + Abi","1","","","","4"
"4 on Scale 1 to 10","1984","66 and older","higher vocational","6","","","","4"
"4 on Scale 1 to 10","1984","16-34 y.","in school","2","","","","4"
"4 on Scale 1 to 10","1984","16-34 y.","inadequately","12","","","","4"
"4 on Scale 1 to 10","1984","16-34 y.","vocational + Abi","5","","","","4"
"4 on Scale 1 to 10","1984","16-34 y.","higher vocational","3","","","","4"
"4 on Scale 1 to 10","1984","16-34 y.","higher education","7","","","","4"
"4 on Scale 1 to 10","1984","35-65 y.","in school","","","","","4"
"4 on Scale 1 to 10","1984","35-65 y.","inadequately","40","0.0628802360009008","0.0448330157362039","0.0809274562655976","4"
"4 on Scale 1 to 10","1984","35-65 y.","general elemantary","76","0.0514817416615657","0.0408578888685629","0.0621055944545684","4"
"4 on Scale 1 to 10","1984","35-65 y.","middle vocational","145","0.0469947478783493","0.0393696061996839","0.0546198895570147","4"
"4 on Scale 1 to 10","1984","35-65 y.","vocational + Abi","8","","","","4"
"4 on Scale 1 to 10","1984","35-65 y.","higher vocational","13","","","","4"
"4 on Scale 1 to 10","1984","35-65 y.","higher education","16","","","","4"
"4 on Scale 1 to 10","1984","66 and older","in school","","","","","4"
"4 on Scale 1 to 10","1984","66 and older","inadequately","1","","","","4"
"4 on Scale 1 to 10","1984","66 and older","general elemantary","46","0.083685774628947","0.0598158606380963","0.107555688619798","4"
"5 on Scale 1 to 10","1984","16-34 y.","in school","9","","","","5"
"5 on Scale 1 to 10","1984","35-65 y.","inadequately","123","0.173945551495955","0.145763883830111","0.2021272191618","5"
"5 on Scale 1 to 10","1984","35-65 y.","general elemantary","351","0.234607928766564","0.214235354789819","0.254980502743308","5"
"5 on Scale 1 to 10","1984","66 and older","middle vocational","124","0.218627539395546","0.184932524281255","0.252322554509837","5"
"5 on Scale 1 to 10","1984","66 and older","vocational + Abi","5","","","","5"
"5 on Scale 1 to 10","1984","16-34 y.","inadequately","39","0.096086680105329","0.0632269616135882","0.12894639859707","5"
"5 on Scale 1 to 10","1984","16-34 y.","general elemantary","117","0.096756992135061","0.0805807273734508","0.112933256896671","5"
"5 on Scale 1 to 10","1984","16-34 y.","middle vocational","204","0.0922663213867419","0.0801123004349407","0.104420342338543","5"
"5 on Scale 1 to 10","1984","16-34 y.","vocational + Abi","15","","","","5"
"5 on Scale 1 to 10","1984","16-34 y.","higher vocational","30","0.144838063017525","0.097351318354622","0.192324807680428","5"
"5 on Scale 1 to 10","1984","16-34 y.","higher education","15","","","","5"
"5 on Scale 1 to 10","1984","35-65 y.","in school","","","","","5"
"5 on Scale 1 to 10","1984","35-65 y.","middle vocational","474","0.167798387347662","0.154334087451962","0.181262687243362","5"
"5 on Scale 1 to 10","1984","35-65 y.","vocational + Abi","15","","","","5"
"5 on Scale 1 to 10","1984","35-65 y.","higher vocational","63","0.177128162191547","0.137961950522998","0.216294373860095","5"
"5 on Scale 1 to 10","1984","35-65 y.","higher education","48","0.101862780384119","0.0748322440407619","0.128893316727476","5"
"5 on Scale 1 to 10","1984","66 and older","in school","","","","","5"
"5 on Scale 1 to 10","1984","66 and older","inadequately","2","","","","5"
"5 on Scale 1 to 10","1984","66 and older","general elemantary","103","0.193445816066916","0.15939721569296","0.227494416440872","5"
"5 on Scale 1 to 10","1984","66 and older","higher vocational","19","","","","5"
"5 on Scale 1 to 10","1984","66 and older","higher education","8","","","","5"
"6 on Scale 1 to 10","1984","35-65 y.","general elemantary","147","0.0902556630365403","0.0764794613536722","0.104031864719408","6"
"6 on Scale 1 to 10","1984","66 and older","higher education","2","","","","6"
"6 on Scale 1 to 10","1984","35-65 y.","inadequately","58","0.0989203084201411","0.0767240373239773","0.121116579516305","6"
"6 on Scale 1 to 10","1984","35-65 y.","middle vocational","230","0.0771259160183954","0.0675131803283513","0.0867386517084394","6"
"6 on Scale 1 to 10","1984","35-65 y.","vocational + Abi","5","","","","6"
"6 on Scale 1 to 10","1984","35-65 y.","higher vocational","20","","","","6"
"6 on Scale 1 to 10","1984","35-65 y.","higher education","28","","","","6"
"6 on Scale 1 to 10","1984","66 and older","in school","","","","","6"
"6 on Scale 1 to 10","1984","66 and older","middle vocational","56","0.0925655532258023","0.0689381222552775","0.116192984196327","6"
"6 on Scale 1 to 10","1984","66 and older","vocational + Abi","3","","","","6"
"6 on Scale 1 to 10","1984","66 and older","higher vocational","8","","","","6"
"6 on Scale 1 to 10","1984","16-34 y.","in school","4","","","","6"
"6 on Scale 1 to 10","1984","16-34 y.","inadequately","19","","","","6"
"6 on Scale 1 to 10","1984","16-34 y.","general elemantary","56","0.0415764331587849","0.0306535542488123","0.0524993120687574","6"
"6 on Scale 1 to 10","1984","16-34 y.","middle vocational","96","0.0430290112349027","0.0345068602819573","0.051551162187848","6"
"6 on Scale 1 to 10","1984","16-34 y.","vocational + Abi","10","","","","6"
"6 on Scale 1 to 10","1984","16-34 y.","higher vocational","11","","","","6"
"6 on Scale 1 to 10","1984","16-34 y.","higher education","12","","","","6"
"6 on Scale 1 to 10","1984","35-65 y.","in school","","","","","6"
"6 on Scale 1 to 10","1984","66 and older","inadequately","","","","","6"
"6 on Scale 1 to 10","1984","66 and older","general elemantary","27","","","","6"
"7 on Scale 1 to 10","1984","16-34 y.","general elemantary","109","0.0855974339867307","0.0702888911512465","0.100905976822215","7"
"7 on Scale 1 to 10","1984","66 and older","higher education","9","","","","7"
"7 on Scale 1 to 10","1984","66 and older","middle vocational","69","0.121077330286743","0.0944828857989402","0.147671774774546","7"
"7 on Scale 1 to 10","1984","66 and older","vocational + Abi","2","","","","7"
"7 on Scale 1 to 10","1984","66 and older","higher vocational","7","","","","7"
"7 on Scale 1 to 10","1984","66 and older","general elemantary","55","0.106757129710299","0.0801384786568998","0.133375780763697","7"
"7 on Scale 1 to 10","1984","16-34 y.","in school","14","","","","7"
"7 on Scale 1 to 10","1984","16-34 y.","inadequately","32","0.119787726397407","0.0835827121843188","0.155992740610495","7"
"7 on Scale 1 to 10","1984","16-34 y.","middle vocational","251","0.117594673495102","0.104066254700113","0.131123092290091","7"
"7 on Scale 1 to 10","1984","16-34 y.","vocational + Abi","15","","","","7"
"7 on Scale 1 to 10","1984","16-34 y.","higher vocational","28","","","","7"
"7 on Scale 1 to 10","1984","16-34 y.","higher education","26","","","","7"
"7 on Scale 1 to 10","1984","35-65 y.","in school","","","","","7"
"7 on Scale 1 to 10","1984","35-65 y.","inadequately","73","0.100781422647681","0.078400470104841","0.123162375190522","7"
"7 on Scale 1 to 10","1984","35-65 y.","general elemantary","208","0.130710625037899","0.114504834820555","0.146916415255243","7"
"7 on Scale 1 to 10","1984","35-65 y.","middle vocational","378","0.132449001158529","0.120235295228557","0.1446627070885","7"
"7 on Scale 1 to 10","1984","35-65 y.","vocational + Abi","16","","","","7"
"7 on Scale 1 to 10","1984","35-65 y.","higher vocational","41","0.117839092743085","0.0847625386932471","0.150915646792924","7"
"7 on Scale 1 to 10","1984","35-65 y.","higher education","69","0.143472185227702","0.112144367395063","0.174800003060342","7"
"7 on Scale 1 to 10","1984","66 and older","in school","","","","","7"
"7 on Scale 1 to 10","1984","66 and older","inadequately","1","","","","7"
"8 on Scale 1 to 10","1984","35-65 y.","inadequately","86","0.119463044166098","0.0953503203790471","0.143575767953149","8"
"8 on Scale 1 to 10","1984","66 and older","middle vocational","77","0.130469185697316","0.103010443713328","0.157927927681305","8"
"8 on Scale 1 to 10","1984","16-34 y.","in school","35","0.209491049584702","0.151164884887835","0.267817214281569","8"
"8 on Scale 1 to 10","1984","16-34 y.","general elemantary","204","0.16996661350274","0.149414127825221","0.19051909918026","8"
"8 on Scale 1 to 10","1984","16-34 y.","middle vocational","462","0.218666161547925","0.201307019349333","0.236025303746516","8"
"8 on Scale 1 to 10","1984","35-65 y.","vocational + Abi","22","","","","8"
"8 on Scale 1 to 10","1984","66 and older","in school","","","","","8"
"8 on Scale 1 to 10","1984","66 and older","general elemantary","62","0.127636283581333","0.0988729848650844","0.156399582297581","8"
"8 on Scale 1 to 10","1984","66 and older","vocational + Abi","1","","","","8"
"8 on Scale 1 to 10","1984","66 and older","higher vocational","11","","","","8"
"8 on Scale 1 to 10","1984","66 and older","higher education","15","","","","8"
"8 on Scale 1 to 10","1984","35-65 y.","middle vocational","531","0.17495339672301","0.161264260724659","0.188642532721362","8"
"8 on Scale 1 to 10","1984","35-65 y.","higher education","108","0.226987682660389","0.189553366372018","0.26442199894876","8"
"8 on Scale 1 to 10","1984","16-34 y.","inadequately","48","0.145846738485881","0.106493079871098","0.185200397100664","8"
"8 on Scale 1 to 10","1984","16-34 y.","vocational + Abi","30","0.228204973250801","0.163974709224173","0.292435237277428","8"
"8 on Scale 1 to 10","1984","16-34 y.","higher vocational","46","0.219406634533225","0.163566794024479","0.275246475041971","8"
"8 on Scale 1 to 10","1984","16-34 y.","higher education","65","0.282314235106163","0.226292596799948","0.338335873412378","8"
"8 on Scale 1 to 10","1984","35-65 y.","in school","","","","","8"
"8 on Scale 1 to 10","1984","35-65 y.","general elemantary","251","0.14028972643023","0.12359337513685","0.15698607772361","8"
"8 on Scale 1 to 10","1984","35-65 y.","higher vocational","88","0.238961144705925","0.195212085418939","0.28271020399291","8"
"8 on Scale 1 to 10","1984","66 and older","inadequately","2","","","","8"
"9 on Scale 1 to 10","1984","16-34 y.","middle vocational","367","0.173125984123295","0.157236128426272","0.189015839820318","9"
"9 on Scale 1 to 10","1984","16-34 y.","higher vocational","32","0.158347671145514","0.109089410964224","0.207605931326804","9"
"9 on Scale 1 to 10","1984","35-65 y.","general elemantary","136","0.066792819478086","0.0547899107021532","0.0787957282540188","9"
"9 on Scale 1 to 10","1984","35-65 y.","middle vocational","282","0.092785208561185","0.0823315082907538","0.103238908831616","9"
"9 on Scale 1 to 10","1984","66 and older","middle vocational","22","","","","9"
"9 on Scale 1 to 10","1984","66 and older","higher education","6","","","","9"
"9 on Scale 1 to 10","1984","16-34 y.","general elemantary","194","0.160059277700348","0.139996109786674","0.180122445614022","9"
"9 on Scale 1 to 10","1984","16-34 y.","vocational + Abi","33","0.208172637568302","0.1460352139943","0.270310061142303","9"
"9 on Scale 1 to 10","1984","35-65 y.","inadequately","46","0.0518327560693844","0.0353511202537889","0.06831439188498","9"
"9 on Scale 1 to 10","1984","35-65 y.","vocational + Abi","21","","","","9"
"9 on Scale 1 to 10","1984","35-65 y.","higher vocational","35","0.0955769582277118","0.0654146849588344","0.125739231496589","9"
"9 on Scale 1 to 10","1984","35-65 y.","higher education","67","0.141330368402696","0.110198416549291","0.172462320256102","9"
"9 on Scale 1 to 10","1984","66 and older","vocational + Abi","2","","","","9"
"9 on Scale 1 to 10","1984","66 and older","higher vocational","4","","","","9"
"9 on Scale 1 to 10","1984","16-34 y.","in school","38","0.21186084073817","0.153293691315758","0.270427990160581","9"
"9 on Scale 1 to 10","1984","16-34 y.","inadequately","30","0.109968748401514","0.075086367464649","0.144851129338379","9"
"9 on Scale 1 to 10","1984","16-34 y.","higher education","49","0.203930731490493","0.153784417175382","0.254077045805604","9"
"9 on Scale 1 to 10","1984","35-65 y.","in school","","","","","9"
"9 on Scale 1 to 10","1984","66 and older","inadequately","1","","","","9"
"9 on Scale 1 to 10","1984","66 and older","in school","","","","","9"
"9 on Scale 1 to 10","1984","66 and older","general elemantary","16","","","","9"
"0 Completely dissatisfied","1985","16-34 y.","in school","","","","","0"
"0 Completely dissatisfied","1985","16-34 y.","inadequately","11","","","","0"
"0 Completely dissatisfied","1985","16-34 y.","general elemantary","9","","","","0"
"0 Completely dissatisfied","1985","16-34 y.","middle vocational","6","","","","0"
"0 Completely dissatisfied","1985","16-34 y.","vocational + Abi","1","","","","0"
"0 Completely dissatisfied","1985","16-34 y.","higher vocational","1","","","","0"
"0 Completely dissatisfied","1985","16-34 y.","higher education","","","","","0"
"0 Completely dissatisfied","1985","35-65 y.","in school","","","","","0"
"0 Completely dissatisfied","1985","35-65 y.","inadequately","16","","","","0"
"0 Completely dissatisfied","1985","35-65 y.","general elemantary","39","0.0288317709231443","0.0203608589806281","0.0373026828656605","0"
"0 Completely dissatisfied","1985","35-65 y.","middle vocational","68","0.0257277691298748","0.0197702640514003","0.0316852742083493","0"
"0 Completely dissatisfied","1985","35-65 y.","vocational + Abi","4","","","","0"
"0 Completely dissatisfied","1985","35-65 y.","higher vocational","9","","","","0"
"0 Completely dissatisfied","1985","35-65 y.","higher education","4","","","","0"
"0 Completely dissatisfied","1985","66 and older","in school","","","","","0"
"0 Completely dissatisfied","1985","66 and older","inadequately","","","","","0"
"0 Completely dissatisfied","1985","66 and older","general elemantary","23","","","","0"
"0 Completely dissatisfied","1985","66 and older","middle vocational","30","0.0561042014271554","0.0362869723243934","0.0759214305299175","0"
"0 Completely dissatisfied","1985","66 and older","vocational + Abi","","","","","0"
"0 Completely dissatisfied","1985","66 and older","higher vocational","4","","","","0"
"0 Completely dissatisfied","1985","66 and older","higher education","1","","","","0"
"1 on Scale 1 to 10","1985","66 and older","middle vocational","18","","","","1"
"1 on Scale 1 to 10","1985","66 and older","higher education","","","","","1"
"1 on Scale 1 to 10","1985","66 and older","vocational + Abi","","","","","1"
"1 on Scale 1 to 10","1985","66 and older","higher vocational","1","","","","1"
"1 on Scale 1 to 10","1985","16-34 y.","general elemantary","6","","","","1"
"1 on Scale 1 to 10","1985","16-34 y.","middle vocational","8","","","","1"
"1 on Scale 1 to 10","1985","16-34 y.","vocational + Abi","1","","","","1"
"1 on Scale 1 to 10","1985","35-65 y.","general elemantary","20","","","","1"
"1 on Scale 1 to 10","1985","66 and older","general elemantary","14","","","","1"
"1 on Scale 1 to 10","1985","16-34 y.","in school","2","","","","1"
"1 on Scale 1 to 10","1985","35-65 y.","in school","","","","","1"
"1 on Scale 1 to 10","1985","35-65 y.","inadequately","14","","","","1"
"1 on Scale 1 to 10","1985","35-65 y.","middle vocational","34","0.0130942845346204","0.00881666737682705","0.0173719016924137","1"
"1 on Scale 1 to 10","1985","35-65 y.","vocational + Abi","1","","","","1"
"1 on Scale 1 to 10","1985","35-65 y.","higher vocational","4","","","","1"
"1 on Scale 1 to 10","1985","16-34 y.","inadequately","2","","","","1"
"1 on Scale 1 to 10","1985","16-34 y.","higher vocational","2","","","","1"
"1 on Scale 1 to 10","1985","16-34 y.","higher education","1","","","","1"
"1 on Scale 1 to 10","1985","35-65 y.","higher education","1","","","","1"
"1 on Scale 1 to 10","1985","66 and older","in school","","","","","1"
"1 on Scale 1 to 10","1985","66 and older","inadequately","2","","","","1"
"10 Completely satisfied","1985","66 and older","vocational + Abi","1","","","","10"
"10 Completely satisfied","1985","66 and older","higher education","10","","","","10"
"10 Completely satisfied","1985","66 and older","higher vocational","6","","","","10"
"10 Completely satisfied","1985","66 and older","middle vocational","49","0.101448761432897","0.0754484823693617","0.127449040496432","10"
"10 Completely satisfied","1985","16-34 y.","in school","59","0.263667387236503","0.200345063347445","0.326989711125562","10"
"10 Completely satisfied","1985","16-34 y.","inadequately","59","0.262935571885597","0.207006577484585","0.318864566286609","10"
"10 Completely satisfied","1985","16-34 y.","general elemantary","351","0.28254988923566","0.256425346778563","0.308674431692757","10"
"10 Completely satisfied","1985","16-34 y.","middle vocational","473","0.235480456071316","0.21662400240314","0.254336909739492","10"
"10 Completely satisfied","1985","16-34 y.","vocational + Abi","31","0.189300142511039","0.125755757351877","0.2528445276702","10"
"10 Completely satisfied","1985","16-34 y.","higher vocational","35","0.146134342750329","0.0965548928435588","0.195713792657099","10"
"10 Completely satisfied","1985","16-34 y.","higher education","38","0.13090374463016","0.0882308164706132","0.173576672789706","10"
"10 Completely satisfied","1985","35-65 y.","in school","","","","","10"
"10 Completely satisfied","1985","35-65 y.","inadequately","84","0.145771163109319","0.117297390739482","0.174244935479155","10"
"10 Completely satisfied","1985","35-65 y.","general elemantary","186","0.106441485393865","0.0908292807048813","0.12205369008285","10"
"10 Completely satisfied","1985","35-65 y.","middle vocational","365","0.135870885543053","0.122977240324955","0.148764530761151","10"
"10 Completely satisfied","1985","35-65 y.","vocational + Abi","17","","","","10"
"10 Completely satisfied","1985","35-65 y.","higher vocational","46","0.13217216715996","0.0963305312520755","0.168013803067845","10"
"10 Completely satisfied","1985","35-65 y.","higher education","66","0.146529060736354","0.114282503458525","0.178775618014182","10"
"10 Completely satisfied","1985","66 and older","in school","","","","","10"
"10 Completely satisfied","1985","66 and older","inadequately","","","","","10"
"10 Completely satisfied","1985","66 and older","general elemantary","25","","","","10"
"2 on Scale 1 to 10","1985","66 and older","higher vocational","5","","","","2"
"2 on Scale 1 to 10","1985","66 and older","middle vocational","34","0.0637413970218593","0.0427040044791271","0.0847787895645915","2"
"2 on Scale 1 to 10","1985","66 and older","vocational + Abi","4","","","","2"
"2 on Scale 1 to 10","1985","16-34 y.","in school","1","","","","2"
"2 on Scale 1 to 10","1985","16-34 y.","inadequately","6","","","","2"
"2 on Scale 1 to 10","1985","16-34 y.","general elemantary","13","","","","2"
"2 on Scale 1 to 10","1985","16-34 y.","middle vocational","23","","","","2"
"2 on Scale 1 to 10","1985","16-34 y.","higher education","2","","","","2"
"2 on Scale 1 to 10","1985","35-65 y.","general elemantary","57","0.0394991718690763","0.0296388715728337","0.0493594721653189","2"
"2 on Scale 1 to 10","1985","35-65 y.","middle vocational","63","0.0217258937993338","0.016240064376283","0.0272117232223846","2"
"2 on Scale 1 to 10","1985","35-65 y.","vocational + Abi","4","","","","2"
"2 on Scale 1 to 10","1985","35-65 y.","higher vocational","9","","","","2"
"2 on Scale 1 to 10","1985","35-65 y.","higher education","7","","","","2"
"2 on Scale 1 to 10","1985","66 and older","in school","","","","","2"
"2 on Scale 1 to 10","1985","66 and older","inadequately","1","","","","2"
"2 on Scale 1 to 10","1985","66 and older","general elemantary","34","0.0730088765911635","0.0482465878490411","0.097771165333286","2"
"2 on Scale 1 to 10","1985","66 and older","higher education","1","","","","2"
"2 on Scale 1 to 10","1985","16-34 y.","vocational + Abi","2","","","","2"
"2 on Scale 1 to 10","1985","16-34 y.","higher vocational","3","","","","2"
"2 on Scale 1 to 10","1985","35-65 y.","in school","","","","","2"
"2 on Scale 1 to 10","1985","35-65 y.","inadequately","31","0.0434922203908234","0.0270344071948009","0.0599500335868458","2"
"3 on Scale 1 to 10","1985","16-34 y.","in school","","","","","3"
"3 on Scale 1 to 10","1985","16-34 y.","inadequately","3","","","","3"
