"m11125","year","migback","regtyp","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1985","no migration background","Urban Area","125","0.0229857395283096","0.0192105179564249","0.0267609611001942","0"
"0 Completely dissatisfied","1985","no migration background","Rural Area","41","0.0245162338719632","0.0175808850653561","0.0314515826785704","0"
"0 Completely dissatisfied","1985","direct migration background","Urban Area","54","0.0261224650301178","0.0199643168641516","0.0322806131960839","0"
"0 Completely dissatisfied","1985","direct migration background","Rural Area","7","","","","0"
"0 Completely dissatisfied","1985","indirect migration background","Urban Area","2","","","","0"
"0 Completely dissatisfied","1985","indirect migration background","Rural Area","1","","","","0"
"1 on Scale 1 to 10","1985","direct migration background","Urban Area","28","","","","1"
"1 on Scale 1 to 10","1985","direct migration background","Rural Area","8","","","","1"
"1 on Scale 1 to 10","1985","no migration background","Urban Area","71","0.0136395675119939","0.0107175630476039","0.0165615719763839","1"
"1 on Scale 1 to 10","1985","no migration background","Rural Area","24","","","","1"
"1 on Scale 1 to 10","1985","indirect migration background","Urban Area","2","","","","1"
"1 on Scale 1 to 10","1985","indirect migration background","Rural Area","","","","","1"
"10 Completely satisfied","1985","no migration background","Urban Area","959","0.155195191757272","0.146073401679251","0.164316981835293","10"
"10 Completely satisfied","1985","no migration background","Rural Area","301","0.150782813909747","0.134734969070986","0.166830658748507","10"
"10 Completely satisfied","1985","direct migration background","Urban Area","523","0.184309124204198","0.169338941468265","0.199279306940132","10"
"10 Completely satisfied","1985","direct migration background","Rural Area","88","0.202641602243133","0.160408832883315","0.244874371602951","10"
"10 Completely satisfied","1985","indirect migration background","Urban Area","51","0.295912755072556","0.216527231820677","0.375298278324435","10"
"10 Completely satisfied","1985","indirect migration background","Rural Area","12","","","","10"
"2 on Scale 1 to 10","1985","no migration background","Urban Area","171","0.0321589347625493","0.0277145095359973","0.0366033599891013","2"
"2 on Scale 1 to 10","1985","direct migration background","Urban Area","78","0.0275611968352065","0.0212404112526746","0.0338819824177383","2"
"2 on Scale 1 to 10","1985","indirect migration background","Urban Area","1","","","","2"
"2 on Scale 1 to 10","1985","no migration background","Rural Area","46","0.0264623627709829","0.0192641929256552","0.0336605326163106","2"
"2 on Scale 1 to 10","1985","indirect migration background","Rural Area","","","","","2"
"2 on Scale 1 to 10","1985","direct migration background","Rural Area","8","","","","2"
"3 on Scale 1 to 10","1985","direct migration background","Urban Area","108","0.0440902374347579","0.0361639366450871","0.0520165382244287","3"
"3 on Scale 1 to 10","1985","no migration background","Urban Area","218","0.0394329869039406","0.0345300486316376","0.0443359251762436","3"
"3 on Scale 1 to 10","1985","no migration background","Rural Area","83","0.0496132380177525","0.0398750000552433","0.0593514759802617","3"
"3 on Scale 1 to 10","1985","direct migration background","Rural Area","12","","","","3"
"3 on Scale 1 to 10","1985","indirect migration background","Urban Area","","","","","3"
"3 on Scale 1 to 10","1985","indirect migration background","Rural Area","","","","","3"
"4 on Scale 1 to 10","1985","direct migration background","Rural Area","15","","","","4"
"4 on Scale 1 to 10","1985","no migration background","Urban Area","312","0.0544263350534795","0.0487113515171457","0.0601413185898134","4"
"4 on Scale 1 to 10","1985","direct migration background","Urban Area","108","0.0435345597278962","0.0356560767449023","0.05141304271089","4"
"4 on Scale 1 to 10","1985","no migration background","Rural Area","81","0.0433521362888992","0.0342191519680265","0.0524851206097719","4"
"4 on Scale 1 to 10","1985","indirect migration background","Rural Area","","","","","4"
"4 on Scale 1 to 10","1985","indirect migration background","Urban Area","2","","","","4"
"5 on Scale 1 to 10","1985","no migration background","Rural Area","298","0.161289622091607","0.144795066156743","0.177784178026471","5"
"5 on Scale 1 to 10","1985","no migration background","Urban Area","933","0.158285544431209","0.149090247155916","0.167480841706503","5"
"5 on Scale 1 to 10","1985","direct migration background","Urban Area","359","0.15352600755974","0.139607628200862","0.167444386918618","5"
"5 on Scale 1 to 10","1985","direct migration background","Rural Area","54","0.164075305544687","0.125165088132141","0.202985522957232","5"
"5 on Scale 1 to 10","1985","indirect migration background","Urban Area","11","","","","5"
"5 on Scale 1 to 10","1985","indirect migration background","Rural Area","1","","","","5"
"6 on Scale 1 to 10","1985","direct migration background","Urban Area","180","0.0748284662476777","0.0646698294233339","0.0849871030720215","6"
"6 on Scale 1 to 10","1985","no migration background","Urban Area","485","0.0814814936701455","0.0745896375795858","0.0883733497607052","6"
"6 on Scale 1 to 10","1985","no migration background","Rural Area","169","0.0933516906279066","0.0803046525702023","0.106398728685611","6"
"6 on Scale 1 to 10","1985","direct migration background","Rural Area","32","0.0977701924728055","0.0665654724987068","0.128974912446904","6"
"6 on Scale 1 to 10","1985","indirect migration background","Urban Area","4","","","","6"
"6 on Scale 1 to 10","1985","indirect migration background","Rural Area","","","","","6"
"7 on Scale 1 to 10","1985","direct migration background","Urban Area","325","0.133456048521069","0.120326333187297","0.14658576385484","7"
"7 on Scale 1 to 10","1985","no migration background","Urban Area","836","0.137440925233227","0.128767009205282","0.146114841261173","7"
"7 on Scale 1 to 10","1985","no migration background","Rural Area","258","0.13319337459598","0.117955168970824","0.148431580221137","7"
"7 on Scale 1 to 10","1985","direct migration background","Rural Area","30","0.118834112799484","0.0848357604066854","0.152832465192284","7"
"7 on Scale 1 to 10","1985","indirect migration background","Urban Area","15","","","","7"
"7 on Scale 1 to 10","1985","indirect migration background","Rural Area","1","","","","7"
"8 on Scale 1 to 10","1985","no migration background","Rural Area","387","0.194620144723278","0.176864939999025","0.21237534944753","8"
"8 on Scale 1 to 10","1985","indirect migration background","Urban Area","23","","","","8"
"8 on Scale 1 to 10","1985","direct migration background","Rural Area","56","0.170311914520929","0.130817251621573","0.209806577420284","8"
"8 on Scale 1 to 10","1985","direct migration background","Urban Area","542","0.195569386696875","0.180255493513538","0.210883279880212","8"
"8 on Scale 1 to 10","1985","no migration background","Urban Area","1246","0.197056691716974","0.18703592875219","0.207077454681757","8"
"8 on Scale 1 to 10","1985","indirect migration background","Rural Area","1","","","","8"
"9 on Scale 1 to 10","1985","direct migration background","Rural Area","38","0.098924427011087","0.0675561366690194","0.130292717353155","9"
"9 on Scale 1 to 10","1985","no migration background","Urban Area","697","0.1078965894309","0.100080775486803","0.115712403374996","9"
"9 on Scale 1 to 10","1985","indirect migration background","Urban Area","16","","","","9"
"9 on Scale 1 to 10","1985","direct migration background","Urban Area","272","0.105787947450457","0.0939130672556932","0.117662827645221","9"
"9 on Scale 1 to 10","1985","no migration background","Rural Area","222","0.108602155113291","0.0946485502971957","0.122555759929387","9"
"9 on Scale 1 to 10","1985","indirect migration background","Rural Area","1","","","","9"
"0 Completely dissatisfied","1986","no migration background","Urban Area","121","0.0242941569923764","0.0203335901370458","0.0282547238477069","0"
"0 Completely dissatisfied","1986","no migration background","Rural Area","44","0.0259374968484105","0.0186108320727855","0.0332641616240355","0"
"0 Completely dissatisfied","1986","direct migration background","Urban Area","51","0.0272629246363228","0.0208717038221001","0.0336541454505455","0"
"0 Completely dissatisfied","1986","direct migration background","Rural Area","8","","","","0"
"0 Completely dissatisfied","1986","indirect migration background","Urban Area","1","","","","0"
"0 Completely dissatisfied","1986","indirect migration background","Rural Area","1","","","","0"
"1 on Scale 1 to 10","1986","direct migration background","Urban Area","34","0.0188189433785308","0.0134859375092947","0.0241519492477669","1"
"1 on Scale 1 to 10","1986","direct migration background","Rural Area","6","","","","1"
"1 on Scale 1 to 10","1986","no migration background","Urban Area","75","0.0151210448533264","0.0119817702358018","0.0182603194708509","1"
"1 on Scale 1 to 10","1986","no migration background","Rural Area","15","","","","1"
"1 on Scale 1 to 10","1986","indirect migration background","Urban Area","1","","","","1"
"1 on Scale 1 to 10","1986","indirect migration background","Rural Area","","","","","1"
"10 Completely satisfied","1986","no migration background","Rural Area","263","0.136782624092548","0.120943745480573","0.152621502704524","10"
"10 Completely satisfied","1986","no migration background","Urban Area","811","0.132509649633769","0.123787911197543","0.141231388069996","10"
"10 Completely satisfied","1986","direct migration background","Rural Area","78","0.189782575289636","0.14893414076503","0.230631009814242","10"
"10 Completely satisfied","1986","direct migration background","Urban Area","459","0.147322376263744","0.133412391406829","0.161232361120658","10"
"10 Completely satisfied","1986","indirect migration background","Urban Area","41","0.199886949283893","0.132920741746656","0.266853156821131","10"
"10 Completely satisfied","1986","indirect migration background","Rural Area","7","","","","10"
"2 on Scale 1 to 10","1986","no migration background","Urban Area","128","0.0251414890758228","0.021114195669957","0.0291687824816886","2"
"2 on Scale 1 to 10","1986","direct migration background","Urban Area","67","0.0241614500544328","0.0181351555846739","0.0301877445241918","2"
"2 on Scale 1 to 10","1986","direct migration background","Rural Area","6","","","","2"
"2 on Scale 1 to 10","1986","indirect migration background","Urban Area","3","","","","2"
"2 on Scale 1 to 10","1986","indirect migration background","Rural Area","","","","","2"
"2 on Scale 1 to 10","1986","no migration background","Rural Area","45","0.0254524253155487","0.018192786963008","0.0327120636680894","2"
"3 on Scale 1 to 10","1986","direct migration background","Urban Area","110","0.0467130365962328","0.0384311220854033","0.0549949511070622","3"
"3 on Scale 1 to 10","1986","no migration background","Urban Area","229","0.04169843081215","0.0365561245959816","0.0468407370283184","3"
"3 on Scale 1 to 10","1986","no migration background","Rural Area","81","0.050065274210205","0.0400130061894989","0.0601175422309111","3"
"3 on Scale 1 to 10","1986","direct migration background","Rural Area","16","","","","3"
"3 on Scale 1 to 10","1986","indirect migration background","Urban Area","4","","","","3"
"3 on Scale 1 to 10","1986","indirect migration background","Rural Area","","","","","3"
"4 on Scale 1 to 10","1986","direct migration background","Urban Area","115","0.0439744637851021","0.0359274473360304","0.0520214802341737","4"
"4 on Scale 1 to 10","1986","direct migration background","Rural Area","17","","","","4"
"4 on Scale 1 to 10","1986","no migration background","Urban Area","315","0.0575765352877247","0.0515842457718058","0.0635688248036435","4"
"4 on Scale 1 to 10","1986","no migration background","Rural Area","88","0.0530590950950492","0.0427269561944957","0.0633912339956027","4"
"4 on Scale 1 to 10","1986","indirect migration background","Urban Area","3","","","","4"
"4 on Scale 1 to 10","1986","indirect migration background","Rural Area","1","","","","4"
"5 on Scale 1 to 10","1986","no migration background","Rural Area","264","0.154268567335747","0.137618966074764","0.17091816859673","5"
"5 on Scale 1 to 10","1986","no migration background","Urban Area","861","0.159070393033585","0.149661869455132","0.168478916612038","5"
"5 on Scale 1 to 10","1986","direct migration background","Urban Area","373","0.152663497640954","0.138548024875669","0.166778970406239","5"
"5 on Scale 1 to 10","1986","direct migration background","Rural Area","37","0.117205976987993","0.0836977821741779","0.150714171801807","5"
"5 on Scale 1 to 10","1986","indirect migration background","Urban Area","10","","","","5"
"5 on Scale 1 to 10","1986","indirect migration background","Rural Area","","","","","5"
"6 on Scale 1 to 10","1986","no migration background","Rural Area","154","0.0884160373090207","0.0753298618424137","0.101502212775628","6"
"6 on Scale 1 to 10","1986","no migration background","Urban Area","516","0.0909014979935268","0.0835065015387082","0.0982964944483454","6"
"6 on Scale 1 to 10","1986","direct migration background","Urban Area","200","0.0769372370787049","0.0664783909110625","0.0873960832463473","6"
"6 on Scale 1 to 10","1986","direct migration background","Rural Area","22","","","","6"
"6 on Scale 1 to 10","1986","indirect migration background","Urban Area","6","","","","6"
"6 on Scale 1 to 10","1986","indirect migration background","Rural Area","2","","","","6"
"7 on Scale 1 to 10","1986","no migration background","Rural Area","240","0.130283230599928","0.114767148836125","0.145799312363731","7"
